word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
e	274011	-4.3	0	42	778	778	778	778	778	1449	1449	1449	1449	1449	1
ar	201609	-2.99	76	105	1346	252	252	252	252	1461	132	132	132	132	2
a	196589	-4.3	0	45	1346	1346	1346	1346	1346	1254	1254	1254	1254	1254	1
an	128697	-2.78	60	93	1346	182	182	182	182	2341	383	383	383	383	2
ha	77676	-3.15	60	80	1364	322	322	322	322	1254	32	32	32	32	2
da	75018	-2.91	76	98	1464	226	226	226	226	1254	60	60	60	60	2
c	69109	-4.3	0	24	669	669	669	669	669	403	403	403	403	403	1
gant	68238	-3.9	28	36	1393	255	42	9	9	1792	291	102	4	4	4
ur	66380	-3.49	56	67	159	23	23	23	23	1461	329	329	329	329	2
en	65091	-2.9	54	79	778	135	135	135	135	2341	510	510	510	510	2
eus	59531	-3.95	26	34	778	62	8	8	8	1526	298	11	11	11	3
hag	57113	-4.75	44	49	1364	322	5	5	5	755	27	1	1	1	3
eo	56117	-4.14	78	90	778	16	16	16	16	590	18	18	18	18	2
zo	51443	-3.81	50	57	277	38	38	38	38	590	16	16	16	16	2
oa	47801	-4.4	76	90	347	14	14	14	14	1254	17	17	17	17	2
h	45312	-4.3	0	21	1364	1364	1364	1364	1364	821	821	821	821	821	1
d	43668	-4.3	0	29	1464	1464	1464	1464	1464	1259	1259	1259	1259	1259	1
un	38851	-3.38	40	56	159	56	56	56	56	2341	56	56	56	56	2
bet	31834	-3.2	56	65	1311	287	12	12	12	1792	846	14	14	14	3
war	31047	-4.04	42	50	297	82	27	27	27	1461	132	3	3	3	3
voe	30764	-4.52	32	37	696	122	4	4	4	1449	24	3	3	3	3
o	28507	-4.3	0	38	347	347	347	347	347	590	590	590	590	590	1
er	27245	-2.99	70	94	778	68	68	68	68	1461	694	694	694	694	2
pe	25279	-3.16	68	84	1198	244	244	244	244	1449	25	25	25	25	2
evit	24224	-5.8	6	10	778	47	8	5	5	1792	53	2	1	1	4
vez	21382	-3.47	44	53	696	166	16	16	16	669	343	34	34	34	3
anv	18698	-4.76	14	18	1346	182	10	10	10	185	11	11	11	11	3
se	18415	-2.87	70	89	1546	184	184	184	184	1449	77	77	77	77	2
ma	17957	-2.95	84	103	1212	428	428	428	428	1254	43	43	43	43	2
al	16920	-2.86	62	81	1346	165	165	165	165	982	176	176	176	176	2
ivez	16793	-5.07	2	4	360	11	2	1	1	669	343	34	3	3	4
he	15238	-2.98	58	78	1364	395	395	395	395	1449	45	45	45	45	2
evel	14549	-4.37	14	21	778	47	24	7	7	982	397	46	10	10	4
viz	13929	-3.93	42	45	696	147	7	7	7	669	134	7	7	7	3
ket	12859	-3.05	50	57	1235	319	2	2	2	1792	846	38	38	38	3
reas	11872	-4.91	12	19	773	249	7	1	1	1526	369	10	5	5	4
all	11684	-3.51	14	28	1346	165	12	12	12	982	180	35	35	35	3
de	11437	-3.07	74	97	1464	252	252	252	252	1449	80	80	80	80	2
ra	11261	-3.04	66	93	773	152	152	152	152	1254	129	129	129	129	2
dre	11243	-3.57	28	39	1464	137	63	63	63	1449	204	7	7	7	3
ez	11183	-3.55	48	65	778	24	24	24	24	669	343	343	343	343	2
bro	11127	-3.83	22	30	1311	251	51	51	51	590	68	2	2	2	3
pa	10921	-3.53	70	87	1198	230	230	230	230	1254	10	10	10	10	2
diwar	10702	-5.18	6	6	1464	566	19	12	5	1461	132	3	2	1	5
benn	10666	-3.52	32	36	1311	287	41	16	16	2341	531	483	14	14	4
goude	10318	-5.27	4	5	1393	293	130	5	1	1449	80	14	7	1	5
dro	10175	-3.97	24	29	1464	137	36	36	36	590	68	8	8	8	3
ne	9935	-3.01	64	85	475	148	148	148	148	1449	180	180	180	180	2
etre	9838	-5.7	4	7	778	31	20	15	15	1449	204	17	1	1	4
deus	9368	-4.88	18	22	1464	252	24	1	1	1526	298	11	2	2	4
n	9249	-4.3	0	21	475	475	475	475	475	2341	2341	2341	2341	2341	1
ouzh	9143	-5.23	8	9	347	64	13	6	6	821	581	7	2	2	4
lec	9090	-4.09	46	51	888	210	3	3	3	403	54	20	20	20	3
met	8927	-2.96	54	59	1212	255	17	17	17	1792	846	40	40	40	3
