word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
je	338957	-2.68	42	47	372	138	138	138	138	3079	878	878	878	878	2
i	277364	-4.3	0	32	859	859	859	859	859	2739	2739	2739	2739	2739	1
u	252192	-4.3	0	24	783	783	783	783	783	1758	1758	1758	1758	1758	1
se	132155	-3.04	64	75	2075	123	123	123	123	3079	49	49	49	49	2
na	103163	-1.91	56	71	1141	640	640	640	640	5015	798	798	798	798	2
su	87008	-2.92	62	71	2075	149	149	149	149	1758	39	39	39	39	2
od	81207	-3.3	40	54	1257	255	255	255	255	243	32	32	32	32	2
za	60246	-2.74	32	39	671	404	404	404	404	5015	61	61	61	61	2
da	59638	-2.79	50	64	1096	121	121	121	121	5015	177	177	177	177	2
godine	58504	-5.87	6	6	553	103	18	17	6	3079	583	121	13	2	6
a	58112	-4.3	0	30	650	650	650	650	650	5015	5015	5015	5015	5015	1
kao	49390	-3.75	18	21	1146	239	1	1	1	1569	249	14	14	14	3
ngc	40825	-6.53	6	6	1141	1	1	1	1	88	3	1	1	1	3
sa	37935	-2.61	62	79	2075	263	263	263	263	5015	97	97	97	97	2
koji	36251	-4.36	16	19	1146	398	13	4	4	2739	218	8	1	1	4
ic	35100	-5.59	44	48	859	3	3	3	3	88	9	9	9	9	2
sg	30682	-4.52	40	42	2075	1	1	1	1	512	1	1	1	1	2
iz	28147	-3.83	36	40	859	341	341	341	341	61	5	5	5	5	2
koja	26837	-3.98	26	27	1146	398	13	1	1	5015	731	15	1	1	4
do	24385	-3.3	44	57	1096	331	331	331	331	1569	17	17	17	17	2
s	23119	-4.3	0	29	2075	2075	2075	2075	2075	262	262	262	262	262	1
bio	22119	-3.64	18	23	805	139	10	10	10	1569	275	13	13	13	3
ili	20828	-4.21	8	15	859	17	13	13	13	2739	304	103	103	103	3
što	20440	-5.39	4	5	177	27	1	1	1	1569	61	5	5	5	3
te	20066	-2.74	52	59	771	213	213	213	213	3079	148	148	148	148	2
oko	19977	-4.05	12	15	1257	86	22	22	22	1569	152	7	7	7	3
nalazi	19773	-6.2	6	9	1141	640	17	14	14	2739	45	23	14	3	6
također	18896	-10.37	0	1	771	106	33	5	2	377	118	1	1	1	7
po	18282	-3.94	40	48	2775	1033	1033	1033	1033	1569	3	3	3	3	2
nakon	16219	-5.64	6	6	1141	640	7	1	1	744	124	4	2	1	5
koje	15635	-4.09	20	23	1146	398	13	5	5	3079	878	15	1	1	4
o	15545	-4.3	0	26	1257	1257	1257	1257	1257	1569	1569	1569	1569	1569	1
to	15016	-3.51	44	58	771	70	70	70	70	1569	61	61	61	61	2
hiljada	14700	-8.51	4	4	367	59	6	4	4	5015	177	43	1	1	7
ali	14342	-3.66	10	17	650	82	8	8	8	2739	304	109	109	109	3
spisak	13833	-6.7	0	2	2075	169	11	7	3	310	114	7	4	1	6
prvo	13806	-4.68	12	17	2775	1124	26	10	10	1569	101	4	1	1	4
poznat	13336	-5.63	0	5	2775	1033	58	21	21	453	60	9	3	2	6
sazviježđu	13202	-11.07	0	0	2075	263	12	3	3	1758	12	1	1	1	10
nije	13180	-4.27	8	10	1141	91	9	9	9	3079	878	351	46	46	4
sadrži	13120	-6.48	4	4	2075	263	21	14	14	2739	32	7	4	2	6
zemlje	13119	-5.88	6	6	671	46	21	16	16	3079	878	45	2	2	6
ne	12908	-2.25	58	68	1141	186	186	186	186	3079	583	583	583	583	2
deset	12671	-6.09	2	3	1096	146	27	7	7	453	76	8	7	7	5
objekata	12637	-8.39	0	2	1257	174	37	11	9	5015	333	73	13	9	8
sljedeći	12502	-7.17	0	0	2075	203	12	12	12	2739	109	39	8	2	8
napravio	12443	-8.04	0	1	1141	640	85	22	11	1569	275	34	24	4	8
