word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ri	14395	-3.66	14	19	595	115	115	115	115	225	22	22	22	22	2
komun	8032	-6.45	0	1	171	27	14	4	4	1606	53	2	1	1	5
iyanaritu	7990	-11.54	0	0	193	9	4	3	3	363	20	5	2	2	9
déparetema	7971	-13.02	0	0	459	20	3	3	3	558	22	3	3	2	10
perancis	7961	-8.56	0	0	1033	163	59	7	3	2641	238	1	1	1	8
séuwa	7958	-5.73	2	2	953	51	2	2	2	558	20	4	1	1	5
saint	2418	-5.21	2	4	953	300	19	7	4	1609	232	5	4	4	5
haute	1900	-5.49	4	6	370	136	29	19	12	2540	142	3	2	1	5
sur	1133	-4.26	14	16	953	63	16	16	16	441	65	3	3	3	3
aisne	963	-5.96	0	0	1073	61	6	1	1	2540	337	13	1	1	5
le	944	-2.5	18	26	1036	109	109	109	109	2540	741	741	741	741	2
de	914	-2.97	18	27	459	75	75	75	75	2540	105	105	105	105	2
la	896	-3.04	28	39	1036	451	451	451	451	558	38	38	38	38	2
picardy	816	-8.72	0	1	1033	73	7	5	3	1457	9	2	2	1	7
manorangna	816	-11.36	0	0	1453	563	67	9	3	558	94	6	3	2	10
somme	788	-5.27	4	4	953	135	18	13	9	2540	52	7	6	2	5
hautes	777	-6.04	0	2	370	136	29	19	12	2641	1192	43	1	1	6
garonne	708	-6.54	2	3	713	147	37	2	2	2540	337	99	51	8	7
alpes	657	-6.58	2	2	1073	96	1	1	1	2641	1192	11	1	1	5
pyrénées	618	-11.46	0	0	1033	4	1	1	1	2641	1192	9	1	1	8
atang	592	-6.05	6	6	1073	31	7	2	2	183	149	53	13	5	5
yonne	590	-5.24	2	3	53	11	2	1	1	2540	337	99	51	3	5
vosges	590	-6.98	4	5	743	64	3	1	1	2641	1192	87	5	2	6
launa	589	-5.99	2	4	1036	451	34	7	4	558	94	7	2	1	5
ardennes	547	-6.49	0	0	1073	212	13	6	2	2641	1192	162	47	20	8
marne	539	-4.37	8	11	1453	563	171	4	2	2540	337	16	1	1	5
d	532	-4.17	0	6	459	459	459	459	459	252	252	252	252	252	1
ain	497	-3.39	10	16	1073	61	5	5	5	1606	286	71	71	71	3
en	476	-3.4	14	20	299	43	43	43	43	1606	159	159	159	159	2
manoraŋna	463	-11.52	0	0	1453	563	67	9	3	558	94	2	1	1	9
et	458	-3.95	14	18	299	3	3	3	3	1609	292	292	292	292	2
allier	431	-6.05	2	3	1073	96	39	5	1	441	248	113	15	7	6
ajanna	419	-7.31	0	0	1073	7	4	2	2	558	94	11	7	1	6
les	416	-3.05	18	21	1036	109	33	33	33	2641	1192	246	246	246	3
ardèche	412	-7.25	0	0	1073	212	13	1	1	2540	81	61	6	1	7
ariège	407	-7.1	0	1	1073	212	4	1	1	2540	66	9	4	1	6
atangajana	377	-11.69	0	0	1073	31	7	2	2	558	94	28	2	1	10
eure	349	-5.54	16	19	299	15	4	1	1	2540	357	37	9	9	4
manianna	339	-8.49	0	0	1453	563	67	4	3	558	94	11	7	1	8
lès	333	-3.92	10	11	1036	5	1	1	1	2641	80	15	15	15	3
loire	320	-5.3	2	3	1036	184	8	3	1	2540	357	53	14	2	5
ténga	320	-8.73	2	2	670	2	1	1	1	558	22	6	1	1	5
deux	282	-4.58	6	8	459	75	3	1	1	490	365	159	2	2	4
sèvres	273	-5.66	2	4	953	6	4	2	2	2641	1192	272	13	3	6
provence	244	-8.27	0	0	1033	131	30	7	5	2540	78	42	12	2	8
gironde	244	-7.7	0	0	713	62	12	6	5	2540	105	18	5	3	7
sainte	223	-6.17	2	3	953	300	19	7	4	2540	142	13	3	1	6
côte	219	-5.27	4	5	1566	4	2	2	2	2540	142	1	1	1	4
or	205	-3.77	16	22	266	84	84	84	84	441	18	18	18	18	2
l	199	-4.17	0	11	1036	1036	1036	1036	1036	537	537	537	537	537	1
maritimes	194	-9.31	0	0	1453	563	171	16	2	2641	1192	35	1	1	9
manche	193	-5.33	2	3	1453	563	67	8	1	2540	81	61	15	13	6
saône	187	-5.87	0	0	953	300	1	1	1	2540	337	6	1	1	5
gers	181	-3.98	16	18	713	102	38	1	1	2641	248	178	3	3	4
du	170	-3.93	14	21	459	35	35	35	35	363	4	4	4	4	2
dordogne	159	-8.59	0	0	459	111	8	1	1	2540	337	61	16	1	8
gard	155	-4.09	14	15	713	147	37	10	10	252	91	78	9	9	4
haut	144	-4.79	6	8	370	136	29	19	19	1609	48	15	2	2	4
martin	137	-5.44	2	2	1453	563	171	25	15	1606	286	32	10	5	6
loir	132	-5.12	4	6	1036	184	8	3	3	441	35	17	3	3	4
sous	123	-4.56	2	4	953	135	54	6	6	2641	72	28	5	5	4
bois	122	-3.54	10	10	1473	286	26	23	23	2641	238	78	6	6	4
rhin	110	-6.4	2	2	595	2	1	1	1	1606	286	5	1	1	4
ᨕ	103	-4.25	0	19	19	19	19	19	19	18	18	18	18	18	1
yvelines	101	-8.53	0	0	53	7	3	1	1	2641	1192	162	42	8	8
sekitar	95	-9.29	0	0	953	214	3	1	1	441	46	5	1	1	7
jean	95	-5.48	0	0	210	27	5	5	5	1606	478	5	3	3	4
des	91	-3.4	10	12	459	75	13	13	13	2641	1192	40	40	40	3
chapelle	78	-6.32	0	1	1566	485	320	11	6	2540	741	638	90	4	8
aux	78	-2.85	4	16	1073	212	8	8	8	490	365	114	114	114	3
pierre	77	-5.49	4	5	1033	73	21	16	15	2540	357	44	30	10	6
corrèze	74	-7.54	2	2	1566	384	68	5	1	2540	72	23	3	2	7
ᨑ	71	-4.46	0	9	4	4	4	4	4	14	14	14	14	14	1
drôme	71	-5.93	4	4	459	36	2	1	1	2540	52	7	4	2	5
julien	68	-6.64	2	3	210	74	9	5	2	1606	159	40	5	5	6
di	67	-3.36	22	27	459	88	88	88	88	225	19	19	19	19	2
dan	65	-3.5	18	20	459	83	13	13	13	1606	478	23	23	23	3
germain	63	-6.94	0	1	713	102	38	20	10	1606	286	71	8	1	7
sibawa	62	-7.62	0	1	953	87	4	2	2	558	20	7	3	1	6
pont	62	-3.66	14	16	1033	196	41	29	29	1609	232	133	12	12	4
mont	60	-2.84	8	11	1453	491	312	242	242	1609	232	133	118	118	4
villeneuve	59	-8.69	0	0	743	238	97	94	67	2540	58	13	8	5	10
mappunnai	59	-11.21	0	0	1453	563	13	11	5	225	31	3	1	1	9
orientales	58	-9.86	0	0	266	84	11	4	3	2641	1192	246	5	1	10
mesnil	55	-6.8	0	0	1453	172	24	4	3	537	152	32	15	13	6
seddi	54	-7.11	2	3	953	214	3	1	1	225	19	2	1	1	5
kota	54	-6.81	4	5	171	27	1	1	1	558	31	3	1	1	4
villers	54	-4.37	2	6	743	238	97	94	67	2641	248	178	52	46	7
laurent	54	-7.27	0	0	1036	451	34	7	3	1609	232	47	6	1	7
ᨔ	54	-4.32	0	15	9	9	9	9	9	12	12	12	12	12	1
jenie	53	-6.83	2	2	210	27	5	2	1	2540	80	4	1	1	5
andré	52	-6.15	0	1	1073	134	37	7	3	190	26	2	2	1	5
armor	52	-6.54	0	0	1073	212	18	4	1	441	18	2	1	1	5
côtes	52	-5.82	2	3	1566	4	2	2	1	2641	1192	43	3	1	5
ville	51	-2.61	6	11	743	238	97	94	67	2540	741	638	527	478	5
grand	51	-4.8	4	8	713	136	56	26	18	252	60	44	12	2	5
porovensi	51	-11.27	0	0	1033	196	23	1	1	225	23	3	2	1	9
