word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
de	7224025	-3.11	52	63	1251	555	555	555	555	952	35	35	35	35	2
la	4221091	-3.08	66	80	714	87	87	87	87	4077	208	208	208	208	2
i	3616675	-4.3	0	35	785	785	785	785	785	562	562	562	562	562	1
el	3123859	-3.16	42	63	1473	102	102	102	102	745	89	89	89	89	2
a	2993261	-4.3	0	40	1963	1963	1963	1963	1963	4077	4077	4077	4077	4077	1
l	2003380	-4.3	0	22	714	714	714	714	714	745	745	745	745	745	1
en	1915683	-2.62	38	56	1473	226	226	226	226	1087	599	599	599	599	2
d	1883039	-4.3	0	19	1251	1251	1251	1251	1251	234	234	234	234	234	1
que	1816176	-4.11	8	10	121	110	28	28	28	952	13	6	6	6	3
del	1465616	-3.85	36	42	1251	555	25	25	25	745	89	5	5	5	3
un	1414609	-3.96	34	44	170	55	55	55	55	1087	15	15	15	15	2
va	1404963	-2.66	48	58	575	107	107	107	107	4077	244	244	244	244	2
per	1368670	-3.05	38	46	1806	280	152	152	152	1589	277	9	9	9	3
les	1253745	-3.23	38	46	714	101	7	7	7	4971	1763	178	178	178	3
una	1128397	-4.22	20	26	170	55	2	2	2	4077	349	14	14	14	3
al	1027212	-2.59	54	73	1963	245	245	245	245	745	336	336	336	336	2
els	1021739	-3.83	18	27	1473	102	1	1	1	4971	346	16	16	16	3
amb	915901	-4.99	16	19	1963	120	20	20	20	51	5	1	1	1	3
es	883590	-1.88	56	71	1473	497	497	497	497	4971	1763	1763	1763	1763	2
és	792054	-3.92	32	35	9	3	3	3	3	4971	48	48	48	48	2
dels	690193	-4.53	12	15	1251	555	25	1	1	4971	346	16	3	3	4
més	606880	-4.39	10	12	1276	3	1	1	1	4971	48	4	4	4	3
com	574722	-3.3	32	40	2314	1075	298	298	298	185	28	2	2	2	3
hi	498106	-3.73	50	58	410	70	70	70	70	562	8	8	8	8	2
o	454476	-4.3	0	23	477	477	477	477	477	348	348	348	348	348	1
era	413615	-4.32	24	34	1473	37	2	2	2	4077	365	104	104	104	3
ser	370715	-3.5	36	41	1294	314	51	51	51	1589	277	7	7	7	3
no	367863	-3.35	42	53	436	113	113	113	113	348	26	26	26	26	2
s	361286	-4.3	0	32	1294	1294	1294	1294	1294	4971	4971	4971	4971	4971	1
seu	353680	-4.27	36	41	1294	314	4	4	4	261	56	3	3	3	3
havia	332124	-5.88	4	5	410	101	7	2	1	4077	819	24	2	1	5
van	322784	-4.45	42	45	575	107	3	3	3	1087	150	3	3	3	3
població	316537	-6.64	0	0	1806	262	19	15	11	756	637	517	355	33	8
seva	304228	-4.7	14	17	1294	314	8	1	1	4077	244	11	1	1	4
fou	278319	-4.56	34	37	804	152	4	4	4	261	28	1	1	1	3
anys	274706	-4.55	2	6	1963	213	2	1	1	4971	17	14	8	8	4
entre	264991	-5.21	4	8	1473	226	56	30	18	952	243	58	6	4	5
ha	253019	-3.67	56	65	410	101	101	101	101	4077	9	9	9	9	2
eren	234163	-5.46	6	8	1473	37	3	1	1	1087	599	116	24	24	4
estaven	233608	-6.37	0	1	1473	497	205	62	2	1087	599	74	66	13	7
als	228687	-2.82	22	35	1963	245	4	4	4	4971	346	207	207	207	3
persones	224724	-7.38	0	0	1806	280	152	24	9	4971	1763	141	19	2	8
se	221579	-3.3	62	76	1294	314	314	314	314	952	24	24	24	24	2
també	216240	-7.56	0	0	915	116	7	3	1	67	5	1	1	1	5
pel	211160	-4.09	44	51	1806	280	13	13	13	745	89	4	4	4	3
però	207170	-6.65	10	11	1806	280	152	1	1	7	1	1	1	1	4
any	201543	-4.03	16	22	1963	213	2	2	2	157	35	17	17	17	3
altres	192439	-6.1	2	5	1963	245	36	4	2	4971	1763	205	40	3	6
aquest	192140	-5.78	0	3	1963	26	25	12	5	2292	58	20	2	2	6
habitatges	187789	-8.4	0	0	410	101	23	21	18	4971	1763	51	30	23	10
després	186834	-7.31	0	0	1251	555	211	21	2	4971	48	7	1	1	7
fins	176801	-4.41	18	22	804	145	42	1	1	4971	498	37	3	3	4
són	170141	-5.01	14	15	1294	3	1	1	1	1087	16	1	1	1	3
aquesta	160198	-5.64	2	3	1963	26	25	12	5	4077	415	130	18	4	7
seus	151466	-4.91	26	31	1294	314	4	1	1	4971	161	29	2	2	4
habitants	149340	-7.87	0	0	410	101	23	21	18	4971	759	230	63	16	9
on	148811	-4.21	30	47	477	18	18	18	18	1087	123	123	123	123	2
dones	146579	-5.05	16	18	1251	139	29	2	1	4971	1763	141	19	2	5
estat	145786	-4.08	4	9	1473	497	205	62	12	2292	790	258	10	6	5
família	144636	-7.14	2	2	804	125	13	2	2	4077	819	35	7	4	7
cap	144294	-4.51	28	35	2314	552	51	51	51	70	7	1	1	1	3
des	143530	-2.22	30	40	1251	555	211	211	211	4971	1763	273	273	273	3
tenia	141994	-5.35	10	10	915	191	24	5	1	4077	819	97	14	8	5
part	140557	-4.18	14	22	1806	345	122	38	38	2292	71	13	2	2	4
durant	138200	-5.61	0	1	1251	55	16	11	3	2292	949	264	34	4	6
gran	134108	-4.52	20	25	600	122	68	19	19	1087	150	17	1	1	4
tot	131126	-4.79	36	41	915	117	9	9	9	2292	36	2	2	2	3
tenien	129899	-6.88	2	3	915	191	24	5	1	1087	599	76	15	10	6
homes	129181	-5.19	10	13	410	94	17	5	1	4971	1763	75	10	1	5
dos	126998	-4.35	32	40	1251	139	3	3	3	4971	221	4	4	4	3
segons	123209	-5.58	2	4	1294	314	50	4	4	4971	498	325	4	1	6
sobre	120873	-5.58	10	11	1294	202	19	11	11	952	243	25	3	1	5
ciutat	117658	-7.66	0	2	2314	109	9	7	7	2292	790	258	4	1	6
pels	117156	-4.76	16	20	1806	280	13	1	1	4971	346	16	1	1	4
cada	113226	-3.35	26	27	2314	552	18	6	6	4077	563	360	38	38	4
següent	112786	-6.24	2	3	1294	314	50	2	2	2292	949	579	5	3	7
vivien	112666	-6.56	0	0	575	198	9	3	1	1087	599	76	6	1	6
quan	110817	-5.15	10	11	121	110	44	7	7	1087	150	5	1	1	4
nord	107011	-4.97	6	6	436	113	23	2	2	234	51	13	1	1	4
mediana	106631	-7.5	0	1	1276	191	28	22	6	4077	349	101	30	5	7
ja	105367	-3.37	50	55	222	44	44	44	44	4077	35	35	35	35	2
molt	104055	-5.32	12	16	1276	265	22	4	4	2292	21	5	1	1	4
qual	103552	-4.41	6	7	121	110	44	11	11	745	336	29	2	2	4
fer	101987	-3.58	30	35	804	103	33	33	33	1589	277	7	7	7	3
segle	101105	-5.8	2	3	1294	314	50	2	2	952	145	7	1	1	5
nom	99530	-4.28	28	32	436	113	25	25	25	185	28	7	7	7	3
empreses	99228	-7.53	0	0	1473	119	48	26	15	4971	1763	78	19	3	8
tres	96445	-3.44	16	20	915	286	42	4	4	4971	1763	205	40	40	4
primer	95261	-6.55	2	4	1806	579	55	28	9	1589	277	9	2	1	6
sud	95207	-4.6	16	19	1294	233	5	5	5	234	22	2	2	2	3
properes	94921	-6.09	0	1	1806	579	285	42	4	4971	1763	205	44	3	8
li	94129	-3.55	60	78	714	129	129	129	129	562	45	45	45	45	2
famílies	92649	-8.08	0	0	804	125	13	2	2	4971	1763	184	9	3	8
poblacions	92187	-7.82	0	0	1806	262	19	15	11	4971	498	325	260	198	10
renda	88647	-4.73	6	6	1146	722	29	7	1	4077	563	33	7	1	5
quals	88242	-4.65	2	3	121	110	44	11	2	4971	346	207	20	1	5
està	87542	-4.85	4	6	1473	497	205	6	6	337	45	3	3	3	4
té	86333	-4.54	24	26	915	1	1	1	1	67	9	9	9	9	2
dues	85779	-4.26	16	20	1251	55	6	1	1	4971	1763	176	3	3	4
fills	84466	-5.01	14	17	804	145	39	4	1	4971	346	55	7	1	5
pot	83188	-4.25	38	45	1806	262	18	18	18	2292	36	2	2	2	3
sant	80681	-3.92	26	34	1294	219	36	14	14	2292	949	264	18	18	4
guerra	80655	-6.36	0	0	600	97	12	11	10	4077	365	19	8	3	6
sense	80098	-6.3	0	1	1294	314	60	11	1	952	24	4	4	1	5
seves	80030	-5.37	8	9	1294	314	8	6	1	4971	1763	46	2	1	5
si	76594	-3.44	66	78	1294	169	169	169	169	562	34	34	34	34	2
municipi	76369	-9.05	0	0	1276	93	29	9	9	562	9	2	2	1	8
fet	76080	-4.57	20	25	804	103	6	6	6	2292	94	2	2	2	3
n	75858	-4.3	0	17	436	436	436	436	436	1087	1087	1087	1087	1087	1
primera	75815	-7.26	2	3	1806	579	55	28	9	4077	365	104	6	2	7
troba	75546	-6.12	8	11	915	286	39	20	15	4077	27	4	2	1	5
així	75281	-6.35	2	3	1963	23	10	1	1	139	1	1	1	1	4
encara	74907	-6.84	0	1	1473	226	33	18	12	4077	365	27	3	1	6
això	74597	-6.79	2	3	1963	23	10	1	1	7	1	1	1	1	4
nombre	74357	-6.26	0	1	436	113	25	6	6	952	243	25	7	1	6
manera	74135	-6.14	2	2	1276	454	84	5	2	4077	365	104	7	3	6
forma	71957	-4.8	16	20	804	152	76	31	19	4077	118	15	7	6	5
empresa	71712	-6.8	2	2	1473	119	48	26	15	4077	224	80	17	6	7
han	71631	-4.25	42	48	410	101	7	7	7	1087	150	11	11	11	3
francès	71282	-8.58	4	5	804	109	53	33	19	4971	72	3	1	1	7
regió	71262	-5.26	8	8	1146	722	58	23	1	756	637	4	3	2	5
estats	70089	-4.48	2	5	1473	497	205	62	12	4971	759	320	97	5	6
mentre	70049	-5.53	6	9	1276	191	34	8	3	952	243	58	6	4	6
mateix	70007	-5.93	2	3	1276	454	50	21	4	189	141	112	18	3	6
menys	69867	-5.29	2	2	1276	191	34	2	2	4971	17	14	6	3	5
parelles	69745	-7.05	0	1	1806	345	122	12	4	4971	1763	178	50	19	8
temps	69288	-6.5	4	4	915	191	29	20	1	4971	20	2	1	1	5
edat	69078	-5.0	2	3	1473	51	2	2	2	2292	790	26	7	7	4
habitatge	68476	-8.09	0	0	410	101	23	21	18	952	82	57	50	9	9
història	67922	-6.84	0	0	410	70	25	16	7	4077	819	218	15	11	8
