word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
nga	4415426	-5.37	4	7	691	6	4	4	4	6190	65	17	17	17	3
sa	2232576	-2.44	20	28	1711	186	186	186	186	6190	258	258	258	258	2
ni	1490535	-2.96	24	26	691	162	162	162	162	1213	209	209	209	209	2
ang	1030144	-3.48	8	17	1863	313	28	28	28	204	144	56	56	56	3
ug	979966	-5.22	6	8	162	7	7	7	7	204	2	2	2	2	2
kay	885245	-4.47	14	16	351	97	1	1	1	202	39	2	2	2	3
sakop	885111	-8.45	0	0	1711	186	4	1	1	28	4	2	2	2	5
matang	880984	-5.89	0	1	1478	452	21	2	1	204	144	56	7	3	6
maoy	847492	-6.6	2	4	1478	452	4	1	1	202	7	1	1	1	4
pamilya	844655	-9.56	0	0	2081	490	8	3	1	6190	73	2	1	1	7
henero	844424	-7.56	0	1	960	278	28	2	2	361	30	9	2	2	6
kaliwatan	830052	-10.85	0	0	351	97	5	2	1	911	190	14	2	1	9
niini	765277	-7.04	0	0	691	162	3	2	2	1213	209	41	1	1	5
gihulagway	760809	-14.34	0	0	719	80	4	1	1	202	39	3	1	1	10
sama	753721	-4.81	16	18	1711	186	10	4	4	6190	404	11	1	1	4
walay	753480	-6.89	2	3	202	58	22	2	1	202	39	3	2	1	5
nalista	753275	-7.38	0	0	691	109	3	1	1	6190	793	44	12	2	7
adtong	711780	-7.57	0	1	1863	55	1	1	1	204	144	39	6	3	6
una	223176	-4.26	8	11	162	39	3	3	3	6190	572	5	5	5	3
insekto	170767	-10.41	0	0	397	128	17	1	1	361	49	2	1	1	7
langaw	159361	-7.73	0	0	1035	260	31	11	1	33	13	2	2	1	6
kini	127237	-5.03	6	7	351	39	19	2	2	1213	209	41	2	2	4
bakukang	100046	-10.33	0	0	1012	216	5	1	1	204	144	56	3	1	8
na	89239	-2.61	20	27	691	109	109	109	109	6190	572	572	572	572	2
hayop	87702	-8.7	0	0	960	213	6	1	1	28	4	1	1	1	5
sabwag	87695	-8.77	0	0	1711	186	15	1	1	204	13	3	1	1	6
ka	87221	-3.13	16	22	351	97	97	97	97	6190	32	32	32	32	2
mga	86085	-5.95	4	5	1478	1	1	1	1	6190	65	1	1	1	3
of	70477	-5.15	10	12	588	2	2	2	2	36	3	3	3	3	2
life	69293	-5.85	0	0	1035	202	1	1	1	2224	4	1	1	1	4
catalogue	69283	-10.79	0	0	2004	448	22	9	2	2224	10	1	1	1	9
mao	67910	-4.79	22	28	1478	452	4	4	4	361	20	1	1	1	3
matud	63768	-6.91	0	0	1478	452	21	3	1	185	7	1	1	1	5
kladogram	63760	-11.79	0	0	351	15	6	1	1	447	27	4	2	1	9
kaka	56432	-5.51	4	5	351	97	1	1	1	6190	32	7	1	1	4
uhong	48379	-7.52	2	3	162	4	1	1	1	204	144	39	3	1	5
usa	46043	-5.41	8	13	162	18	3	3	3	6190	258	28	28	28	3
division	44632	-9.51	0	0	817	295	12	3	3	911	470	58	4	1	8
mananap	43494	-9.54	0	0	1478	452	36	1	1	28	2	1	1	1	7
may	38866	-4.07	24	32	1478	452	16	16	16	202	39	3	3	3	3
iucn	37775	-10.83	0	0	397	2	1	1	1	911	1	1	1	1	4
giklaseklase	37775	-17.44	0	0	719	80	2	1	1	2224	39	5	2	2	12
rehiyon	37606	-10.34	0	0	662	107	5	1	1	911	470	14	2	2	7
pransiya	37532	-8.98	0	0	2081	182	15	2	2	6190	73	12	3	2	8
komyun	37326	-9.86	0	0	351	47	2	1	1	911	12	1	1	1	6
departamento	37205	-14.78	0	0	817	174	6	1	1	361	49	4	2	2	12
nahimutang	36988	-12.48	0	0	691	109	6	5	3	204	144	56	7	2	10
molupyo	36855	-11.64	0	0	1478	204	20	2	1	361	13	2	1	1	7
alibangbang	34188	-12.7	0	0	1863	239	14	1	1	204	144	56	2	1	11
cerambycidae	33846	-10.87	0	0	2004	175	97	48	5	2224	1557	1300	1298	62	12
isda	32854	-7.35	2	2	397	80	1	1	1	6190	168	1	1	1	4
nahiubos	30332	-12.7	0	0	691	109	6	5	1	6190	66	6	2	1	8
ascomycota	28710	-10.46	0	0	1863	101	16	5	1	6190	793	50	5	5	10
krustaseo	27967	-13.75	0	0	351	32	1	1	1	361	10	1	1	1	9
ulod	27093	-6.87	0	1	162	21	7	2	2	185	21	2	2	2	4
alasiwsiw	27013	-13.61	0	0	1863	239	15	5	1	33	2	1	1	1	9
ichneumonidae	24752	-11.91	0	0	397	17	10	3	3	2224	1557	1300	1298	142	13
kalabotan	20887	-10.68	0	0	351	97	5	1	1	911	190	14	3	3	9
holmigas	20885	-10.62	0	0	960	139	33	7	2	6190	124	11	4	2	8
kinaminosang	20873	-12.99	0	0	351	39	19	5	1	204	144	56	2	1	12
