word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
لە	31875	-2.84	84	100	677	320	320	320	320	2978	48	48	48	48	2
و	28848	-4.3	0	31	581	581	581	581	581	430	430	430	430	430	1
بە	13972	-2.99	88	108	1872	713	713	713	713	2978	31	31	31	31	2
کە	10536	-2.51	84	103	1277	235	235	235	235	2978	275	275	275	275	2
ی	7913	-4.3	0	46	363	363	363	363	363	6239	6239	6239	6239	6239	1
بۆ	7020	-3.83	56	68	1872	85	85	85	85	210	4	4	4	4	2
ساڵی	5412	-3.98	42	49	1056	157	41	8	8	6239	87	38	5	5	4
دا	4152	-2.19	68	96	1562	319	319	319	319	1310	548	548	548	548	2
له	3932	-4.05	86	103	677	2	2	2	2	932	26	26	26	26	2
ئەو	3405	-3.93	30	39	1514	588	80	80	80	430	38	3	3	3	3
ئەم	3337	-3.34	36	40	1514	588	72	72	72	349	78	2	2	2	3
به	3242	-3.78	90	111	1872	4	4	4	4	932	30	30	30	30	2
بووە	3125	-3.76	26	34	1872	101	44	5	5	2978	804	85	10	10	4
بوو	2933	-3.37	44	54	1872	101	44	44	44	430	172	55	55	55	3
یان	2433	-3.05	60	86	363	142	24	24	24	2395	1375	314	314	314	3
ئەنجومەنی	2243	-8.35	0	0	1514	588	77	19	6	6239	1461	29	11	2	9
ژمارەی	2201	-6.18	0	5	112	20	18	18	12	6239	791	53	20	2	6
بڕیارنامەی	2160	-10.48	0	0	1872	45	17	13	13	6239	791	28	20	17	10
وه	2054	-4.03	92	116	581	2	2	2	2	932	100	100	100	100	2
ئاسایش	2038	-7.04	2	4	1514	507	55	17	9	198	81	4	1	1	6
وە	2025	-2.46	90	114	581	142	142	142	142	2978	804	804	804	804	2
ده	1934	-4.02	88	97	1562	2	2	2	2	932	52	52	52	52	2
کەس	1932	-4.85	24	29	1277	235	41	41	41	215	13	5	5	5	3
ئه	1839	-4.37	74	77	1514	1	1	1	1	932	7	7	7	7	2
لەگەڵ	1633	-6.84	4	5	677	320	12	9	6	143	15	3	2	1	5
زۆر	1564	-3.71	22	30	434	42	40	40	40	737	41	3	3	3	3
شاری	1514	-3.59	60	67	562	165	68	2	2	6239	633	231	6	6	4
هه	1461	-4.34	74	81	317	1	1	1	1	932	12	12	12	12	2
بەڵام	1426	-6.1	8	9	1872	713	23	3	1	349	68	3	2	1	5
خۆی	1378	-3.4	40	47	553	106	17	17	17	6239	60	12	12	12	3
سه	1353	-4.32	94	104	1056	1	1	1	1	932	21	21	21	21	2
ناوی	1353	-3.81	44	53	1025	348	138	7	7	6239	182	72	11	11	4
وەک	1350	-4.59	20	24	581	142	3	3	3	464	95	6	6	6	3
سەر	1287	-3.03	36	46	1056	330	198	198	198	737	217	17	17	17	3
دانیشتووانی	1263	-9.18	0	0	1562	319	65	23	16	6239	1461	978	58	4	11
كه	1198	-4.36	78	89	148	1	1	1	1	932	33	33	33	33	2
دوای	1195	-4.42	10	21	1562	146	40	15	15	6239	291	39	5	5	4
کرد	1189	-3.47	24	33	1277	131	51	51	51	348	83	27	27	27	3
ر	1189	-4.3	0	29	453	453	453	453	453	737	737	737	737	737	1
تا	1132	-3.22	62	80	749	178	178	178	178	1310	43	43	43	43	2
م	1127	-4.3	0	29	1032	1032	1032	1032	1032	349	349	349	349	349	1
زمانی	1126	-4.43	16	22	434	23	22	22	2	6239	1461	978	49	6	5
لەسەر	1120	-4.81	8	11	677	320	28	18	14	737	217	17	6	2	5
شارستانی	1067	-6.59	0	1	562	165	68	10	10	6239	1461	978	39	23	8
ھەیە	1065	-4.66	12	15	698	328	9	3	3	2978	421	97	1	1	4
لەو	1062	-4.44	36	41	677	320	34	34	34	430	38	2	2	2	3
کوردستان	1062	-6.77	0	1	1277	152	68	51	16	2395	1375	57	41	6	8
ھەر	1026	-3.55	34	38	698	328	53	53	53	737	217	5	5	5	3
پێی	1015	-3.58	42	47	1010	304	12	12	12	6239	39	3	3	3	3
دوو	1005	-3.36	40	48	1562	146	67	67	67	430	172	19	19	19	3
که	990	-4.19	86	95	1277	2	2	2	2	932	24	24	24	24	2
دە	977	-2.52	86	104	1562	668	668	668	668	2978	115	115	115	115	2
یه	961	-4.35	96	114	363	1	1	1	1	932	99	99	99	99	2
یەکێک	925	-5.77	2	6	363	114	78	11	6	464	145	10	3	3	5
بنەماڵەدا	897	-9.91	0	0	1872	82	30	18	18	1310	548	92	2	2	9
ئەوەی	869	-3.86	16	20	1514	588	80	20	5	6239	791	130	91	3	5
ناوچەی	868	-5.31	2	6	1025	348	138	25	20	6239	791	10	4	3	6
ئینگلیزی	863	-7.28	0	2	1514	210	52	22	21	6239	117	15	4	3	8
وڵاتی	858	-4.68	12	18	581	37	30	28	3	6239	384	62	16	6	5
بوون	825	-3.83	20	28	1872	101	44	15	15	2395	122	68	37	37	4
پارێزگای	822	-7.57	0	1	1010	224	61	16	16	6239	291	29	3	1	8
گه	804	-4.33	76	85	622	1	1	1	1	932	40	40	40	40	2
کردووە	799	-5.08	12	15	1277	131	51	14	8	2978	804	85	29	20	6
یەکەم	799	-5.47	6	11	363	114	78	18	10	349	78	14	8	5	5
بێ	788	-3.52	70	80	1872	59	59	59	59	294	16	16	16	16	2
ئە	784	-3.85	72	81	1514	588	588	588	588	2978	3	3	3	3	2
دەکات	780	-4.65	24	27	1562	668	47	7	3	777	137	22	11	8	5
سەرژمێریی	756	-8.3	0	0	1056	330	198	4	4	6239	384	48	4	1	9
