word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
a	1997349	-4.3	0	39	552	552	552	552	552	1648	1648	1648	1648	1648	1
v	1972070	-4.3	0	18	1552	1552	1552	1552	1552	135	135	135	135	135	1
se	1216464	-3.05	70	81	1942	178	178	178	178	1399	37	37	37	37	2
na	1059868	-2.27	60	69	1115	300	300	300	300	1648	341	341	341	341	2
je	845168	-2.51	56	67	507	181	181	181	181	1399	203	203	203	203	2
z	499970	-4.3	0	11	1137	1137	1137	1137	1137	53	53	53	53	53	1
s	474640	-4.3	0	33	1942	1942	1942	1942	1942	281	281	281	281	281	1
do	461709	-3.59	42	51	1005	330	330	330	330	1001	10	10	10	10	2
byl	361925	-4.21	6	11	683	39	8	8	8	903	9	6	6	6	3
ve	359609	-3.57	48	53	1552	146	146	146	146	1399	18	18	18	18	2
roce	324656	-4.25	8	9	749	325	10	1	1	1399	405	9	2	2	4
i	319224	-4.3	0	28	248	248	248	248	248	1087	1087	1087	1087	1087	1
jako	292652	-4.69	10	14	507	115	30	9	9	1001	69	1	1	1	4
o	290949	-4.3	0	21	1047	1047	1047	1047	1047	1001	1001	1001	1001	1001	1
roku	279678	-4.39	16	20	749	325	8	1	1	1736	246	16	5	5	4
k	273247	-4.3	0	23	1112	1112	1112	1112	1112	365	365	365	365	365	1
od	263507	-3.32	34	46	1047	196	196	196	196	253	44	44	44	44	2
po	254646	-3.97	36	42	2845	987	987	987	987	1001	3	3	3	3	2
pro	246805	-3.73	2	7	2845	595	331	331	331	1001	18	1	1	1	3
byla	211473	-4.86	8	9	683	39	8	1	1	1648	415	4	4	4	4
jeho	210833	-5.39	2	3	507	181	3	2	2	1001	457	4	1	1	4
za	209255	-3.43	42	47	1137	351	351	351	351	1648	10	10	10	10	2
jsou	197148	-5.78	4	4	507	5	1	1	1	1736	489	5	2	2	4
že	193129	-3.53	36	38	140	35	35	35	35	1399	40	40	40	40	2
který	153638	-7.0	6	7	1112	12	11	10	4	471	9	4	3	2	5
které	151769	-7.16	4	5	1112	12	11	10	4	947	8	3	2	2	5
ale	148892	-4.5	18	25	552	61	14	14	14	1399	131	6	6	6	3
také	148163	-5.45	6	7	755	80	23	1	1	947	310	3	1	1	4
nebo	142124	-6.24	4	6	1115	343	19	3	3	1001	3	2	2	2	4
až	136571	-6.25	44	45	552	1	1	1	1	68	1	1	1	1	2
u	132312	-4.3	0	23	420	420	420	420	420	1736	1736	1736	1736	1736	1
bylo	126467	-4.95	6	7	683	39	8	1	1	1001	177	3	3	3	4
to	110561	-3.64	48	56	755	59	59	59	59	1001	54	54	54	54	2
která	108568	-7.45	4	4	1112	12	11	10	1	535	16	3	2	2	5
první	106646	-4.75	2	4	2845	595	15	7	6	2043	1004	62	1	1	5
mezi	106431	-5.33	2	3	956	94	15	11	11	1087	18	1	1	1	4
při	103706	-3.1	6	7	2845	609	146	146	146	1087	34	1	1	1	3
ze	98431	-3.37	44	50	1137	59	59	59	59	1399	58	58	58	58	2
zde	97178	-5.04	14	16	1137	42	7	7	7	1399	33	1	1	1	3
letech	96258	-6.14	4	5	501	129	48	14	14	904	839	86	23	2	6
kde	95384	-5.02	12	14	1112	10	2	2	2	1399	33	3	3	3	3
však	94201	-6.57	2	3	1552	21	1	1	1	365	20	2	2	2	4
tak	92855	-4.94	12	19	755	80	23	23	23	365	20	2	2	2	3
byly	91944	-4.65	8	9	683	39	8	1	1	1502	169	4	3	3	4
má	88922	-4.24	54	57	956	8	8	8	8	535	15	15	15	15	2
století	84056	-7.27	2	3	1942	452	29	6	3	2043	133	12	4	1	7
si	82088	-3.5	64	76	1942	64	64	64	64	1087	19	19	19	19	2
let	78667	-4.17	24	31	501	129	48	48	48	811	50	5	5	5	3
podle	76129	-5.34	2	3	2845	987	146	8	3	1399	131	8	1	1	5
své	71258	-3.94	2	4	1942	112	4	4	4	947	156	1	1	1	3
již	67606	-4.6	12	14	507	88	6	6	6	68	7	1	1	1	3
jejich	67565	-7.7	2	3	507	181	11	2	2	904	839	15	2	1	6
později	67370	-7.09	0	0	2845	987	55	11	6	1087	38	10	4	2	7
