word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
çулхи	10074	-5.12	10	10	1028	252	84	3	3	1683	58	7	2	1	5
юханшыв	9563	-7.81	0	2	213	43	20	17	16	414	4	3	1	1	7
тата	7804	-4.86	18	26	1704	312	29	9	9	2804	166	18	3	3	4
çулта	7603	-4.68	18	22	1028	252	84	12	11	2804	166	12	3	1	5
кĕрет	7021	-5.29	10	12	1993	186	54	25	2	530	144	26	4	2	5
раççей	6622	-6.83	6	7	498	140	14	12	11	370	74	2	1	1	6
бассейнĕ	6549	-9.32	0	1	468	140	11	6	5	1517	231	1	1	1	8
чăваш	5257	-5.44	6	9	564	63	18	17	17	231	67	9	2	1	5
çын	5140	-3.45	12	14	1028	176	26	26	26	2723	16	2	2	2	3
вырнаçнă	4811	-8.01	0	0	960	96	64	15	14	721	279	8	3	1	8
пурăнан	4766	-6.83	2	4	1972	392	75	25	23	2723	609	2	1	1	7
халăх	4284	-4.68	2	4	1054	248	56	19	19	438	102	83	13	2	5
патшалăх	4059	-6.91	0	0	1972	433	83	45	38	438	102	83	13	1	8
уйăхĕн	3733	-5.04	8	10	570	79	35	22	10	2723	346	41	24	2	6
атăл	3489	-6.32	6	8	1132	69	14	11	11	312	17	1	1	1	4
пулнă	3479	-4.83	12	13	1972	392	103	10	4	721	279	16	2	1	5
кĕçĕн	3410	-5.9	0	1	1993	186	6	3	3	2723	346	13	3	1	5
шыв	3360	-4.28	0	2	472	42	35	35	35	414	4	3	3	3	3
мĕш	3337	-4.2	10	13	857	28	17	17	17	231	37	24	24	24	3
хыççăн	3310	-6.73	6	7	1054	66	13	4	3	2723	322	12	2	1	6
облаçĕ	3263	-6.48	2	5	301	43	20	20	18	1517	289	5	3	2	6
км	3208	-4.72	42	50	1993	3	3	3	3	1140	3	3	3	3	2
кунта	3109	-5.26	6	10	1993	299	35	5	3	2804	166	24	2	1	5
пурăннă	3100	-5.9	12	12	1972	392	75	25	23	721	279	57	26	9	7
тăршшĕ	2984	-6.14	6	6	1704	239	96	8	7	1517	65	4	2	1	6
те	2980	-3.27	54	63	1704	231	231	231	231	2886	39	39	39	39	2
юхса	2968	-5.49	4	4	213	43	1	1	1	2804	280	7	1	1	4
юхать	2954	-4.72	4	4	213	43	20	1	1	471	233	188	7	1	5
ял	2880	-3.46	32	39	248	53	53	53	53	312	11	11	11	11	2
вăл	2866	-4.48	12	14	960	161	7	7	7	312	17	6	6	6	3
республикин	2811	-11.03	0	0	498	159	22	17	17	2723	284	32	7	1	11
бассейн	2800	-8.35	0	1	468	140	11	6	5	2723	21	12	4	2	7
юханшывăн	2791	-8.13	0	0	213	43	20	17	16	2723	322	25	3	3	9
мĕшĕ	2740	-4.57	6	10	857	28	17	11	11	1517	65	16	5	5	4
юханшыва	2721	-7.93	0	1	213	43	20	17	16	2804	144	3	3	1	8
территоринчи	2719	-10.89	0	0	1704	231	46	18	16	1683	137	123	25	6	12
территорипе	2710	-9.87	0	0	1704	231	46	18	16	2886	617	190	22	3	11
хыпарĕпе	2708	-6.83	0	0	1054	66	20	19	19	2886	617	188	18	4	8
реестрĕн	2699	-9.46	0	0	498	159	2	2	2	2723	346	42	5	3	8
пушкăрт	2692	-6.61	2	2	1972	392	33	15	9	530	48	6	1	1	7
тури	2687	-3.92	22	28	1704	322	88	6	6	1683	308	19	6	6	4
тĕлне	2586	-4.99	12	14	1704	213	32	3	3	2886	1048	23	2	1	5
та	2552	-2.74	60	76	1704	312	312	312	312	2804	166	166	166	166	2
вырăн	2540	-4.06	2	5	960	96	64	38	26	2723	322	36	1	1	5
кăрлачăн	2519	-9.42	0	0	1993	162	12	5	5	2723	322	3	1	1	8
районĕнче	2308	-7.95	0	0	498	140	39	34	33	2886	460	452	217	14	9
районĕ	2303	-6.45	6	9	498	140	39	34	33	1517	231	9	1	1	6
районне	2272	-7.33	2	3	498	140	39	34	33	2886	1048	34	4	1	7
мĕшĕнче	2214	-5.28	8	10	857	28	17	11	6	2886	460	452	217	17	7
динамики	2168	-10.01	0	0	348	74	5	2	2	1683	117	19	2	1	8
кĕнĕ	2136	-4.78	18	19	1993	186	26	1	1	1517	231	4	1	1	4
тĕп	2102	-4.67	26	29	1704	213	52	52	52	71	5	1	1	1	3
кочĕ	2068	-5.14	4	4	1993	349	3	1	1	1517	137	5	1	1	4
çул	2068	-3.66	30	34	1028	252	84	84	84	312	31	2	2	2	3
чулман	2047	-6.26	8	9	564	90	20	1	1	2723	609	76	4	2	6
почтă	2037	-6.7	2	2	1972	160	4	4	3	721	23	1	1	1	5
обь	2033	-5.09	2	3	301	43	1	1	1	471	1	1	1	1	3
индексĕ	2020	-9.46	0	1	581	95	20	3	2	1517	28	3	2	1	7
окато	2004	-7.38	0	0	301	51	5	1	1	356	27	6	1	1	5
çак	1897	-4.07	32	35	1028	165	18	18	18	496	83	1	1	1	3
печора	1826	-8.65	2	2	1972	119	4	1	1	2804	399	18	1	1	6
пулса	1790	-4.98	14	17	1972	392	103	3	3	2804	280	15	2	1	5
ăна	1767	-3.99	20	28	149	29	1	1	1	2804	323	64	64	64	3
пĕр	1715	-3.45	30	32	1972	196	89	89	89	681	62	9	9	9	3
хула	1679	-4.3	26	31	1054	285	38	17	17	2804	194	13	3	3	4
чи	1640	-2.72	44	50	564	75	75	75	75	1683	137	137	137	137	2
округĕне	1622	-8.58	0	2	301	51	9	9	9	2886	1048	15	1	1	8
пин	1609	-3.73	28	34	1972	117	16	16	16	2723	284	8	8	8	3
республики	1557	-10.37	0	0	498	159	22	17	17	1683	117	19	3	2	10
пĕрремĕш	1510	-9.16	0	1	1972	196	89	12	9	231	37	24	3	3	8
çурçĕр	1477	-6.57	4	6	1028	252	82	13	12	681	62	7	2	1	6
унăн	1442	-5.6	6	7	570	42	1	1	1	2723	322	42	1	1	4
аслă	1442	-5.12	10	11	1132	96	11	4	4	721	293	8	2	2	4
çуралнă	1437	-7.13	10	10	1028	252	82	18	11	721	279	16	5	3	7
çулсенче	1421	-5.68	0	1	1028	252	84	12	12	2886	460	452	136	128	8
ку	1410	-3.81	48	61	1993	299	299	299	299	148	5	5	5	5	2
районĕнчи	1382	-8.64	0	0	498	140	39	34	33	1683	137	123	77	7	9
е	1340	-4.3	0	22	212	212	212	212	212	2886	2886	2886	2886	2886	1
çĕнĕ	1305	-4.88	16	17	1028	146	38	7	7	1517	231	4	1	1	4
йышĕ	1300	-4.23	2	4	276	76	43	7	7	1517	65	1	1	1	4
кĕриччен	1292	-8.31	0	0	1993	186	54	2	2	2723	898	220	28	15	8
пур	1291	-3.85	38	43	1972	392	75	75	75	681	34	5	5	5	3
пулать	1291	-5.04	10	12	1972	392	103	13	3	471	233	188	35	3	6
