word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
yn	271765	-3.34	32	47	387	35	35	35	35	2506	339	339	339	339	2
y	171703	-4.3	0	18	387	387	387	387	387	487	487	487	487	487	1
a	147926	-4.3	0	34	1452	1452	1452	1452	1452	1009	1009	1009	1009	1009	1
r	136801	-4.3	0	21	731	731	731	731	731	1660	1660	1660	1660	1660	1
o	124932	-4.3	0	30	350	350	350	350	350	770	770	770	770	770	1
i	110694	-4.3	0	37	275	275	275	275	275	805	805	805	805	805	1
mae	77153	-4.42	36	46	1060	369	27	27	27	900	28	1	1	1	3
ar	66038	-2.94	62	87	1452	293	293	293	293	1660	125	125	125	125	2
yr	65759	-3.91	44	52	387	5	5	5	5	1660	254	254	254	254	2
ei	56573	-4.38	68	82	598	74	74	74	74	805	11	11	11	11	2
n	52852	-4.3	0	15	539	539	539	539	539	2506	2506	2506	2506	2506	1
ac	44841	-3.75	52	66	1452	57	57	57	57	157	23	23	23	23	2
gan	36030	-3.21	62	73	2024	312	59	59	59	2506	425	30	30	30	3
yw	34616	-5.02	26	34	387	1	1	1	1	216	42	42	42	42	2
au	33020	-2.94	60	69	1452	25	25	25	25	1661	1154	1154	1154	1154	2
oedd	24123	-3.93	16	20	350	20	9	4	4	3261	1375	301	146	146	4
sy	21279	-4.34	44	51	1125	87	87	87	87	487	2	2	2	2	2
fel	20464	-3.78	26	31	975	147	13	13	13	1432	163	12	12	12	3
yng	20138	-4.56	8	11	387	35	14	14	14	907	127	5	5	5	3
wedi	20103	-4.88	10	13	534	120	12	1	1	805	104	17	1	1	4
roedd	19634	-4.17	2	5	731	115	9	5	4	3261	1375	301	146	24	5
ydy	19210	-5.94	6	11	387	11	6	6	6	487	44	2	2	2	3
am	17742	-2.95	56	71	1452	130	130	130	130	322	90	90	90	90	2
lloegr	17064	-8.58	0	3	1003	475	31	6	2	1660	8	2	2	2	6
ym	16979	-3.58	38	43	387	179	179	179	179	322	15	15	15	15	2
ôl	16881	-4.68	20	26	1	1	1	1	1	1432	7	7	7	7	2
mewn	16676	-5.08	4	6	1060	199	12	11	11	2506	85	2	1	1	4
neu	16601	-5.09	16	19	539	109	5	5	5	1661	13	1	1	1	3
un	16436	-3.37	32	44	160	61	61	61	61	2506	50	50	50	50	2
enw	16408	-5.03	8	11	598	78	19	19	19	216	13	8	8	8	3
gyda	16190	-5.61	0	2	2024	387	15	3	3	1009	74	2	1	1	4
cc	15463	-4.88	44	47	2381	2	2	2	2	157	3	3	3	3	2
ganrif	14216	-7.25	2	2	2024	312	59	3	2	274	39	21	2	2	6
pentref	13836	-7.01	2	5	1048	246	108	13	8	274	41	31	17	8	7
