word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
i	1551285	-4.3	0	29	603	603	603	603	603	230	230	230	230	230	1
og	1241391	-4.44	42	50	769	3	3	3	3	1032	64	64	64	64	2
af	808804	-3.23	52	60	1126	179	179	179	179	92	21	21	21	21	2
en	688872	-2.62	38	61	615	106	106	106	106	2456	1649	1649	1649	1649	2
er	596982	-2.81	58	71	615	71	71	71	71	2663	2233	2233	2233	2233	2
til	562597	-3.75	26	31	995	225	156	156	156	528	62	13	13	13	3
den	523913	-3.2	52	58	780	186	9	9	9	2456	1649	220	220	220	3
at	522776	-3.71	54	73	1126	38	38	38	38	2677	90	90	90	90	2
som	464698	-3.96	26	30	2218	121	16	16	16	311	62	12	12	12	3
på	449152	-3.42	34	36	885	44	44	44	44	53	9	9	9	9	2
for	409143	-2.77	32	40	1630	658	544	544	544	2663	105	10	10	10	3
med	409136	-3.81	30	35	1124	195	62	62	62	902	182	13	13	13	3
det	385822	-3.44	38	45	780	186	12	12	12	2677	1313	136	136	136	3
var	359659	-3.89	34	39	684	114	36	36	36	2663	81	7	7	7	3
blev	354995	-5.35	4	6	1473	82	5	3	3	167	27	17	4	4	4
han	348658	-3.72	42	54	1003	198	45	45	45	2456	137	10	10	10	3
de	345469	-2.47	50	69	780	186	186	186	186	4827	1123	1123	1123	1123	2
der	343447	-3.08	42	50	780	186	23	23	23	2663	2233	287	287	287	3
et	267024	-2.97	48	64	615	30	30	30	30	2677	1313	1313	1313	1313	2
fra	257224	-3.85	12	15	1630	240	42	42	42	487	58	12	12	12	3
har	195922	-3.99	46	52	1003	198	28	28	28	2663	81	2	2	2	3
ved	177545	-3.94	30	34	684	186	20	20	20	902	182	14	14	14	3
om	128206	-3.3	50	59	769	97	97	97	97	311	62	62	62	62	2
ikke	126750	-4.99	0	1	603	4	1	1	1	4827	437	48	10	10	4
men	125319	-2.94	42	48	1124	195	37	37	37	2456	1649	59	59	59	3
efter	125063	-4.25	4	4	615	51	43	43	43	2663	2233	386	22	6	5
også	112675	-8.08	0	0	769	3	2	1	1	53	7	1	1	1	4
sig	112107	-3.95	28	34	2218	106	19	19	19	1032	221	3	3	3	3
havde	100241	-5.92	6	7	1003	198	23	1	1	4827	1123	2	1	1	5
hvor	96130	-5.0	2	4	1003	48	17	17	17	2663	105	5	1	1	4
eller	92873	-4.69	6	12	615	72	10	5	2	2663	2233	190	60	11	5
hans	88078	-4.08	18	21	1003	198	45	4	4	1716	295	23	1	1	4
kan	87737	-3.9	42	49	1242	218	29	29	29	2456	137	5	5	5	3
sin	84338	-4.46	46	53	2218	106	16	16	16	2456	119	5	5	5	3
da	82490	-3.35	58	72	780	138	138	138	138	487	23	23	23	23	2
under	81324	-3.88	6	10	672	140	82	65	65	2663	2233	287	63	12	5
år	73612	-3.3	36	49	72	41	41	41	41	2663	41	41	41	41	2
første	70987	-5.81	2	4	1630	58	20	7	7	4827	498	118	16	6	6
over	69587	-3.06	10	17	769	150	147	140	140	2663	2233	85	18	18	4
man	69366	-3.51	52	58	1124	315	46	46	46	2456	137	17	17	17	3
to	67257	-3.6	44	55	995	90	90	90	90	230	29	29	29	29	2
hun	60677	-4.68	26	30	1003	78	16	16	16	2456	18	1	1	1	3
mod	60021	-3.49	26	32	1124	195	58	58	58	902	41	6	6	6	3
så	54042	-3.67	52	59	2218	18	18	18	18	53	7	7	7	7	2
a	53833	-4.3	0	33	1126	1126	1126	1126	1126	487	487	487	487	487	1
fik	53355	-3.91	12	17	1630	126	4	4	4	562	93	4	4	4	3
s	52072	-4.3	0	35	2218	2218	2218	2218	2218	1716	1716	1716	1716	1716	1
erne	50904	-4.04	12	19	615	71	6	3	3	4827	664	351	335	335	4
