word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
der	20205946	-3.27	36	41	721	166	16	16	16	1783	1416	124	124	124	3
die	15863590	-3.86	16	20	721	150	40	40	40	3446	161	12	12	12	3
und	14459277	-3.6	12	20	382	228	3	3	3	521	253	31	31	31	3
in	11623028	-2.85	40	60	402	237	237	237	237	5243	208	208	208	208	2
von	7292046	-4.03	26	28	1037	218	2	2	2	5243	354	5	5	5	3
den	5770947	-2.85	40	46	721	166	24	24	24	5243	4133	277	277	277	3
im	5723699	-3.89	60	68	402	18	18	18	18	381	29	29	29	29	2
des	5042783	-3.76	24	28	721	166	11	11	11	1511	367	41	41	41	3
er	4815356	-2.3	60	75	1249	400	400	400	400	1783	1416	1416	1416	1416	2
das	4749439	-4.71	30	35	721	124	4	4	4	1511	55	3	3	3	3
mit	4748748	-3.41	22	25	966	182	71	71	71	2369	189	5	5	5	3
ist	3918905	-4.65	10	15	402	32	2	2	2	2369	156	33	33	33	3
wurde	3769413	-6.75	4	5	751	19	6	2	2	3446	259	18	1	1	5
dem	3754947	-4.41	18	22	721	166	22	22	22	381	66	11	11	11	3
als	3735154	-3.9	16	21	1575	125	3	3	3	1511	87	27	27	27	3
zu	3452540	-3.67	28	33	413	165	165	165	165	112	8	8	8	8	2
ein	3373113	-3.33	24	39	1249	296	238	238	238	5243	208	63	63	63	3
auf	3305534	-3.38	8	13	1575	442	160	160	160	182	29	23	23	23	3
eine	3258967	-4.12	8	23	1249	296	238	7	7	3446	219	60	25	25	4
für	3193135	-4.79	8	10	901	47	13	13	13	1783	5	4	4	4	3
sich	2909047	-4.12	8	11	1940	124	21	21	21	570	473	222	1	1	4
an	2716191	-2.9	52	72	1575	356	356	356	356	5243	134	134	134	134	2
war	2607349	-3.91	28	38	751	150	27	27	27	1783	96	2	2	2	3
nach	2568898	-4.0	12	15	567	178	61	58	58	570	473	47	6	6	4
auch	2354672	-4.33	8	11	1575	442	2	1	1	570	473	37	9	9	4
am	2155591	-3.64	72	86	1575	53	53	53	53	381	39	39	39	39	2
aus	2120737	-2.81	18	25	1575	442	209	209	209	1511	169	53	53	53	3
bei	2073036	-4.2	12	18	1600	837	38	38	38	160	51	6	6	6	3
sie	2072178	-3.97	20	25	1940	124	34	34	34	3446	161	3	3	3	3
bis	2029095	-4.34	22	26	1600	93	20	20	20	1511	106	1	1	1	3
es	1667168	-3.6	56	66	1249	20	20	20	20	1511	367	367	367	367	2
zum	1635805	-4.4	8	10	413	165	4	4	4	381	125	1	1	1	3
einer	1625550	-4.79	6	14	1249	296	238	7	2	1783	1416	101	25	9	5
durch	1528167	-5.17	2	3	721	67	44	40	40	570	473	11	6	5	5
werden	1361390	-5.65	22	24	751	262	37	6	6	5243	4133	277	19	5	6
sind	1361197	-5.11	14	15	1940	124	22	1	1	521	253	6	1	1	4
nicht	1300275	-5.17	10	12	567	84	13	4	3	2369	193	156	61	1	5
wird	1293635	-5.21	14	15	751	177	39	1	1	521	63	3	1	1	4
einem	1258158	-6.16	6	10	1249	296	238	7	1	381	66	9	5	5	5
zur	1203143	-4.06	22	25	413	165	24	24	24	1783	65	2	2	2	3
über	1154136	-3.39	8	8	140	139	126	124	124	1783	1416	54	5	5	4
oder	1148164	-5.36	8	10	327	3	3	1	1	1783	1416	124	1	1	4
einen	1103898	-4.1	12	20	1249	296	238	7	1	5243	4133	282	26	16	5
um	1084014	-2.85	44	51	382	76	76	76	76	381	125	125	125	125	2
wurden	996723	-6.7	10	11	751	19	6	2	2	5243	4133	277	19	2	6
unter	951368	-4.69	8	10	382	228	121	121	120	1783	1416	279	21	6	5
dass	925794	-5.07	10	11	721	124	4	2	2	1511	89	15	2	2	4
wie	870413	-3.82	14	19	751	177	38	38	38	3446	161	2	2	2	3
