word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
του	870921	-3.6	24	30	786	119	31	31	31	655	640	43	43	43	3
και	867583	-3.23	16	19	1570	627	18	18	18	1458	456	1	1	1	3
το	774856	-3.18	34	46	786	119	119	119	119	1097	118	118	118	118	2
της	588756	-3.94	16	19	786	25	1	1	1	4843	578	78	78	78	3
την	446689	-6.02	20	24	786	25	1	1	1	2245	9	2	2	2	3
η	446402	-4.3	0	8	156	156	156	156	156	1220	1220	1220	1220	1220	1
από	421484	-4.2	8	10	2296	443	48	48	48	674	6	1	1	1	3
ο	406263	-4.3	0	14	565	565	565	565	565	1097	1097	1097	1097	1097	1
με	380688	-3.17	34	40	1181	324	324	324	324	1099	31	31	31	31	2
τον	259884	-4.35	34	40	786	119	4	4	4	2245	81	26	26	26	3
να	258415	-3.15	28	39	444	62	62	62	62	2142	183	183	183	183	2
που	253878	-3.36	18	22	2186	248	12	12	12	655	640	22	22	22	3
στην	253068	-5.8	12	14	1598	274	12	1	1	2245	9	2	1	1	4
των	230602	-4.17	16	20	786	3	1	1	1	2245	571	105	105	105	3
σε	225613	-2.88	40	50	1598	67	67	67	67	1099	355	355	355	355	2
στο	223555	-3.78	14	20	1598	274	23	23	23	1097	118	12	12	12	3
για	216780	-4.02	12	15	550	60	15	15	15	2142	289	10	10	10	3
είναι	212351	-7.29	6	6	1786	22	1	1	1	1458	456	3	1	1	5
τα	196607	-3.11	42	48	786	88	88	88	88	2142	346	346	346	346	2
οι	174255	-3.13	36	39	565	51	51	51	51	1458	164	164	164	164	2
τη	157487	-3.75	30	37	786	25	25	25	25	1220	120	120	120	120	2
τους	149617	-4.03	8	11	786	119	31	1	1	4843	241	240	16	16	4
ήταν	129331	-6.35	12	13	45	6	2	2	2	2245	562	107	1	1	4
στη	119319	-3.52	10	15	1598	274	12	12	12	1220	120	18	18	18	3
στις	111310	-5.4	6	7	1598	274	8	1	1	4843	221	3	1	1	4
τις	105087	-5.46	22	25	786	29	1	1	1	4843	221	3	3	3	3
ως	98381	-4.32	16	24	19	1	1	1	1	4843	75	75	75	75	2
ένα	85037	-4.09	6	15	320	50	9	9	9	2142	183	45	45	45	3
στα	75523	-3.55	12	17	1598	274	56	56	56	2142	346	16	16	16	3
στον	75024	-4.95	12	16	1598	274	23	1	1	2245	81	26	6	6	4
μια	69894	-4.1	16	21	1181	73	6	6	6	2142	289	11	11	11	3
κατά	66123	-3.92	8	11	1570	627	282	41	41	601	70	16	1	1	4
δεν	65653	-5.68	20	22	1182	98	1	1	1	2245	28	1	1	1	3
ότι	65297	-6.53	8	9	120	5	1	1	1	1458	40	5	5	5	3
ή	63224	-4.3	0	1	45	45	45	45	45	873	873	873	873	873	1
έχει	56796	-4.71	2	3	320	11	2	2	2	1458	590	19	11	11	4
μετά	52423	-4.34	6	8	1181	324	174	14	14	601	70	4	1	1	4
είχε	52170	-6.44	8	8	1786	22	4	1	1	1099	16	7	7	7	4
ενώ	50153	-5.36	10	11	1786	177	11	11	11	12	2	1	1	1	3
αλλά	46945	-5.5	4	4	2296	113	24	6	6	601	15	2	1	1	4
όπως	44748	-5.46	4	5	120	15	1	1	1	4843	75	5	1	1	4
οποία	43819	-6.05	2	3	565	47	19	10	2	2142	513	3	1	1	5
δύο	41725	-6.03	2	2	1182	11	1	1	1	1097	2	1	1	1	3
επίσης	39943	-4.96	0	0	1786	478	42	14	9	4843	578	216	4	1	6
θα	39677	-4.37	22	25	318	31	31	31	31	2142	3	3	3	3	2
όπου	36058	-4.96	8	11	120	15	7	1	1	655	640	22	5	5	4
α	35703	-4.3	0	28	2296	2296	2296	2296	2296	2142	2142	2142	2142	2142	1
αυτό	35559	-4.34	12	15	2296	109	57	12	12	674	51	4	3	3	4
μέχρι	33336	-8.58	0	2	1181	65	2	2	2	1458	45	1	1	1	5
οποίο	30626	-6.4	2	6	565	47	19	10	6	1097	84	2	1	1	5
π	30451	-4.3	0	12	2186	2186	2186	2186	2186	29	29	29	29	29	1
αυτή	30193	-4.61	12	14	2296	109	57	3	3	873	76	3	1	1	4
καθώς	29990	-5.61	2	2	1570	627	82	1	1	4843	39	1	1	1	5
όταν	29503	-6.01	10	10	120	5	1	1	1	2245	562	107	52	52	4
μία	29492	-3.66	6	8	1181	24	2	2	2	2142	513	26	26	26	3
στους	29147	-4.63	6	8	1598	274	23	3	1	4843	241	240	16	4	5
χ	29038	-4.3	0	5	457	457	457	457	457	18	18	18	18	18	1
χρόνια	27613	-7.0	0	0	457	137	6	6	1	2142	289	25	8	4	6
όμως	26858	-5.98	2	2	120	12	1	1	1	4843	75	2	1	1	4
προς	26553	-3.01	4	6	2186	626	374	1	1	4843	700	75	3	3	4
πρώτη	26395	-5.7	4	5	2186	626	17	11	2	1220	120	5	1	1	5
έγινε	26138	-8.08	2	2	320	14	2	2	1	1099	56	15	1	1	5
μεταξύ	25210	-6.86	2	2	1181	324	174	125	5	424	3	1	1	1	6
πόλη	24834	-5.12	6	8	2186	40	13	2	2	1220	69	7	1	1	4
ένας	24551	-4.71	4	5	320	50	9	1	1	4843	878	44	5	5	4
έχουν	23501	-5.83	0	0	320	11	3	2	1	2245	232	230	14	8	5
θέση	23006	-5.05	2	3	318	30	8	2	2	1220	475	3	1	1	4
πιο	22829	-4.67	12	17	2186	60	1	1	1	1097	257	4	4	4	3
αιώνα	22189	-6.67	2	4	2296	64	5	5	2	2142	183	11	1	1	5
ομάδα	22131	-5.96	0	1	565	60	6	4	2	2142	73	15	3	3	5
αν	22040	-2.05	42	57	2296	643	643	643	643	2245	562	562	562	562	2
β	21995	-4.3	0	5	548	548	548	548	548	12	12	12	12	12	1
the	21442	-4.43	2	6	62	18	7	7	7	193	6	2	2	2	3
μπορεί	21298	-6.46	0	1	1181	139	30	15	3	416	257	13	5	1	6
περιοχή	21084	-6.77	0	1	2186	291	199	144	35	873	30	18	1	1	7
βρίσκεται	20113	-8.71	0	0	548	76	7	7	7	1458	456	448	221	5	9
περίοδο	19490	-8.15	0	2	2186	291	199	25	3	1097	27	13	1	1	7
μόνο	19305	-5.14	12	15	1181	34	18	4	4	1097	143	10	1	1	4
πολύ	19258	-6.11	0	2	2186	248	122	10	10	424	1	1	1	1	4
τότε	19222	-5.61	2	2	786	35	2	2	2	1099	43	3	1	1	4
περίπου	19121	-7.23	0	0	2186	291	199	25	5	655	640	22	1	1	7
αργότερα	19062	-8.69	0	0	2296	224	13	2	1	2142	188	50	43	26	8
όνομα	18924	-6.7	2	2	120	7	2	2	1	2142	241	7	3	2	5
κάθε	18818	-6.03	0	0	1570	84	11	7	7	1099	14	1	1	1	4
οποίος	18755	-7.09	10	12	565	47	19	10	6	4843	700	17	1	1	6
σήμερα	18542	-8.31	0	0	1598	8	6	1	1	2142	188	50	4	2	6
έτσι	18433	-7.3	2	3	320	12	1	1	1	1458	16	7	1	1	4
μαζί	18037	-5.83	6	6	1181	192	6	1	1	416	3	3	1	1	4
μέρος	17507	-5.68	10	11	1181	65	12	2	1	4843	700	75	2	1	5
διάρκεια	17153	-8.92	0	0	1182	624	71	4	3	2142	289	52	4	2	8
σύμφωνα	17143	-7.7	4	4	1598	92	18	3	3	2142	183	19	3	1	7
είχαν	17021	-6.46	4	5	1786	22	4	3	1	2245	562	11	6	6	5
μέσα	16903	-7.1	12	12	1181	65	9	1	1	2142	46	1	1	1	4
ενός	16811	-4.43	2	3	1786	177	7	1	1	4843	300	35	4	4	4
φορά	16187	-5.13	2	5	447	45	23	2	2	601	64	18	11	11	4
μ	15267	-4.3	0	9	1181	1181	1181	1181	1181	48	48	48	48	48	1
πρωτάθλημα	15092	-9.77	0	0	2186	626	78	66	1	2142	241	59	7	2	10
ου	15005	-3.07	12	22	565	48	48	48	48	655	640	640	640	640	2
