word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
la	2489191	-2.73	54	65	789	208	208	208	208	2877	240	240	240	240	2
de	1555406	-2.84	58	73	948	287	287	287	287	1163	74	74	74	74	2
en	990220	-3.29	48	64	1083	157	157	157	157	2760	119	119	119	119	2
kaj	787844	-2.88	10	14	1867	396	5	5	5	3173	1094	66	66	66	3
estas	502222	-4.65	6	12	1083	155	70	17	1	2022	750	110	18	11	5
al	297381	-3.44	56	70	1511	260	260	260	260	179	38	38	38	38	2
estis	261525	-4.52	6	10	1083	155	70	16	1	2022	951	114	17	11	5
li	200540	-3.59	56	68	789	219	219	219	219	615	25	25	25	25	2
ĝi	154845	-4.14	44	51	56	14	14	14	14	615	29	29	29	29	2
el	152967	-3.19	50	61	1083	166	166	166	166	179	61	61	61	61	2
por	146866	-4.27	22	27	1748	254	47	47	47	253	35	1	1	1	3
kun	134779	-4.14	18	23	1867	195	68	68	68	2760	19	3	3	3	3
kiu	130003	-5.45	20	25	1867	66	4	4	4	119	9	1	1	1	3
a	128065	-4.3	0	40	1511	1511	1511	1511	1511	2877	2877	2877	2877	2877	1
kiel	123242	-6.22	8	10	1867	66	7	1	1	179	61	11	3	3	4
pri	103713	-3.76	12	17	1748	547	78	78	78	615	74	1	1	1	3
aŭ	95301	-3.63	36	41	1511	70	70	70	70	21	20	20	20	20	2
ne	91342	-2.86	60	72	609	155	155	155	155	1163	101	101	101	101	2
ankaŭ	88554	-6.97	4	4	1511	202	3	2	1	21	20	4	1	1	5
tiu	86902	-5.16	14	19	932	98	16	16	16	119	9	1	1	1	3
komunumo	84079	-6.81	0	0	1867	797	185	36	35	5391	231	28	3	2	8
dum	82510	-5.12	14	17	948	88	10	10	10	92	8	1	1	1	3
pli	80942	-4.24	10	15	1748	195	42	42	42	615	25	2	2	2	3
oni	76932	-5.44	4	9	486	18	5	5	5	615	56	13	13	13	3
ke	74253	-3.18	60	66	1867	56	56	56	56	1163	49	49	49	49	2
per	72958	-3.53	20	27	1748	217	98	98	98	253	116	3	3	3	3
laŭ	70435	-4.87	12	14	789	208	24	24	24	21	20	1	1	1	3
plej	70403	-5.63	0	2	1748	195	41	12	12	3173	9	2	2	2	4
sed	69024	-4.68	26	28	1681	307	2	2	2	186	18	1	1	1	3
ĝis	67098	-3.6	14	19	56	14	5	5	5	2022	951	179	179	179	3
inter	66037	-4.95	4	6	646	376	128	122	91	253	116	31	6	2	5
an	64021	-2.71	54	75	1511	202	202	202	202	2760	481	481	481	481	2
ĉe	62073	-3.54	42	47	198	89	89	89	89	1163	8	8	8	8	2
ili	61033	-5.11	18	25	646	28	9	9	9	615	25	2	2	2	3
sur	60113	-4.47	20	22	1681	253	33	33	33	253	13	1	1	1	3
jaro	59953	-4.15	24	28	263	72	28	6	6	5391	573	143	3	3	4
post	59952	-5.3	8	10	1748	254	41	29	29	201	27	3	2	2	4
kiuj	55458	-6.15	8	11	1867	66	4	2	2	3173	8	5	1	1	4
urbo	55381	-4.7	8	11	241	46	30	14	14	5391	73	26	18	18	4
