word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
de	28101631	-2.65	64	73	1262	619	619	619	619	1725	92	92	92	92	2
la	14864558	-3.0	54	63	672	119	119	119	119	3961	204	204	204	204	2
en	12613094	-3.0	36	49	1420	237	237	237	237	1976	228	228	228	228	2
el	11903974	-3.27	44	51	1420	100	100	100	100	575	75	75	75	75	2
y	9563776	-4.3	0	7	42	42	42	42	42	232	232	232	232	232	1
a	6622388	-4.3	0	40	1893	1893	1893	1893	1893	3961	3961	3961	3961	3961	1
que	6077385	-3.72	12	13	89	87	45	45	45	1725	50	28	28	28	3
los	5321776	-3.23	20	26	672	91	3	3	3	4575	1491	81	81	81	3
del	5061497	-3.77	16	20	1262	619	35	35	35	575	75	4	4	4	3
se	4368723	-2.48	70	84	1299	271	271	271	271	1725	194	194	194	194	2
por	3684915	-3.31	18	24	1809	224	43	43	43	1185	236	2	2	2	3
un	3562197	-4.23	28	40	176	55	55	55	55	1976	8	8	8	8	2
con	3314912	-2.44	32	36	2536	1146	554	554	554	1976	374	4	4	4	3
las	3253457	-3.38	24	32	672	119	2	2	2	4575	1341	85	85	85	3
una	3227294	-4.18	14	23	176	55	4	4	4	3961	317	15	15	15	3
su	2993082	-4.44	68	78	1299	274	274	274	274	46	1	1	1	1	2
es	2595866	-2.0	50	64	1420	411	411	411	411	4575	1384	1384	1384	1384	2
como	2085007	-3.82	24	25	2536	1146	276	3	3	3607	128	13	2	2	4
al	2057650	-2.58	54	67	1893	242	242	242	242	575	342	342	342	342	2
para	2045995	-3.96	40	45	1809	362	127	27	27	3961	391	41	6	6	4
fue	1686634	-4.11	8	11	755	91	17	17	17	1725	50	1	1	1	3
más	1240653	-4.57	10	11	1237	23	5	5	5	4575	11	5	5	5	3
no	1121097	-2.66	42	55	434	116	116	116	116	3607	260	260	260	260	2
o	1064256	-4.3	0	23	472	472	472	472	472	3607	3607	3607	3607	3607	1
sus	983462	-3.88	26	30	1299	274	29	29	29	4575	38	3	3	3	3
lo	888708	-2.95	40	46	672	91	91	91	91	3607	153	153	153	153	2
entre	756379	-5.61	4	6	1420	237	69	37	25	1725	126	21	4	4	5
también	705873	-8.48	0	0	879	96	11	3	1	1976	12	3	1	1	7
este	625335	-3.87	12	16	1420	411	177	10	10	1725	576	26	12	12	4
dos	565374	-3.06	26	30	1262	109	3	3	3	4575	1491	351	351	351	3
años	554166	-4.33	2	6	1893	11	2	1	1	4575	1491	20	10	10	4
son	549743	-3.7	34	38	1299	177	16	16	16	1976	374	33	33	33	3
pero	536153	-3.87	20	25	1809	287	150	3	3	3607	253	110	3	3	4
desde	515515	-6.93	2	3	1262	619	231	1	1	1725	92	2	2	1	5
esta	515210	-3.61	12	18	1420	411	177	68	68	3961	419	130	24	24	4
hasta	503273	-5.66	8	9	555	150	3	1	1	3961	419	130	12	1	5
año	502905	-4.1	8	13	1893	11	2	2	2	3607	32	12	12	12	3
le	495151	-3.15	48	60	672	122	122	122	122	1725	137	137	137	137	2
ha	493876	-3.11	58	70	555	150	150	150	150	3961	35	35	35	35	2
durante	479829	-6.34	0	0	1262	49	18	12	3	1725	576	446	77	7	7
era	470945	-4.33	18	26	1420	33	2	2	2	3961	391	106	106	106	3
parte	461373	-4.48	8	13	1809	362	127	44	3	1725	576	28	12	7	5
sobre	460647	-5.94	4	4	1299	177	23	19	17	1725	126	28	3	1	5
donde	458734	-7.17	6	7	1262	109	13	1	1	1725	92	31	8	2	5
ser	441597	-3.73	30	35	1299	271	42	42	42	1185	263	4	4	4	3
ciudad	439409	-7.37	0	0	2536	116	7	7	7	384	203	180	1	1	6
sin	418456	-4.64	36	42	1299	174	35	35	35	1976	56	2	2	2	3
cuando	379213	-5.54	4	4	2536	160	33	4	1	3607	1124	316	188	4	6
después	378552	-7.36	0	0	1262	619	231	25	1	4575	40	3	1	1	7
está	372243	-5.97	8	11	1420	411	177	6	6	42	2	1	1	1	4
eran	368631	-5.24	4	5	1420	33	2	1	1	1976	412	35	12	12	4
primera	353337	-7.34	2	4	1809	579	55	23	7	3961	391	106	5	1	7
tiene	353161	-6.46	2	5	879	62	11	7	3	1725	76	16	11	6	5
gran	344822	-4.18	14	18	570	116	69	17	17	1976	412	35	3	3	4
ya	327085	-3.73	48	50	42	10	10	10	10	3961	27	27	27	27	2
población	325765	-7.22	0	0	1809	224	12	9	9	1976	734	627	513	349	9
había	314319	-5.48	8	10	555	150	44	2	2	3961	346	7	2	1	5
otros	312937	-6.38	2	3	472	23	4	2	1	4575	1491	125	22	2	5
e	312544	-4.3	0	32	1420	1420	1420	1420	1420	1725	1725	1725	1725	1725	1
san	310270	-3.63	44	54	1299	211	45	45	45	1976	412	13	13	13	3
the	307647	-4.42	6	11	879	29	11	11	11	1725	21	2	2	2	3
nombre	305463	-6.65	6	7	434	116	19	12	12	1725	126	28	15	4	6
uno	296919	-4.51	12	17	176	55	2	2	2	3607	260	9	9	9	3
fueron	296907	-6.09	4	5	755	91	17	10	3	1976	374	239	93	1	6
primer	291029	-6.74	0	3	1809	579	55	23	7	1185	263	7	1	1	6
cual	289486	-4.28	4	5	2536	160	33	6	6	575	342	25	2	2	4
así	288648	-5.63	10	13	1893	137	2	2	2	21	4	1	1	1	3
estado	287477	-4.44	2	5	1420	411	177	68	11	3607	1124	547	85	7	6
puede	286630	-6.21	6	8	1809	85	23	6	3	1725	92	9	2	1	5
historia	284319	-7.59	0	0	555	82	23	15	10	3961	436	89	18	13	8
muy	282589	-5.9	4	6	1237	102	1	1	1	232	3	1	1	1	3
mismo	270007	-5.1	4	5	1237	160	27	4	2	3607	128	60	58	4	5
según	268670	-6.22	0	0	1299	271	29	1	1	1976	8	4	1	1	5
encuentra	266034	-8.73	0	0	1420	237	58	8	8	3961	391	25	6	4	9
familia	261925	-7.2	0	2	755	134	11	5	5	3961	436	27	6	4	7
vez	256894	-4.44	10	11	604	173	1	1	1	120	66	3	3	3	3
forma	256061	-4.83	8	12	755	104	64	30	22	3961	123	15	7	6	5
tras	255080	-3.43	4	8	879	258	171	23	23	4575	1341	131	9	9	4
nacional	253289	-7.31	0	0	434	111	23	19	10	575	342	71	42	35	8
aunque	252519	-7.96	0	0	1893	102	2	1	1	1725	50	28	4	1	6
tres	250449	-3.78	12	13	879	258	11	2	2	4575	1384	232	8	8	4
municipio	247927	-9.28	0	0	1237	102	14	9	9	3607	302	7	2	2	9
además	245678	-7.87	0	1	1893	128	14	1	1	4575	11	5	2	2	6
km²	244550	-4.5	0	2	79	2	1	1	1	3	2	1	1	1	3
siglo	239818	-5.99	4	5	1299	174	29	4	2	3607	153	3	1	1	5
grupo	231558	-6.98	0	1	570	116	8	2	2	3607	26	4	2	2	5
mayor	230600	-5.61	4	5	1237	430	15	10	9	1185	236	2	2	2	5
estados	229630	-5.0	2	4	1420	411	177	68	11	4575	1491	351	235	41	7
todo	228589	-5.16	20	22	879	118	7	2	2	3607	1124	14	2	2	4
lugar	228515	-6.09	6	6	672	57	5	4	4	1185	532	24	3	1	5
otras	227789	-6.12	4	6	472	23	4	2	1	4575	1341	131	9	1	5
guerra	225468	-6.55	0	1	570	81	10	9	9	3961	391	20	10	3	6
sido	222000	-3.86	10	12	1299	174	6	2	2	3607	1124	182	1	1	4
general	218108	-7.54	4	5	570	104	46	29	25	575	342	47	7	3	7
tiempo	213874	-8.66	0	2	879	62	11	2	2	3607	26	5	2	1	6
habitantes	210445	-8.7	0	0	555	150	44	21	15	4575	1384	208	159	62	10
si	208398	-4.49	66	76	1299	174	174	174	174	129	3	3	3	3	2
junto	206002	-5.24	8	10	245	102	11	4	2	3607	446	176	10	4	5
han	204745	-3.83	42	50	555	150	9	9	9	1976	412	10	10	10	3
contra	204654	-4.8	2	3	2536	1146	554	127	59	3961	391	25	6	1	6
cada	204037	-3.61	22	24	2536	550	9	1	1	3961	556	335	31	31	4
nueva	203838	-6.28	6	7	434	37	12	6	3	3961	97	8	3	2	5
bajo	203524	-4.61	8	11	690	202	10	2	2	3607	47	10	5	5	4
personas	203095	-7.27	0	1	1809	287	150	24	9	4575	1341	109	8	1	8
españa	201541	-5.86	2	2	1420	411	99	18	5	3961	38	14	3	1	6
unidos	201167	-5.56	2	4	176	55	38	6	2	4575	1491	351	78	8	6
sur	196195	-4.49	22	26	1299	274	20	20	20	1185	14	2	2	2	3
ese	195834	-3.67	14	20	1420	411	5	5	5	1725	194	11	11	11	3
todos	195634	-5.73	14	15	879	118	7	2	1	4575	1491	351	8	2	5
embargo	193885	-7.67	0	0	1420	119	19	13	7	3607	100	17	6	1	7
nuevo	192832	-6.41	6	7	434	37	12	6	2	3607	91	5	2	1	5
norte	192230	-5.45	6	7	434	116	34	9	6	1725	576	28	11	1	5
vida	191140	-3.61	10	16	604	219	13	3	3	3961	556	124	4	4	4
gobierno	190445	-8.71	0	0	570	66	14	4	3	3607	260	25	13	3	8
total	190204	-6.69	0	0	879	118	4	4	4	575	342	52	2	1	5
río	189634	-4.96	12	16	1161	6	2	2	2	3607	20	7	7	7	3
mientras	188883	-6.1	0	0	1237	160	5	1	1	4575	1341	131	9	1	8
equipo	188009	-7.26	0	1	1420	14	14	14	8	3607	26	8	1	1	6
partido	184692	-5.94	2	3	1809	362	127	44	34	3607	1124	182	20	6	7
estaba	184047	-5.36	0	1	1420	411	177	68	21	3961	141	116	20	3	6
algunos	183635	-8.42	2	3	1893	242	12	5	4	4575	1491	120	2	1	7
siendo	183364	-5.44	4	4	1299	174	11	6	1	3607	1124	316	108	91	6
hacia	183102	-4.63	4	4	555	150	18	7	1	3961	436	161	14	1	5
universidad	180962	-11.54	0	0	176	55	38	10	10	384	203	180	153	10	11
serie	180436	-6.45	4	5	1299	271	42	8	2	1725	40	5	3	3	5
quien	180229	-5.11	6	6	89	87	35	7	2	1976	228	8	2	1	5
él	179777	-4.95	18	19	24	3	3	3	3	575	2	2	2	2	2
tanto	176844	-5.35	14	15	879	96	12	4	2	3607	446	176	9	2	5
c	176260	-4.3	0	27	2536	2536	2536	2536	2536	68	68	68	68	68	1
luego	175284	-6.82	6	7	672	57	1	1	1	3607	100	14	5	1	5
antes	175070	-4.34	6	8	1893	200	54	16	1	4575	1384	208	159	62	5
país	170103	-5.92	6	8	1809	362	2	2	2	4575	7	1	1	1	4
estos	166607	-4.34	8	12	1420	411	177	5	1	4575	1491	219	22	12	5
día	165801	-3.88	12	15	1262	5	3	3	3	3961	346	31	31	31	3
sólo	164736	-5.33	2	2	1299	7	5	1	1	3607	153	1	1	1	4
tenía	164046	-5.33	8	9	879	218	31	2	2	3961	346	36	7	5	5
segunda	163349	-6.89	4	5	1299	271	29	22	4	3961	556	42	3	1	7
debido	162052	-5.84	2	2	1262	619	30	9	4	3607	1124	182	8	2	6
provincia	161978	-7.54	0	0	1809	579	294	32	12	3961	436	161	123	1	9
mundo	161040	-4.1	4	6	1237	102	14	5	2	3607	1124	316	12	6	5
censo	159012	-5.81	2	3	2536	140	32	3	2	3607	129	13	9	3	5
juan	158728	-5.57	6	9	245	102	2	2	2	1976	412	3	1	1	4
álbum	158477	-8.53	2	2	43	8	2	2	2	86	10	2	2	1	5
