word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ja	481844	-2.83	50	60	633	132	132	132	132	2717	221	221	221	221	2
on	430006	-4.22	36	47	593	8	8	8	8	406	144	144	144	144	2
oli	154287	-3.86	16	22	593	123	6	6	6	2274	206	35	35	35	3
ta	145521	-2.89	58	66	1813	307	307	307	307	2717	163	163	163	163	2
ning	108750	-5.4	8	9	547	107	3	1	1	139	52	24	2	2	4
aastal	107124	-6.83	6	9	1404	77	45	38	38	917	239	10	7	5	6
ka	97641	-2.53	64	68	2575	607	607	607	607	2717	106	106	106	106	2
mis	78168	-3.17	18	25	1467	175	15	15	15	2752	478	36	36	36	3
eesti	71039	-5.06	2	6	875	114	51	28	16	2274	406	70	19	3	5
et	69753	-3.56	52	62	875	51	51	51	51	1748	91	91	91	91	2
kui	69551	-4.58	10	16	2575	336	17	17	17	2274	5	3	3	3	3
ei	59943	-4.73	64	74	875	9	9	9	9	2274	20	20	20	20	2
aasta	51815	-5.62	6	13	1404	77	45	38	38	2717	163	27	6	3	5
oma	48942	-3.7	10	18	593	81	73	73	73	2717	232	7	7	7	3
või	47654	-4.3	6	13	1541	183	116	116	116	2274	3	1	1	1	3
tema	44521	-4.41	6	11	1813	477	21	9	9	2717	232	44	1	1	4
see	43959	-4.66	22	27	1728	314	33	33	33	3621	51	3	3	3	3
i	35861	-4.3	0	30	414	414	414	414	414	2274	2274	2274	2274	2274	1
selle	34235	-5.01	10	12	1728	314	65	31	14	3621	432	24	5	1	5
sai	33752	-5.03	22	29	1728	327	6	6	6	2274	14	1	1	1	3
kuid	32974	-4.18	10	11	2575	336	17	3	3	2434	659	17	9	9	4
kes	29861	-2.89	18	23	2575	260	92	92	92	2752	585	11	11	11	3
kuni	27936	-4.09	6	8	2575	336	60	26	26	2274	329	11	2	2	4
mille	27697	-5.5	10	14	1467	175	36	24	14	3621	432	24	6	2	5
seda	26555	-4.07	16	19	1728	314	4	4	4	2717	393	36	4	4	4
pärast	26078	-5.75	0	0	1620	78	37	5	2	1748	846	147	5	3	6
kus	25543	-3.33	12	17	2575	336	6	6	6	2752	538	55	55	55	3
aga	25305	-3.79	30	37	1404	12	1	1	1	2717	409	82	82	82	3
välja	23567	-3.64	4	7	1541	251	101	61	43	2717	221	17	5	4	5
nii	22850	-5.31	10	14	547	107	24	24	24	2274	22	4	4	4	3
olid	22811	-4.71	4	6	593	123	6	1	1	2434	659	30	4	4	4
aastatel	22708	-7.81	0	1	1404	77	45	38	38	917	387	84	19	2	8
ehk	21955	-5.64	8	9	875	37	2	2	2	359	6	1	1	1	3
üle	20496	-3.14	16	21	310	119	71	71	71	3621	432	1	1	1	3
nende	20320	-6.02	0	2	547	74	8	8	8	3621	386	15	1	1	5
võib	19469	-4.82	10	11	1541	183	116	2	2	392	49	1	1	1	4
tartu	19435	-6.64	0	1	1813	307	29	6	6	702	69	1	1	1	5
aastast	19418	-6.55	8	11	1404	77	45	38	38	1748	846	147	6	4	7
mida	19070	-4.9	12	13	1467	175	3	2	2	2717	393	51	3	3	4
ajal	18912	-4.18	10	14	1404	84	76	36	36	917	239	22	13	13	4
