word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ja	1987941	-2.64	42	49	793	149	149	149	149	4796	307	307	307	307	2
on	1251772	-3.03	26	38	653	43	43	43	43	6292	476	476	476	476	2
oli	553855	-4.06	16	21	653	117	13	13	13	1714	130	12	12	12	3
hän	474375	-3.52	14	14	886	48	12	12	12	6292	375	6	6	6	3
vuonna	381094	-5.94	0	0	1461	77	77	1	1	4796	316	20	6	4	6
myös	304319	-4.98	2	2	1435	59	26	3	3	672	6	1	1	1	4
joka	234551	-5.3	14	18	793	253	26	9	9	4796	85	3	1	1	4
se	201387	-3.83	54	64	1843	218	218	218	218	836	24	24	24	24	2
ovat	192095	-4.95	6	7	653	7	3	3	3	1663	465	276	8	8	4
ei	181027	-4.97	62	71	806	11	11	11	11	1714	15	15	15	15	2
sekä	173252	-6.98	2	3	1843	218	15	1	1	1651	16	1	1	1	4
mutta	170653	-5.11	10	10	1435	265	3	2	1	4796	1105	103	44	1	5
sen	165220	-2.67	36	41	1843	218	13	13	13	6292	2274	398	398	398	3
että	150045	-4.16	0	2	806	76	3	1	1	1651	421	43	21	21	4
tai	139971	-5.0	20	23	1787	447	71	71	71	1714	14	4	4	4	3
n	139178	-4.3	0	15	572	572	572	572	572	6292	6292	6292	6292	6292	1
hänen	134948	-5.0	4	5	886	48	12	7	1	6292	2274	517	9	1	5
kanssa	125088	-5.07	2	3	2549	599	140	77	2	4796	1056	863	1	1	6
jälkeen	124596	-6.96	2	2	793	174	27	21	12	6292	2274	386	13	2	7
vuoden	109986	-5.07	4	4	1461	77	77	9	9	6292	2274	229	3	3	6
s	100434	-4.3	0	33	1843	1843	1843	1843	1843	672	672	672	672	672	1
kun	96437	-3.03	16	21	2549	379	68	68	68	6292	193	6	6	6	3
jonka	93184	-7.03	4	6	793	253	15	5	1	4796	85	3	2	1	5
suomen	89691	-4.87	2	3	1843	345	126	44	23	6292	2274	34	2	1	6
mukaan	89519	-5.55	2	2	1435	265	11	11	2	6292	1392	615	46	3	6
jossa	87155	-4.48	2	6	793	253	17	3	3	4796	1056	863	117	4	5
sai	81782	-5.29	28	36	1843	403	27	27	27	1714	14	1	1	1	3
kuitenkin	80481	-9.56	0	0	2549	379	10	2	2	6292	1402	122	35	11	9
noin	78846	-4.7	6	7	572	96	4	1	1	6292	1402	26	5	5	4
kuin	76558	-4.44	2	4	2549	379	10	2	2	6292	1402	7	1	1	4
olivat	75487	-6.01	2	2	653	117	13	5	2	1663	465	276	147	9	6
muun	72707	-4.03	10	13	1435	265	80	5	5	6292	193	51	1	1	4
the	71943	-5.06	6	10	1787	28	9	9	9	836	11	1	1	1	3
muassa	70645	-6.99	6	7	1435	265	1	1	1	4796	1056	863	246	2	6
hänet	70020	-6.02	4	4	886	48	12	7	1	1663	394	12	2	1	5
lisäksi	69765	-7.31	0	2	1243	246	41	21	2	1714	440	242	15	2	7
ollut	67369	-6.38	0	1	653	117	18	3	3	1663	216	25	12	2	5
eli	65738	-4.09	14	22	806	134	36	36	36	1714	130	50	50	50	3
aikana	63796	-6.32	0	2	1234	136	46	30	3	4796	316	108	9	4	6
tuli	63069	-5.15	6	8	1787	396	78	10	10	1714	130	10	1	1	4
vain	63026	-3.52	10	14	1461	728	103	5	5	6292	1402	45	2	2	4
mm	62857	-6.75	66	68	1435	1	1	1	1	82	1	1	1	1	2
voi	62561	-3.99	16	19	1461	91	78	78	78	1714	49	4	4	4	3
kaksi	62325	-4.66	8	8	2549	599	17	14	13	1714	440	242	72	3	5
vuosina	61711	-7.22	0	1	1461	77	77	25	24	4796	316	75	4	2	7
voitti	61667	-4.83	6	6	1461	91	78	36	25	1714	451	149	44	18	6
myöhemmin	60171	-7.8	0	0	1435	59	26	13	11	6292	1402	69	26	13	9
jotka	59979	-6.94	6	8	793	253	9	3	1	4796	85	4	2	1	5
toimi	57971	-5.48	4	7	1787	223	106	62	57	1714	47	9	1	1	5
jo	55635	-3.68	36	43	793	253	253	253	253	495	9	9	9	9	2
ole	55350	-3.58	12	16	653	117	44	44	44	836	316	4	4	4	3
esimerkiksi	53780	-12.0	0	0	806	117	83	10	7	1714	440	242	51	3	11
ennen	52949	-4.83	2	2	806	107	14	3	1	6292	2274	517	13	3	5
kuten	52676	-5.15	2	2	2549	379	18	1	1	6292	2274	172	2	1	5
luvun	51384	-6.4	8	9	1243	184	12	9	1	6292	193	10	5	3	5
sitä	50880	-4.6	8	13	1843	303	8	1	1	1651	421	58	1	1	4
ensimmäinen	49823	-10.84	0	0	806	107	31	30	18	6292	2274	517	427	28	11
tämän	48769	-4.84	2	3	1787	83	4	4	2	6292	375	30	5	3	5
luvulla	47862	-7.88	6	7	1243	184	12	9	3	4796	487	422	21	3	7
suomessa	47746	-6.09	0	0	1843	345	126	44	23	4796	1056	863	147	4	8
yksi	47108	-3.71	2	4	418	55	48	48	48	1714	440	242	3	3	4
vastaan	46016	-5.09	4	5	1461	728	83	69	44	6292	1392	615	178	25	7
teki	45203	-5.23	6	6	1787	276	69	11	11	1714	79	1	1	1	4
osa	44368	-3.28	12	19	653	122	67	67	67	4796	1056	9	9	9	3
eri	42967	-3.83	16	24	806	107	50	50	50	1714	137	33	33	33	3
ensimmäisen	41465	-10.46	0	0	806	107	31	30	18	6292	2274	398	224	18	11
jolloin	41397	-7.99	2	2	793	253	8	7	1	6292	1402	26	4	4	7
ne	41302	-3.58	40	50	572	93	93	93	93	836	74	74	74	74	2
a	41007	-4.3	0	35	1234	1234	1234	1234	1234	4796	4796	4796	4796	4796	1
sillä	40542	-5.09	10	12	1843	303	34	14	1	1651	176	160	43	6	5
koska	40103	-6.22	4	4	2549	519	32	19	2	4796	85	8	1	1	5
tämä	39854	-4.74	6	7	1787	83	4	4	4	1651	32	14	11	11	4
of	39353	-5.02	32	35	653	3	3	3	3	35	2	2	2	2	2
yli	38813	-3.98	10	13	418	102	33	33	33	1714	130	3	3	3	3
koko	38759	-4.54	6	9	2549	519	77	52	52	495	68	3	1	1	4
pelasi	38727	-6.57	2	3	1621	283	91	51	7	1714	440	42	5	1	6
niin	38031	-4.27	4	5	572	118	14	4	4	6292	1402	392	14	14	4
vuodesta	37600	-6.7	0	0	1461	77	77	9	9	4796	1105	619	89	18	8
voidaan	36963	-7.06	2	2	1461	91	78	4	4	6292	1392	615	7	3	7
he	36767	-3.63	46	54	886	200	200	200	200	836	11	11	11	11	2
sijaitsee	36262	-9.73	0	0	1843	303	51	29	22	836	73	17	9	9	9
suomalainen	35902	-8.2	0	0	1843	345	126	44	17	6292	2274	517	427	139	11
siirtyi	35269	-7.56	4	4	1843	303	47	36	26	1714	39	32	2	1	7
kauden	35247	-4.24	6	6	2549	599	94	9	9	6292	2274	229	60	17	6
usein	34989	-6.56	2	2	275	63	27	15	1	6292	1402	20	2	1	5
kolme	34840	-6.18	0	2	2549	519	46	38	14	836	27	2	1	1	5
vuotta	34601	-5.06	0	0	1461	77	77	16	1	4796	1105	103	6	2	6
hyvin	34227	-5.03	8	9	886	77	34	9	6	6292	1402	17	2	1	5
yhtyeen	34060	-6.08	2	4	418	159	91	20	16	6292	2274	386	1	1	7
jota	33701	-4.64	10	16	793	253	9	3	3	4796	1105	26	3	3	4
vielä	33636	-5.37	2	2	1461	269	58	3	3	1651	176	4	1	1	5
siitä	33560	-5.4	10	11	1843	303	47	1	1	1651	421	58	3	1	5
kaikki	33215	-5.77	0	1	2549	599	32	19	10	1714	79	28	13	1	6
olla	32517	-3.93	10	13	653	117	18	2	2	4796	487	422	46	46	4
kaudella	32046	-6.09	0	0	2549	599	94	9	9	4796	487	422	110	19	8
julkaistiin	31736	-8.04	0	0	793	163	65	50	33	6292	1402	392	247	5	11
alkoi	31734	-6.09	2	2	1234	258	58	5	2	1714	49	6	1	1	5
toinen	31179	-5.21	2	2	1787	223	106	2	2	6292	2274	517	427	20	6
yleensä	30815	-6.76	0	0	418	102	44	2	2	1651	347	76	36	9	7
kautta	30741	-4.75	4	4	2549	599	94	6	3	4796	1105	103	44	8	6
mukana	29708	-6.37	0	0	1435	265	11	11	2	4796	316	108	9	2	6
eivät	29338	-6.59	0	2	806	11	2	2	2	1663	188	144	82	3	5
