word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
de	24583754	-2.63	56	68	1274	169	169	169	169	5403	186	186	186	186	2
la	13825255	-3.56	60	69	632	140	140	140	140	622	32	32	32	32	2
le	10911872	-2.8	48	60	632	82	82	82	82	5403	602	602	602	602	2
et	9776889	-3.85	42	57	790	11	11	11	11	2316	104	104	104	104	2
l	8907527	-4.3	0	17	632	632	632	632	632	479	479	479	479	479	1
à	8605043	-4.53	0	1	1	1	1	1	1	6	6	6	6	6	1
en	8126421	-3.15	34	47	790	245	245	245	245	1561	162	162	162	162	2
les	6805548	-3.13	32	38	632	82	6	6	6	4740	2245	315	315	315	3
des	6303275	-2.86	34	38	1274	169	54	54	54	4740	2245	74	74	74	3
est	6203031	-4.94	4	12	790	87	23	23	23	2316	36	12	12	12	3
d	6166339	-4.3	0	25	1274	1274	1274	1274	1274	303	303	303	303	303	1
du	5741287	-3.59	66	76	1274	58	58	58	58	239	19	19	19	19	2
un	4848917	-3.76	30	42	141	50	50	50	50	1561	17	17	17	17	2
il	4347697	-3.94	38	50	798	26	26	26	26	479	63	63	63	63	2
une	4246704	-3.79	14	22	141	50	4	4	4	5403	451	18	18	18	3
dans	3673587	-4.57	18	22	1274	79	26	7	7	4740	559	31	2	2	4
par	3217128	-3.62	34	45	1825	368	168	168	168	1385	37	1	1	1	3
au	3116073	-3.08	76	82	1791	140	140	140	140	239	70	70	70	70	2
pour	2701469	-4.02	12	14	1825	274	57	26	26	1385	262	25	2	2	4
qui	2412683	-4.95	14	18	101	95	19	19	19	259	9	1	1	1	3
a	2233710	-4.3	0	40	1791	1791	1791	1791	1791	622	622	622	622	622	1
sur	2017105	-3.25	30	35	1419	212	48	48	48	1385	262	1	1	1	3
que	1971453	-2.8	18	21	101	95	20	20	20	5403	507	367	367	367	3
son	1858009	-2.96	38	46	1419	223	21	21	21	1561	942	63	63	63	3
avec	1702682	-6.77	4	4	1791	60	16	1	1	125	8	1	1	1	4
se	1559908	-2.62	60	75	1419	159	159	159	159	5403	320	320	320	320	2
plus	1538933	-4.95	4	5	1825	106	15	2	2	4740	125	9	2	2	4
sont	1325340	-3.79	28	30	1419	223	21	1	1	2316	1467	26	1	1	4
