word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
de	365545	-2.61	62	78	834	187	187	187	187	4373	474	474	474	474	2
fan	204240	-3.67	52	60	1827	146	24	24	24	3852	301	6	6	6	3
it	173873	-3.99	40	54	316	14	14	14	14	1678	85	85	85	85	2
yn	173672	-2.82	24	36	278	223	223	223	223	3852	51	51	51	51	2
en	142077	-2.98	46	67	623	31	31	31	31	3852	2801	2801	2801	2801	2
in	133618	-3.64	44	68	316	56	56	56	56	3852	192	192	192	192	2
e	76172	-4.3	0	32	623	623	623	623	623	4373	4373	4373	4373	4373	1
is	70266	-3.4	46	59	316	35	35	35	35	2040	189	189	189	189	2
t	58215	-4.3	0	16	1023	1023	1023	1023	1023	1678	1678	1678	1678	1678	1
op	52492	-3.02	34	42	885	200	200	200	200	262	40	40	40	40	2
mei	51162	-4.14	22	26	990	184	40	40	40	199	91	5	5	5	3
dy	42336	-3.74	40	45	834	18	18	18	18	351	20	20	20	20	2
wie	39221	-3.95	32	46	902	201	32	32	32	4373	95	1	1	1	3
as	38223	-3.84	54	67	929	29	29	29	29	2040	72	72	72	72	2
foar	37586	-3.6	20	24	1827	302	137	136	136	1371	197	43	6	6	4
waard	36805	-5.2	6	12	902	143	43	19	3	853	146	78	24	2	5
dat	36721	-4.19	30	33	834	82	11	11	11	1678	140	9	9	9	3
oan	31971	-3.33	36	45	885	221	174	174	174	3852	301	36	36	36	3
syn	31938	-4.32	32	34	2175	78	11	11	11	3852	51	2	2	2	3
te	31720	-2.77	48	61	1023	177	177	177	177	4373	480	480	480	480	2
nei	31306	-4.34	26	30	556	159	38	38	38	199	91	10	10	10	3
troch	31104	-4.45	2	3	1023	187	66	32	32	406	328	39	6	5	5
ek	28539	-3.43	48	59	623	58	58	58	58	945	78	78	78	78	2
by	24574	-3.37	30	36	1706	51	51	51	51	351	18	18	18	18	2
der	24380	-3.2	38	47	834	187	21	21	21	1371	996	126	126	126	3
hy	24129	-3.78	28	31	1001	18	18	18	18	351	6	6	6	6	2
om	22840	-3.41	42	54	885	74	74	74	74	494	58	58	58	58	2
út	22602	-3.0	18	23	157	155	155	155	155	1678	27	27	27	27	2
er	20519	-3.31	54	69	623	43	43	43	43	1371	996	996	996	996	2
hat	18684	-4.31	34	43	1001	248	4	4	4	1678	140	3	3	3	3
mar	18190	-3.68	42	55	990	303	84	84	84	1371	197	30	30	30	3
binne	18164	-4.93	26	30	1706	110	22	15	15	4373	305	71	41	1	5
wurdt	17285	-5.5	4	5	902	53	48	17	1	1678	38	6	1	1	5
net	16499	-3.99	40	46	556	159	5	5	5	1678	269	22	22	22	3
dêr	15631	-3.71	8	11	834	31	31	31	31	1371	11	2	2	2	3
of	13476	-3.58	38	45	885	30	30	30	30	171	26	26	26	26	2
ta	12877	-3.25	44	53	1023	149	149	149	149	854	51	51	51	51	2
har	12789	-3.7	36	47	1001	248	52	52	52	1371	197	1	1	1	3
wurde	12483	-4.39	8	10	902	53	48	17	5	4373	474	48	8	4	5
oer	12365	-3.16	20	35	885	162	138	138	138	1371	996	49	49	49	3
