word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
an	142561	-3.04	44	70	1051	117	117	117	117	2433	322	322	322	322	2
a	99926	-4.3	0	35	1051	1051	1051	1051	1051	2703	2703	2703	2703	2703	1
na	87444	-2.89	58	72	592	94	94	94	94	2703	429	429	429	429	2
agus	76683	-5.44	2	4	1051	27	2	1	1	1515	81	4	1	1	4
ar	65796	-2.81	58	83	1051	123	123	123	123	1557	528	528	528	528	2
i	57048	-4.3	0	30	562	562	562	562	562	166	166	166	166	166	1
is	48999	-3.44	50	66	562	22	22	22	22	1515	508	508	508	508	2
é	34447	-4.3	0	13	110	110	110	110	110	61	61	61	61	61	1
le	31814	-2.56	52	67	873	222	222	222	222	2212	215	215	215	215	2
sa	31669	-2.99	74	84	1872	178	178	178	178	2703	86	86	86	86	2
go	30968	-3.34	44	52	1318	60	60	60	60	254	14	14	14	14	2
ag	29732	-3.95	42	51	1051	27	27	27	27	340	34	34	34	34	2
sé	28373	-4.18	60	64	1872	24	24	24	24	61	3	3	3	3	2
bhí	27115	-4.12	20	25	1543	515	11	11	11	1179	22	2	2	2	3
de	22472	-2.76	60	75	1284	173	173	173	173	2212	99	99	99	99	2
tá	18982	-4.66	54	60	1497	42	42	42	42	71	2	2	2	2	2
mar	18982	-3.23	56	74	1432	320	80	80	80	1557	528	8	8	8	3
in	17125	-2.78	48	64	562	128	128	128	128	2433	593	593	593	593	2
ó	15343	-4.31	0	14	45	45	45	45	45	66	66	66	66	66	1
leis	15297	-4.5	18	22	873	222	49	2	2	1515	508	12	1	1	4
ina	14869	-4.7	24	30	562	128	5	5	5	2703	429	14	14	14	3
d	14749	-4.3	0	24	1284	1284	1284	1284	1284	626	626	626	626	626	1
sin	14414	-3.68	32	38	1872	119	18	18	18	2433	593	14	14	14	3
bhliain	14096	-7.59	2	5	1543	515	14	5	5	2433	593	97	10	5	7
ach	12445	-3.3	18	25	1051	45	19	19	19	2759	1136	1007	1007	1007	3
nó	11834	-4.06	36	42	592	17	17	17	17	66	10	10	10	10	2
seo	11689	-4.3	30	34	1872	237	24	24	24	254	32	3	3	3	3
raibh	10155	-6.24	2	3	717	117	18	2	1	2759	81	22	10	2	5
ann	10051	-3.07	16	24	1051	117	10	10	10	2433	590	280	280	280	3
as	9612	-3.03	46	64	1051	46	46	46	46	1515	469	469	469	469	2
í	9528	-4.31	0	12	45	45	45	45	45	1179	1179	1179	1179	1179	1
atá	9387	-6.13	4	6	1051	73	5	5	5	71	2	1	1	1	3
ba	8796	-3.3	58	70	1543	197	197	197	197	2703	22	22	22	22	2
san	8207	-3.73	46	54	1872	178	15	15	15	2433	322	14	14	14	3
den	8192	-3.89	48	52	1284	173	5	5	5	2433	105	11	11	11	3
eile	8023	-4.81	14	18	378	77	11	3	3	2212	215	87	7	7	4
iad	7900	-5.03	20	25	562	75	2	2	2	626	137	6	6	6	3
féin	7681	-4.47	16	18	1146	42	24	12	12	2433	593	20	1	1	4
chuid	7480	-5.24	6	8	2700	994	99	34	6	626	190	10	5	4	5
chun	7131	-5.01	14	15	2700	994	99	5	5	2433	13	2	1	1	4
nuair	6886	-5.09	4	5	592	18	13	1	1	1557	581	200	12	1	5
ní	6843	-3.66	42	48	592	14	14	14	14	1179	71	71	71	71	2
suite	6791	-5.52	8	10	1872	93	19	3	2	2212	293	73	3	1	5
do	6718	-3.24	60	70	1284	128	128	128	128	254	18	18	18	18	2
faoi	6606	-5.97	10	13	1146	103	10	5	5	166	18	17	1	1	4
ná	6480	-4.46	42	48	592	28	28	28	28	71	4	4	4	4	2
siad	6471	-5.82	14	17	1872	119	9	3	3	626	137	6	1	1	4
ea	6159	-4.64	62	72	378	129	129	129	129	2703	12	12	12	12	2
t	5856	-4.3	0	22	1497	1497	1497	1497	1497	1048	1048	1048	1048	1048	1
bhfuil	5573	-5.44	0	0	1543	515	156	13	5	1149	499	4	2	1	6
gur	5449	-4.63	24	30	1318	41	4	4	4	1557	29	3	3	3	3
ón	5420	-4.26	24	31	45	3	3	3	3	2433	46	46	46	46	2
tháinig	5370	-7.55	2	5	1497	376	24	11	4	340	58	2	2	1	7
amach	5311	-5.21	0	1	1051	56	13	1	1	2759	1136	1007	15	11	5
sna	5277	-4.05	20	25	1872	20	6	6	6	2703	429	4	4	4	3
don	5244	-3.65	44	55	1284	128	21	21	21	2433	237	9	9	9	3
dá	5126	-4.57	50	58	1284	31	31	31	31	71	2	2	2	2	2
baile	5116	-5.01	14	22	1543	197	55	20	4	2212	215	87	25	2	5
air	5015	-3.26	32	44	1051	228	41	41	41	1557	581	200	200	200	3
chéad	4993	-5.4	8	10	2700	994	15	6	3	626	137	42	5	2	5
nach	4676	-3.7	10	13	592	94	2	1	1	2759	1136	1007	177	177	4
idir	4605	-5.24	4	4	562	27	20	20	20	1557	581	8	7	7	4
mór	4509	-3.83	22	28	1432	45	23	23	23	1557	25	1	1	1	3
mó	4490	-4.6	50	56	1432	45	45	45	45	66	1	1	1	1	2
sí	4454	-3.14	58	67	1872	46	46	46	46	1179	45	45	45	45	2
nua	4420	-4.61	14	17	592	18	13	13	13	2703	36	3	3	3	3
duine	4300	-5.28	10	13	1284	65	15	5	1	2212	314	128	6	2	5
gcontae	4237	-7.47	0	1	1318	364	103	13	4	2212	22	5	4	4	7
aon	4149	-3.75	34	44	1051	76	43	43	43	2433	237	15	15	15	3
dtí	4085	-3.9	6	10	1284	118	5	5	5	1179	79	3	3	3	3
acu	4074	-7.04	10	13	1051	45	2	2	2	61	4	1	1	1	3
chomh	3992	-4.4	0	1	2700	994	247	77	64	2759	196	20	1	1	5
b	3891	-4.3	0	16	1543	1543	1543	1543	1543	49	49	49	49	49	1
níos	3862	-5.59	8	10	592	14	5	1	1	1515	55	11	2	2	4
aige	3821	-4.45	8	11	1051	228	14	2	2	2212	87	40	9	9	4
chuir	3675	-4.67	10	12	2700	994	99	34	10	1557	581	8	6	3	5
rugadh	3528	-6.14	2	3	717	42	4	1	1	2759	613	403	33	4	6
ainm	3508	-5.31	4	7	1051	228	38	18	18	386	12	11	9	9	4
lá	3506	-4.22	42	48	873	53	53	53	53	71	5	5	5	5	2
chéile	3376	-6.46	6	8	2700	994	15	8	1	2212	215	87	11	2	6
chur	3376	-4.97	12	15	2700	994	99	8	8	1557	29	7	5	5	4
maith	3352	-4.86	6	8	1432	320	60	6	4	2759	135	52	19	1	5
the	3269	-2.81	12	20	1497	376	54	54	54	2212	421	346	346	346	3
áit	3254	-5.19	10	14	72	40	14	14	14	1048	43	17	17	17	3
ú	3232	-4.3	0	9	55	55	55	55	55	402	402	402	402	402	1
n	3224	-4.3	0	20	592	592	592	592	592	2433	2433	2433	2433	2433	1
fuair	3215	-4.6	6	11	1146	57	26	13	3	1557	581	200	12	2	5
féidir	3158	-6.42	2	3	1146	42	24	3	1	1557	581	8	7	2	6
trí	3143	-3.5	16	24	1497	196	17	17	17	1179	245	5	5	5	3
