word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
de	1435870	-2.21	58	71	1289	632	632	632	632	2277	306	306	306	306	2
a	890077	-4.3	0	38	1898	1898	1898	1898	1898	3951	3951	3951	3951	3951	1
e	751471	-4.3	0	30	1419	1419	1419	1419	1419	2277	2277	2277	2277	2277	1
o	722709	-4.3	0	25	471	471	471	471	471	3469	3469	3469	3469	3469	1
que	492480	-3.61	8	11	83	80	48	48	48	2277	43	26	26	26	3
en	450631	-3.05	34	48	1419	220	220	220	220	1892	195	195	195	195	2
do	411183	-2.5	56	67	1289	119	119	119	119	3469	965	965	965	965	2
da	372356	-2.79	68	81	1289	80	80	80	80	3951	555	555	555	555	2
un	237589	-4.39	26	37	176	61	61	61	61	1892	5	5	5	5	2
os	225312	-3.15	40	55	471	19	19	19	19	4756	1552	1552	1552	1552	2
no	221136	-2.67	50	61	486	131	131	131	131	3469	210	210	210	210	2
é	218208	-4.31	0	4	28	28	28	28	28	23	23	23	23	23	1
na	200679	-2.8	62	71	486	125	125	125	125	3951	284	284	284	284	2
unha	188184	-5.07	2	7	176	61	2	2	2	3951	31	8	8	8	4
as	152439	-2.35	56	74	1898	131	131	131	131	4756	1399	1399	1399	1399	2
por	150597	-3.33	30	36	1832	265	43	43	43	1121	221	8	8	8	3
como	146631	-3.83	20	22	2553	1122	257	2	2	3469	145	13	2	2	4
dos	140614	-3.01	34	40	1289	119	3	3	3	4756	1552	349	349	349	3
para	137131	-3.98	28	35	1832	326	118	23	23	3951	428	46	5	5	4
foi	132475	-5.26	20	22	885	158	4	4	4	166	7	1	1	1	3
ao	126443	-4.25	62	74	1898	2	2	2	2	3469	19	19	19	19	2
con	125834	-2.49	40	43	2553	1122	520	520	520	1892	303	3	3	3	3
se	124799	-2.16	62	78	1255	285	285	285	285	2277	638	638	638	638	2
súa	108486	-4.43	16	18	1255	5	2	2	2	3951	11	2	2	2	3
máis	98903	-6.01	4	5	1244	21	1	1	1	4756	286	1	1	1	4
ou	93088	-3.22	46	55	471	22	22	22	22	520	306	306	306	306	2
seu	92050	-4.33	26	30	1255	285	2	2	2	520	85	3	3	3	3
á	87183	-4.3	0	3	51	51	51	51	51	52	52	52	52	52	1
non	84330	-4.81	36	38	486	131	1	1	1	1892	303	6	6	6	3
das	83884	-3.31	32	41	1289	80	1	1	1	4756	1399	240	240	240	3
tamén	62190	-7.07	0	0	890	88	9	1	1	1892	22	1	1	1	5
entre	61680	-5.75	4	7	1419	220	55	27	12	2277	109	16	4	3	5
son	59791	-3.79	40	48	1255	181	17	17	17	1892	303	28	28	28	3
ano	58802	-3.69	14	23	1898	185	10	10	10	3469	210	82	82	82	3
polo	58162	-4.15	28	33	1832	265	47	3	3	3469	165	17	3	3	4
co	48392	-2.09	60	74	2553	1122	1122	1122	1122	3469	275	275	275	275	2
nos	43407	-3.07	34	39	486	131	5	5	5	4756	1552	90	90	90	3
pola	40731	-4.53	26	32	1832	265	47	9	9	3951	182	20	1	1	4
anos	40696	-4.09	4	10	1898	185	10	1	1	4756	1552	90	34	34	4
coa	39015	-4.32	28	40	2553	1122	5	5	5	3951	29	2	2	2	3
nas	37513	-3.4	32	37	486	125	7	7	7	4756	1399	82	82	82	3
parte	37466	-4.45	8	13	1832	326	118	43	5	2277	566	25	9	5	5
seus	37068	-5.73	10	12	1255	285	2	1	1	4756	52	10	1	1	4
pero	36433	-4.1	22	26	1832	319	162	2	2	3469	276	32	2	2	4
ser	35772	-3.88	36	40	1255	285	45	45	45	1121	248	4	4	4	3
segundo	35703	-6.26	4	6	1255	285	40	31	4	3469	965	288	4	1	7
está	35376	-5.53	6	8	1419	485	225	6	6	52	4	1	1	1	4
durante	35313	-6.28	0	0	1289	52	17	10	3	2277	566	446	77	13	7
sobre	35233	-5.79	12	13	1255	181	26	18	15	2277	109	20	7	1	5
habitantes	34293	-9.08	0	0	396	79	26	17	15	4756	848	197	150	65	10
cando	32841	-3.95	16	20	2553	559	76	9	2	3469	965	288	175	14	5
cidade	32782	-5.95	2	4	2553	109	8	7	7	2277	306	192	169	149	6
onde	30717	-5.92	6	10	471	12	3	1	1	2277	306	28	8	8	4
lugar	30714	-6.06	2	3	656	48	6	3	3	1121	506	21	1	1	5
aínda	30631	-6.69	2	3	1898	2	1	1	1	3951	555	41	1	1	5
dun	30430	-6.04	16	19	1289	52	6	6	6	1892	5	1	1	1	3
concello	30166	-7.16	0	0	2553	1122	520	58	30	3469	165	35	10	2	8
era	30023	-4.36	24	35	1419	32	2	2	2	3951	428	61	61	61	3
ten	29747	-3.99	36	39	890	228	30	30	30	1892	195	13	13	13	3
ata	28979	-3.65	22	30	1898	115	15	15	15	3951	394	24	24	24	3
aos	27998	-4.87	18	26	1898	2	1	1	1	4756	1552	6	6	6	3
este	27590	-3.68	8	17	1419	485	225	26	26	2277	566	31	18	18	4
despois	26922	-6.93	0	0	1289	632	234	19	2	4756	286	13	2	1	7
primeiro	26651	-7.98	0	0	1832	597	55	26	8	3469	276	103	83	2	8
esta	26618	-3.51	8	22	1419	485	225	76	76	3951	394	117	16	16	4
súas	26263	-4.93	8	10	1255	5	2	1	1	4756	1399	4	1	1	4
ó	26034	-4.31	0	5	27	27	27	27	27	13	13	13	13	13	1
xa	26023	-3.4	48	51	300	32	32	32	32	3951	39	39	39	39	2
dous	25947	-5.47	2	4	1289	119	20	2	2	4756	52	1	1	1	4
primeira	25870	-7.92	0	1	1832	597	55	26	8	3951	428	100	80	4	8
dunha	25486	-6.72	4	6	1289	52	6	2	2	3951	31	8	8	1	5
historia	25317	-7.64	0	0	396	70	24	18	12	3951	454	96	16	12	8
nome	25190	-5.18	8	10	486	131	20	14	14	2277	62	10	4	4	4
século	24529	-7.2	0	1	1255	8	2	2	2	3469	165	37	13	1	6
pode	23815	-4.49	10	13	1832	265	25	17	17	2277	306	4	1	1	4
desde	23198	-6.37	4	6	1289	632	234	1	1	2277	306	2	2	1	5
gran	23050	-4.17	10	13	459	113	69	14	14	1892	384	36	4	4	4
foron	22950	-5.23	4	5	885	158	79	3	1	1892	303	206	1	1	5
mesmo	22793	-6.48	2	3	1244	240	29	4	2	3469	145	76	1	1	5
nun	22785	-5.16	14	18	486	38	6	6	6	1892	5	1	1	1	3
moi	22771	-5.24	20	22	1244	270	6	6	6	166	7	1	1	1	3
outros	22693	-6.91	2	6	471	22	16	5	3	4756	1552	137	21	3	6
todo	22425	-5.22	18	19	890	109	4	2	2	3469	965	12	2	2	4
así	22243	-6.14	8	12	1898	131	2	2	2	19	2	1	1	1	3
ás	22151	-4.63	24	28	51	1	1	1	1	4756	29	29	29	29	2
poboación	21633	-7.3	0	0	1832	265	16	11	9	1892	766	650	531	365	9
parroquia	21629	-8.52	0	0	1832	326	118	4	4	3951	454	5	4	1	9
só	21485	-4.75	36	39	1255	8	8	8	8	13	1	1	1	1	2
eran	21174	-5.29	4	6	1419	32	2	1	1	1892	384	36	10	10	4
san	21137	-3.67	48	56	1255	222	40	40	40	1892	384	13	13	13	3
tiña	20997	-5.04	10	11	890	65	2	2	2	3951	64	25	5	5	4
forma	20948	-4.75	8	13	885	158	79	38	23	3951	123	15	7	6	5
tres	20130	-3.97	10	11	890	276	12	1	1	4756	848	239	10	10	4
homes	19824	-5.46	6	8	396	91	21	7	1	4756	848	29	4	1	5
guerra	19352	-6.63	0	1	459	60	13	11	10	3951	428	16	10	3	6
grupo	19081	-6.85	0	1	459	113	4	2	2	3469	27	3	3	3	5
dúas	18858	-5.58	12	13	1289	4	1	1	1	4756	1399	4	1	1	4
mulleres	18382	-8.45	0	0	1244	84	10	2	2	4756	848	239	17	2	8
nunha	18104	-5.84	6	8	486	38	6	2	2	3951	31	8	8	1	5
la	17938	-3.02	56	68	656	117	117	117	117	3951	182	182	182	182	2
maior	17854	-6.59	4	5	1244	397	20	8	7	1121	221	15	4	4	5
polos	17695	-4.43	14	15	1832	265	47	3	1	4756	1552	94	10	1	5
estado	17201	-4.41	4	7	1419	485	225	76	7	3469	965	439	66	7	6
the	17199	-4.64	6	9	890	20	7	7	7	2277	17	2	2	2	3
norte	17047	-5.28	14	14	486	131	37	9	6	2277	566	25	12	1	5
el	16951	-3.22	40	53	1419	102	102	102	102	588	84	84	84	84	2
nado	16580	-3.8	16	18	486	125	9	2	2	3469	965	439	39	39	4
hai	16539	-5.19	24	28	396	79	3	3	3	166	17	2	2	2	3
comarca	16520	-6.37	0	2	2553	1122	257	11	3	3951	343	18	9	3	7
sen	16396	-3.9	44	51	1255	285	43	43	43	1892	195	6	6	6	3
dende	16392	-4.83	10	10	1289	632	38	3	1	2277	306	28	17	1	5
vez	16370	-4.61	14	15	602	163	1	1	1	107	50	4	4	4	3
provincia	16246	-7.53	0	0	1832	597	310	30	11	3951	454	151	110	1	9
contra	16181	-4.71	2	3	2553	1122	520	119	52	3951	428	32	5	2	6
galego	16014	-7.0	4	6	459	137	45	13	7	3469	92	14	2	1	6
illa	15938	-4.85	6	11	877	30	11	8	8	3951	182	44	10	10	4
sur	15875	-4.72	20	24	1255	241	9	9	9	1121	16	1	1	1	3
tempo	15560	-6.23	0	3	890	228	31	22	7	3469	27	5	2	1	5
ademais	15362	-7.63	0	1	1898	136	21	1	1	4756	286	199	9	2	7
equipo	15047	-7.28	0	1	1419	11	11	11	6	3469	27	8	1	1	6
cada	15025	-3.52	24	30	2553	559	20	3	3	3951	555	335	31	31	4
nova	14967	-4.85	16	19	486	131	18	4	4	3951	103	9	7	7	4
cos	14706	-2.38	46	53	2553	1122	21	21	21	4756	1552	157	157	157	3
mundo	14478	-4.26	2	4	1244	84	13	5	2	3469	965	288	4	2	5
baixo	14432	-5.69	2	6	674	218	18	11	3	3469	59	18	4	4	5
banda	14354	-4.7	10	13	674	218	23	9	2	3951	555	41	13	1	5
rei	14345	-4.64	18	21	1096	708	18	18	18	166	10	5	5	5	3
novo	14339	-4.89	12	15	486	131	18	3	3	3469	95	5	1	1	4
partido	14314	-5.98	2	4	1832	326	118	43	32	3469	965	149	25	5	7
traxectoria	14251	-9.73	0	0	890	276	181	8	6	3951	454	96	16	12	11
poden	14233	-5.76	4	5	1832	265	25	17	2	1892	195	30	2	1	5
galicia	14225	-6.54	0	1	459	137	45	9	1	3951	454	151	11	4	7
segunda	14137	-6.79	4	5	1255	285	40	31	4	3951	555	41	4	1	7
estados	14089	-4.93	4	6	1419	485	225	76	7	4756	1552	349	225	39	7
cunha	14043	-5.98	6	9	2553	138	11	2	2	3951	31	8	8	1	5
outras	13795	-6.68	2	5	471	22	16	5	2	4756	1399	139	11	3	6
españa	13766	-5.65	4	4	1419	485	105	23	5	3951	64	19	4	1	6
país	13763	-5.62	6	8	1832	326	2	2	2	4756	18	2	1	1	4
río	13736	-4.85	10	14	1096	7	2	2	2	3469	19	6	6	6	3
tras	13712	-3.39	10	14	890	276	181	22	22	4756	1399	139	11	11	4
logo	13655	-4.6	10	13	656	111	15	3	3	3469	92	19	15	15	4
vida	13582	-3.56	18	22	602	208	11	3	3	3951	555	117	4	4	4
cara	13509	-4.17	40	48	2553	559	132	24	24	3951	428	46	5	5	4
sendo	13454	-4.51	8	10	1255	285	43	2	1	3469	965	288	52	2	5
tempada	13375	-6.94	0	1	890	228	31	22	2	3951	555	335	6	3	7
