word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ર	377884	-4.3	0	79	502	502	502	502	502	913	913	913	913	913	1
ન	367692	-4.3	0	93	318	318	318	318	318	1313	1313	1313	1313	1313	1
મ	321247	-4.3	0	81	328	328	328	328	328	704	704	704	704	704	1
ત	305775	-4.3	0	76	242	242	242	242	242	495	495	495	495	495	1
ક	283629	-4.3	0	79	388	388	388	388	388	444	444	444	444	444	1
સ	258912	-4.3	0	79	403	403	403	403	403	428	428	428	428	428	1
ય	257172	-4.3	0	67	264	264	264	264	264	147	147	147	147	147	1
લ	224828	-4.3	0	76	229	229	229	229	229	430	430	430	430	430	1
વ	209958	-4.3	0	81	386	386	386	386	386	483	483	483	483	483	1
પ	192695	-4.3	0	75	284	284	284	284	284	336	336	336	336	336	1
જ	175678	-4.3	0	70	274	274	274	274	274	163	163	163	163	163	1
ટ	138787	-4.3	0	70	179	179	179	179	179	200	200	200	200	200	1
છ	134012	-4.32	0	47	53	53	53	53	53	41	41	41	41	41	1
દ	107601	-4.3	0	71	204	204	204	204	204	224	224	224	224	224	1
ગ	106729	-4.3	0	77	278	278	278	278	278	177	177	177	177	177	1
ડ	88477	-4.3	0	67	179	179	179	179	179	291	291	291	291	291	1
બ	85698	-4.3	0	71	216	216	216	216	216	205	205	205	205	205	1
અન	84457	-3.3	180	221	397	28	28	28	28	1313	17	17	17	17	2
થ	78917	-4.31	0	67	104	104	104	104	104	303	303	303	303	303	1
શ	72047	-4.31	0	66	149	149	149	149	149	183	183	183	183	183	1
ચ	63255	-4.31	0	65	150	150	150	150	150	117	117	117	117	117	1
હ	62700	-4.3	0	63	189	189	189	189	189	127	127	127	127	127	1
હત	58549	-3.73	148	173	189	8	8	8	8	495	11	11	11	11	2
ખ	58037	-4.31	0	56	122	122	122	122	122	100	100	100	100	100	1
ધ	53098	-4.31	0	58	132	132	132	132	132	77	77	77	77	77	1
ભ	52726	-4.31	0	58	127	127	127	127	127	95	95	95	95	95	1
આવ	52412	-4.07	158	185	434	25	25	25	25	483	2	2	2	2	2
કર	43694	-2.92	156	232	388	62	62	62	62	913	69	69	69	69	2
આ	42830	-4.3	0	45	434	434	434	434	434	12	12	12	12	12	1
ષ	40205	-4.31	0	46	101	101	101	101	101	29	29	29	29	29	1
ફ	34942	-4.31	0	51	89	89	89	89	89	126	126	126	126	126	1
ણ	34012	-4.31	0	63	97	97	97	97	97	253	253	253	253	253	1
પર	31222	-2.95	150	217	284	55	55	55	55	913	68	68	68	68	2
ઓ	28132	-4.3	0	47	220	220	220	220	220	35	35	35	35	35	1
એક	27092	-3.14	142	181	632	62	62	62	62	444	20	20	20	20	2
મન	26576	-3.11	186	256	328	27	27	27	27	1313	69	69	69	69	2
ળ	23219	-4.32	0	53	54	54	54	54	54	127	127	127	127	127	1
વર	22302	-2.95	156	232	386	48	48	48	48	913	83	83	83	83	2
કરવ	21977	-4.24	132	143	388	62	7	7	7	483	61	1	1	1	3
એ	20888	-4.3	0	66	632	632	632	632	632	138	138	138	138	138	1
