word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
של	1223219	-3.44	64	89	1174	82	82	82	82	707	24	24	24	24	2
את	694781	-3.38	70	87	958	16	16	16	16	3513	50	50	50	50	2
על	592543	-3.52	48	62	410	31	31	31	31	707	35	35	35	35	2
ב	360905	-4.3	0	28	2187	2187	2187	2187	2187	380	380	380	380	380	1
הוא	326870	-4.83	22	30	4623	267	4	4	4	212	16	5	5	5	3
עם	234618	-4.31	38	50	410	1	1	1	1	2668	18	18	18	18	2
בשנת	233775	-4.41	14	20	2187	122	11	3	3	3513	87	7	3	3	4
ה	209500	-4.3	0	36	4623	4623	4623	4623	4623	3284	3284	3284	3284	3284	1
היה	182847	-3.34	50	61	4623	214	9	9	9	3284	474	9	9	9	3
לאחר	154885	-4.44	18	22	1825	139	10	5	5	1272	35	7	3	3	4
גם	149459	-4.31	46	57	303	1	1	1	1	2668	20	20	20	20	2
היא	146441	-4.5	30	39	4623	214	1	1	1	212	41	5	5	5	3
לא	139504	-3.2	42	64	1825	139	139	139	139	212	25	25	25	25	2
ידי	138612	-4.27	36	49	417	24	12	12	12	1529	105	24	24	24	3
בין	136593	-4.0	60	77	2187	163	1	1	1	1207	231	9	9	9	3
ל	123279	-4.3	0	31	1825	1825	1825	1825	1825	707	707	707	707	707	1
ג	113419	-4.3	0	29	303	303	303	303	303	242	242	242	242	242	1
או	111894	-3.11	84	112	958	185	185	185	185	1402	56	56	56	56	2
זה	105682	-3.5	42	59	127	10	10	10	10	3284	41	41	41	41	2
עד	101451	-3.64	46	62	410	15	15	15	15	530	33	33	33	33	2
כי	101444	-3.68	64	77	461	53	53	53	53	1529	22	22	22	22	2
אך	93767	-4.36	54	59	958	1	1	1	1	237	4	4	4	4	2
הייתה	87341	-5.8	10	12	4623	214	25	2	1	3284	141	23	9	4	5
יותר	85760	-5.46	10	16	417	82	1	1	1	1272	38	13	6	6	4
ו	84512	-4.3	0	38	1089	1089	1089	1089	1089	1402	1402	1402	1402	1402	1
מ	81254	-4.3	0	27	2104	2104	2104	2104	2104	14	14	14	14	14	1
זו	79756	-3.85	48	62	127	24	24	24	24	1402	15	15	15	15	2
אשר	79634	-4.67	48	60	958	18	2	2	2	1272	60	8	8	8	3
כל	78970	-3.52	58	77	461	32	32	32	32	707	33	33	33	33	2
כ	76944	-4.3	0	19	461	461	461	461	461	17	17	17	17	17	1
ישראל	73347	-6.49	0	6	417	35	9	6	6	707	59	8	7	7	5
הראשון	71448	-5.68	4	6	4623	191	22	12	7	1207	472	18	5	5	6
ביותר	69179	-6.42	8	10	2187	163	15	1	1	1272	38	13	6	1	5
שם	65599	-4.31	54	75	1174	1	1	1	1	2668	27	27	27	27	2
היו	65418	-3.54	58	69	4623	214	37	37	37	1402	172	6	6	6	3
הם	63608	-4.3	56	72	4623	1	1	1	1	2668	47	47	47	47	2
בית	63353	-3.33	42	62	2187	163	9	9	9	3513	658	32	32	32	3
הברית	62508	-5.04	10	13	4623	178	20	12	1	3513	658	68	12	1	5
מספר	60797	-4.43	16	31	2104	112	14	9	9	1272	49	17	9	9	4
אל	59111	-2.99	76	100	958	94	94	94	94	707	59	59	59	59	2
כאשר	58196	-5.71	14	18	461	25	1	1	1	1272	60	8	3	3	4
אחד	57123	-3.94	24	37	958	42	3	3	3	530	28	10	10	10	3
בו	56718	-3.47	74	106	2187	83	83	83	83	1402	48	48	48	48	2
כמו	55529	-4.32	24	27	461	42	9	9	9	1402	83	2	2	2	3
העיר	55024	-4.42	36	43	4623	195	30	6	6	1272	165	13	4	4	4
במהלך	52179	-5.66	4	7	2187	297	12	5	1	237	22	8	6	3	5
ר	51936	-4.3	0	34	394	394	394	394	394	1272	1272	1272	1272	1272	1
שלו	51688	-3.91	42	55	1174	82	9	9	9	1402	103	4	4	4	3
כך	51637	-4.32	36	44	461	1	1	1	1	237	9	9	9	9	2
החל	47164	-3.9	36	52	4623	203	36	36	36	707	11	3	3	3	3
שני	47119	-3.54	40	55	1174	116	18	18	18	1529	207	11	11	11	3
העולם	46335	-5.16	12	17	4623	195	34	6	1	2668	56	29	10	3	5
אותו	45839	-4.74	20	29	958	185	10	2	2	1402	195	54	7	7	4
בן	45337	-4.31	66	83	2187	1	1	1	1	1207	29	29	29	29	2
כדי	45331	-4.56	22	30	461	15	2	2	2	1529	105	5	5	5	3
לו	44870	-3.26	66	92	1825	67	67	67	67	1402	103	103	103	103	2
שנים	44867	-3.51	20	32	1174	116	18	1	1	2668	2038	222	9	9	4
הראשונה	44453	-6.46	4	5	4623	191	22	12	7	3284	308	85	8	5	7
שנה	44105	-3.39	50	66	1174	116	5	5	5	3284	308	13	13	13	3
אף	43665	-4.33	54	65	958	1	1	1	1	222	7	7	7	7	2
נולד	43521	-5.84	10	13	702	98	3	3	3	530	23	9	3	3	4
רבים	43442	-4.3	8	22	394	25	9	1	1	2668	2038	101	13	13	4
המאה	43427	-4.18	28	35	4623	739	31	1	1	3284	119	10	3	3	4
רק	43040	-3.97	56	66	394	8	8	8	8	328	25	25	25	25	2
זאת	41887	-4.44	14	18	127	4	1	1	1	3513	50	4	4	4	3
בה	41606	-2.53	68	92	2187	112	112	112	112	3284	140	140	140	140	2
formula_	41491	-7.52	0	0	14	3	2	1	1	4	1	1	1	1	8
יש	40745	-3.65	62	75	417	35	35	35	35	290	38	38	38	38	2
בשם	39757	-4.44	40	42	2187	122	1	1	1	2668	27	1	1	1	3
הספר	38870	-4.24	30	35	4623	172	24	13	13	1272	49	17	2	2	4
מכן	38741	-4.63	32	40	2104	70	1	1	1	1207	31	1	1	1	3
צ	37342	-4.3	0	17	181	181	181	181	181	40	40	40	40	40	1
במקום	37337	-4.72	16	21	2187	297	19	8	1	2668	190	25	12	3	5
כן	37191	-4.31	58	68	461	1	1	1	1	1207	31	31	31	31	2
פי	37097	-3.37	56	79	511	81	81	81	81	1529	49	49	49	49	2
א	36933	-4.3	0	32	958	958	958	958	958	212	212	212	212	212	1
אם	36458	-4.31	66	81	958	1	1	1	1	2668	27	27	27	27	2
חלק	35596	-4.2	20	36	438	45	13	13	13	328	20	10	10	10	3
זכה	35432	-4.26	12	20	127	21	1	1	1	3284	108	4	4	4	3
השני	35384	-4.6	16	21	4623	264	9	4	4	1529	207	11	2	2	4
לפני	34984	-4.33	12	21	1825	71	6	4	4	1529	207	13	6	6	4
אחת	34703	-4.26	20	30	958	42	1	1	1	3513	48	7	7	7	3
השנייה	34496	-6.1	10	12	4623	264	9	4	2	3284	474	69	15	5	6
באופן	34407	-5.46	6	10	2187	165	40	3	1	1207	23	10	6	3	5
י	33177	-4.3	0	42	417	417	417	417	417	1529	1529	1529	1529	1529	1
מן	33090	-4.3	70	85	2104	1	1	1	1	1207	89	89	89	89	2
ניתן	32937	-5.25	14	19	702	112	9	1	1	1207	26	6	4	4	4
מלחמת	32213	-5.86	2	8	2104	59	7	3	1	3513	81	8	6	6	5
אותה	31540	-4.64	20	27	958	185	10	1	1	3284	141	34	8	8	4
שנות	30997	-3.6	24	34	1174	116	21	6	6	3513	1647	175	11	11	4
בבית	30988	-4.34	14	21	2187	68	15	4	4	3513	658	32	2	2	4
בעקבות	30973	-5.47	2	4	2187	102	3	3	3	3513	1647	97	5	3	6
אולם	30608	-4.49	18	23	958	185	19	1	1	2668	56	29	5	5	4
כיום	30577	-5.2	22	27	461	53	7	1	1	2668	190	27	3	3	4
השנים	30507	-4.57	24	31	4623	264	9	4	1	2668	2038	222	9	2	5
ס	30293	-4.3	0	27	418	418	418	418	418	387	387	387	387	387	1
בעיקר	29942	-6.2	4	10	2187	102	25	3	3	1272	50	9	4	2	5
בעיר	29527	-4.53	32	38	2187	102	25	4	4	1272	165	13	2	2	4
בכל	29309	-4.03	42	50	2187	66	8	8	8	707	33	3	3	3	3
מטר	28850	-3.95	24	29	2104	35	9	9	9	1272	47	5	5	5	3
אלו	28789	-4.12	40	54	958	94	8	8	8	1402	103	7	7	7	3
ארצות	28446	-5.05	6	12	958	73	6	2	1	3513	1647	33	12	8	5
ד	28082	-4.3	0	29	278	278	278	278	278	530	530	530	530	530	1
the	27998	-4.42	2	4	20	8	4	4	4	51	3	1	1	1	3
ראש	27823	-4.2	26	37	394	40	16	16	16	290	14	8	8	8	3
שהיה	27622	-4.83	16	21	1174	150	10	2	2	3284	474	9	2	2	4
וכן	27522	-3.95	32	41	1089	45	1	1	1	1207	31	12	12	12	3
אביב	27274	-5.51	12	17	958	39	13	2	2	380	56	7	3	3	4
באותה	27193	-5.29	12	16	2187	165	40	6	1	3284	141	34	8	3	5
ק	26899	-4.3	0	23	448	448	448	448	448	328	328	328	328	328	1
בישראל	26870	-7.37	8	10	2187	163	6	1	1	707	59	8	7	7	6
שונים	26788	-4.65	12	17	1174	90	5	1	1	2668	2038	222	69	5	5
והוא	26592	-5.96	4	7	1089	156	26	1	1	212	16	5	1	1	4
אחרי	26452	-4.45	14	24	958	42	15	6	6	1529	184	6	3	3	4
במשך	26350	-4.35	10	14	2187	297	28	1	1	237	18	15	3	3	4
שלא	26128	-5.38	44	46	1174	82	3	3	3	212	25	1	1	1	3
יחד	26003	-4.96	18	24	417	17	2	2	2	530	28	5	5	5	3
רבות	25994	-4.43	12	23	394	25	4	1	1	3513	1647	97	21	21	4
בשנים	25987	-4.49	16	20	2187	122	11	4	1	2668	2038	222	9	2	5
בני	25986	-3.48	56	76	2187	84	28	28	28	1529	207	12	12	12	3
המדינה	25881	-5.52	12	16	4623	739	26	7	5	3284	308	67	9	8	6
בשל	25862	-4.19	40	44	2187	122	16	16	16	707	24	2	2	2	3
באנגלית	25807	-6.94	10	12	2187	165	5	2	2	3513	658	47	9	7	7
אלה	25262	-3.95	46	59	958	94	1	1	1	3284	267	14	14	14	3
רב	25178	-3.65	50	74	394	25	25	25	25	380	39	39	39	39	2
נגד	25087	-4.69	10	20	702	20	5	5	5	530	15	10	10	10	3
תחת	25047	-4.25	8	13	390	25	4	4	4	3513	48	8	8	8	3
