word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
क	2666869	-4.3	0	82	346	346	346	346	346	580	580	580	580	580	1
र	1674011	-4.3	0	85	467	467	467	467	467	1028	1028	1028	1028	1028	1
स	1358818	-4.3	0	78	408	408	408	408	408	487	487	487	487	487	1
म	1212504	-4.3	0	84	353	353	353	353	353	461	461	461	461	461	1
ह	1169451	-4.3	0	70	202	202	202	202	202	195	195	195	195	195	1
त	1143392	-4.3	0	76	255	255	255	255	255	544	544	544	544	544	1
न	1083127	-4.3	0	82	279	279	279	279	279	790	790	790	790	790	1
य	962612	-4.3	0	74	245	245	245	245	245	205	205	205	205	205	1
प	896188	-4.3	0	78	329	329	329	329	329	378	378	378	378	378	1
ल	870618	-4.3	0	84	256	256	256	256	256	580	580	580	580	580	1
व	815582	-4.3	0	79	275	275	275	275	275	362	362	362	362	362	1
ज	687098	-4.3	0	70	277	277	277	277	277	193	193	193	193	193	1
द	681619	-4.3	0	73	210	210	210	210	210	298	298	298	298	298	1
ग	424599	-4.3	0	84	261	261	261	261	261	220	220	220	220	220	1
श	375550	-4.31	0	63	173	173	173	173	173	187	187	187	187	187	1
ट	366600	-4.31	0	71	175	175	175	175	175	244	244	244	244	244	1
ब	366067	-4.3	0	77	269	269	269	269	269	239	239	239	239	239	1
थ	334044	-4.32	0	55	77	77	77	77	77	93	93	93	93	93	1
भ	298780	-4.31	0	58	113	113	113	113	113	94	94	94	94	94	1
ष	292175	-4.31	0	53	115	115	115	115	115	37	37	37	37	37	1
ड	265928	-4.31	0	71	153	153	153	153	153	200	200	200	200	200	1
और	254011	-4.18	130	145	46	11	11	11	11	1028	2	2	2	2	2
च	248329	-4.31	0	67	167	167	167	167	167	124	124	124	124	124	1
पर	205220	-2.92	160	239	329	76	76	76	76	1028	53	53	53	53	2
ध	198576	-4.31	0	59	114	114	114	114	114	72	72	72	72	72	1
एक	171120	-3.22	154	198	558	45	45	45	45	580	18	18	18	18	2
ए	169202	-4.3	0	54	558	558	558	558	558	68	68	68	68	68	1
ख	162381	-4.31	0	55	99	99	99	99	99	89	89	89	89	89	1
फ	151476	-4.31	0	58	86	86	86	86	86	133	133	133	133	133	1
वर	131462	-2.96	162	240	275	45	45	45	45	1028	84	84	84	84	2
रत	116868	-3.13	166	231	467	30	30	30	30	544	59	59	59	59	2
इस	110486	-3.65	162	197	253	15	15	15	15	487	9	9	9	9	2
यह	100953	-4.21	142	154	245	3	3	3	3	195	4	4	4	4	2
कर	100309	-2.75	160	249	346	60	60	60	60	1028	136	136	136	136	2
ण	99772	-4.32	0	64	82	82	82	82	82	184	184	184	184	184	1
ई	86166	-4.31	0	60	126	126	126	126	126	102	102	102	102	102	1
जन	81744	-3.16	148	204	277	45	45	45	45	790	33	33	33	33	2
अन	79393	-3.61	166	210	450	42	42	42	42	790	6	6	6	6	2
गय	78980	-4.4	154	161	261	2	2	2	2	205	3	3	3	3	2
अध	75686	-4.44	140	150	450	9	9	9	9	72	1	1	1	1	2
सम	73971	-3.06	152	214	408	60	60	60	60	461	32	32	32	32	2
रक	69455	-3.22	170	239	467	25	25	25	25	580	64	64	64	64	2
छ	68176	-4.33	0	42	48	48	48	48	48	37	37	37	37	37	1
ईस	60333	-3.67	152	169	126	8	8	8	8	487	14	14	14	14	2
इसक	57876	-4.56	82	86	253	15	1	1	1	580	24	2	2	2	3
करन	57042	-4.34	134	145	346	60	4	4	4	790	54	3	3	3	3
तर	55231	-3.05	152	223	255	47	47	47	47	1028	39	39	39	39	2
बन	53864	-3.24	160	210	269	23	23	23	23	790	27	27	27	27	2
अपन	53395	-4.41	108	114	450	47	2	2	2	790	30	1	1	1	3
रस	51930	-3.07	168	243	467	35	35	35	35	487	62	62	62	62	2
वत	51576	-3.5	160	205	275	12	12	12	12	544	27	27	27	27	2
रह	49489	-3.17	152	208	467	35	35	35	35	195	38	38	38	38	2
सर	49304	-2.98	154	228	408	60	60	60	60	1028	42	42	42	42	2
ओ	47994	-4.31	0	51	144	144	144	144	144	36	36	36	36	36	1
अ	46977	-4.3	0	43	450	450	450	450	450	7	7	7	7	7	1
रण	46889	-3.16	158	208	467	32	32	32	32	184	55	55	55	55	2
तक	46719	-3.43	154	192	255	19	19	19	19	580	20	20	20	20	2
करत	44851	-4.58	124	132	346	60	3	3	3	544	59	2	2	2	3
उन	43701	-4.37	156	187	271	20	20	20	20	790	1	1	1	1	2
नह	43664	-3.58	146	180	279	10	10	10	10	195	22	22	22	22	2
रम	43231	-3.16	166	238	467	39	39	39	39	461	48	48	48	48	2
आ	41483	-4.3	0	42	383	383	383	383	383	8	8	8	8	8	1
तथ	40861	-4.74	116	121	255	2	2	2	2	93	1	1	1	1	2
यक	39036	-3.43	160	204	245	17	17	17	17	580	20	20	20	20	2
उनक	36297	-4.65	114	117	271	20	1	1	1	580	60	1	1	1	3
उत	35849	-3.91	154	169	271	11	11	11	11	544	4	4	4	4	2
शक	35719	-3.4	146	182	173	12	12	12	12	580	33	33	33	33	2
दर	35523	-3.21	152	212	210	31	31	31	31	1028	38	38	38	38	2
सकत	34489	-4.94	84	88	408	14	1	1	1	544	43	1	1	1	3
टर	33540	-3.26	152	209	175	34	34	34	34	1028	22	22	22	22	2
