word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ke	33440	-2.89	68	82	1264	85	85	85	85	1904	97	97	97	97	2
hae	15093	-3.72	54	65	749	289	3	3	3	1904	86	23	23	23	3
me	11252	-2.9	66	80	1545	166	166	166	166	1904	81	81	81	81	2
ek	7408	-3.74	20	24	494	16	16	16	16	348	36	36	36	36	2
aur	6820	-4.0	26	35	1381	52	13	13	13	1329	172	10	10	10	3
rahaa	6682	-5.24	16	23	834	275	32	10	3	3314	257	32	6	2	5
se	5458	-2.68	68	81	1827	164	164	164	164	1904	135	135	135	135	2
statistics	5221	-10.32	0	0	1827	145	44	11	4	1659	23	21	7	2	10
team	5093	-6.13	4	8	1028	137	9	3	3	435	126	4	2	2	4
football	4892	-10.33	0	1	525	66	6	4	3	698	56	16	5	3	8
national	4745	-7.52	0	0	751	322	26	9	6	698	326	31	14	12	8
khilaarri	4145	-9.91	0	0	1264	167	11	4	4	1885	257	12	8	4	9
total	3881	-6.38	0	0	1028	155	6	2	1	698	326	27	2	1	5
ii	3724	-3.99	60	67	506	6	6	6	6	1885	35	35	35	35	2
fiji	2965	-5.02	6	7	525	77	6	5	5	1885	53	10	1	1	4
gais	2497	-4.94	18	25	741	204	9	1	1	1659	237	40	3	3	4
ki	2456	-2.59	60	72	1264	140	140	140	140	1885	179	179	179	179	2
uu	2322	-4.25	46	48	268	10	10	10	10	505	7	7	7	7	2
the	2128	-3.8	26	33	1028	114	32	32	32	1904	70	9	9	9	3
hai	2118	-3.96	64	79	749	289	13	13	13	1885	126	15	15	15	3
iske	1958	-5.65	16	22	506	95	3	1	1	1904	97	9	3	3	4
of	1879	-3.92	28	33	321	18	18	18	18	79	7	7	7	7	2
saal	1714	-4.73	22	27	1827	517	32	1	1	698	326	20	1	1	4
jon	1474	-3.65	52	61	581	92	10	10	10	1939	536	3	3	3	3
club	1473	-7.05	2	2	1186	41	1	1	1	81	11	1	1	1	4
bhasa	1425	-5.52	2	9	1422	183	118	6	3	3314	87	24	5	2	5
japan	1360	-6.29	8	10	581	235	2	2	2	1939	668	13	4	1	5
log	1318	-4.43	20	28	721	107	8	8	8	401	12	4	4	4	3
uske	1294	-5.6	22	27	268	37	8	2	2	1904	97	9	1	1	4
district	1289	-8.58	0	0	961	164	32	4	4	823	33	5	3	3	8
jiske	1287	-6.74	12	17	581	75	17	3	2	1904	97	9	3	1	5
khatir	1211	-6.85	8	13	1264	167	88	7	4	1329	75	5	5	3	6
sab	1205	-4.27	26	32	1827	517	22	22	22	81	28	2	2	2	3
india	1131	-5.66	0	5	506	162	34	15	6	3314	261	19	3	2	5
city	1056	-5.55	0	1	1186	31	7	2	2	703	64	34	2	2	4
bhi	1055	-3.6	22	29	1422	183	18	18	18	1885	275	5	5	5	3
din	1024	-3.61	36	44	961	164	14	14	14	1939	271	18	18	18	3
logan	1019	-5.38	4	5	721	107	8	2	2	1939	668	20	3	2	5
th	996	-3.0	34	44	1028	114	114	114	114	448	87	87	87	87	2
hoe	980	-4.56	26	37	749	112	2	2	2	1904	13	3	3	3	3
bhais	972	-5.2	8	12	1422	183	118	10	1	1659	237	40	9	1	5
state	959	-5.66	4	9	1827	145	44	11	4	1904	172	77	3	2	5
gaon	942	-4.92	8	10	741	204	3	1	1	1939	536	15	11	11	4
and	935	-3.73	18	29	1381	167	34	34	34	679	123	81	81	81	3
kare	923	-4.42	28	39	1264	486	100	9	9	1904	194	39	1	1	4
division	919	-8.29	0	0	961	164	9	6	2	1939	536	191	21	4	8
ka	916	-2.38	62	74	1264	486	486	486	486	3314	183	183	183	183	2
karis	845	-4.88	22	26	1264	486	100	10	1	1659	237	29	6	1	5
des	840	-3.29	28	33	961	233	26	26	26	1659	353	24	24	24	3
nai	836	-4.06	36	44	751	322	17	17	17	1885	126	7	7	7	3
suruu	836	-7.0	4	7	1827	182	28	5	2	505	7	3	1	1	5
baad	833	-5.19	28	31	1422	531	26	4	4	679	87	21	2	2	4
election	819	-6.88	0	3	494	65	24	19	19	1939	536	191	149	22	8
may	811	-3.97	48	53	1545	678	10	10	10	703	84	2	2	2	3
kar	798	-3.1	38	50	1264	486	100	100	100	1329	459	36	36	36	3
pe	794	-3.16	68	77	1227	113	113	113	113	1904	37	37	37	37	2
to	792	-2.73	50	65	1028	155	155	155	155	1212	155	155	155	155	2
naam	768	-5.31	18	23	751	322	17	4	4	435	126	14	4	4	4
talak	762	-6.28	8	12	1028	286	20	5	1	348	75	6	2	1	5
august	722	-7.46	0	1	1381	52	5	5	5	823	120	7	1	1	6
lekin	715	-6.06	2	3	721	129	7	1	1	1939	271	10	2	2	5
ba	702	-2.61	58	76	1422	531	531	531	531	3314	83	83	83	83	2
april	701	-7.65	2	2	1381	45	1	1	1	698	72	5	1	1	5
jaada	691	-5.49	14	17	581	235	30	2	1	3314	165	41	4	1	5
araria	690	-7.01	2	3	1381	156	26	2	1	3314	261	43	22	2	6
october	688	-8.93	0	0	321	18	3	1	1	1329	424	25	2	1	7
s	675	-4.3	0	22	1827	1827	1827	1827	1827	1659	1659	1659	1659	1659	1
july	668	-5.49	2	2	581	64	9	1	1	703	95	3	1	1	4
jaawe	659	-6.32	16	20	581	235	30	3	1	1904	37	16	8	2	5
jisme	656	-6.69	8	11	581	75	17	1	1	1904	81	5	2	1	5
january	655	-8.48	0	0	581	235	40	2	1	703	121	37	2	1	7
waala	654	-6.39	12	14	308	125	4	3	1	3314	196	51	4	1	5
bihar	646	-5.92	2	6	1422	111	3	2	2	1329	459	49	2	1	5
praant	645	-6.28	2	4	1227	215	88	9	3	823	141	34	2	1	6
school	644	-8.68	0	1	1827	47	21	9	2	698	32	4	1	1	6
island	641	-6.7	0	2	506	95	15	10	5	679	123	81	37	4	6
capital	632	-7.79	0	2	1186	230	14	5	4	698	326	27	4	2	7
south	632	-5.75	4	8	1827	149	28	11	10	448	87	10	7	1	5
rahin	626	-5.55	20	25	834	275	32	8	1	1939	271	29	5	1	5
abaadi	614	-7.59	2	2	1381	84	11	1	1	1885	69	22	4	1	6
purnia	614	-6.42	2	2	1227	83	34	1	1	3314	261	42	3	1	6
jab	611	-4.69	32	35	581	235	4	4	4	81	28	4	4	4	3
barraa	607	-5.98	12	17	1422	531	94	24	4	3314	257	48	23	5	6
september	605	-10.23	0	0	1827	164	4	1	1	1329	424	25	12	6	9
indian	605	-6.4	0	3	506	162	34	15	6	1939	668	119	6	1	6
final	602	-6.12	2	3	525	77	13	7	3	698	326	31	7	1	5
june	587	-5.07	16	18	581	64	11	1	1	1904	215	11	1	1	4
february	577	-10.64	0	0	525	63	1	1	1	703	121	37	2	1	8
hindustani	574	-10.69	0	0	749	133	19	15	10	1885	174	87	19	4	10
march	571	-5.56	4	6	1545	678	104	11	1	448	75	5	3	1	5
in	566	-2.82	34	54	506	162	162	162	162	1939	271	271	271	271	2
rahe	566	-5.39	30	36	834	275	32	2	2	1904	70	9	1	1	4
brazil	559	-7.41	0	1	1422	84	31	2	1	698	72	4	3	1	6
december	554	-9.37	0	0	961	233	12	1	1	1329	424	25	12	6	8
aapan	549	-6.27	4	6	1381	78	5	2	2	1939	668	13	4	1	5
pahila	538	-6.35	8	10	1227	435	38	9	4	3314	196	29	4	1	6
constituency	537	-13.4	0	0	1186	318	96	26	13	703	20	11	8	2	12
a	529	-4.3	0	36	1381	1381	1381	1381	1381	3314	3314	3314	3314	3314	1
jaae	506	-5.03	34	42	581	235	30	2	2	1904	86	12	1	1	4
census	504	-8.1	0	0	1186	58	13	2	1	1659	95	4	1	1	6
language	502	-9.12	0	0	721	241	26	7	4	1904	72	32	1	1	8
member	500	-6.36	0	3	1545	166	11	5	4	1329	424	25	12	6	6
kaam	496	-5.08	8	14	1264	486	31	2	2	435	126	14	1	1	4
november	494	-8.6	0	0	751	108	7	4	1	1329	424	25	12	6	8
party	486	-5.33	6	7	1227	435	132	18	1	703	64	6	1	1	5
time	467	-5.98	8	11	1028	79	13	2	2	1904	81	8	2	2	4
suva	463	-5.92	10	11	1827	182	2	1	1	3314	38	3	1	1	4
karaa	456	-4.96	32	38	1264	486	100	52	7	3314	257	48	10	1	5
duusra	449	-7.5	2	3	961	93	13	3	2	3314	431	8	2	1	6
khalaas	443	-7.84	2	5	1264	167	88	11	3	1659	179	23	2	2	7
turkey	425	-7.42	0	0	1028	65	16	9	1	703	72	4	1	1	6
khela	425	-5.78	12	16	1264	167	23	13	6	3314	196	23	4	1	5
lae	421	-4.37	40	51	721	241	1	1	1	1904	86	7	7	7	3
leap	414	-6.36	6	6	721	129	19	1	1	124	19	1	1	1	4
mutabik	413	-9.35	0	0	1545	149	7	2	1	348	58	1	1	1	7
dher	410	-5.1	6	9	961	65	5	1	1	1329	424	37	1	1	4
jahaaj	409	-7.12	4	7	581	235	17	12	3	78	28	8	2	1	6
dui	406	-5.12	26	29	961	93	1	1	1	1885	22	1	1	1	3
north	404	-5.85	0	1	751	108	32	7	7	448	87	10	3	1	5
lautoka	396	-8.2	0	0	721	241	20	12	1	3314	183	18	2	1	7
foootball	392	-10.62	0	0	525	66	6	1	1	698	56	16	5	3	9
nadi	388	-5.07	22	28	751	322	19	5	5	1885	69	22	1	1	4
is	387	-2.95	40	61	506	95	95	95	95	1659	237	237	237	237	2
dafe	383	-6.91	10	11	961	191	1	1	1	1904	7	3	1	1	4
dewa	378	-4.7	16	23	961	233	10	8	8	3314	167	13	4	4	4
bachaa	372	-5.71	2	4	1422	531	22	14	6	3314	257	32	5	1	6
rakam	370	-5.92	2	4	834	275	22	1	1	435	126	5	2	1	5
biich	363	-6.58	0	1	1422	111	5	2	2	448	75	28	2	1	5
council	353	-7.84	2	3	1186	318	20	9	3	698	72	4	4	2	7
east	345	-5.88	12	15	494	13	5	3	3	823	120	13	5	5	4
banaa	341	-5.19	22	29	1422	531	76	26	7	3314	257	28	19	2	5
west	329	-5.32	12	14	308	43	6	4	4	823	120	32	4	4	4
harais	329	-6.24	6	8	749	289	59	10	1	1659	237	40	4	2	6
men	325	-3.35	46	52	1545	166	21	21	21	1939	223	17	17	17	3
soccer	325	-6.84	0	0	1827	149	16	1	1	1329	424	7	1	1	6
de	321	-2.83	62	77	961	233	233	233	233	1904	83	83	83	83	2
bahut	321	-6.32	4	8	1422	531	34	7	3	823	36	2	1	1	5
diis	316	-5.91	10	11	961	164	3	1	1	1659	237	3	1	1	4
pahile	315	-6.39	8	12	1227	435	38	9	4	1904	158	26	6	2	6
pool	313	-6.26	8	10	1227	122	8	2	2	698	32	4	3	3	4
