word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
je	1197133	-2.76	46	51	369	127	127	127	127	3104	822	822	822	822	2
u	1001667	-4.3	0	27	805	805	805	805	805	1765	1765	1765	1765	1765	1
i	989539	-4.3	0	29	851	851	851	851	851	2818	2818	2818	2818	2818	1
se	470202	-3.16	64	74	2114	107	107	107	107	3104	37	37	37	37	2
na	434476	-1.92	60	75	1159	646	646	646	646	4948	747	747	747	747	2
su	362563	-2.88	62	71	2114	181	181	181	181	1765	42	42	42	42	2
od	271952	-3.37	46	60	1275	247	247	247	247	207	29	29	29	29	2
za	247892	-2.8	40	46	729	413	413	413	413	4948	52	52	52	52	2
a	201661	-4.3	0	35	551	551	551	551	551	4948	4948	4948	4948	4948	1
da	175945	-2.81	54	67	1074	117	117	117	117	4948	181	181	181	181	2
s	163236	-4.3	0	29	2114	2114	2114	2114	2114	234	234	234	234	234	1
godine	162712	-5.79	6	6	575	134	19	18	6	3104	589	116	10	2	6
koji	139069	-4.27	14	17	1196	394	13	4	4	2818	243	8	1	1	4
kao	137919	-3.76	16	21	1196	246	3	3	3	1676	259	14	14	14	3
iz	134114	-3.93	28	33	851	347	347	347	347	44	4	4	4	4	2
te	115178	-2.76	52	60	794	207	207	207	207	3104	139	139	139	139	2
do	102843	-3.32	42	57	1074	338	338	338	338	1676	16	16	16	16	2
bio	88352	-3.64	16	21	830	131	8	8	8	1676	287	15	15	15	3
sa	88007	-2.67	66	81	2114	214	214	214	214	4948	90	90	90	90	2
ili	79709	-4.19	10	16	851	17	12	12	12	2818	317	113	113	113	3
što	78587	-5.41	4	5	172	19	3	3	3	1676	68	6	6	6	3
nakon	74003	-5.66	4	4	1159	646	10	1	1	670	95	4	2	1	5
o	64322	-4.3	0	29	1275	1275	1275	1275	1275	1676	1676	1676	1676	1676	1
koja	63391	-3.9	26	27	1196	394	13	1	1	4948	718	15	1	1	4
po	61886	-3.95	40	49	2898	1116	1116	1116	1116	1676	3	3	3	3	2
koje	60672	-4.07	20	23	1196	394	13	5	5	3104	822	14	1	1	4
to	59875	-3.39	42	55	794	85	85	85	85	1676	68	68	68	68	2
prema	54803	-4.3	4	7	2898	1131	284	13	1	4948	576	12	4	4	5
nije	50336	-4.31	8	10	1159	94	7	7	7	3104	822	294	38	38	4
ali	50047	-3.7	8	15	551	68	3	3	3	2818	317	113	113	113	3
bi	47959	-3.25	46	55	830	131	131	131	131	2818	39	39	39	39	2
ne	47255	-2.27	58	70	1159	175	175	175	175	3104	589	589	589	589	2
kako	45243	-5.25	10	13	1196	246	10	1	1	1676	170	17	5	5	4
ga	42752	-3.3	46	51	575	36	36	36	36	4948	88	88	88	88	2
bila	42737	-4.01	28	32	830	131	29	1	1	4948	419	126	8	8	4
zbog	41579	-5.02	2	3	729	18	5	1	1	517	391	3	1	1	4
oko	41163	-4.04	16	19	1275	85	21	21	21	1676	170	7	7	7	3
ima	36441	-3.46	14	24	851	35	14	14	14	4948	576	321	321	321	3
prvi	34193	-4.71	10	14	2898	1131	30	5	5	2818	150	3	1	1	4
sve	34145	-3.27	22	27	2114	176	53	53	53	3104	142	2	2	2	3
samo	33371	-5.08	12	18	2114	214	37	29	29	1676	33	9	1	1	4
više	32528	-5.57	18	19	716	150	12	5	5	3104	23	8	5	5	4
kod	32215	-5.34	26	29	1196	394	3	3	3	207	29	1	1	1	3
dok	32117	-4.22	26	28	1074	338	28	28	28	337	26	2	2	2	3
može	31789	-5.02	12	12	925	170	6	3	3	3104	47	3	1	1	4
još	31672	-5.9	10	12	369	40	2	2	2	19	6	1	1	1	3
godina	31553	-5.8	6	6	575	134	19	18	6	4948	747	127	12	3	6
gdje	31479	-4.85	0	1	575	2	1	1	1	3104	822	8	6	6	4
pod	31431	-3.79	18	23	2898	1116	106	106	106	207	29	2	2	2	3
tako	30897	-5.24	12	16	794	93	21	4	4	1676	170	17	1	1	4
nalazi	30711	-6.15	4	7	1159	646	20	14	14	2818	40	21	12	2	6
će	30689	-3.98	36	37	11	5	5	5	5	3104	65	65	65	65	2
ih	30513	-4.34	38	42	851	1	1	1	1	543	474	474	474	474	2
kada	30013	-4.63	26	30	1196	246	4	2	2	4948	181	57	7	7	4
uz	29884	-4.08	22	25	805	51	51	51	51	44	4	4	4	4	2
grad	29810	-4.4	16	22	575	181	109	42	42	207	45	8	4	4	4
vrijeme	29514	-7.62	2	2	716	92	13	13	13	3104	63	8	2	1	7
mu	29489	-3.07	72	77	925	56	56	56	56	1765	44	44	44	44	2
bilo	28610	-4.49	8	9	830	131	29	2	2	1676	152	39	3	3	4
također	28475	-10.65	0	0	794	93	21	4	1	339	109	1	1	1	7
jedan	28330	-5.8	0	2	369	127	69	4	4	670	256	21	6	4	5
stanovnika	28190	-8.24	0	0	2114	418	154	48	12	4948	546	139	93	10	10
tijekom	28128	-7.64	4	4	794	65	9	9	3	1219	683	182	6	4	7
između	27586	-6.51	2	2	851	347	8	2	1	1765	11	3	2	1	6
danas	26225	-6.47	2	3	1074	117	36	12	1	234	28	4	1	1	5
dio	25117	-3.36	20	24	1074	143	6	6	6	1676	287	45	45	45	3
bili	25017	-4.02	18	21	830	131	29	2	2	2818	317	113	9	9	4
dva	24867	-3.89	12	17	1074	46	9	9	9	4948	350	2	2	2	3
pa	24714	-3.01	52	65	2898	172	172	172	172	4948	54	54	54	54	2
no	23272	-2.67	48	62	1159	139	139	139	139	1676	428	428	428	428	2
toga	23185	-5.37	18	20	794	85	2	1	1	4948	88	40	4	4	4
nekoliko	22539	-8.93	0	0	1159	175	27	9	3	1676	170	7	5	4	8
prije	22517	-3.28	4	6	2898	1131	334	58	37	3104	822	294	31	3	5
jer	22512	-4.41	6	9	369	127	7	7	7	339	109	8	8	8	3
kasnije	22500	-7.03	4	6	1196	246	15	14	10	3104	822	294	38	2	7
tri	21713	-4.0	8	10	794	198	14	14	14	2818	93	6	6	6	3
svoje	21529	-4.95	12	15	2114	176	26	19	7	3104	822	14	4	1	5
stanovništva	21288	-10.52	0	0	2114	418	154	48	12	4948	350	56	12	7	12
biti	21275	-3.85	8	13	830	131	15	1	1	2818	534	165	11	11	4
