word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
nan	139882	-4.03	46	51	494	112	10	10	10	3018	624	14	14	14	3
istwa	73311	-6.34	0	1	346	36	5	1	1	2040	96	18	4	4	5
se	71641	-2.51	60	75	1474	233	233	233	233	3245	174	174	174	174	2
yon	53753	-3.41	36	44	126	22	4	4	4	3018	1205	391	391	391	3
sa	50613	-2.75	56	78	1474	238	238	238	238	2040	86	86	86	86	2
li	44646	-3.27	56	73	982	177	177	177	177	760	60	60	60	60	2
yo	43568	-4.3	44	50	126	22	22	22	22	1287	27	27	27	27	2
moun	42321	-4.96	10	14	1598	287	26	8	8	3018	29	11	3	3	4
kiba	40049	-6.02	6	7	936	82	2	1	1	2040	55	9	2	2	4
vil	36657	-3.41	46	50	482	151	30	30	30	915	108	15	15	15	3
ayisyen	36089	-7.91	6	7	1470	28	8	5	3	3018	396	76	13	9	7
pwovens	27445	-7.1	4	4	1563	88	65	7	2	1945	237	36	4	2	7
lang	23516	-4.28	30	32	982	321	61	17	17	296	145	22	3	3	4
genyen	23305	-6.93	4	5	819	87	25	1	1	3018	396	76	16	7	6
kèk	22759	-4.99	16	17	936	7	2	2	2	509	22	1	1	1	3
pèsonalite	22108	-10.49	0	0	1563	29	8	5	5	3245	423	125	37	17	10
ki	19638	-3.46	54	63	936	82	82	82	82	760	22	22	22	22	2
lane	19315	-4.61	40	47	982	321	61	2	2	3245	273	28	2	2	4
ayiti	17918	-7.09	0	1	1470	28	8	1	1	760	96	12	2	2	5
kat	16420	-4.26	46	49	936	202	23	23	23	987	61	1	1	1	3
pou	16419	-3.86	52	59	1563	210	35	35	35	218	104	6	6	6	3
l	16073	-4.3	0	13	982	982	982	982	982	915	915	915	915	915	1
ak	15823	-3.39	30	43	1470	53	53	53	53	509	42	42	42	42	2
popilasyon	14387	-9.17	0	0	1563	210	11	4	4	3018	1205	391	332	182	10
eta	14110	-4.04	8	22	932	54	12	12	12	2040	224	33	33	33	3
non	13908	-3.49	48	54	494	129	7	7	7	3018	1205	24	24	24	3
menm	13790	-5.07	10	12	1598	222	42	3	3	393	29	3	3	3	4
