word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
a	6079331	-4.3	0	32	919	919	919	919	919	2058	2058	2058	2058	2058	1
az	1911992	-4.09	36	41	919	39	39	39	39	310	10	10	10	10	2
és	1616478	-3.73	50	54	438	23	23	23	23	1517	152	152	152	152	2
is	608952	-3.15	60	66	500	76	76	76	76	1517	118	118	118	118	2
egy	479435	-3.8	8	12	1233	196	176	176	176	408	54	10	10	10	3
volt	415131	-4.46	14	17	1011	62	14	7	7	3197	291	41	2	2	4
hogy	412127	-5.83	4	5	1125	143	3	3	3	408	54	9	7	7	4
ben	395777	-2.63	32	39	913	271	16	16	16	2056	696	351	351	351	3
nem	337618	-4.46	16	21	675	131	40	40	40	240	47	5	5	5	3
meg	251931	-3.24	14	17	1570	599	422	422	422	444	56	2	2	2	3
de	216915	-3.9	50	62	414	68	68	68	68	1433	18	18	18	18	2
ban	207176	-2.69	42	51	913	146	10	10	10	2056	671	488	488	488	3
el	171628	-2.55	54	71	1233	540	540	540	540	1057	250	250	250	250	2
első	171392	-4.17	4	10	1233	540	21	12	12	371	21	10	6	6	4
magyar	155749	-6.21	0	0	1570	237	86	25	25	515	39	1	1	1	6
vagy	147376	-5.26	8	11	1011	130	10	10	10	408	54	11	2	2	4
között	140346	-4.33	4	5	1913	388	168	19	3	3197	597	67	19	8	6
es	136946	-2.99	66	73	1233	73	73	73	73	1517	300	300	300	300	2
után	136770	-5.36	2	5	204	75	6	6	6	2056	168	28	6	6	4
már	134237	-4.44	30	34	1570	82	21	21	21	515	82	4	4	4	3
két	132402	-3.31	30	33	1913	196	21	21	21	3197	216	15	15	15	3
csak	128914	-4.13	8	9	512	252	100	6	6	2714	498	14	6	6	4
ki	127263	-2.75	46	56	1913	351	351	351	351	1817	50	50	50	50	2
ez	126315	-3.89	42	46	1233	36	36	36	36	310	55	55	55	55	2
mint	125357	-3.84	10	14	1570	172	91	12	12	3197	171	19	4	4	4
