word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
է	244956	-4.3	0	11	146	146	146	146	146	8	8	8	8	8	1
և	114737	-4.42	0	5	3	3	3	3	3	49	49	49	49	49	1
են	68997	-3.55	28	38	490	29	29	29	29	3760	142	142	142	142	2
էր	61028	-3.98	34	39	146	7	7	7	7	1086	3	3	3	3	2
կազմում	48769	-5.65	0	1	1337	562	66	61	6	1662	1544	1544	25	4	7
մարդ	45009	-4.54	20	23	1356	500	158	20	20	166	66	24	3	3	4
գյուղ	42580	-5.8	4	8	899	46	45	44	33	252	6	6	4	1	5
շրջան	40600	-3.67	0	3	377	56	54	47	30	3760	1893	10	7	7	5
թ	38749	-4.3	0	6	415	415	415	415	415	99	99	99	99	99	1
թվականի	38450	-6.48	4	7	415	33	22	12	12	3865	468	245	21	16	7
ա	38162	-4.3	0	28	2340	2340	2340	2340	2340	655	655	655	655	655	1
մ	37928	-4.3	0	18	1356	1356	1356	1356	1356	1662	1662	1662	1662	1662	1
տվյալներով	34842	-9.96	0	0	731	12	7	7	7	639	532	154	128	81	10
ին	34000	-2.55	26	48	349	103	103	103	103	3760	940	940	940	940	2
թվականին	29224	-7.46	0	2	415	33	22	12	12	3760	940	53	32	5	8
մեծ	28002	-4.49	12	16	1356	229	36	36	36	401	2	2	2	2	3
իր	22746	-3.16	32	40	349	90	90	90	90	1086	75	75	75	75	2
կմ²	22373	-5.33	0	2	1337	5	1	1	1	2	2	1	1	1	3
հետ	21887	-3.31	18	22	1940	253	76	76	76	320	68	3	3	3	3
ի	20360	-4.3	0	22	349	349	349	349	349	3865	3865	3865	3865	3865	1
հարթությունը	20033	-7.52	0	0	1940	1033	139	10	2	2221	603	286	286	269	12
բնակչությունը	19802	-7.96	0	0	941	84	62	43	7	2221	603	286	286	269	13
վրա	19593	-5.19	14	19	698	26	20	20	20	655	30	1	1	1	3
բնակչության	19507	-7.34	0	0	941	84	62	43	7	3760	1893	636	413	410	11
կողմից	17091	-6.61	2	3	1337	323	28	23	3	919	522	34	1	1	6
բնակվում	16856	-6.3	0	0	941	84	62	43	4	1662	1544	1544	247	27	8
գյուղում	15759	-6.47	0	0	899	46	45	44	33	1662	1544	1544	16	3	8
գրանցված	15422	-7.6	0	0	899	147	72	11	8	401	377	260	35	1	8
ժամանակ	15198	-6.47	2	5	152	89	55	44	42	349	149	32	13	4	7
աստերոիդների	14458	-9.51	0	0	2340	139	82	7	7	3865	1076	881	668	20	12
մասին	13901	-4.86	8	11	1356	500	83	5	1	3760	940	34	3	1	5
մեկ	13900	-4.58	18	24	1356	229	28	28	28	349	9	2	2	2	3
նաև	13243	-5.82	8	9	715	182	1	1	1	49	2	1	1	1	3
ընթացքում	13013	-7.73	0	0	173	166	13	10	9	1662	1544	1544	52	1	9
որ	13004	-3.39	28	43	464	86	86	86	86	1086	138	138	138	138	2
մարզի	12355	-5.74	6	12	1356	500	158	34	11	3865	24	1	1	1	5
շրջանում	12138	-5.15	0	0	377	56	54	47	30	1662	1544	1544	273	132	8
նրանց	12047	-6.71	8	10	715	10	9	8	3	919	28	23	6	1	5
ու	12005	-3.25	12	27	464	290	290	290	290	285	278	278	278	278	2
շուրջ	11985	-7.06	2	4	377	49	27	4	4	33	7	3	3	1	5
որը	11978	-4.18	10	15	464	86	1	1	1	2221	718	22	22	22	3
միջին	11893	-4.58	2	3	1356	259	64	6	5	3760	940	9	1	1	5
հեռավորության	11851	-7.81	0	0	1940	253	71	42	8	3760	1893	636	413	410	13
համար	11802	-4.64	12	17	1940	1033	207	152	15	1086	168	13	4	1	5
մասը	11496	-4.38	14	16	1356	500	83	1	1	2221	81	13	3	3	4
հիմնական	11487	-5.56	0	0	1940	142	64	48	33	3760	1893	666	630	112	8
տարածքը	11321	-6.55	4	5	731	247	130	52	41	2221	112	9	8	1	7
ուկրաինայի	11294	-10.57	0	0	464	290	10	10	10	3865	385	341	21	7	10
նրանք	11068	-6.77	6	7	715	10	9	8	1	205	50	16	4	1	5
