word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
le	72940	-2.83	60	73	646	124	124	124	124	4100	248	248	248	248	2
de	50122	-2.48	70	86	1111	420	420	420	420	4100	179	179	179	179	2
in	30771	-2.68	44	58	1055	654	654	654	654	1565	119	119	119	119	2
e	26310	-4.3	0	36	1009	1009	1009	1009	1009	4100	4100	4100	4100	4100	1
del	26122	-4.01	30	34	1111	420	33	33	33	655	69	6	6	6	3
un	23391	-3.71	38	53	212	77	77	77	77	1565	23	23	23	23	2
es	17523	-2.49	46	60	1009	119	119	119	119	3232	1143	1143	1143	1143	2
que	13905	-3.23	20	24	132	117	24	24	24	4100	89	48	48	48	3
a	8621	-4.3	0	38	1801	1801	1801	1801	1801	3670	3670	3670	3670	3670	1
su	7431	-3.69	62	75	1639	279	279	279	279	138	6	6	6	6	2
al	7027	-2.5	48	64	1801	223	223	223	223	655	445	445	445	445	2
pro	6845	-2.66	12	18	1869	562	290	290	290	2458	206	4	4	4	3
per	6795	-2.91	28	37	1869	304	157	157	157	1349	420	8	8	8	3
se	6216	-2.41	76	94	1639	267	267	267	267	4100	249	249	249	249	2
esseva	6184	-6.27	2	4	1009	119	27	14	1	3670	788	238	3	2	6
con	6158	-2.21	36	41	2246	1035	465	465	465	1565	923	6	6	6	3
como	6076	-3.67	14	16	2246	1035	247	4	4	2458	220	13	2	2	4
ha	4807	-3.19	56	69	547	133	133	133	133	3670	40	40	40	40	2
plus	4721	-4.85	2	4	1869	95	24	2	2	3232	105	7	1	1	4
o	4493	-4.3	0	30	485	485	485	485	485	2458	2458	2458	2458	2458	1
ille	4123	-4.58	8	13	1055	38	28	5	5	4100	248	37	14	14	4
iste	3779	-4.22	8	13	1055	49	11	3	3	4100	2171	38	14	14	4
non	3631	-4.06	30	35	507	128	8	8	8	1565	923	9	9	9	3
illo	3365	-4.69	8	12	1055	38	28	2	2	2458	184	63	21	21	4
pote	2281	-4.11	12	16	1869	238	21	17	17	4100	2171	14	2	2	4
altere	2264	-6.96	4	7	1801	223	36	22	19	4100	220	49	7	1	6
citate	2099	-4.93	2	3	2246	76	11	10	6	4100	2171	893	326	219	6
lingua	2077	-6.51	6	9	646	161	35	14	12	3670	37	11	4	3	6
il	1970	-4.01	44	55	1055	38	38	38	38	655	39	39	39	39	2
inter	1860	-4.41	4	6	1055	654	182	153	114	1349	420	59	5	2	5
grande	1846	-5.62	0	2	586	126	69	22	7	4100	179	40	4	1	6
esser	1760	-5.58	2	7	1009	119	27	14	5	1349	420	12	5	3	5
habeva	1750	-6.22	6	6	547	133	32	6	1	3670	788	238	6	2	6
prime	1716	-5.42	6	8	1869	562	57	19	6	4100	84	35	3	3	5
annos	1645	-5.15	0	2	1801	214	22	4	1	3232	940	116	2	2	5
super	1644	-4.19	2	3	1639	279	65	40	40	1349	420	8	1	1	5
ma	1618	-2.57	70	88	1288	447	447	447	447	3670	133	133	133	133	2
on	1527	-3.68	34	50	485	12	12	12	12	1565	923	923	923	923	2
era	1521	-4.26	26	34	1009	47	5	5	5	3670	350	86	86	86	3
lo	1480	-2.93	54	65	646	100	100	100	100	2458	184	184	184	184	2
duo	1457	-4.44	22	27	1111	66	5	5	5	2458	12	4	4	4	3
post	1371	-5.35	2	6	1869	238	56	26	26	294	37	3	2	2	4
durante	1367	-5.97	0	0	1111	66	13	8	1	4100	2171	724	197	33	7
ab	1338	-4.06	54	60	1801	75	75	75	75	50	9	9	9	9	2
la	1322	-2.93	58	71	646	154	154	154	154	3670	177	177	177	177	2
qui	1292	-4.22	20	23	132	117	18	18	18	477	8	2	2	2	3
multe	1275	-4.48	6	8	1288	108	23	18	2	4100	2171	6	4	1	5
lor	1257	-4.24	22	27	646	100	8	8	8	1349	245	8	8	8	3
trova	1230	-4.74	4	5	916	237	29	7	7	3670	788	12	3	2	5
parte	1186	-4.4	10	15	1869	340	121	41	3	4100	2171	26	7	4	5
stato	1175	-4.49	2	5	1639	171	65	23	5	2458	501	84	10	2	5
sud	1173	-4.85	24	25	1639	279	8	8	8	222	9	1	1	1	3
espania	1161	-7.7	0	0	1009	119	22	10	5	3670	725	71	28	5	7
tote	1159	-4.92	12	14	916	118	13	4	4	4100	2171	14	1	1	4
statos	1157	-4.98	4	6	1639	171	65	23	5	3232	940	236	52	7	6
provincia	1101	-7.44	0	0	1869	562	290	33	17	3670	725	53	20	1	9
quando	1086	-6.4	4	5	132	117	61	13	3	2458	123	20	9	3	6
nove	1086	-4.56	24	26	507	128	16	9	9	4100	186	10	1	1	4
linguas	1027	-7.54	4	5	646	161	35	14	12	3232	715	5	3	2	7
anque	1018	-5.6	0	1	1801	214	1	1	1	4100	89	48	12	1	5
qual	1016	-3.8	8	12	132	117	61	16	16	655	445	43	5	5	4
unite	1013	-4.59	0	2	212	77	49	7	2	4100	2171	339	39	3	5
communitate	1010	-7.16	0	0	2246	1035	247	68	27	4100	2171	893	326	219	11
illos	1008	-5.02	4	6	1055	38	28	2	1	3232	940	92	26	8	5
seculo	1002	-5.87	2	4	1639	267	42	16	4	2458	184	38	23	2	6
usque	980	-6.16	2	2	212	23	1	1	1	4100	89	48	5	2	5
isto	972	-4.66	8	13	1055	49	11	2	2	2458	501	29	4	4	4
omne	970	-6.55	4	6	485	20	8	2	2	4100	171	2	1	1	4
nomine	940	-6.38	4	5	507	128	18	10	10	4100	171	64	24	9	6
multo	934	-5.03	6	7	1288	108	23	18	2	2458	501	11	5	2	5
son	922	-3.32	36	43	1639	134	21	21	21	1565	923	41	41	41	3
anno	910	-4.8	6	9	1801	214	22	4	4	2458	254	6	4	4	4
municipalitate	908	-11.34	0	0	1288	108	15	7	6	4100	2171	893	326	219	14
habitantes	905	-8.28	0	0	547	133	32	23	17	3232	1143	206	91	36	10
si	901	-3.82	70	88	1639	149	149	149	149	477	17	17	17	17	2
population	891	-8.07	0	0	1869	238	15	13	13	1565	923	734	605	408	10
autonome	885	-9.54	0	0	1801	105	42	30	3	4100	84	8	2	1	8
mundo	874	-5.22	10	11	1288	108	15	7	2	2458	123	20	3	1	5
essite	870	-5.42	0	0	1009	119	27	1	1	4100	2171	339	6	1	6
esse	864	-4.5	6	10	1009	119	27	14	14	4100	249	23	7	7	4
pais	852	-5.23	8	10	1869	340	14	5	5	3232	118	12	1	1	4
illes	842	-5.02	4	7	1055	38	28	5	1	3232	1143	127	12	5	5
nord	840	-5.14	8	10	507	128	32	8	8	222	46	16	1	1	4
mesme	825	-8.76	6	7	1288	247	32	4	2	4100	84	2	1	1	5
secundo	803	-7.5	6	6	1639	267	42	16	7	2458	123	20	3	1	7
tempore	793	-7.72	0	1	916	199	21	18	8	4100	220	28	4	2	7
forma	785	-4.78	6	11	697	118	77	30	18	3670	133	17	8	7	5
numero	784	-7.02	2	3	507	56	18	12	12	2458	206	60	7	2	6
sur	781	-4.06	32	35	1639	279	21	21	21	1349	32	2	2	2	3
augusto	774	-7.37	4	6	1801	105	18	10	10	2458	501	29	7	2	7
ante	770	-3.11	10	18	1801	214	64	17	17	4100	2171	724	197	197	4
januario	762	-9.64	0	0	283	60	7	2	2	2458	292	88	49	6	8
europee	758	-8.68	2	3	1009	38	16	13	8	4100	46	3	3	3	7
usate	755	-5.13	2	3	212	23	11	3	1	4100	2171	893	72	5	5
et	754	-3.88	42	54	1009	38	38	38	38	294	39	39	39	39	2
historia	751	-7.76	0	0	547	65	22	14	14	3670	725	86	16	7	8
ubi	743	-5.61	12	14	212	8	7	7	7	477	16	2	2	2	3
julio	743	-6.74	4	4	283	96	10	8	1	2458	292	32	1	1	5
interlingua	741	-10.69	0	0	1055	654	182	153	114	3670	37	11	4	3	11
solmente	741	-6.13	0	0	1639	134	37	1	1	4100	2171	724	510	296	8
maio	736	-5.84	18	23	1288	447	11	2	2	2458	292	3	1	1	4
decembre	726	-9.75	0	0	1111	420	61	13	2	4100	220	13	6	3	8
ben	712	-4.39	26	31	744	114	35	35	35	1565	121	4	4	4	3
international	711	-9.6	0	0	1055	654	182	153	114	655	445	94	59	51	13
april	711	-7.78	2	2	1801	155	2	1	1	655	39	3	1	1	5
circa	709	-6.56	6	6	2246	76	23	22	1	3670	190	11	1	1	5
etiam	694	-7.31	0	0	1009	38	5	1	1	225	36	4	1	1	5
anglese	690	-7.8	4	5	1801	214	26	11	2	4100	249	57	4	3	7
assi	687	-5.2	10	13	1801	142	72	19	19	477	17	2	1	1	4
systema	685	-8.04	4	6	1639	64	7	7	7	3670	133	19	4	3	7
plure	684	-6.86	0	3	1869	95	24	8	3	4100	220	21	1	1	5
vita	684	-4.04	14	20	589	216	16	5	5	3670	377	54	5	5	4
novembre	683	-9.26	0	0	507	128	16	9	4	4100	220	13	6	3	8
octobre	682	-9.69	2	2	485	60	11	3	2	4100	220	13	2	1	7
guerra	680	-6.83	0	1	586	76	11	9	8	3670	350	13	7	1	6
junio	675	-5.55	4	6	283	96	18	2	2	2458	292	26	1	1	5
alcun	671	-6.39	0	3	1801	223	20	6	5	1565	23	5	2	2	5
martio	668	-5.23	2	5	1288	447	109	20	11	2458	292	25	3	1	6
america	665	-6.97	0	2	1801	101	14	9	9	3670	190	120	14	5	7
ecclesia	661	-10.26	0	0	1009	28	7	4	4	3670	725	35	10	3	8
septembre	661	-10.49	0	0	1639	267	19	9	3	4100	220	13	6	3	9
importante	657	-8.18	0	0	1055	132	85	21	11	4100	2171	724	197	41	10
dies	657	-4.64	10	13	1111	395	10	1	1	3232	1143	17	2	2	4
tres	652	-3.86	8	10	916	237	16	3	3	3232	1143	219	8	8	4
lista	640	-4.7	4	8	646	161	9	5	4	3670	377	122	86	22	5
union	638	-4.8	2	2	212	77	49	2	2	1565	923	734	7	3	5
deo	635	-3.97	26	30	1111	420	3	3	3	2458	56	8	8	8	3
exemplo	624	-7.0	4	5	1009	270	31	6	6	2458	184	3	3	2	7
februario	620	-10.82	0	0	697	83	5	4	2	2458	292	88	49	6	9
italia	617	-6.51	2	5	1055	27	17	8	6	3670	725	52	13	3	6
paises	606	-7.19	2	2	1869	340	14	5	1	3232	1143	46	4	1	6
nos	601	-3.02	26	30	507	128	9	9	9	3232	940	116	116	116	3
cognoscite	597	-8.99	0	0	2246	1035	18	18	15	4100	2171	339	38	6	10
alicun	596	-7.52	2	4	1801	223	30	8	4	1565	23	5	1	1	6
santa	591	-5.23	12	14	1639	229	50	12	2	3670	377	41	13	1	5
gruppo	590	-6.87	2	4	586	126	10	8	6	2458	36	5	2	2	6
illa	585	-4.67	16	20	1055	38	28	3	3	3670	177	57	29	29	4
sin	584	-4.53	36	43	1639	149	19	19	19	1565	119	2	2	2	3
region	581	-5.07	2	3	1067	676	65	21	4	1565	923	734	4	3	6
capital	581	-6.88	2	3	2246	493	55	22	17	655	445	50	6	2	7
roman	577	-5.83	2	6	1067	119	35	27	25	1565	262	24	3	2	5
sub	568	-4.11	20	22	1639	279	84	84	84	50	5	1	1	1	3
c	568	-4.3	0	28	2246	2246	2246	2246	2246	535	535	535	535	535	1
secunde	567	-7.17	6	6	1639	267	42	16	7	4100	179	40	6	1	7
desde	560	-6.99	0	0	1111	420	69	1	1	4100	179	1	1	1	5
cata	558	-4.45	18	22	2246	493	45	21	21	3670	377	31	3	3	4
contra	554	-5.26	4	5	2246	1035	465	109	54	3670	350	30	7	2	6
tamben	547	-8.35	0	2	916	109	10	5	1	1565	121	4	1	1	6
san	545	-3.85	40	47	1639	229	50	50	50	1565	262	4	4	4	3
parolas	545	-7.48	2	3	1869	340	121	7	3	3232	715	58	6	1	7
hodie	535	-6.46	2	2	547	121	2	2	2	4100	64	9	1	1	5
los	533	-3.27	30	35	646	100	3	3	3	3232	940	92	92	92	3
brasil	530	-8.03	0	0	744	96	30	7	6	655	39	3	1	1	6
espaniol	526	-10.78	0	0	1009	119	22	10	5	655	28	3	2	2	8
sed	525	-4.91	32	37	1639	267	7	7	7	222	24	1	1	1	3
appellate	522	-7.35	0	0	1801	155	97	17	12	4100	2171	893	45	9	9
europa	519	-8.1	2	2	1009	38	16	13	8	3670	27	1	1	1	6
rege	518	-4.41	4	9	1067	676	65	8	8	4100	101	6	3	3	4
the	514	-3.98	10	14	916	88	50	50	50	4100	28	2	2	2	3
commun	514	-5.45	2	5	2246	1035	247	68	27	1565	23	4	1	1	6
deveniva	513	-7.65	0	1	1111	420	28	13	7	3670	788	86	17	11	8
parola	513	-7.0	0	2	1869	340	121	7	3	3670	177	26	2	1	6
debe	508	-5.05	4	5	1111	420	24	6	6	4100	29	3	1	1	4
principal	507	-8.91	0	0	1869	562	57	17	17	655	445	7	2	2	9
i	500	-4.3	0	34	1055	1055	1055	1055	1055	477	477	477	477	477	1
s	499	-4.3	0	28	1639	1639	1639	1639	1639	3232	3232	3232	3232	3232	1
grec	498	-5.53	6	8	586	126	24	7	7	535	17	1	1	1	4
terra	494	-5.72	6	9	916	199	51	20	3	3670	350	13	7	2	5
francese	492	-7.99	0	1	697	111	56	32	21	4100	249	57	2	1	8
citates	490	-6.12	0	1	2246	76	11	10	6	3232	1143	206	71	59	7
sol	488	-4.44	26	32	1639	134	37	37	37	655	28	2	2	2	3
personas	482	-7.06	0	1	1869	304	157	38	13	3232	715	64	6	1	8
major	477	-5.55	4	4	1288	447	11	7	7	1349	245	2	1	1	5
fin	474	-4.24	12	16	697	111	31	31	31	1565	119	5	5	5	3
causa	472	-5.92	12	15	2246	493	16	8	7	3670	165	15	3	1	5
general	465	-7.44	2	3	586	119	60	32	23	655	445	64	15	2	7
proque	462	-5.56	0	1	1869	562	290	1	1	4100	89	48	3	2	6
est	462	-4.66	16	28	1009	119	39	39	39	294	37	17	17	17	3
ex	461	-3.4	30	38	1009	270	270	270	270	53	11	11	11	11	2
differente	461	-7.54	0	0	1111	395	29	27	14	4100	2171	724	510	23	10
morte	450	-4.81	14	18	1288	260	43	8	2	4100	2171	26	6	1	5
republica	447	-8.18	0	0	1067	676	67	14	8	3670	190	120	13	3	9
mundial	446	-6.73	2	2	1288	108	15	7	3	655	445	80	3	2	7
parve	445	-5.86	2	3	1869	340	121	3	1	4100	186	4	2	1	5
regno	445	-5.28	2	4	1067	676	65	7	2	2458	254	11	1	1	5
human	444	-5.73	2	4	547	49	24	14	14	1565	262	24	5	3	5
termino	433	-7.12	4	5	916	199	51	18	14	2458	254	71	5	1	7
considerate	429	-8.41	0	0	2246	1035	465	122	22	4100	2171	893	100	22	11
latino	428	-6.34	6	10	646	154	22	11	8	2458	254	71	19	5	6
moderne	427	-7.46	4	6	1288	260	37	20	10	4100	171	12	8	2	7
tal	426	-3.95	28	32	916	109	14	14	14	655	445	50	50	50	3
politic	425	-6.72	0	2	1869	238	45	14	7	535	432	148	5	2	7
uso	420	-5.17	22	29	212	23	2	2	2	2458	104	8	8	8	3
include	416	-6.99	2	3	1055	654	83	19	14	4100	179	31	5	3	7
alteres	416	-6.86	4	6	1801	223	36	22	19	3232	1143	219	23	6	7
nominate	415	-6.63	0	0	507	128	18	10	10	4100	2171	893	75	28	8
haber	412	-5.3	8	10	547	133	32	6	3	1349	420	13	2	1	5
west	409	-6.25	6	7	134	20	4	3	3	294	37	17	3	3	4
antique	400	-6.62	4	4	1801	214	64	25	8	4100	89	48	13	2	7
libro	399	-6.37	6	7	646	161	32	6	2	2458	206	6	1	1	5
alte	399	-4.24	16	18	1801	223	36	22	22	4100	2171	6	1	1	4
minus	398	-5.77	8	8	1288	175	46	9	3	3232	105	14	5	2	5
elementos	395	-7.22	0	0	1009	84	43	4	4	3232	940	236	69	64	9
jesus	393	-7.36	0	0	283	34	5	3	1	3232	105	8	1	1	5
obras	393	-5.7	0	2	485	73	4	2	1	3232	715	73	7	1	5
national	391	-6.44	0	0	507	117	33	14	11	655	445	94	59	51	8
proprie	391	-7.42	0	2	1869	562	290	51	8	4100	64	10	2	2	7
periodo	391	-7.39	2	3	1869	304	157	19	8	2458	123	15	4	1	7
extremadura	386	-11.73	0	0	1009	270	44	19	7	3670	350	64	4	2	11
membros	381	-7.6	0	1	1288	247	13	4	4	3232	940	89	4	2	7
faceva	379	-5.5	2	2	697	121	38	7	1	3670	788	238	27	4	6
majoritate	379	-8.22	0	0	1288	447	11	7	7	4100	2171	893	326	219	10
catarina	378	-8.14	0	0	2246	493	45	21	2	3670	251	82	9	3	8
datas	378	-6.13	8	9	1111	66	10	5	1	3232	715	125	11	1	5
imperio	375	-6.8	0	2	1055	132	85	19	14	2458	292	88	15	1	7
insula	370	-6.19	0	2	1055	654	85	9	6	3670	177	32	2	2	6
francia	369	-6.2	4	5	697	111	56	32	21	3670	725	53	20	3	7
movimento	368	-8.36	0	0	1288	260	11	6	5	2458	501	172	144	127	9
ultime	367	-7.64	4	5	212	22	15	7	7	4100	84	35	10	3	6
face	366	-4.45	6	10	697	121	38	7	7	4100	125	19	3	3	4
festive	366	-6.87	0	1	697	83	7	7	5	4100	186	140	102	5	7
vices	366	-5.49	6	7	589	216	28	7	1	3232	1143	29	13	1	5
d	365	-4.3	0	24	1111	1111	1111	1111	1111	222	222	222	222	222	1
existe	365	-5.11	2	4	1009	270	28	13	13	4100	2171	38	14	1	6
popular	362	-7.2	0	0	1869	238	15	13	13	1349	545	70	40	3	7
typo	361	-5.24	4	5	916	19	13	7	7	2458	36	3	3	3	4
mar	361	-3.02	44	54	1288	447	109	109	109	1349	545	26	26	26	3
varie	359	-6.47	6	7	589	123	29	21	5	4100	64	10	3	1	5
comenciava	359	-7.73	0	0	2246	1035	247	18	9	3670	788	438	47	17	10
etate	359	-4.63	4	6	1009	38	7	2	2	4100	2171	893	326	13	5
studio	358	-6.92	4	6	1639	171	21	18	12	2458	292	20	5	1	6
en	358	-3.69	40	55	1009	81	81	81	81	1565	121	121	121	121	2
obra	356	-4.98	4	7	485	73	4	2	2	3670	350	13	1	1	4
usa	355	-4.56	22	28	212	23	11	11	11	3670	165	15	15	15	3
sexual	354	-5.67	0	1	1639	267	19	8	7	655	445	43	6	6	6
official	354	-7.23	0	1	485	23	20	11	11	655	445	80	21	8	8
vice	354	-5.13	16	19	589	216	28	7	7	4100	125	36	2	2	4
facer	353	-5.23	4	6	697	121	38	7	3	1349	420	37	7	4	5
longe	351	-6.49	4	5	646	100	17	11	3	4100	101	13	2	2	5
christo	350	-7.03	2	4	2246	161	29	15	15	2458	501	29	4	2	7
persona	345	-6.37	0	3	1869	304	157	38	13	3670	251	33	2	1	7
do	344	-2.78	64	76	1111	114	114	114	114	2458	123	123	123	123	2
quasi	343	-7.62	0	0	132	117	61	1	1	477	17	3	1	1	5
christian	342	-8.87	0	0	2246	161	29	15	15	1565	262	84	8	3	9
american	340	-8.0	0	1	1801	101	14	9	9	1565	262	21	15	9	8
loco	339	-5.69	14	16	646	100	23	3	3	2458	152	9	2	2	4
germania	338	-7.66	0	1	586	119	21	9	9	3670	725	71	28	5	8
el	335	-3.41	40	50	1009	84	84	84	84	655	69	69	69	69	2
ancora	335	-6.81	4	4	1801	214	15	3	2	3670	350	39	2	1	6
filio	334	-5.85	6	8	697	111	27	14	3	2458	292	32	13	2	5
centro	334	-5.87	6	8	2246	131	29	23	10	2458	206	49	4	2	6
latin	332	-5.9	6	8	646	154	22	11	8	1565	119	14	3	3	5
basate	332	-5.83	2	4	744	198	34	6	1	4100	2171	893	72	2	6
social	330	-6.41	0	0	1639	134	24	23	9	655	445	80	21	1	6
familia	330	-7.02	0	5	697	121	15	10	7	3670	725	52	14	3	7
governamento	329	-10.13	0	0	586	57	13	13	13	2458	501	172	144	127	12
facite	329	-5.1	6	9	697	121	38	19	2	4100	2171	339	38	5	6
basse	329	-4.99	2	4	744	198	34	6	1	4100	249	23	6	1	5
quatro	327	-6.84	6	7	132	117	61	5	2	2458	206	49	8	2	6
origine	326	-8.1	2	4	485	122	25	15	13	4100	171	64	5	1	7
musica	325	-6.56	4	7	1288	108	37	9	9	3670	190	120	8	1	6
situate	320	-6.63	0	0	1639	149	15	7	6	4100	2171	893	9	3	7
patre	320	-6.32	6	9	1869	340	41	20	3	4100	220	35	7	2	5
scribite	319	-6.99	0	0	1639	125	27	24	9	4100	2171	339	10	6	8
of	318	-4.12	34	36	485	23	23	23	23	39	4	4	4	4	2
facto	316	-4.37	6	10	697	121	38	9	5	2458	501	53	9	1	5
base	315	-5.16	8	12	744	198	34	3	3	4100	249	7	1	1	4
depost	314	-7.45	0	0	1111	420	26	10	4	294	37	3	2	1	6
area	314	-5.14	8	13	1801	202	9	2	2	3670	68	39	12	12	4
gruppos	312	-6.46	2	4	586	126	10	8	6	3232	940	17	2	2	7
etc	312	-5.96	4	7	1009	38	2	2	2	535	3	1	1	1	3
die	311	-3.93	20	28	1111	395	10	10	10	4100	64	9	9	9	3
publicate	311	-7.07	0	0	1869	80	18	16	16	4100	2171	893	73	50	9
sancte	309	-6.21	6	7	1639	229	50	12	10	4100	2171	43	7	1	6
significa	309	-7.98	0	0	1639	149	39	28	14	3670	190	120	9	9	9
