word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
la	217142	-2.36	46	59	759	200	200	200	200	3859	769	769	769	769	2
esas	153568	-4.31	10	14	978	116	12	2	2	2135	763	99	61	61	4
di	144732	-2.76	50	61	1070	289	289	289	289	2225	107	107	107	107	2
e	97104	-4.3	0	30	978	978	978	978	978	1430	1430	1430	1430	1430	1
de	84648	-2.85	52	68	1070	392	392	392	392	1430	61	61	61	61	2
en	57118	-3.37	34	44	978	106	106	106	106	981	129	129	129	129	2
o	46722	-4.3	0	28	508	508	508	508	508	5419	5419	5419	5419	5419	1
mezala	44103	-6.86	2	2	1366	230	20	2	1	3859	769	566	10	5	6
urbo	40838	-5.37	12	14	209	39	14	1	1	5419	55	14	5	5	4
qua	36888	-3.64	16	22	81	78	44	44	44	3859	44	10	10	10	3
havas	33816	-5.07	12	13	619	195	22	12	1	2135	763	31	3	1	5
sub	31766	-4.62	10	13	1725	269	49	49	49	38	2	1	1	1	3
km²	27658	-5.07	0	2	1654	3	1	1	1	4	2	1	1	1	3
mi²	27001	-5.16	12	14	1366	195	1	1	1	4	1	1	1	1	3
yari	26224	-5.2	24	25	96	33	15	1	1	2225	268	33	1	1	4
til	26135	-5.39	14	17	814	62	3	3	3	391	31	1	1	1	3
qui	25628	-3.73	8	12	81	78	12	12	12	2225	33	6	6	6	3
populo	25487	-5.93	4	4	1677	264	23	19	19	5419	420	76	2	1	6
evo	25211	-3.78	26	30	978	55	11	11	11	5419	107	11	11	11	3
revenuo	25198	-7.83	2	2	1010	502	31	10	4	5419	54	5	3	2	7
familii	25185	-7.82	4	4	886	154	14	11	10	2225	95	7	4	2	7
por	24222	-3.84	20	25	1677	264	44	44	44	1041	69	2	2	2	3
segun	19510	-6.99	0	1	1725	267	11	4	3	981	20	1	1	1	5
homuli	19293	-6.68	0	0	619	129	26	1	1	2225	178	36	3	2	6
kontado	18995	-5.76	4	4	1654	755	331	79	8	5419	418	203	38	5	7
hemanari	18907	-8.67	0	0	619	123	12	4	2	2225	268	33	2	1	8
rasi	18832	-5.64	14	15	1010	121	6	2	2	2225	93	9	1	1	4
habitas	18816	-6.63	4	4	619	195	22	18	15	2135	763	134	14	2	7
evas	18743	-4.55	4	8	978	55	16	1	1	2135	763	31	6	6	4
homini	18507	-5.86	6	6	619	129	26	7	6	2225	354	52	11	2	6
plu	17008	-4.42	18	25	1677	123	35	35	35	137	16	1	1	1	3
tota	16884	-5.4	10	12	814	94	10	6	6	3859	1099	9	1	1	4
plus	16355	-4.94	14	17	1677	123	35	3	3	2135	109	6	1	1	4
usana	13642	-6.65	6	7	209	13	5	3	1	3859	399	247	4	1	5
ye	12982	-3.63	38	45	96	16	16	16	16	1430	23	23	23	23	2
lineo	12898	-6.32	8	10	759	190	41	7	1	5419	58	7	2	1	5
domo	12737	-5.04	24	27	1070	130	30	1	1	5419	236	23	1	1	4
po	12671	-2.87	46	56	1677	264	264	264	264	5419	68	68	68	68	2
grandeso	12660	-6.65	0	0	683	159	88	32	13	5419	412	249	15	6	8
denseso	12645	-6.96	0	0	1070	392	19	4	2	5419	412	249	12	5	7
esis	12579	-4.12	14	17	978	116	4	1	1	2135	775	131	98	98	4
povreso	12513	-6.94	0	0	1677	264	16	3	1	5419	412	249	39	1	7
per	12350	-3.18	18	23	1677	230	116	116	116	1041	276	8	8	8	3
kun	12207	-4.48	22	24	1654	136	28	28	28	981	20	1	1	1	3
a	10864	-4.3	0	35	1579	1579	1579	1579	1579	3859	3859	3859	3859	3859	1
l	10642	-4.3	0	12	759	759	759	759	759	391	391	391	391	391	1
ek	9706	-3.95	34	41	978	47	47	47	47	183	23	23	23	23	2
ma	8932	-2.65	58	72	1366	494	494	494	494	3859	96	96	96	96	2
ne	8899	-2.78	44	56	600	148	148	148	148	1430	159	159	159	159	2
evoza	8842	-5.99	0	0	978	55	11	1	1	3859	120	97	3	1	5
aquo	8552	-4.38	4	5	1579	19	19	5	5	5419	54	9	1	1	4
areo	8477	-6.07	22	26	1579	197	12	1	1	5419	58	5	2	2	4
lando	8365	-4.9	14	20	759	200	36	7	1	5419	418	65	34	22	5
altra	8184	-5.66	10	13	1579	191	33	9	4	3859	261	48	3	2	5
du	7938	-3.87	44	51	1070	92	92	92	92	137	7	7	7	7	2
lojanti	7816	-7.46	4	4	759	106	10	6	4	2225	450	123	61	4	7
omna	7189	-5.48	8	8	508	22	16	9	9	3859	399	1	1	1	4
kontre	7118	-6.12	2	5	1654	755	331	79	33	1430	142	12	3	1	6
komtio	7113	-6.58	2	3	1654	755	194	3	2	5419	398	18	1	1	6
homi	6901	-4.72	18	19	619	129	26	7	7	2225	83	15	1	1	4
familio	6845	-7.14	4	4	886	154	14	11	10	5419	398	41	15	4	7
nombro	6782	-5.89	4	6	600	172	42	5	5	5419	675	24	9	3	6
sen	6742	-3.79	30	34	1725	267	49	49	49	981	129	14	14	14	3
geografio	6652	-9.62	0	0	683	116	22	5	5	5419	398	15	12	12	9
afrika	6592	-6.97	2	3	1579	31	12	8	6	3859	147	92	9	3	6
latina	6528	-6.42	8	10	759	200	25	11	8	3859	399	48	7	1	6
demografio	6511	-10.61	0	0	1070	392	39	22	2	5419	398	15	12	12	10
blanka	6489	-7.11	6	7	936	46	19	7	4	3859	147	7	4	3	6
nigra	6396	-6.31	6	6	600	62	6	3	2	3859	261	4	1	1	5
irga	6395	-6.0	6	8	676	35	6	3	3	3859	43	4	2	2	4
domi	6374	-5.12	16	17	1070	130	30	17	17	2225	83	15	1	1	4
sole	6372	-4.93	10	12	1725	133	32	3	3	1430	303	10	1	1	4
indijena	6371	-8.51	0	0	676	390	50	32	5	3859	399	35	2	2	8
amerikana	6355	-8.71	0	0	1579	100	15	9	9	3859	399	247	12	8	9
kune	6353	-4.94	4	6	1654	136	28	1	1	1430	159	7	1	1	4
pueri	6348	-5.96	2	2	1677	83	10	8	3	2225	268	72	1	1	5
jacas	6337	-5.39	6	6	260	57	14	4	1	2135	763	33	16	1	5
maestro	6333	-7.5	2	3	1366	494	3	2	2	5419	675	69	27	12	7
lojanto	6326	-7.14	4	4	759	106	10	6	4	5419	886	201	77	1	7
mariajita	6324	-8.57	0	0	1366	494	143	36	15	3859	1099	521	6	2	9
individui	6323	-10.44	0	0	676	390	50	32	6	2225	33	2	2	1	9
spozulo	6318	-7.38	0	0	1725	110	22	9	1	5419	420	76	2	1	7
ministerio	6317	-8.79	0	0	1366	195	44	12	6	5419	398	91	25	11	10
facesas	6302	-6.61	2	2	886	154	27	3	2	2135	763	99	61	7	7
