word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
og	213715	-5.21	34	39	192	1	1	1	1	472	7	7	7	7	2
í	185440	-4.3	0	6	162	162	162	162	162	40	40	40	40	40	1
að	127344	-2.91	32	38	871	115	115	115	115	973	178	178	178	178	2
á	117063	-4.3	0	15	323	323	323	323	323	65	65	65	65	65	1
er	111807	-3.31	62	76	790	71	71	71	71	3390	175	175	175	175	2
sem	102982	-4.47	18	20	2981	161	3	3	3	1317	12	1	1	1	3
var	79070	-2.86	28	37	949	169	54	54	54	3390	1203	21	21	21	3
til	61666	-4.41	16	18	813	120	90	90	90	425	34	3	3	3	3
en	49040	-3.24	34	48	790	117	117	117	117	2086	105	105	105	105	2
hann	47550	-3.8	22	26	1692	251	61	18	18	2086	569	65	3	3	4
við	43793	-2.9	24	29	949	251	70	70	70	973	469	8	8	8	3
um	41091	-2.57	36	41	317	65	65	65	65	1317	1188	1188	1188	1188	2
af	39854	-3.8	38	49	871	93	93	93	93	120	19	19	19	19	2
með	34859	-4.5	12	14	1061	197	26	26	26	973	6	2	2	2	3
eru	31692	-4.91	6	13	790	71	2	2	2	1313	39	10	10	10	3
fyrir	27920	-4.67	2	3	1475	90	53	40	40	3390	660	24	4	1	5
það	26776	-4.75	14	15	527	21	2	2	2	973	178	1	1	1	3
þar	26567	-4.09	26	28	527	21	5	5	5	3390	1203	1	1	1	3
frá	25648	-4.35	16	18	1475	362	12	12	12	65	20	2	2	2	3
árið	25486	-4.98	6	8	323	78	5	1	1	973	469	36	4	4	4
því	21961	-6.29	6	6	527	9	1	1	1	40	3	1	1	1	3
eftir	21197	-5.11	2	2	790	77	21	20	20	3390	660	120	4	1	5
eða	20191	-4.58	4	6	790	14	1	1	1	2748	167	3	3	3	3
ekki	19679	-5.7	0	0	790	7	4	1	1	2518	137	13	2	2	4
voru	18480	-6.17	10	13	949	38	9	2	2	1313	39	3	3	3	4
hún	16784	-4.81	12	14	1692	35	8	8	8	2086	7	1	1	1	3
þá	16156	-4.13	18	21	527	33	33	33	33	65	2	2	2	2	2
hefur	15624	-5.39	10	10	1692	416	29	1	1	3390	1160	48	5	1	5
verið	14397	-5.06	6	10	949	322	120	1	1	973	469	36	3	2	5
þegar	13860	-4.88	2	3	527	58	5	1	1	3390	1203	183	26	2	5
