word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
di	11520472	-2.78	62	72	1085	449	449	449	449	3181	84	84	84	84	2
e	7072022	-4.3	0	29	809	809	809	809	809	4974	4974	4974	4974	4974	1
il	6523219	-4.44	44	50	1009	22	22	22	22	231	20	20	20	20	2
la	6213518	-2.83	58	65	610	151	151	151	151	3812	168	168	168	168	2
in	4655285	-3.04	36	53	1009	624	624	624	624	452	55	55	55	55	2
a	4114344	-4.3	0	37	1969	1969	1969	1969	1969	3812	3812	3812	3812	3812	1
del	3766140	-4.19	24	28	1085	300	26	26	26	231	56	2	2	2	3
un	3477555	-4.15	22	33	246	64	64	64	64	452	8	8	8	8	2
che	3427809	-2.96	10	16	2408	129	8	8	8	4974	161	142	142	142	3
è	3362595	-4.5	0	1	1	1	1	1	1	6	6	6	6	6	1
della	2952567	-4.93	16	18	1085	300	26	4	1	3812	168	59	29	4	5
per	2822725	-3.38	16	24	1777	231	119	119	119	326	192	7	7	7	3
l	2764535	-4.3	0	19	610	610	610	610	610	231	231	231	231	231	1
nel	2732034	-5.12	22	29	441	97	6	6	6	231	56	6	6	6	3
con	2338830	-2.94	28	32	2408	1200	499	499	499	452	166	2	2	2	3
una	2261293	-4.18	22	27	246	64	3	3	3	3812	353	11	11	11	3
i	2249437	-4.3	0	32	1009	1009	1009	1009	1009	3181	3181	3181	3181	3181	1
da	2077493	-3.01	66	79	1085	89	89	89	89	3812	101	101	101	101	2
si	2056962	-2.65	72	93	2130	179	179	179	179	3181	304	304	304	304	2
le	1871731	-2.54	50	63	610	127	127	127	127	4974	552	552	552	552	2
al	1765840	-3.3	50	61	1969	220	220	220	220	231	67	67	67	67	2
dell	1305919	-4.79	12	16	1085	300	26	4	4	231	41	14	1	1	4
dei	1302079	-4.75	32	34	1085	300	2	2	2	3181	29	2	2	2	3
alla	1175506	-4.19	18	26	1969	220	64	6	6	3812	168	59	8	8	4
come	1089265	-4.11	22	24	2408	1200	266	5	5	4974	89	12	2	2	4
nella	1071290	-5.86	14	16	441	97	6	4	1	3812	168	59	29	3	5
non	1068700	-4.96	22	26	441	127	9	9	9	452	166	4	4	4	3
dal	964043	-4.84	20	26	1085	89	9	9	9	231	67	3	3	3	3
più	939760	-4.57	14	15	1777	160	1	1	1	15	3	2	2	2	3
delle	931951	-4.5	14	16	1085	300	26	4	1	4974	552	46	19	1	5
anche	898492	-4.97	0	3	1969	214	5	2	1	4974	161	142	6	6	5
sono	895249	-3.85	24	28	2130	303	21	6	6	4567	817	242	2	2	4
ha	868620	-3.83	54	63	174	55	55	55	55	3812	8	8	8	8	2
fu	855242	-4.43	48	50	849	74	74	74	74	38	1	1	1	1	2
gli	815871	-3.74	6	10	702	17	2	2	2	3181	393	27	27	27	3
ad	775530	-3.65	52	63	1969	86	86	86	86	190	18	18	18	18	2
all	754216	-4.06	6	17	1969	220	64	64	64	231	41	12	12	12	3
ed	751121	-3.99	42	51	809	49	49	49	49	190	18	18	18	18	2
sua	670536	-4.37	30	34	2130	181	1	1	1	3812	21	1	1	1	3
ma	643188	-2.53	82	96	1192	427	427	427	427	3812	134	134	134	134	2
era	635412	-4.22	18	26	809	63	5	5	5	3812	318	72	72	72	3
tra	628538	-3.03	18	25	891	278	169	169	169	3812	318	37	37	37	3
suo	625184	-4.12	24	28	2130	181	18	18	18	4567	14	1	1	1	3
lo	617368	-2.84	48	56	610	89	89	89	89	4567	203	203	203	203	2
due	609771	-4.66	14	21	1085	44	5	5	5	4974	40	4	4	4	3
o	607393	-4.3	0	28	491	491	491	491	491	4567	4567	4567	4567	4567	1
dopo	602188	-5.71	4	4	1085	156	15	3	3	4567	33	4	1	1	4
d	599294	-4.3	0	25	1085	1085	1085	1085	1085	190	190	190	190	190	1
dalla	593662	-5.73	12	15	1085	89	9	5	2	3812	168	59	8	1	5
cui	577525	-5.56	20	22	2408	62	1	1	1	3181	12	1	1	1	3
parte	541784	-4.33	14	18	1777	366	134	47	18	4974	973	25	7	4	5
anni	539167	-4.41	14	21	1969	214	39	4	4	3181	479	17	8	8	4
prima	530821	-5.46	8	9	1777	607	62	23	10	3812	134	38	4	3	5
