word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ing	133824	-3.04	14	30	423	158	17	17	17	1323	1226	296	296	296	3
lan	83391	-3.04	56	65	662	206	39	39	39	3775	2091	107	107	107	3
kang	40901	-3.23	38	43	1965	815	79	20	20	1323	1226	472	11	11	4
ingkang	38943	-5.88	2	7	423	158	17	4	3	1323	1226	472	11	3	7
iku	38408	-5.13	16	21	423	19	2	2	2	544	52	10	10	10	3
iki	37829	-4.85	22	29	423	19	2	2	2	2042	68	16	16	16	3
sing	29602	-3.84	38	48	2039	248	59	22	22	1323	1226	296	15	15	4
kecamatan	27117	-8.44	0	0	1965	452	18	6	1	3775	2091	202	95	11	9
saka	26396	-4.35	42	47	2039	579	63	8	8	2626	161	27	5	5	4
taun	25521	-5.24	4	12	1058	244	11	5	5	3775	472	8	4	4	4
salah	25089	-4.94	26	28	2039	579	49	17	3	751	391	41	10	3	5
sawijining	24074	-9.23	0	0	2039	579	27	9	5	1323	1226	296	44	7	10
désa	23709	-6.05	10	10	1558	15	1	1	1	2626	158	2	2	2	4
kanthi	21832	-6.17	2	5	1965	815	79	10	3	2042	117	14	6	5	6
provinsi	20903	-8.14	0	1	2219	233	88	7	6	2042	432	33	2	1	8
indonésia	19334	-10.82	0	0	423	158	45	11	4	2626	236	28	2	2	9
jawa	19055	-4.59	42	44	438	191	8	7	7	2626	105	52	3	3	4
punika	18831	-6.24	4	6	2219	163	39	4	4	2626	161	65	14	3	6
wonten	18538	-6.02	8	10	500	53	21	8	5	3775	487	54	31	2	6
kabupatèn	17767	-9.72	0	0	1965	815	48	17	5	3775	114	21	6	3	9
ana	17060	-3.72	36	55	1195	248	34	34	34	2626	291	127	127	127	3
dadi	16507	-5.29	24	26	1558	157	9	3	3	2042	72	27	8	8	4
yaiku	16024	-8.02	4	4	118	36	2	1	1	544	52	10	1	1	5
saking	15807	-5.58	6	8	2039	579	63	8	1	1323	1226	296	15	4	6
nalika	15144	-6.54	0	1	1276	167	7	4	4	2626	161	65	6	3	6
kanggo	14567	-5.41	8	11	1965	815	79	20	8	573	41	14	13	6	6
uga	14271	-5.04	24	29	270	6	2	2	2	2626	141	12	12	12	3
utawa	14176	-6.28	10	12	270	25	15	5	3	2626	105	52	7	2	5
tengah	14036	-5.81	0	2	1058	276	38	19	7	751	391	26	14	8	6
minangka	13393	-7.39	0	2	1553	169	38	10	3	2626	161	20	19	16	8
basa	12671	-4.58	46	51	1180	402	30	5	5	2626	158	58	5	5	4
karo	12267	-5.03	14	17	1965	815	107	1	1	573	60	6	1	1	4
inggih	11521	-5.92	2	5	423	158	17	6	3	751	100	12	9	8	6
