word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
და	215275	-1.98	40	49	1179	800	800	800	800	3808	540	540	540	540	2
წელს	54421	-5.12	10	12	459	79	18	4	4	5287	93	27	1	1	4
წლის	52734	-4.0	10	15	459	26	15	9	9	5287	3441	366	1	1	4
იყო	37000	-4.41	0	2	734	15	5	5	5	662	33	16	16	16	3
რომელიც	28627	-8.61	0	3	555	124	65	18	17	115	29	4	2	1	7
ის	27479	-2.62	28	45	734	61	61	61	61	5287	3441	3441	3441	3441	2
შემდეგ	25053	-6.75	0	1	738	545	131	13	7	28	4	2	2	1	6
მისი	23913	-4.7	14	19	2420	378	34	7	7	5122	189	35	4	4	4
ამ	23534	-3.37	36	43	1421	137	137	137	137	171	87	87	87	87	2
ერთ	23053	-4.78	6	9	614	125	75	75	75	603	12	8	8	8	3
ს	22232	-4.3	0	12	1906	1906	1906	1906	1906	5287	5287	5287	5287	5287	1
ერთი	20914	-4.52	4	8	614	125	75	9	9	5122	136	18	11	11	4
რომ	19960	-4.55	20	24	555	124	65	65	65	171	21	2	2	2	3
იგი	17034	-4.63	4	6	734	15	3	3	3	5122	58	6	6	6	3
კი	16514	-3.31	46	51	983	68	68	68	68	5122	48	48	48	48	2
ეს	16252	-3.05	20	32	614	45	45	45	45	5287	330	330	330	330	2
არის	15834	-3.58	20	38	1421	204	10	7	7	5287	3441	307	47	47	4
არ	15244	-3.7	30	40	1421	204	204	204	204	310	43	43	43	43	2
როგორც	14105	-8.5	2	4	555	124	7	7	7	115	3	1	1	1	6
პირველი	13861	-5.73	2	6	659	92	60	16	15	5122	1221	271	36	4	7
დიდი	13455	-5.11	10	14	1179	124	20	3	3	5122	118	13	2	2	4
საქართველოს	13202	-9.98	0	0	1906	1021	36	11	10	5287	176	28	7	3	11
ხოლო	13200	-5.8	6	6	335	35	2	1	1	662	104	10	1	1	4
წლებში	12902	-5.19	0	2	459	26	9	9	1	5122	932	142	139	24	6
წ	12719	-4.3	0	5	459	459	459	459	459	4	4	4	4	4	1
ასევე	12549	-7.43	2	2	1421	99	13	1	1	762	63	4	2	1	5
მ	12215	-4.3	0	17	2420	2420	2420	2420	2420	171	171	171	171	171	1
სხვა	12154	-4.39	0	2	1906	35	21	14	14	3808	173	10	3	3	4
შორის	12094	-4.86	14	17	738	24	8	4	3	5287	3441	307	38	1	5
მდებარეობს	11877	-9.17	0	0	2420	52	15	6	6	5287	366	59	8	5	10
მას	11818	-3.35	18	29	2420	449	52	52	52	5287	420	18	18	18	3
მიერ	11143	-4.97	2	3	2420	378	22	3	3	310	62	13	4	4	4
მათ	10946	-4.28	12	17	2420	449	24	24	24	603	45	1	1	1	3
ან	10332	-2.96	26	42	1421	106	106	106	106	818	485	485	485	485	2
დროს	9995	-4.8	4	6	1179	36	24	2	2	5287	176	31	2	2	4
მაგრამ	9733	-6.71	0	0	2420	449	24	1	1	171	87	7	1	1	6
ყველაზე	9670	-7.55	0	0	130	30	14	14	13	762	316	88	4	1	7
დ	9486	-4.3	0	8	1179	1179	1179	1179	1179	584	584	584	584	584	1
სადაც	9217	-5.93	0	1	1906	1021	23	6	1	115	67	11	8	1	5
მან	9125	-3.48	32	36	2420	449	36	36	36	818	485	7	7	7	3
მეორე	9045	-6.44	2	7	2420	326	25	14	11	762	65	8	1	1	5
მდინარე	8924	-8.14	2	4	2420	52	20	12	12	762	65	26	7	6	7
s	8870	-4.3	0	16	75	75	75	75	75	118	118	118	118	118	1
მოსახლეობა	8819	-7.84	0	0	2420	626	59	32	13	3808	585	147	21	5	10
ტიპის	8774	-6.42	2	5	369	36	9	5	3	5287	3441	16	7	1	5
თუმცა	8631	-7.35	0	1	457	32	5	3	2	3808	24	1	1	1	5
მის	8615	-2.47	28	43	2420	378	34	34	34	5287	3441	147	147	147	3
სამხრეთ	8605	-7.77	0	1	1906	1021	170	16	12	603	20	4	1	1	7
style	8555	-6.91	0	0	75	15	1	1	1	131	8	1	1	1	5
background	8528	-8.68	0	0	48	9	2	2	1	62	16	5	4	3	10
გახდა	8491	-5.89	2	3	1491	1099	16	5	1	3808	540	6	2	1	5
