word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
және	167167	-5.03	12	12	1511	18	8	1	1	1207	246	1	1	1	4
өзен	119352	-4.21	4	5	477	90	23	20	20	2902	762	6	3	3	4
бойынша	108034	-7.37	2	4	1633	169	17	9	7	2181	68	19	10	3	7
мен	99889	-2.6	40	45	1145	238	19	19	19	2902	762	248	248	248	3
км²	97191	-5.16	0	2	1570	2	1	1	1	2	2	1	1	1	3
жер	96689	-3.49	40	42	1511	213	42	42	42	1266	394	5	5	5	3
су	85787	-3.04	42	49	1401	100	100	100	100	639	40	40	40	40	2
тұрғындарының	81948	-8.17	0	0	1817	166	58	25	20	1695	1063	630	422	128	13
жылы	80805	-3.9	6	12	1511	121	66	8	8	2809	186	18	1	1	4
адамды	70353	-6.76	2	4	1718	38	31	27	13	2809	729	28	10	2	6
құрайды	70322	-5.5	10	11	1790	337	157	61	2	2809	729	76	73	6	7
саны	69803	-4.29	22	25	1401	426	55	7	7	2809	123	72	2	2	4
орналасқан	69749	-8.62	0	0	691	234	43	32	18	2902	873	70	20	9	10
алып	65503	-3.77	18	20	1718	232	13	1	1	576	239	63	27	27	4
жатқан	62369	-5.53	8	10	1511	629	38	11	5	2902	873	70	17	8	6
аумағы	62285	-5.79	4	5	1718	196	20	19	7	2809	375	241	6	2	6
км	59056	-4.69	34	42	1570	2	2	2	2	257	2	2	2	2	2
шамасында	58943	-6.89	0	0	658	219	19	18	6	2181	595	359	301	95	9
бұл	58376	-4.36	14	16	1633	111	26	26	26	279	5	3	3	3	3
коды	55859	-5.39	0	1	1570	212	5	1	1	2809	729	3	1	1	4
адам	50941	-5.86	6	13	1718	38	31	27	27	257	34	6	3	3	4
алабы	47341	-5.92	4	7	1718	232	52	7	6	2809	16	11	2	2	5
халық	46145	-4.18	4	4	184	115	34	20	20	849	687	399	170	1	5
жылғы	45574	-4.94	10	11	1511	121	66	2	1	2809	375	6	4	1	5
облысы	45503	-5.61	0	2	691	54	23	22	22	2809	346	83	11	1	6
оның	44187	-4.27	4	7	691	24	5	1	1	1695	1063	630	3	3	4
де	41667	-2.74	46	57	599	139	139	139	139	1207	332	332	332	332	2
бар	40035	-3.34	58	63	1633	562	42	42	42	1266	568	9	9	9	3
мәліметтер	39230	-8.09	0	0	1145	102	15	14	13	1266	394	119	26	14	10
қазақ	38471	-4.55	4	6	1790	830	80	46	34	849	145	7	3	3	5
мемлекеттік	37687	-9.9	0	0	1145	238	28	25	24	626	338	116	31	11	11
б	37627	-4.3	0	9	1633	1633	1633	1633	1633	26	26	26	26	26	1
пошта	36982	-6.79	2	2	492	85	2	2	2	2181	114	1	1	1	5
индексі	36730	-8.99	0	1	251	64	13	3	2	1712	131	2	2	2	7
тығыздығы	36102	-9.09	0	0	1817	40	5	5	5	2809	375	97	24	2	9
ж	35267	-4.3	0	6	1511	1511	1511	1511	1511	25	25	25	25	25	1
дейін	34733	-5.45	8	9	599	139	7	2	2	2902	423	8	5	1	5
бір	34664	-3.46	20	21	1633	162	97	97	97	1266	56	11	11	11	3
болып	34467	-4.72	4	4	1633	169	91	8	2	576	239	63	2	1	5
жатады	33329	-5.86	14	16	1511	629	38	5	1	2809	729	239	28	11	6
т	32656	-4.3	0	15	1817	1817	1817	1817	1817	415	415	415	415	415	1
да	32529	-2.66	56	67	599	150	150	150	150	2181	595	595	595	595	2
ақ	32147	-3.0	38	54	1718	98	98	98	98	849	145	145	145	145	2
құрамына	31027	-6.44	0	1	1790	337	157	61	19	2181	381	280	15	3	8
болды	30749	-4.06	6	9	1633	169	91	3	3	2809	729	99	3	1	5
ұзындығы	30331	-7.66	0	0	284	17	12	12	6	2809	375	97	24	13	8
саласы	29527	-4.99	18	19	1401	426	97	32	7	2809	346	168	11	7	6
өзенінің	29267	-6.97	0	1	477	90	23	20	8	1695	589	316	250	9	8
бөлігі	29234	-4.1	8	9	1633	123	101	66	8	1712	255	79	35	2	6
енеді	28030	-6.05	4	6	515	34	3	1	1	1712	428	145	21	14	5
ресей	27993	-5.73	0	0	282	137	33	8	8	333	73	4	1	1	5
ол	27493	-4.25	50	61	691	20	20	20	20	279	34	34	34	34	2
үшін	27432	-5.39	8	9	191	18	4	4	4	2902	423	6	2	2	4
қазақстан	27333	-7.5	0	0	1790	830	80	46	34	2902	873	83	32	2	9
м	26990	-4.3	0	21	1145	1145	1145	1145	1145	257	257	257	257	257	1
өтеді	25895	-5.31	6	6	477	51	7	1	1	1712	428	145	17	1	5
құрады	25755	-4.38	14	19	1790	337	157	61	1	2809	729	239	34	3	6
ngc	25514	-5.51	6	6	19	1	1	1	1	19	4	1	1	1	3
деп	25358	-4.31	18	22	599	139	16	16	16	576	49	12	12	12	3
ресейдегі	24321	-8.65	0	0	282	137	33	8	8	1712	255	142	98	5	9
жоғарғы	24105	-7.12	0	1	1511	137	17	15	10	2809	375	8	3	1	7
немесе	23861	-8.32	2	2	314	69	10	4	1	1207	36	13	1	1	6
ді	23743	-3.47	36	41	599	15	15	15	15	1712	428	428	428	428	2
болады	23718	-5.11	2	5	1633	169	91	18	1	2809	729	239	89	1	6
ағып	23709	-4.9	20	24	1718	60	30	1	1	576	239	9	5	5	4
өзеннің	23605	-6.83	0	2	477	90	23	20	2	1695	589	316	20	6	7
сол	23255	-4.22	42	47	1401	161	24	24	24	279	34	1	1	1	3
қарасты	23200	-6.07	0	1	1790	830	152	97	19	2809	309	55	21	3	7
жас	23190	-3.64	46	49	1511	629	82	82	82	356	81	1	1	1	3
деген	23170	-4.5	6	7	599	139	10	9	9	2902	762	185	38	9	5
өңіріне	23104	-5.73	2	5	477	35	16	16	7	1207	246	218	52	4	7
жыл	23023	-3.88	16	18	1511	121	66	66	66	279	49	1	1	1	3
мәліметі	22929	-7.0	0	1	1145	102	15	14	13	1712	240	38	4	3	8
сағасы	22916	-5.8	12	13	1401	426	16	13	4	2809	346	168	9	5	6
аумақтарынан	22830	-8.99	0	0	1718	196	20	19	12	2902	873	148	112	20	12
реестрінің	22825	-10.29	0	0	282	137	1	1	1	1695	589	316	250	98	10
сушаруашылық	22823	-10.6	0	0	1401	100	1	1	1	849	687	399	45	27	12
тұрақты	22299	-5.83	2	2	1817	166	58	15	9	2809	309	84	45	6	7
қашықтықта	21560	-8.72	0	0	1790	830	22	11	9	2181	114	22	11	2	10
жағалауынан	21034	-8.73	0	0	1511	629	63	27	17	2902	873	148	112	10	11
коммунаның	21029	-7.42	0	0	1570	212	93	15	13	1695	1063	630	82	11	10
жылдан	20709	-5.29	8	10	1511	121	66	29	24	2902	873	97	11	4	6
құрамы	20690	-5.44	6	9	1790	337	157	61	19	2809	46	12	4	1	6
солтүстік	20358	-8.42	0	0	1401	161	24	12	11	626	338	116	35	4	9
дейінгі	20325	-8.09	2	2	599	139	7	2	2	1712	255	6	3	2	7
сондай	20302	-6.24	0	2	1401	161	14	4	3	333	179	35	16	2	6
обь	19883	-4.71	8	9	691	54	4	4	4	116	1	1	1	1	3
осы	19421	-3.99	12	15	691	31	13	13	13	2809	346	7	7	7	3
шамасы	19295	-5.6	6	7	658	219	19	18	6	2809	346	168	31	11	6
округінің	19249	-8.4	0	0	691	21	10	10	10	1695	589	316	250	26	9
