word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ದ	852351	-4.3	0	78	312	312	312	312	312	727	727	727	727	727	1
ನ	840560	-4.3	0	91	400	400	400	400	400	1704	1704	1704	1704	1704	1
ತ	837169	-4.3	0	73	437	437	437	437	437	434	434	434	434	434	1
ರ	831551	-4.3	0	83	696	696	696	696	696	970	970	970	970	970	1
ಸ	738338	-4.3	0	77	393	393	393	393	393	387	387	387	387	387	1
ಕ	692114	-4.3	0	80	501	501	501	501	501	601	601	601	601	601	1
ಗ	645938	-4.3	0	90	380	380	380	380	380	507	507	507	507	507	1
ಲ	624390	-4.3	0	72	319	319	319	319	319	1287	1287	1287	1287	1287	1
ಯ	605255	-4.3	0	84	410	410	410	410	410	384	384	384	384	384	1
ವ	508168	-4.3	0	76	423	423	423	423	423	586	586	586	586	586	1
ಮ	421764	-4.3	0	73	429	429	429	429	429	309	309	309	309	309	1
ಪ	356567	-4.3	0	76	375	375	375	375	375	202	202	202	202	202	1
ಟ	310681	-4.3	0	70	203	203	203	203	203	227	227	227	227	227	1
ಡ	299674	-4.31	0	69	175	175	175	175	175	243	243	243	243	243	1
ಹ	264331	-4.3	0	69	259	259	259	259	259	228	228	228	228	228	1
ಬ	239332	-4.3	0	73	278	278	278	278	278	158	158	158	158	158	1
ಚ	153822	-4.3	0	58	212	212	212	212	212	116	116	116	116	116	1
ಜ	136388	-4.3	0	68	324	324	324	324	324	108	108	108	108	108	1
ಗಳ	129666	-3.07	138	206	380	38	38	38	38	711	490	490	490	490	2
ಳ	113508	-4.31	0	64	117	117	117	117	117	711	711	711	711	711	1
ಶ	113404	-4.3	0	64	224	224	224	224	224	149	149	149	149	149	1
ಮತ	108961	-3.32	146	194	429	32	32	32	32	434	30	30	30	30	2
ದರ	104935	-3.25	150	216	312	42	42	42	42	970	49	49	49	49	2
ಷ	100918	-4.3	0	58	203	203	203	203	203	189	189	189	189	189	1
ಧ	76931	-4.31	0	57	137	137	137	137	137	76	76	76	76	76	1
ಯನ	70196	-3.05	180	247	410	33	33	33	33	1704	88	88	88	88	2
ಭ	69383	-4.31	0	52	126	126	126	126	126	104	104	104	104	104	1
ಥ	62557	-4.31	0	45	108	108	108	108	108	48	48	48	48	48	1
ತದ	59751	-3.49	156	191	437	17	17	17	17	727	21	21	21	21	2
ಎ	59115	-4.31	0	42	144	144	144	144	144	14	14	14	14	14	1
ಯಲ	58339	-3.21	144	192	410	17	17	17	17	1287	61	61	61	61	2
ಣ	57116	-4.31	0	60	176	176	176	176	176	182	182	182	182	182	1
ಸಲ	54797	-3.34	140	183	393	17	17	17	17	1287	28	28	28	28	2
ವರ	52621	-2.78	156	241	423	63	63	63	63	970	229	229	229	229	2
ಫ	50083	-4.32	0	51	72	72	72	72	72	44	44	44	44	44	1
ಈ	46407	-4.32	0	23	58	58	58	58	58	1	1	1	1	1	1
ಪರ	42993	-2.96	152	217	375	59	59	59	59	970	47	47	47	47	2
ಒ	42070	-4.31	0	33	153	153	153	153	153	5	5	5	5	5	1
ಖ	40197	-4.31	0	46	111	111	111	111	111	43	43	43	43	43	1
ನಲ	39996	-3.44	144	196	400	8	8	8	8	1287	110	110	110	110	2
ತರ	39551	-3.16	152	207	437	67	67	67	67	970	24	24	24	24	2
ಗಳನ	38096	-3.37	102	148	380	38	4	4	4	1704	292	265	265	265	3
ರಲ	37579	-3.39	154	220	696	9	9	9	9	1287	139	139	139	139	2
ರದ	35220	-3.19	168	230	696	25	25	25	25	727	87	87	87	87	2
ಬರ	34368	-3.1	152	207	278	47	47	47	47	970	34	34	34	34	2
ರತ	34094	-3.05	156	211	696	40	40	40	40	434	47	47	47	47	2
ಸರ	34033	-3.13	150	212	393	54	54	54	54	970	37	37	37	37	2
ಅನ	33461	-3.35	180	210	409	24	24	24	24	1704	16	16	16	16	2
ಇದ	33287	-4.38	164	173	149	18	18	18	18	727	1	1	1	1	2
ಕರ	32416	-3.03	154	229	501	82	82	82	82	970	64	64	64	64	2
ಅ	32315	-4.3	0	32	409	409	409	409	409	4	4	4	4	4	1
ಅವರ	32184	-3.32	160	181	409	64	19	19	19	970	229	2	2	2	3
ರವ	32031	-3.01	158	218	696	65	65	65	65	586	71	71	71	71	2
ತವ	31409	-3.32	146	187	437	31	31	31	31	586	24	24	24	24	2
ದಲ	28545	-2.92	140	206	312	27	27	27	27	1287	317	317	317	317	2
ಯವ	26487	-3.31	148	191	410	32	32	32	32	586	34	34	34	34	2
ರಕ	24979	-3.04	168	229	696	57	57	57	57	601	44	44	44	44	2
ಪಡ	24804	-3.41	142	184	375	13	13	13	13	243	46	46	46	46	2
ನಡ	23997	-3.58	144	167	400	30	30	30	30	243	7	7	7	7	2
ತನ	23827	-3.31	178	233	437	43	43	43	43	1704	31	31	31	31	2
ಯಕ	23557	-3.17	158	206	410	41	41	41	41	601	25	25	25	25	2
ರಮ	23401	-3.14	154	210	696	58	58	58	58	309	32	32	32	32	2
ಟರ	22529	-3.33	152	198	203	20	20	20	20	970	29	29	29	29	2
ಆರ	21966	-3.53	154	188	264	18	18	18	18	970	10	10	10	10	2
ದನ	21343	-3.35	176	228	312	21	21	21	21	1704	36	36	36	36	2
ತಮ	19989	-3.33	142	181	437	29	29	29	29	309	18	18	18	18	2
ಅಥವ	19799	-4.64	42	46	409	6	1	1	1	586	8	2	2	2	3
ಇ	19638	-4.31	0	36	149	149	149	149	149	6	6	6	6	6	1
ಲದ	19622	-3.37	156	199	319	19	19	19	19	727	34	34	34	34	2
ಉತ	19002	-4.15	146	153	181	5	5	5	5	434	3	3	3	3	2
ಡಲ	18144	-3.42	136	177	175	18	18	18	18	1287	27	27	27	27	2
ಗಳಲ	18092	-3.48	86	122	380	38	1	1	1	1287	209	195	195	195	3
ಪಟ	17991	-3.22	138	177	375	26	26	26	26	227	40	40	40	40	2
ಲವ	17798	-3.26	146	193	319	29	29	29	29	586	43	43	43	43	2
ಯರ	17679	-3.36	154	208	410	18	18	18	18	970	27	27	27	27	2
ಅತ	17246	-4.57	146	160	409	4	4	4	4	434	1	1	1	1	2
ಲಕ	17176	-3.17	156	212	319	32	32	32	32	601	48	48	48	48	2
ಮನ	16927	-3.15	180	238	429	41	41	41	41	1704	48	48	48	48	2
ಯದ	16925	-3.37	158	200	410	26	26	26	26	727	38	38	38	38	2
ಕಲ	16589	-2.92	144	201	501	50	50	50	50	1287	58	58	58	58	2
ಅಲ	16503	-4.37	144	172	409	19	19	19	19	1287	1	1	1	1	2
ರಸ	16445	-3.16	166	224	696	42	42	42	42	387	42	42	42	42	2
ಸಮ	15759	-3.03	140	184	393	80	80	80	80	309	33	33	33	33	2
ನದ	15072	-3.28	158	206	400	20	20	20	20	727	99	99	99	99	2
ಉದ	15036	-4.36	158	165	181	25	25	25	25	727	1	1	1	1	2
ದಕ	14424	-3.29	154	196	312	24	24	24	24	601	33	33	33	33	2
ಮರ	14209	-3.13	154	220	429	59	59	59	59	970	34	34	34	34	2
ಎಲ	14087	-4.2	148	164	144	2	2	2	2	1287	8	8	8	8	2
ಕನ	13826	-3.28	180	237	501	25	25	25	25	1704	40	40	40	40	2
ಅಧ	13779	-4.14	120	129	409	5	5	5	5	76	3	3	3	3	2
ಆ	13775	-4.3	0	30	264	264	264	264	264	1	1	1	1	1	1
ದವ	13698	-3.79	144	185	312	19	19	19	19	586	29	29	29	29	2
ಜನ	13683	-3.22	176	224	324	83	83	83	83	1704	23	23	23	23	2
ವನ	13392	-2.86	182	257	423	36	36	36	36	1704	380	380	380	380	2
ಪನ	13389	-3.52	178	217	375	24	24	24	24	1704	13	13	13	13	2
ಆದರ	13263	-4.16	100	109	264	19	6	6	6	970	49	1	1	1	3
ಅದ	12756	-4.38	158	175	409	22	22	22	22	727	1	1	1	1	2
ನವ	12714	-3.13	148	203	400	53	53	53	53	586	68	68	68	68	2
ಸಹ	12476	-3.18	132	165	393	49	49	49	49	228	22	22	22	22	2
ಕಡ	12346	-3.34	144	177	501	39	39	39	39	243	13	13	13	13	2
ಪತ	11596	-3.33	144	174	375	14	14	14	14	434	37	37	37	37	2
ಗದ	11524	-3.31	160	203	380	34	34	34	34	727	19	19	19	19	2
ಅರ	11319	-3.9	154	195	409	31	31	31	31	970	3	3	3	3	2
ಆಗ	11311	-4.07	176	193	264	27	27	27	27	507	2	2	2	2	2
ಯತ	11133	-3.48	146	180	410	15	15	15	15	434	17	17	17	17	2
ಅಮ	11110	-3.92	144	167	409	22	22	22	22	309	3	3	3	3	2
ಅಭ	11039	-4.43	118	128	409	10	10	10	10	104	1	1	1	1	2
ರಗಳ	10796	-3.48	124	164	696	28	12	12	12	711	490	33	33	33	3
ರರ	10643	-3.34	164	225	696	19	19	19	19	970	39	39	39	39	2
ಇನ	10572	-4.4	186	201	149	3	3	3	3	1704	2	2	2	2	2
ಗಡ	10283	-3.37	146	178	380	22	22	22	22	243	20	20	20	20	2
ರನ	10119	-3.06	190	260	696	22	22	22	22	1704	127	127	127	127	2
ವಲ	10103	-3.13	146	205	423	28	28	28	28	1287	85	85	85	85	2
ಕವ	10087	-3.24	148	202	501	39	39	39	39	586	50	50	50	50	2
ಸನ	10009	-3.35	176	227	393	28	28	28	28	1704	32	32	32	32	2
ಅವ	9932	-4.04	148	181	409	64	64	64	64	586	2	2	2	2	2
ಆಫ	9777	-4.63	118	122	264	3	3	3	3	44	1	1	1	1	2
ಇಲ	9732	-4.33	150	165	149	4	4	4	4	1287	2	2	2	2	2
ಡರ	9645	-3.61	146	179	175	11	11	11	11	970	15	15	15	15	2
ಇದರ	9629	-3.84	86	98	149	18	13	13	13	970	49	1	1	1	3
ಕಟ	9624	-3.22	140	171	501	27	27	27	27	227	31	31	31	31	2
ಬಗ	9554	-3.66	174	191	278	9	9	9	9	507	11	11	11	11	2
ಗಲ	9504	-3.39	146	199	380	15	15	15	15	1287	42	42	42	42	2
ಞ	9353	-4.36	0	11	21	21	21	21	21	1	1	1	1	1	1
ಷಣ	9350	-4.36	122	136	203	26	26	26	26	182	1	1	1	1	2
ಮಕ	9137	-3.34	158	197	429	31	31	31	31	601	16	16	16	16	2
ಮಹ	9117	-3.57	136	160	429	14	14	14	14	228	13	13	13	13	2
ಟನ	9042	-3.41	178	218	203	15	15	15	15	1704	30	30	30	30	2
ತಲ	9042	-3.59	142	172	437	21	21	21	21	1287	11	11	11	11	2
ಹಲವ	8912	-4.25	76	82	259	19	6	6	6	586	43	1	1	1	3
ರಣ	8905	-3.29	142	190	696	49	49	49	49	182	59	59	59	59	2
ಎರಡ	8902	-3.79	38	47	144	27	10	10	10	243	21	1	1	1	3
ಆದ	8890	-4.37	158	178	264	19	19	19	19	727	1	1	1	1	2
ರದಲ	8662	-3.67	138	170	696	25	1	1	1	1287	317	32	32	32	3
ತಹ	8622	-3.58	134	160	437	21	21	21	21	228	9	9	9	9	2
ಗರ	8562	-3.27	156	217	380	38	38	38	38	970	43	43	43	43	2
ಒಳಗ	8386	-4.36	70	75	153	46	3	3	3	507	24	2	2	2	3
ಬಹ	8223	-3.19	134	163	278	19	19	19	19	228	54	54	54	54	2
ಬದಲ	8175	-4.27	98	108	278	8	1	1	1	1287	317	6	6	6	3
ಬಳಸ	8166	-3.91	40	50	278	35	10	10	10	387	12	3	3	3	3
ನರ	8026	-3.03	154	217	400	49	49	49	49	970	40	40	40	40	2
ವಸ	7973	-3.3	158	197	423	19	19	19	19	387	36	36	36	36	2
ಪದ	7938	-3.3	156	201	375	54	54	54	54	727	27	27	27	27	2
ಯವಸ	7917	-4.81	78	83	410	32	1	1	1	387	36	2	2	2	3
ಜರ	7905	-3.54	150	189	324	16	16	16	16	970	13	13	13	13	2
ಇತರ	7898	-4.27	56	63	149	10	7	7	7	970	24	1	1	1	3
ಚರ	7726	-3.24	138	179	212	33	33	33	33	970	29	29	29	29	2
ಕಳ	7665	-3.23	136	173	501	33	33	33	33	711	20	20	20	20	2
ಅದರ	7663	-3.87	114	126	409	22	12	12	12	970	49	1	1	1	3
ಆಕ	7645	-4.1	158	175	264	17	17	17	17	601	2	2	2	2	2
ಎನ	7564	-3.92	184	203	144	7	7	7	7	1704	5	5	5	5	2
ಇರ	7525	-4.13	160	182	149	14	14	14	14	970	2	2	2	2	2
ಇದನ	7498	-4.75	74	79	149	18	1	1	1	1704	36	1	1	1	3
ರವರ	7493	-3.5	170	207	696	65	9	9	9	970	229	35	35	35	3
ಳಲ	7463	-4.03	134	156	117	2	2	2	2	1287	209	209	209	209	2
ಮದ	7349	-3.46	158	198	429	25	25	25	25	727	17	17	17	17	2
ಯಗಳ	7303	-3.56	108	133	410	19	5	5	5	711	490	24	24	24	3
ಇವ	7285	-4.41	154	167	149	17	17	17	17	586	1	1	1	1	2
ಬಲ	7270	-3.16	142	193	278	29	29	29	29	1287	48	48	48	48	2
ಭವ	7197	-3.88	130	153	126	31	31	31	31	586	4	4	4	4	2
ಹತ	7193	-3.91	146	165	259	4	4	4	4	434	12	12	12	12	2
ಧನ	7187	-3.78	172	202	137	27	27	27	27	1704	7	7	7	7	2
ಳಗ	7182	-3.69	166	195	117	17	17	17	17	507	24	24	24	24	2
ಅವನ	7167	-3.68	140	151	409	64	6	6	6	1704	380	1	1	1	3
ವತ	7154	-3.27	148	194	423	27	27	27	27	434	26	26	26	26	2
ವಹ	7123	-3.53	138	158	423	16	16	16	16	228	13	13	13	13	2
ಡನ	7112	-3.57	172	203	175	10	10	10	10	1704	15	15	15	15	2
ಇತ	7088	-4.43	152	160	149	10	10	10	10	434	1	1	1	1	2
ಶಗಳ	7045	-3.83	94	111	224	11	8	8	8	711	490	3	3	3	3
ಅಕ	7043	-4.43	158	183	409	10	10	10	10	601	1	1	1	1	2
ಶನ	7037	-3.57	172	200	224	23	23	23	23	1704	8	8	8	8	2
ಣದ	7027	-3.47	142	172	176	14	14	14	14	727	50	50	50	50	2
ಪಕ	7023	-3.29	156	194	375	34	34	34	34	601	22	22	22	22	2
ಗವ	7015	-3.64	150	178	380	30	30	30	30	586	7	7	7	7	2
ಶದ	6978	-4.01	150	170	224	14	14	14	14	727	3	3	3	3	2
ಘ	6820	-4.31	0	37	84	84	84	84	84	20	20	20	20	20	1
