word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
년	608476	-4.38	0	36	54	54	54	54	54	22	22	22	22	22	1
월	287445	-4.43	0	17	32	32	32	32	32	4	4	4	4	4	1
있다	250768	-4.02	142	149	59	6	6	6	6	1488	10	10	10	10	2
일	173428	-4.32	0	63	193	193	193	193	193	50	50	50	50	50	1
이	170510	-4.31	0	201	414	414	414	414	414	668	668	668	668	668	1
는	132361	-5.38	0	99	1	1	1	1	1	1036	1036	1036	1036	1036	1
수	111448	-4.32	0	88	172	172	172	172	172	51	51	51	51	51	1
은	105876	-4.51	0	142	18	18	18	18	18	584	584	584	584	584	1
그	103835	-4.33	0	32	142	142	142	142	142	21	21	21	21	21	1
의	94713	-4.35	0	181	86	86	86	86	86	1159	1159	1159	1159	1159	1
있는	90602	-4.22	216	223	59	5	5	5	5	1036	6	6	6	6	2
제	78004	-4.33	0	60	163	163	163	163	163	32	32	32	32	32	1
년에	70207	-4.39	278	292	54	5	5	5	5	784	4	4	4	4	2
에	62934	-4.38	0	134	50	50	50	50	50	784	784	784	784	784	1
되었다	61785	-3.5	70	73	37	12	4	4	4	1488	230	163	163	163	3
한다	56544	-3.82	172	192	87	4	4	4	4	1488	94	94	94	94	2
그는	55610	-5.15	252	257	142	1	1	1	1	1036	2	2	2	2	2
를	53640	-5.38	0	51	1	1	1	1	1	665	665	665	665	665	1
한	53423	-4.35	0	72	87	87	87	87	87	437	437	437	437	437	1
을	53016	-5.38	0	158	1	1	1	1	1	1047	1047	1047	1047	1047	1
이후	51493	-4.59	178	185	414	12	12	12	12	16	1	1	1	1	2
같은	47765	-4.97	286	290	13	2	2	2	2	584	3	3	3	3	2
등	47556	-4.37	0	17	59	59	59	59	59	7	7	7	7	7	1
대한	45685	-3.66	198	211	266	17	17	17	17	437	10	10	10	10	2
및	45311	-5.38	0	0	1	1	1	1	1	1	1	1	1	1	1
중	43548	-4.33	0	44	128	128	128	128	128	15	15	15	15	15	1
후	43405	-4.37	0	35	64	64	64	64	64	16	16	16	16	16	1
또한	42801	-5.89	92	94	5	1	1	1	1	437	1	1	1	1	2
그러나	42708	-5.44	14	14	142	9	1	1	1	89	3	1	1	1	3
함께	41331	-5.13	10	12	26	3	3	3	3	1	1	1	1	1	2
가	40784	-4.32	0	109	205	205	205	205	205	454	454	454	454	454	1
때	40136	-4.42	0	16	33	33	33	33	33	5	5	5	5	5	1
그의	39698	-4.91	376	385	142	1	1	1	1	1159	4	4	4	4	2
다른	39504	-5.02	50	53	93	1	1	1	1	17	3	3	3	3	2
위해	39007	-4.92	114	118	94	4	4	4	4	95	1	1	1	1	2
때문에	38258	-5.01	10	13	33	8	1	1	1	784	7	2	2	2	3
로	37768	-4.38	0	95	53	53	53	53	53	878	878	878	878	878	1
가장	36363	-5.14	196	198	205	2	2	2	2	61	1	1	1	1	2
있으며	35687	-4.88	38	39	59	6	1	1	1	224	100	1	1	1	3
또는	35343	-5.89	198	200	5	1	1	1	1	1036	1	1	1	1	2
된다	34769	-4.34	122	128	5	4	4	4	4	1488	40	40	40	40	2
했다	34690	-4.0	130	152	13	4	4	4	4	1488	203	203	203	203	2
것을	34267	-5.07	332	338	46	1	1	1	1	1047	3	3	3	3	2
두	34169	-4.45	0	12	26	26	26	26	26	5	5	5	5	5	1
있었다	33470	-4.07	70	73	59	15	3	3	3	1488	230	2	2	2	3
당시	32732	-4.79	94	99	59	7	7	7	7	90	1	1	1	1	2
에서	32433	-3.88	76	144	50	4	4	4	4	482	335	335	335	335	2
의해	31898	-5.17	110	113	86	2	2	2	2	95	1	1	1	1	2
따라	31690	-4.9	40	44	19	3	3	3	3	63	2	2	2	2	2
개	31384	-4.33	0	50	160	160	160	160	160	9	9	9	9	9	1
그리고	31185	-4.85	24	25	142	16	1	1	1	611	12	1	1	1	3
많은	31141	-5.07	288	291	17	2	2	2	2	584	2	2	2	2	2
개의	30258	-4.78	402	414	160	1	1	1	1	1159	6	6	6	6	2
일에	30145	-4.68	304	316	193	4	4	4	4	784	2	2	2	2	2
현재	30069	-4.69	68	75	64	10	10	10	10	17	1	1	1	1	2
일본	29154	-4.0	72	88	193	32	32	32	32	11	3	3	3	3	2
것으로	29047	-4.19	126	131	46	5	5	5	5	878	429	2	2	2	3
미국	28879	-4.6	78	89	89	14	14	14	14	36	1	1	1	1	2
하는	28852	-4.07	266	294	112	2	2	2	2	1036	211	211	211	211	2
다시	28587	-4.75	90	95	93	3	3	3	3	90	2	2	2	2	2
것이다	28142	-4.39	108	113	46	16	1	1	1	1488	282	2	2	2	3
하였다	28038	-3.51	24	38	112	9	3	3	3	1488	240	218	218	218	3
주	27934	-4.32	0	85	177	177	177	177	177	37	37	37	37	37	1
와	26966	-4.53	0	31	16	16	16	16	16	137	137	137	137	137	1
이다	26795	-4.33	274	333	414	1	1	1	1	1488	282	282	282	282	2
더	26458	-4.54	0	8	15	15	15	15	15	11	11	11	11	11	1
통해	26377	-5.2	98	101	54	2	2	2	2	95	1	1	1	1	2
으로	26107	-4.31	146	213	4	4	4	4	4	878	429	429	429	429	2
등의	25092	-5.45	342	346	59	1	1	1	1	1159	1	1	1	1	2
대한민국의	24373	-5.15	12	13	266	17	12	12	1	1159	23	2	1	1	5
년에는	24280	-4.74	62	66	54	5	1	1	1	1036	88	2	2	2	3
큰	24129	-5.38	0	0	1	1	1	1	1	1	1	1	1	1	1
세	24122	-4.34	0	37	120	120	120	120	120	9	9	9	9	9	1
과	23822	-4.4	0	63	43	43	43	43	43	206	206	206	206	206	1
대	23707	-4.31	0	92	266	266	266	266	266	54	54	54	54	54	1
여러	23601	-4.86	64	66	88	5	5	5	5	27	1	1	1	1	2
약	23573	-4.51	0	17	18	18	18	18	18	10	10	10	10	10	1
차	22865	-4.36	0	31	76	76	76	76	76	16	16	16	16	16	1
것이	22654	-4.19	266	277	46	16	16	16	16	668	3	3	3	3	2
모든	22417	-5.43	60	62	98	1	1	1	1	8	1	1	1	1	2
모두	22117	-4.76	58	64	98	7	7	7	7	5	1	1	1	1	2
