word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
û	75447	-4.31	0	15	36	36	36	36	36	125	125	125	125	125	1
bi	48501	-3.54	70	77	1718	548	548	548	548	179	8	8	8	8	2
li	48344	-3.93	62	69	388	57	57	57	57	179	14	14	14	14	2
ji	46886	-4.08	58	62	183	57	57	57	57	179	5	5	5	5	2
di	41509	-3.53	72	85	1756	615	615	615	615	179	12	12	12	12	2
de	40707	-2.58	74	93	1756	519	519	519	519	1751	103	103	103	103	2
ku	29221	-3.61	60	67	1338	185	185	185	185	71	7	7	7	7	2
ye	24014	-2.78	58	67	191	93	93	93	93	1751	202	202	202	202	2
jî	22956	-3.38	54	58	183	22	22	22	22	2096	43	43	43	43	2
xwe	22091	-3.47	16	21	612	166	106	106	106	1751	39	11	11	11	3
e	16499	-4.3	0	41	693	693	693	693	693	1751	1751	1751	1751	1751	1
ya	14388	-2.96	54	62	191	43	43	43	43	3141	839	839	839	839	2
ser	14256	-3.03	54	70	1207	399	218	218	218	965	260	26	26	26	3
wê	13947	-3.45	50	56	327	30	30	30	30	3194	21	21	21	21	2
an	13881	-2.66	52	79	948	101	101	101	101	4153	1548	1548	1548	1548	2
tê	12724	-2.67	62	71	885	94	94	94	94	3194	176	176	176	176	2
wî	11519	-4.04	52	55	327	6	6	6	6	2096	31	31	31	31	2
ê	10806	-4.3	0	27	85	85	85	85	85	3194	3194	3194	3194	3194	1
ve	10797	-2.99	56	62	233	128	128	128	128	1751	56	56	56	56	2
ew	10519	-4.01	40	58	693	44	44	44	44	45	19	19	19	19	2
re	10086	-2.78	62	77	774	175	175	175	175	1751	177	177	177	177	2
sala	9205	-4.43	34	39	1207	173	42	5	5	3141	143	32	6	6	4
wan	9110	-3.51	44	52	327	51	10	10	10	4153	1548	30	30	30	3
bû	8759	-3.38	48	56	1718	39	39	39	39	125	55	55	55	55	2
navê	8323	-4.05	42	48	959	252	95	3	3	3194	65	30	8	8	4
a	8192	-4.3	0	43	948	948	948	948	948	3141	3141	3141	3141	3141	1
bo	7695	-3.7	62	73	1718	72	72	72	72	315	7	7	7	7	2
lê	7552	-2.91	56	64	388	49	49	49	49	3194	148	148	148	148	2
ev	7181	-3.89	44	58	693	44	44	44	44	126	27	27	27	27	2
gundekî	7125	-6.37	8	9	747	131	33	25	7	2096	293	172	4	3	7
vê	7027	-3.71	48	54	233	8	8	8	8	3194	65	65	65	65	2
ne	6458	-2.35	68	77	959	280	280	280	280	1751	331	331	331	331	2
gelek	6216	-5.12	22	28	747	179	42	15	8	642	210	17	6	1	5
yê	6022	-3.54	50	55	191	8	8	8	8	3194	775	775	775	775	2
yên	5929	-4.02	22	24	191	8	1	1	1	4153	1184	278	278	278	3
ber	5763	-2.98	66	85	1718	466	211	211	211	965	260	32	32	32	3
hatiye	5575	-5.47	14	15	1190	149	36	21	4	1751	202	109	39	6	6
dike	5571	-3.91	32	36	1756	615	61	17	17	1751	287	22	15	15	4
kurdî	5233	-4.61	22	25	1338	185	103	54	7	2096	134	14	1	1	5
kurd	5092	-4.05	20	28	1338	185	103	54	54	308	42	10	10	10	4
aliyê	4769	-4.44	14	19	948	128	19	9	2	3194	775	344	14	4	5
navçeya	4607	-6.38	6	7	959	252	95	14	11	3141	839	148	6	1	7
kurdistanê	4604	-7.92	0	0	1338	185	103	54	16	3194	542	227	52	46	10
her	4553	-3.3	62	70	1190	561	93	93	93	965	260	7	7	7	3
da	4533	-2.81	70	87	1756	262	262	262	262	3141	101	101	101	101	2
yek	4373	-3.55	28	35	191	93	47	47	47	642	210	43	43	43	3
kirin	4280	-3.63	16	23	1338	135	61	18	7	4153	804	231	200	180	5
dibe	4210	-4.79	34	36	1756	615	48	3	3	1751	50	25	10	10	4
in	4033	-3.23	34	52	102	26	26	26	26	4153	804	804	804	804	2
mirov	3900	-6.16	2	7	1223	224	47	17	16	126	16	7	2	2	5
hene	3844	-4.55	28	31	1190	561	20	5	5	1751	331	13	1	1	4
mezin	3673	-4.78	12	16	1223	346	47	16	16	4153	804	12	2	1	5
wek	3655	-4.06	30	40	327	177	16	16	16	642	210	3	3	3	3
nav	3645	-3.95	28	36	959	252	95	95	95	126	42	7	7	7	3
dema	3599	-4.29	34	38	1756	519	54	5	5	3141	120	24	4	4	4
din	3542	-2.52	50	57	1756	615	36	36	36	4153	804	125	125	125	3
wekî	3476	-4.2	30	33	327	177	16	3	3	2096	293	172	3	3	4
zimanê	3379	-5.48	14	17	469	97	24	22	22	3194	542	227	24	2	6
