word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
жана	54796	-4.09	20	26	1527	674	54	5	5	2136	361	32	1	1	4
менен	38177	-5.01	6	8	1146	202	20	4	2	4591	357	60	2	1	5
br	28525	-4.59	24	27	12	1	1	1	1	15	1	1	1	1	2
бир	19785	-3.61	24	27	1691	221	93	93	93	1133	37	4	4	4	3
кыргыз	18824	-6.02	4	5	3372	372	86	46	43	209	59	6	1	1	6
ж	17192	-4.3	0	6	1527	1527	1527	1527	1527	17	17	17	17	17	1
б	17105	-4.3	0	9	1691	1691	1691	1691	1691	26	26	26	26	26	1
ал	14177	-3.27	34	51	1838	285	285	285	285	302	77	77	77	77	2
да	13678	-2.56	54	64	602	170	170	170	170	2136	631	631	631	631	2
жылы	12978	-4.21	2	6	1527	157	80	9	9	1636	51	5	1	1	4
болуп	11943	-4.48	6	6	1691	207	96	26	2	818	96	33	9	1	5
же	11857	-3.68	24	34	1527	203	203	203	203	729	5	5	5	5	2
бул	11509	-3.78	22	25	1691	183	48	48	48	302	48	4	4	4	3
болгон	11466	-6.01	2	4	1691	207	96	21	17	4591	155	41	15	13	6
м	10792	-4.3	0	14	1146	1146	1146	1146	1146	280	280	280	280	280	1
анын	9977	-3.63	12	20	1838	93	25	1	1	4591	1309	487	114	114	4
к	9937	-4.3	0	22	3372	3372	3372	3372	3372	1409	1409	1409	1409	1409	1
эле	9776	-4.17	12	21	664	95	48	48	48	729	19	1	1	1	3
а	9514	-4.3	0	30	1838	1838	1838	1838	1838	2136	2136	2136	2136	2136	1
үчүн	9212	-5.03	6	8	146	14	5	4	4	4591	367	3	2	2	4
боюнча	9055	-6.17	2	5	1691	207	8	6	1	2136	62	15	2	2	6
деп	8690	-4.3	22	24	602	130	11	11	11	818	42	12	12	12	3
с	7820	-4.3	0	18	1323	1323	1323	1323	1323	139	139	139	139	139	1
башка	7653	-4.46	12	14	1691	605	103	39	36	2136	205	22	5	1	5
болот	7513	-5.09	10	11	1691	207	96	13	2	987	33	13	13	3	5
ф	6996	-4.3	0	3	253	253	253	253	253	15	15	15	15	15	1
мамлекеттик	6897	-9.68	0	0	1146	447	63	25	24	1409	234	86	50	11	11
деген	6508	-4.55	4	6	602	130	14	12	11	4591	357	114	28	8	5
ар	6237	-2.79	42	59	1838	219	219	219	219	1133	458	458	458	458	2
бар	6116	-3.34	38	43	1691	605	61	61	61	1133	458	8	8	8	3
турган	5695	-4.8	12	16	2053	252	99	20	13	4591	931	310	34	10	6
т	5576	-4.3	0	13	2053	2053	2053	2053	2053	987	987	987	987	987	1
манас	5557	-6.39	4	6	1146	447	37	28	22	139	20	1	1	1	5
пайда	5449	-4.8	8	9	480	114	38	25	25	2136	631	14	13	2	5
кийин	5438	-4.53	10	11	3372	184	37	31	7	4591	700	5	2	1	5
өз	5388	-3.75	22	28	471	108	108	108	108	209	7	7	7	7	2
көп	5265	-3.48	22	25	3372	351	20	20	20	818	25	2	2	2	3
катары	5247	-5.13	4	7	3372	930	96	17	11	1636	277	261	76	1	6
чейин	5191	-5.91	8	8	682	162	3	2	2	4591	700	5	3	2	5
эмес	5060	-6.18	2	2	664	72	8	7	7	139	9	1	1	1	4
и	4656	-4.3	0	23	573	573	573	573	573	862	862	862	862	862	1
эл	4514	-4.11	30	34	664	95	95	95	95	302	2	2	2	2	2
кыргызстан	4509	-8.95	0	0	3372	372	86	46	43	4591	931	93	28	2	10
эки	4480	-4.4	12	16	664	57	11	11	11	862	34	1	1	1	3
жылдан	4474	-5.36	8	10	1527	157	80	40	16	4591	931	147	8	2	6
в	4307	-4.3	0	4	118	118	118	118	118	255	255	255	255	255	1
бири	4302	-3.77	10	13	1691	221	93	51	51	862	156	14	1	1	4
гана	4196	-4.55	6	8	254	45	3	1	1	2136	361	32	2	2	4
алып	4126	-3.52	20	27	1838	285	48	2	2	818	258	79	36	36	4
алардын	4075	-4.73	4	7	1838	285	38	8	5	4591	1309	350	230	223	7
чоң	4020	-4.29	16	18	682	67	12	12	12	60	7	1	1	1	3
энциклопедия	3907	-13.44	0	0	664	42	5	5	5	236	202	11	4	1	12
эң	3878	-4.38	26	28	664	4	4	4	4	60	1	1	1	1	2
башкы	3731	-5.86	10	13	1691	605	103	39	3	1636	45	3	1	1	5
белгилүү	3667	-8.1	0	0	1691	237	56	36	35	801	277	43	6	1	8
суу	3629	-3.46	20	25	1323	132	38	38	38	1171	472	12	12	12	3
н	3628	-4.3	0	22	296	296	296	296	296	4591	4591	4591	4591	4591	1
аны	3556	-4.05	24	35	1838	93	25	25	25	1636	106	77	77	77	3
турат	3541	-4.61	12	15	2053	252	99	11	1	987	341	43	12	4	5
бишкек	3529	-7.58	0	0	1691	221	5	5	5	1409	120	5	2	1	6
лат	3464	-4.43	22	25	124	34	5	5	5	987	341	88	88	88	3
аркылуу	3452	-7.48	0	2	1838	219	15	3	2	1171	472	102	14	3	7
жогорку	3432	-8.64	0	1	1527	163	26	26	16	1171	17	1	1	1	7
кара	3410	-4.14	34	43	3372	930	218	113	113	2136	75	29	7	7	4
окуу	3394	-4.27	8	10	651	110	70	22	22	1171	472	7	2	2	4
эми	3353	-4.64	12	14	664	72	8	8	8	862	24	1	1	1	3
км	3342	-4.8	40	50	3372	14	14	14	14	280	2	2	2	2	2
ошондой	3337	-8.86	2	3	651	21	14	10	5	433	41	5	2	2	7
ошол	3329	-6.32	4	5	651	21	14	2	2	302	43	1	1	1	4
бирок	3327	-6.5	0	0	1691	221	93	2	1	1409	41	3	1	1	5
