word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
an	122999	-3.15	50	73	1327	148	148	148	148	3731	165	165	165	165	2
de	115344	-2.96	58	72	958	214	214	214	214	2958	119	119	119	119	2
d	110758	-4.3	0	24	958	958	958	958	958	521	521	521	521	521	1
der	95373	-3.14	40	46	958	214	14	14	14	2201	1739	88	88	88	3
vun	86630	-4.34	26	28	757	18	3	3	3	3731	278	4	4	4	3
ass	71668	-3.56	20	28	1327	85	18	18	18	1471	171	37	37	37	3
den	68382	-2.87	38	46	958	214	10	10	10	3731	2502	134	134	134	3
a	62619	-4.3	0	36	1327	1327	1327	1327	1327	562	562	562	562	562	1
am	53725	-3.51	56	66	1327	66	66	66	66	466	39	39	39	39	2
déi	47897	-4.55	22	25	958	45	22	22	22	334	32	1	1	1	3
vum	45386	-4.89	12	14	757	18	1	1	1	466	116	1	1	1	3
huet	44466	-5.52	14	16	786	51	9	1	1	2800	168	9	1	1	4
eng	41135	-3.81	14	25	903	143	27	27	27	900	548	82	82	82	3
zu	36526	-4.3	30	35	370	23	23	23	23	161	4	4	4	4	2
op	34760	-3.35	38	44	563	171	171	171	171	136	21	21	21	21	2
e	30787	-4.3	0	32	903	903	903	903	903	2958	2958	2958	2958	2958	1
vu	28576	-3.98	40	45	757	18	18	18	18	161	3	3	3	3	2
fir	28476	-4.41	32	36	860	109	7	7	7	2201	41	5	5	5	3
mat	28422	-3.52	40	46	1215	366	48	48	48	2800	101	8	8	8	3
war	28098	-4.27	42	49	588	120	12	12	12	2201	92	2	2	2	3
gouf	25171	-6.09	4	6	1286	75	13	3	3	263	13	5	1	1	4
dem	21773	-4.04	18	24	958	214	20	20	20	466	115	10	10	10	3
et	21300	-3.33	40	53	903	36	36	36	36	2800	168	168	168	168	2
och	19993	-4.58	6	12	563	6	1	1	1	860	773	29	29	29	3
en	19553	-2.37	44	60	903	143	143	143	143	3731	2502	2502	2502	2502	2
sech	19432	-4.55	16	19	1882	169	17	7	7	860	773	176	1	1	4
ginn	16933	-5.22	14	17	1286	49	4	1	1	3731	175	49	19	19	4
hien	16889	-4.22	16	19	786	108	22	1	1	3731	2502	157	4	4	4
si	16304	-3.72	70	83	1882	105	105	105	105	334	17	17	17	17	2
aus	15345	-2.89	22	29	1327	251	168	168	168	1471	226	33	33	33	3
als	14951	-4.41	22	27	1327	144	5	5	5	1471	41	2	2	2	3
joer	14825	-4.11	12	14	298	95	18	15	15	2201	1739	16	8	8	4
bis	14353	-4.41	34	38	1375	117	7	7	7	1471	195	2	2	2	3
ze	13853	-3.35	38	40	370	110	110	110	110	2958	40	40	40	40	2
gëtt	13776	-4.2	10	12	1286	18	6	5	5	2800	111	20	5	5	4
sinn	13408	-5.09	22	25	1882	105	15	2	2	3731	175	49	9	9	4
enger	12583	-5.31	14	18	903	143	27	10	2	2201	1739	133	56	17	5
engem	12424	-5.98	8	12	903	143	27	10	1	466	115	9	7	6	5
joerhonnert	12180	-10.04	0	0	298	95	18	15	5	2800	556	467	18	15	11
wéi	12115	-4.85	22	23	588	18	9	9	9	334	32	4	4	4	3
bei	11817	-4.34	28	31	1375	494	15	15	15	334	57	1	1	1	3
hie	10869	-3.96	32	39	786	108	22	22	22	2958	219	18	18	18	3
no	10664	-3.13	58	69	589	196	196	196	196	327	32	32	32	32	2
um	10341	-4.04	38	47	323	5	5	5	5	466	116	116	116	116	2
oder	10338	-5.21	8	10	563	5	1	1	1	2201	1739	88	2	2	4
dat	10233	-4.28	34	41	958	101	14	14	14	2800	101	4	4	4	3
lëtzebuerg	9881	-9.71	0	0	775	22	11	11	10	900	89	49	16	15	10
duerch	9761	-5.75	0	2	958	96	51	35	21	860	773	26	19	6	6
net	9748	-4.45	30	36	589	100	6	6	6	2800	168	10	10	10	3
un	9383	-3.09	32	50	323	74	74	74	74	3731	278	278	278	278	2
deen	9176	-4.16	30	34	958	214	40	3	3	3731	2502	38	1	1	4
méi	9139	-4.44	28	30	1215	41	19	19	19	334	32	3	3	3	3
hunn	8716	-5.2	8	9	786	51	7	2	2	3731	175	25	1	1	4
seng	8586	-4.36	18	22	1882	169	33	8	8	900	548	82	9	9	4
franséisch	8553	-9.2	0	0	860	170	54	40	13	860	773	325	12	3	10
gemeng	8246	-5.63	0	2	1286	644	41	27	18	900	548	82	9	8	6
datt	8244	-4.95	12	13	958	101	14	1	1	2800	111	18	2	2	4
gebuer	8228	-5.06	4	6	1286	644	45	8	8	2201	1739	56	1	1	6
canton	8087	-6.9	8	11	773	153	23	4	2	3731	289	42	8	4	6
iwwer	7972	-3.64	2	2	468	83	82	80	80	2201	1739	31	8	8	5
mam	7937	-4.55	28	32	1215	366	10	10	10	466	39	1	1	1	3
hat	7874	-4.66	34	42	786	238	6	6	6	2800	101	5	5	5	3
se	7815	-2.96	72	88	1882	169	169	169	169	2958	149	149	149	149	2
nach	6969	-4.62	16	16	589	119	3	2	2	860	773	87	8	8	4
dës	6613	-5.54	10	12	958	15	8	8	8	1471	1	1	1	1	3
departement	6470	-10.72	0	0	958	214	15	6	6	2800	337	156	62	39	11
awer	6407	-4.92	12	12	1327	9	2	1	1	2201	1739	31	1	1	4
zum	6394	-4.86	8	10	370	23	3	3	3	466	116	1	1	1	3
ënner	6116	-3.96	4	8	164	81	80	79	71	2201	1739	135	43	11	5
sou	5917	-4.41	28	34	1882	165	35	35	35	161	31	5	5	5	3
tëscht	5712	-5.55	6	6	617	10	6	6	6	2800	337	327	122	18	6
do	5668	-3.22	56	67	958	143	143	143	143	327	23	23	23	23	2
stad	5589	-4.34	10	13	1882	409	134	20	20	521	53	20	20	20	4
gestuerwen	5498	-9.29	0	0	1286	644	141	30	3	3731	2502	67	5	4	10
v	5480	-4.3	0	15	757	757	757	757	757	74	74	74	74	74	1
arrondissement	5444	-13.97	0	0	1327	162	13	2	2	2800	337	156	62	39	14
dee	5403	-4.19	40	48	958	214	40	40	40	2958	53	1	1	1	3
numm	5347	-4.98	6	6	589	28	11	6	6	466	59	13	10	10	4
la	5329	-3.37	72	83	775	186	186	186	186	562	39	39	39	39	2
regioun	5314	-6.35	4	6	842	336	54	32	9	3731	278	247	238	8	7
een	5262	-3.64	22	34	903	67	24	24	24	3731	2502	38	38	38	3
wou	4961	-4.78	16	19	588	61	18	18	18	161	31	2	2	2	3
ee	4940	-3.66	62	77	903	67	67	67	67	2958	53	53	53	53	2
éischt	4872	-5.87	2	3	72	34	15	6	6	2800	337	327	122	7	6
chr	4823	-4.7	18	22	773	195	35	35	35	2201	11	1	1	1	3
hir	4806	-4.36	40	45	786	108	13	13	13	2201	41	5	5	5	3
goufen	4775	-7.16	0	1	1286	75	13	3	2	3731	2502	49	3	2	6
zanter	4747	-6.38	6	6	370	16	3	3	2	2201	1739	332	52	5	6
deem	4531	-5.0	16	18	958	214	40	10	10	466	115	12	6	6	4
administrativ	4478	-11.74	0	0	1327	50	9	9	7	74	50	33	11	2	13
andeelung	4470	-8.24	0	0	1327	148	27	12	5	900	548	319	52	13	9
säit	4448	-4.41	14	16	1882	17	10	8	8	2800	203	59	15	15	4
läit	4418	-4.73	12	12	775	18	2	1	1	2800	203	59	2	2	4
all	4401	-3.52	18	31	1327	144	37	37	37	901	226	67	67	67	3
ëm	4365	-3.88	24	27	164	66	66	66	66	466	5	5	5	5	2
well	4351	-4.38	20	23	588	148	42	10	10	901	226	71	7	7	4
säi	4321	-4.7	16	19	1882	17	10	10	10	334	16	1	1	1	3
waren	4208	-5.16	10	12	588	120	12	3	1	3731	2502	272	7	1	5
sengem	4028	-6.53	10	12	1882	169	33	8	7	466	115	9	7	6	6
z	3940	-4.3	0	5	370	370	370	370	370	223	223	223	223	223	1
där	3895	-4.02	26	27	958	38	3	3	3	2201	63	2	2	2	3
senger	3844	-5.86	18	20	1882	169	33	8	7	2201	1739	133	56	17	6
m	3744	-4.3	0	32	1215	1215	1215	1215	1215	466	466	466	466	466	1
zäit	3680	-3.99	10	11	370	28	24	24	24	2800	203	59	30	30	4
des	3624	-3.88	36	40	958	214	14	14	14	1471	352	20	20	20	3
mä	3593	-4.47	38	41	1215	27	27	27	27	2	1	1	1	1	2
wat	3568	-4.62	28	33	588	120	6	6	6	2800	101	4	4	4	3
genannt	3497	-7.43	2	3	1286	644	48	4	3	2800	337	59	19	6	7
jean	3456	-6.25	10	11	298	49	3	3	3	3731	165	6	1	1	4
haut	3445	-4.64	12	17	786	238	14	6	6	2800	68	26	2	2	4
duerno	3431	-6.98	0	0	958	96	51	35	1	327	32	3	2	1	6
uertschaft	3423	-8.13	0	0	323	54	24	10	8	2800	160	66	49	47	10
gemaach	3358	-6.93	0	1	1286	644	41	1	1	860	773	87	33	10	7
beim	3290	-5.61	4	6	1375	494	15	1	1	466	26	9	1	1	4
du	3239	-4.36	50	57	958	96	96	96	96	161	2	2	2	2	2
b	3219	-4.3	0	16	1375	1375	1375	1375	1375	50	50	50	50	50	1
deel	3165	-4.59	22	27	958	214	40	19	19	901	319	21	11	11	4
gehéiert	3159	-6.36	0	1	1286	644	32	3	3	2800	556	467	300	290	8
befaasst	3157	-8.58	0	0	1375	494	13	2	2	2800	181	35	12	7	8
ronn	3154	-4.49	10	13	842	160	11	3	3	3731	175	22	9	9	4
kierch	3095	-5.66	2	4	989	85	31	25	14	860	773	26	19	12	6
ganz	3072	-4.76	6	8	1286	130	13	5	5	223	62	21	1	1	4
virun	3070	-5.52	4	5	757	184	79	5	1	3731	278	10	1	1	5
l	2977	-4.3	0	30	775	775	775	775	775	901	901	901	901	901	1
kann	2937	-4.23	16	21	989	194	44	8	8	3731	175	39	1	1	4
koum	2934	-5.41	10	12	989	271	6	3	3	466	116	10	3	3	4
hu	2924	-4.44	48	55	786	51	51	51	51	161	2	2	2	2	2
nom	2924	-4.07	24	27	589	196	9	9	9	466	30	7	7	7	3
mee	2914	-4.64	34	36	1215	188	19	19	19	2958	53	1	1	1	3
geschicht	2876	-6.42	0	0	1286	644	141	58	58	2800	337	327	70	16	9
oktober	2853	-9.35	0	0	563	8	3	2	2	2201	1739	31	1	1	7
lëtzebuerger	2828	-10.94	0	0	775	22	11	11	10	2201	1739	133	22	15	12
januar	2825	-8.38	0	0	298	51	8	1	1	2201	92	2	1	1	6
vill	2813	-3.83	18	21	757	184	22	19	19	901	226	28	2	2	4
saint	2769	-5.5	0	3	1882	156	10	3	3	2800	337	25	2	2	5
juli	2765	-6.1	4	6	298	73	11	10	10	334	18	2	1	1	4
plaz	2760	-4.61	6	10	1023	83	63	7	7	223	26	13	13	13	4
juni	2754	-5.8	10	12	298	73	13	3	3	334	27	3	1	1	4
lëtzebuergesche	2746	-11.98	0	0	775	22	11	11	10	2958	298	277	155	141	15
