word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
de	207303	-2.84	84	100	988	250	250	250	250	1529	94	94	94	94	2
l	130506	-4.3	0	41	841	841	841	841	841	897	897	897	897	897	1
la	97222	-2.49	102	120	841	197	197	197	197	4831	346	346	346	346	2
del	86719	-3.85	48	56	988	250	18	18	18	897	114	17	17	17	3
el	74316	-3.36	62	80	518	62	62	62	62	897	114	114	114	114	2
è	71407	-4.31	0	18	25	25	25	25	25	89	89	89	89	89	1
e	68835	-4.3	0	35	518	518	518	518	518	1529	1529	1529	1529	1529	1
a	56476	-4.3	0	49	1250	1250	1250	1250	1250	4831	4831	4831	4831	4831	1
na	41878	-2.53	88	112	580	119	119	119	119	4831	677	677	677	677	2
in	38194	-2.73	56	75	544	279	279	279	279	1937	199	199	199	199	2
al	31537	-2.75	74	98	1250	221	221	221	221	897	213	213	213	213	2
cümü	29121	-6.24	4	4	2344	31	6	3	3	96	2	1	1	1	4
ha	28569	-4.06	70	79	202	49	49	49	49	4831	7	7	7	7	2
i	28419	-4.3	0	35	544	544	544	544	544	1208	1208	1208	1208	1208	1
che	27415	-3.59	18	27	2344	192	28	28	28	1529	57	35	35	35	3
km²	25864	-4.86	0	1	104	2	1	1	1	2	1	1	1	1	3
n	19800	-4.3	0	31	580	580	580	580	580	1937	1937	1937	1937	1937	1
g	18531	-4.3	0	20	893	893	893	893	893	223	223	223	223	223	1
gh	17724	-3.17	34	42	893	22	22	22	22	649	164	164	164	164	2
abitàncc	16350	-8.37	0	1	1250	42	16	13	5	257	166	30	5	4	8
di	15325	-2.91	84	104	988	272	272	272	272	1208	60	60	60	60	2
se	14513	-2.57	94	110	2052	314	314	314	314	1529	139	139	139	139	2
da	14387	-2.55	102	124	988	103	103	103	103	4831	365	365	365	365	2
en	13909	-2.95	54	76	518	80	80	80	80	1937	592	592	592	592	2
un	13239	-3.22	46	62	259	53	53	53	53	1937	155	155	155	155	2
méter	12947	-6.12	8	9	1496	20	4	1	1	877	360	76	2	1	5
altèsa	12610	-7.14	0	0	1250	221	39	2	1	4831	270	9	2	1	6
d	11799	-4.3	0	33	988	988	988	988	988	343	343	343	343	343	1
cumün	11763	-5.17	2	4	2344	325	83	10	8	1937	16	2	1	1	5
per	11398	-3.02	52	65	1793	259	116	116	116	877	360	11	11	11	3
una	11351	-3.85	32	39	259	53	1	1	1	4831	677	27	27	27	3
regiù	10990	-5.67	6	6	922	283	51	24	1	149	100	4	1	1	5
superfìce	10878	-11.18	0	0	2052	156	12	8	8	1529	57	2	2	2	9
part	10685	-3.9	32	42	1793	380	137	41	41	1335	111	17	5	5	4
sò	10672	-4.3	78	82	2052	8	8	8	8	68	3	3	3	3	2
popolasiù	9166	-8.79	0	0	1793	230	20	8	8	149	100	78	38	4	9
mar	9090	-3.54	56	72	1496	477	129	129	129	877	101	7	7	7	3
teretóre	8433	-10.25	0	0	934	165	47	5	1	1529	207	2	2	1	8
densità	7552	-7.08	0	0	988	250	22	4	3	373	117	61	6	1	7
ab	7525	-4.05	46	54	1250	42	42	42	42	37	7	7	7	7	2
br	7358	-4.5	66	73	1096	186	186	186	186	877	1	1	1	1	2
