word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
m	539140	-4.3	0	28	1036	1036	1036	1036	1036	69	69	69	69	69	1
ir	524489	-5.5	54	57	638	13	13	13	13	84	3	3	3	3	2
buvo	173818	-4.09	6	7	719	71	25	1	1	2604	207	17	6	6	4
į	160341	-4.3	0	4	310	310	310	310	310	268	268	268	268	268	1
nuo	155674	-4.1	10	12	734	203	56	56	56	2604	20	2	2	2	3
yra	133172	-6.58	4	5	22	1	1	1	1	1707	75	2	2	2	3
iš	111437	-4.28	30	32	638	281	281	281	281	7	2	2	2	2	2
su	105728	-3.55	44	50	2053	463	463	463	463	449	7	7	7	7	2
d	96940	-4.3	0	15	975	975	975	975	975	58	58	58	58	58	1
lietuvos	79831	-7.36	0	0	756	177	49	29	26	6168	1423	66	18	3	8
a	63459	-4.3	0	33	1541	1541	1541	1541	1541	1707	1707	1707	1707	1707	1
iki	58980	-6.12	2	5	638	5	3	3	3	2458	16	4	4	4	3
o	52693	-4.3	0	20	227	227	227	227	227	2604	2604	2604	2604	2604	1
kaip	50145	-5.52	2	3	1736	524	50	1	1	40	9	6	2	2	4
apie	49286	-5.27	0	0	1541	243	26	1	1	1413	17	1	1	1	4
kad	49035	-4.98	12	15	1736	524	10	10	10	58	10	2	2	2	3
km	48598	-5.57	50	56	1736	3	3	3	3	69	1	1	1	1	2
po	44143	-3.09	40	44	2613	205	205	205	205	2604	28	28	28	28	2
bei	40900	-4.81	12	14	719	115	2	2	2	2458	43	7	7	7	3
kaimas	40146	-5.21	8	9	1736	524	50	19	3	6168	1764	378	142	1	6
taip	39417	-5.98	6	7	1104	245	30	1	1	40	9	6	3	3	4
rajono	38478	-7.03	8	8	840	206	12	11	11	2604	282	49	6	2	6
savo	37263	-3.5	12	14	2053	245	67	5	5	2604	207	140	6	6	4
prie	37016	-4.82	2	3	2613	589	254	96	96	1413	17	4	1	1	4
jo	36713	-3.11	48	59	350	63	63	63	63	2604	236	236	236	236	2
jis	35871	-5.33	18	21	350	9	1	1	1	6168	997	4	4	4	3
