word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ny	638876	-4.01	98	106	782	2	2	2	2	2240	555	555	555	555	2
dia	280534	-3.72	20	26	649	101	10	10	10	3133	210	23	23	23	3
i	173576	-4.3	0	25	349	349	349	349	349	227	227	227	227	227	1
amin	167407	-4.51	12	21	1765	203	16	4	4	2197	523	20	8	8	4
ao	122248	-3.66	98	110	1765	19	19	19	19	868	47	47	47	47	2
kaominina	81780	-10.65	0	0	278	100	9	3	2	3133	1148	301	75	5	9
ary	80946	-3.53	36	52	1765	251	1	1	1	2240	243	43	43	43	3
indrindra	50320	-8.26	0	0	349	73	31	9	3	3133	521	32	28	14	9
taona	49003	-5.38	4	7	939	234	23	8	4	3133	1148	98	8	6	5
faritr	48397	-7.04	2	4	1159	370	35	15	9	642	24	12	3	3	6
ilay	46136	-5.75	10	15	349	28	13	1	1	2240	275	26	3	3	4
ara	45378	-3.18	30	45	1765	251	32	32	32	3133	521	72	72	72	3
haavon	40327	-7.46	2	3	686	307	6	2	2	2197	737	9	2	1	6
metatra	40256	-7.59	0	0	2152	158	6	3	1	3133	521	289	126	11	7
fivondronan	38476	-10.65	0	0	1159	283	14	8	2	2197	623	83	11	4	11
tanàna	38055	-6.14	2	4	939	234	49	3	3	3133	1148	16	2	2	6
toerana	36225	-7.05	2	4	939	150	12	4	4	3133	1148	641	85	14	7
jeografia	32380	-10.21	0	0	340	52	7	4	4	3133	210	7	4	4	9
ora	28265	-3.77	12	23	383	104	10	10	10	3133	521	31	31	31	3
gmt	28223	-5.7	0	3	733	2	1	1	1	1325	2	1	1	1	3
masoandro	27187	-8.57	0	0	2152	875	47	7	3	868	127	26	23	13	9
no	26495	-3.0	102	112	782	175	175	175	175	868	85	85	85	85	2
tamin	25088	-5.85	8	12	939	234	20	7	4	2197	523	20	8	1	5
isam	23919	-6.18	4	6	349	48	15	1	1	297	78	7	3	3	4
ireo	21317	-6.2	0	1	349	31	5	1	1	868	26	11	1	1	4
kaodim	21102	-8.26	0	0	278	100	9	2	1	297	106	3	1	1	6
paositra	21027	-8.74	0	1	1114	260	6	3	2	3133	521	289	103	8	8
frantsa	20935	-7.13	0	1	1159	137	51	40	2	3133	76	7	3	3	7
zavatra	20448	-7.25	2	2	93	57	7	7	1	3133	521	289	126	4	7
mponina	19971	-7.13	2	5	2152	105	4	3	3	3133	1148	301	75	15	7
araka	19644	-4.51	6	7	1765	251	32	6	3	3133	337	145	33	14	5
natao	19485	-6.16	6	9	782	293	29	10	4	868	47	5	3	1	5
fanisana	19432	-7.36	0	0	1159	370	128	4	1	3133	1148	641	19	8	8
soratra	19423	-6.64	2	3	1123	197	27	5	2	3133	521	289	126	39	7
mampiasa	19397	-7.99	0	0	2152	875	44	21	19	3133	76	20	9	6	8
departemantan	19392	-13.64	0	0	649	102	8	4	4	2197	623	36	8	3	13
insee	19368	-7.96	0	0	349	73	4	1	1	2828	17	3	1	1	5
ben	19350	-3.69	24	33	1727	364	32	32	32	2197	177	11	11	11	3
fisiana	19332	-6.68	2	4	1159	283	16	3	3	3133	1148	641	88	13	7
daharampehintany	19313	-15.56	0	0	649	121	8	4	2	2240	555	217	51	27	16
daharanjarahasin	19313	-14.34	0	0	649	121	8	4	2	2197	523	32	7	3	16
mpikambana	19299	-8.89	0	0	2152	105	38	4	4	3133	1148	641	4	2	10
mandritry	19268	-6.96	0	0	2152	875	196	41	17	2240	243	38	19	4	9
ponin	19262	-5.4	2	7	1114	196	38	3	3	2197	523	38	9	2	5
desimaly	19255	-9.77	0	0	649	102	16	2	2	2240	183	34	2	1	8
kaominin	19231	-10.2	0	0	278	100	9	3	2	2197	523	38	1	1	8
avo	18042	-4.44	12	18	1765	69	10	10	10	868	38	6	6	6	3
ambany	18023	-5.39	6	7	1765	203	102	27	9	2240	555	217	5	4	6
de	16622	-2.92	96	103	649	102	102	102	102	2828	121	121	121	121	2
ity	14991	-4.53	14	17	349	47	1	1	1	2240	57	9	9	9	3
izy	14865	-4.29	12	16	349	13	1	1	1	2240	47	14	14	14	3
au	13980	-2.96	96	107	1765	186	186	186	186	348	121	121	121	121	2
madinidinika	13958	-12.22	0	0	2152	875	21	5	2	3133	337	144	12	6	12
noho	13946	-5.94	6	7	782	175	6	2	2	868	39	4	1	1	4
toeran	13568	-6.95	2	6	939	150	12	4	4	2197	623	81	10	4	6
soridalany	13556	-10.02	0	0	1123	197	27	5	2	2240	555	217	11	1	10
ankamaroan	13365	-10.81	0	0	1765	416	34	16	1	2197	623	19	3	2	10
na	13257	-2.18	102	108	782	293	293	293	293	3133	1148	1148	1148	1148	2
km	13100	-4.69	98	101	278	2	2	2	2	297	1	1	1	1	2
hoe	12089	-4.89	14	19	686	102	1	1	1	2828	8	2	2	2	3
laharam	11916	-7.41	2	2	1091	420	12	8	4	297	78	16	6	3	7
pehintaniny	11384	-11.23	0	0	1114	148	4	4	2	2240	555	87	15	5	11
laharan	11256	-6.38	2	3	1091	420	12	8	4	2197	623	81	25	3	7
jarahasiny	11251	-9.8	0	0	340	113	13	2	1	2240	555	87	9	3	10
eo	9948	-4.08	96	103	385	6	6	6	6	868	26	26	26	26	2
tsy	9775	-3.61	10	15	939	75	1	1	1	2240	128	30	30	30	3
