word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
dari	412649	-4.96	16	19	969	132	19	3	3	2155	269	30	3	3	4
ko	291945	-3.28	98	102	580	80	80	80	80	470	21	21	21	21	2
nan	268687	-4.15	16	21	669	95	18	18	18	1035	605	40	40	40	3
adolah	250230	-6.88	2	2	1710	64	7	2	1	315	183	35	6	1	6
asteroid	223984	-8.96	0	0	1710	100	20	9	7	87	9	1	1	1	8
dan	213089	-3.85	12	18	969	132	18	18	18	1035	605	7	7	7	3
spesies	196471	-8.04	0	0	1872	148	15	1	1	5750	666	17	2	2	7
marupokan	192754	-10.4	0	0	1582	609	95	7	3	1035	605	111	12	1	9
lalek	187357	-7.45	0	1	909	298	4	1	1	379	66	5	3	1	5
bagian	182884	-6.29	0	0	1145	372	10	3	1	1035	605	49	7	5	6
juo	174397	-5.18	10	15	231	53	1	1	1	470	8	1	1	1	3
di	167473	-2.8	68	72	969	378	378	378	378	2155	98	98	98	98	2
famili	162337	-7.8	0	0	638	91	3	2	2	2155	121	8	1	1	6
ordo	159066	-6.31	2	2	465	84	4	1	1	470	30	1	1	1	4
kelas	155517	-6.44	4	4	580	86	15	6	1	5750	117	19	11	1	5
filum	151082	-5.7	2	3	638	58	16	1	1	450	353	43	4	1	5
iko	150850	-5.3	0	4	501	11	2	2	2	470	21	7	7	7	3
animalia	148742	-8.38	0	0	1710	271	9	1	1	6728	1338	118	27	2	8
arthropoda	148007	-10.27	0	0	1710	184	16	3	2	6728	208	17	13	8	10
kingdom	148006	-10.88	0	0	580	50	10	2	1	450	3	1	1	1	7
insecta	146171	-7.85	0	0	501	205	28	1	1	6728	1185	90	34	4	7
kumbang	103718	-7.17	4	5	580	64	8	1	1	326	291	210	22	12	7
kayu	101241	-5.85	8	8	580	220	5	1	1	178	8	4	1	1	4
diptera	94393	-6.24	0	0	969	378	31	1	1	6728	704	301	69	57	7
matoari	94293	-8.45	0	1	1582	609	24	4	1	2155	269	30	1	1	7
nebula	88678	-5.97	0	0	669	218	10	7	7	6728	745	169	7	1	6
biasonyo	87894	-8.86	0	0	1145	176	13	5	2	470	101	90	17	3	8
untuak	80972	-8.3	0	1	219	62	2	2	1	379	114	25	8	7	6
sabuah	79606	-6.66	8	9	1872	335	27	7	2	315	183	26	8	2	6
dapek	68509	-6.82	10	10	969	132	5	1	1	379	66	14	9	6	5
dalam	68057	-7.04	4	5	969	132	6	2	2	450	43	11	7	1	5
pado	59566	-5.2	8	9	2202	723	14	1	1	470	30	11	3	3	4
dek	53698	-4.14	4	7	969	228	5	5	5	379	66	3	3	3	3
ditamukan	53296	-10.09	0	0	969	378	22	12	6	1035	605	111	10	2	9
larva	52177	-6.34	2	2	909	298	10	3	3	6728	51	10	2	1	5
ataupun	52102	-9.36	0	0	1710	96	8	2	1	1035	45	9	3	3	7
coleoptera	51858	-8.87	0	0	1589	395	47	6	4	6728	704	301	69	57	10
sacaro	51132	-8.35	0	1	1872	335	7	1	1	470	36	20	4	2	6
planetesimal	50887	-13.52	0	0	2202	139	81	18	3	174	61	2	1	1	12
planet	47797	-8.12	0	0	2202	139	81	18	3	181	16	3	1	1	6
sabagai	47464	-7.66	4	4	1872	335	27	17	4	2155	145	11	9	5	7
manjadi	47204	-7.5	2	2	1582	609	128	7	7	2155	98	12	6	2	7
gadang	47053	-7.04	14	15	593	93	7	2	2	326	291	210	18	8	6
indak	46870	-6.47	2	4	501	205	30	2	1	379	114	5	2	2	5
sarupo	46676	-8.52	2	2	1872	335	34	2	1	470	10	2	2	2	6
tabantuak	46542	-10.12	0	0	1174	251	22	11	7	379	114	25	8	7	9
kasaluruahan	46537	-13.67	0	0	580	220	14	3	1	1035	605	55	35	5	12
pambantuakan	46528	-11.56	0	0	2202	723	32	7	7	1035	605	111	34	7	12
primordial	46524	-11.62	0	0	2202	237	30	6	2	174	61	4	1	1	10
panjang	43382	-6.57	0	0	2202	723	121	8	7	326	291	210	8	4	7
mudo	42220	-5.34	8	8	1582	126	5	1	1	470	30	4	1	1	4
cukuik	42208	-7.97	0	0	1589	79	2	2	1	379	108	28	5	1	6
barubah	42174	-7.77	0	1	1145	372	64	8	1	315	183	11	4	1	7
sasuatu	42165	-10.01	0	0	1872	335	13	3	2	178	20	7	2	2	7
pacahan	42164	-8.18	0	0	2202	723	39	2	2	1035	605	55	35	1	7
hiduik	40678	-7.46	0	1	760	93	3	2	1	379	108	28	3	2	6
talatak	37173	-7.72	2	4	1174	251	16	8	2	379	114	11	6	3	7
ka	34690	-3.1	98	102	580	220	220	220	220	6728	40	40	40	40	2
inyo	34002	-4.58	2	3	501	205	1	1	1	470	101	90	13	13	4
batang	33960	-5.45	10	10	1145	372	38	11	4	326	291	210	22	8	6
disabuik	33918	-9.2	0	0	969	378	65	4	2	379	108	28	6	5	8
laweh	33876	-6.45	6	7	909	298	9	3	2	315	29	3	3	3	5
kapalo	33813	-7.79	2	3	580	220	17	7	2	470	25	6	1	1	6
lah	33804	-3.79	6	10	909	298	6	6	6	315	183	35	35	35	3
biaso	33785	-7.27	4	5	1145	176	13	5	2	470	24	16	1	1	5
dima	33736	-4.64	14	15	969	378	18	7	7	6728	334	66	1	1	4
karusakan	33727	-9.66	0	0	580	220	38	1	1	1035	605	111	34	3	9
tanduak	33723	-7.74	0	0	1174	251	41	2	1	379	114	25	6	2	7
manyebabkan	33721	-12.17	0	0	1582	609	128	14	3	1035	605	111	3	3	11
bunda	33721	-5.5	10	10	1145	93	9	2	1	6728	208	32	15	5	5
ditabang	33720	-8.06	0	0	969	378	22	12	3	326	291	210	22	5	8
manggerek	33720	-9.55	0	0	1582	609	128	24	7	379	66	6	2	2	9
panggerek	33720	-9.51	0	0	2202	723	121	34	6	379	66	6	2	2	9
cerambycidae	33720	-12.6	0	0	1589	108	51	21	2	593	309	95	91	7	12
tanggal	30770	-7.61	4	5	1174	251	41	10	3	174	61	9	4	4	7
langau	29388	-7.28	0	0	909	298	36	14	1	178	34	2	1	1	6
samantaro	28749	-10.28	0	0	1872	335	28	13	5	470	36	20	4	3	9
sabuak	28450	-6.81	4	5	1872	335	27	7	2	379	114	25	3	1	6
punyo	28286	-5.27	0	0	2202	136	34	1	1	470	101	90	6	1	5
jo	27238	-3.48	96	100	231	33	33	33	33	470	12	12	12	12	2
lawah	25633	-5.67	10	10	909	298	9	4	1	315	183	4	4	1	5
dewasa	24620	-7.32	0	0	969	228	5	3	1	6728	366	16	1	1	6
orbit	23114	-7.88	0	0	465	84	10	6	2	181	15	2	2	2	5
tagolong	20345	-9.19	0	0	1174	251	9	2	1	326	291	16	2	1	8
utamo	19868	-7.94	6	6	219	12	7	4	2	470	22	16	6	3	5
tampek	19519	-7.49	2	4	1174	251	21	4	1	379	66	14	4	4	6
lambok	19363	-7.28	2	2	909	298	44	10	2	379	34	3	2	1	6
taun	19233	-6.33	2	7	1174	251	13	1	1	1035	45	3	2	2	4
socorro	19196	-9.74	0	0	1872	98	6	2	1	470	36	3	1	1	7
linear	19196	-7.82	0	1	909	154	49	17	13	506	74	2	1	1	6
antena	18979	-6.04	0	0	1710	271	49	6	6	6728	628	63	3	1	6
namo	18403	-6.33	6	6	669	95	10	2	2	470	22	16	3	3	4
semi	18361	-4.81	10	11	1872	268	49	30	30	2155	40	8	1	1	4
parairan	18355	-7.69	0	0	2202	723	271	174	2	1035	605	41	9	1	8
habitatnyo	18353	-11.91	0	0	760	183	11	3	1	470	101	90	1	1	10
paraiaran	18353	-9.74	0	0	2202	723	271	174	2	1035	605	41	14	2	9
kali	18057	-4.83	14	16	580	220	23	7	7	2155	121	23	4	4	4
ilmiah	17947	-9.29	0	0	501	22	3	1	1	315	183	22	1	1	6
genus	17598	-4.56	2	3	593	85	14	3	1	5750	2742	273	37	3	5
sagadang	17238	-8.73	0	0	1872	335	15	6	1	326	291	210	18	8	8
tacatat	17230	-8.38	0	0	1174	251	13	1	1	181	74	2	2	2	7
magnitudo	17228	-11.84	0	0	1582	609	19	12	8	470	30	4	2	1	9
eksentrisitas	17227	-15.86	0	0	641	8	4	2	1	5750	117	20	10	3	13
mutlaknyo	17227	-10.31	0	0	1582	126	14	1	1	470	101	90	17	8	9
yupiter	16135	-9.88	0	0	91	11	1	1	1	506	221	85	2	1	7
tingga	15128	-6.85	10	11	1174	77	15	6	4	6728	82	9	8	5	6
spons	14864	-5.6	0	1	1872	148	13	9	2	5750	262	50	1	1	5
dakek	14537	-6.98	4	4	969	132	2	1	1	379	66	13	1	1	5
pendek	14161	-6.85	0	0	2202	319	47	6	1	379	66	3	1	1	6
makanan	14034	-7.26	2	2	1582	609	11	6	2	1035	605	40	12	3	7
pertamo	13640	-8.76	4	4	2202	319	145	13	3	470	22	16	6	2	7
saroman	13621	-7.29	0	0	1872	335	34	4	1	1035	605	29	1	1	7
an	13533	-2.59	96	106	1710	271	271	271	271	1035	605	605	605	605	2
banyak	13121	-6.54	0	0	1145	372	43	3	2	379	114	7	6	4	6
ditabik	12911	-8.58	0	0	969	378	22	12	3	379	108	2	2	2	7
araneae	12815	-7.74	0	1	1710	184	33	7	5	593	309	15	6	2	7
larvanyo	12622	-8.87	0	0	909	298	10	3	3	470	101	90	10	1	8
mamakan	12462	-7.48	4	4	1582	609	37	11	3	1035	605	111	34	3	7
mahisok	12383	-10.33	0	0	1582	609	11	1	1	379	34	2	1	1	7
batu	12154	-5.07	10	13	1145	372	38	6	6	178	20	7	1	1	4
ditamui	12112	-9.37	0	1	969	378	22	12	6	2155	22	2	2	1	7
aia	11889	-4.65	22	29	1710	10	1	1	1	6728	1338	14	14	14	3
nektar	11837	-9.66	0	0	669	218	1	1	1	506	74	14	1	1	6
bungo	11480	-6.55	2	3	1145	93	9	6	1	470	31	6	1	1	5
maso	10818	-5.43	18	19	1582	609	46	3	3	470	24	16	4	4	4
limoniidae	10637	-10.28	0	0	909	154	28	5	4	593	309	95	91	18	10
ado	10630	-4.57	6	12	1710	64	7	7	7	470	30	11	11	11	3
muscidae	10540	-7.69	0	0	1582	126	23	8	3	593	309	95	91	7	8
parasit	10261	-7.83	0	0	2202	723	271	174	13	181	15	1	1	1	7
tachinidae	10261	-10.27	0	0	1174	251	13	8	4	593	309	95	91	9	10
protelean	10259	-9.45	0	0	2202	237	150	27	6	1035	605	3	1	1	9
bumi	10146	-6.35	0	0	1145	93	3	1	1	2155	40	4	2	2	4
sayoknyo	9463	-9.5	0	0	1872	335	5	2	2	470	101	90	17	1	8
kabanyakan	9136	-10.21	0	0	580	220	14	6	2	1035	605	111	34	2	10
elitra	8822	-7.42	0	0	641	60	5	1	1	6728	704	28	6	1	6
kadang	8813	-6.56	14	15	580	220	10	5	1	326	291	210	18	8	6
umumnyo	8750	-10.43	0	0	219	22	3	2	1	470	101	90	2	1	7
saikua	8732	-7.06	0	0	1872	335	17	1	1	6728	64	2	1	1	6
sekitar	8569	-8.98	2	2	1872	268	11	3	1	506	74	14	3	2	7
panjangnyo	8538	-10.91	0	0	2202	723	121	8	7	470	101	90	2	2	10
darah	8008	-6.14	4	7	969	132	19	5	1	315	183	15	7	2	5
itu	7889	-5.78	2	3	501	19	3	3	3	178	20	5	5	5	3
lain	7670	-5.88	10	12	909	298	6	3	3	1035	71	12	3	3	4
drosophila	7645	-9.83	0	0	969	28	1	1	1	6728	745	63	42	42	10
salain	7605	-7.7	2	2	1872	335	50	13	1	1035	71	12	3	1	6
malalui	7529	-10.01	2	2	1582	609	59	34	3	2155	22	3	2	2	7
mamiliki	7464	-9.25	0	0	1582	609	37	7	5	2155	66	6	3	2	8
proses	7460	-6.68	0	0	2202	237	150	23	5	5750	666	2	1	1	6
polen	7452	-6.38	0	0	2202	161	56	4	2	1035	48	1	1	1	5
kareh	7452	-6.9	4	4	580	220	38	6	1	315	29	2	2	1	5
pamukaan	7439	-9.43	0	0	2202	723	32	3	2	1035	605	25	5	1	8
tubuah	7439	-7.41	6	7	1174	116	27	4	1	315	183	26	8	2	6
mode	7438	-5.55	4	5	1582	160	12	7	7	593	15	5	1	1	4
manyerap	7435	-9.82	0	0	1582	609	128	14	3	57	16	1	1	1	8
bapori	7432	-7.32	0	0	1145	372	11	1	1	2155	269	11	3	1	6
difusi	7432	-7.81	0	0	969	378	7	1	1	2155	217	11	1	1	6
oksigen	7432	-9.57	0	0	465	9	1	1	1	1035	48	5	1	1	7
mampunyoi	7373	-10.14	0	0	1582	609	37	5	2	2155	59	1	1	1	9
utamonyo	7311	-9.4	0	0	219	12	7	4	2	470	101	90	17	5	8
predator	7295	-9.85	0	1	2202	237	12	1	1	506	105	46	25	4	8
insting	7293	-8.58	0	0	501	205	28	4	2	326	291	26	4	1	7
agresif	7293	-10.41	0	1	1710	46	9	3	3	49	11	2	2	2	7
saranggo	7293	-8.46	0	0	1872	335	34	13	3	470	31	5	5	1	8
asilidae	7293	-7.92	0	0	1710	100	15	3	1	593	309	95	91	20	8
demospongiae	6828	-12.61	0	0	969	228	23	12	1	593	309	56	3	1	12
labiah	6758	-7.19	0	1	909	298	15	7	3	315	183	22	1	1	6
kenek	6526	-6.91	4	4	580	86	9	1	1	379	66	2	2	1	5
barambuik	6525	-8.89	0	0	1145	372	64	15	1	379	108	28	6	1	9
cecidomyiidae	6525	-14.05	0	0	1589	108	4	4	4	593	309	95	91	18	13
barasal	6278	-8.04	2	3	1145	372	64	15	3	174	61	4	3	2	7
daun	5970	-6.88	2	3	969	132	3	1	1	1035	45	3	1	1	4
troya	5890	-6.01	0	0	1174	257	24	1	1	6728	86	1	1	1	5
ceratopogonidae	5662	-13.67	0	0	1589	108	51	21	15	593	309	95	91	9	15
mangorbit	5613	-11.09	0	0	1582	609	128	24	2	181	15	2	2	2	9
bombyliidae	5467	-12.36	0	0	1145	112	10	8	5	593	309	95	91	18	11
tuo	5345	-4.85	10	13	1174	116	3	3	3	470	8	2	2	2	3
walaupun	5319	-10.65	0	0	184	64	19	2	2	1035	45	9	3	3	8
bahwa	5315	-6.96	0	0	1145	372	14	1	1	6728	19	1	1	1	5
alun	5302	-5.63	4	4	1710	259	5	1	1	1035	45	2	2	2	4
ditamuan	5277	-9.35	0	0	969	378	22	12	6	1035	605	35	4	4	8
mampakiroan	5273	-12.62	0	0	1582	609	37	5	2	1035	605	24	4	2	11
evolusi	5271	-9.58	0	1	641	15	2	1	1	2155	217	11	2	2	7
perm	5271	-5.9	4	6	2202	319	145	4	4	450	2	1	1	1	4
fosil	5270	-7.7	0	0	638	62	4	1	1	174	28	6	1	1	5
eosen	5270	-8.36	2	2	641	9	3	1	1	1035	48	7	2	1	5
lambrecht	5270	-10.99	0	0	909	298	44	10	1	181	3	1	1	1	9
salticidae	5225	-9.66	0	0	1872	335	50	5	3	593	309	95	91	7	10
ketek	5222	-6.91	2	2	580	86	5	1	1	379	66	2	2	2	5
dolichopodidae	5137	-13.64	0	0	969	95	33	22	19	593	309	95	91	4	14
ditabikan	5038	-10.08	0	0	969	378	22	12	3	1035	605	111	24	1	9
apollo	5028	-7.73	0	0	1710	88	18	2	1	470	25	7	1	1	6
tipula	5022	-5.99	0	0	1174	77	6	3	3	6728	745	169	39	36	6
indonesia	5005	-9.48	0	0	501	205	30	7	1	6728	1338	131	24	6	9
atau	5002	-5.73	4	5	1710	96	8	2	2	178	34	8	2	2	4
babarapo	4985	-9.76	0	0	1145	372	15	11	1	470	10	2	1	1	8
lamela	4980	-6.45	0	1	909	298	44	8	7	6728	745	17	2	1	6
scarabaeidae	4980	-13.92	0	0	1872	158	27	4	2	593	309	95	91	4	12
mm	4844	-6.37	94	95	1582	1	1	1	1	450	1	1	1	1	2
september	4822	-9.37	0	0	1872	268	23	5	5	506	221	16	5	4	9
salamo	4805	-7.57	2	2	1872	335	50	13	1	470	22	16	2	1	6
kurang	4796	-6.3	6	7	580	64	10	4	2	326	291	210	20	5	6
buah	4750	-4.82	6	7	1145	93	2	1	1	315	183	26	8	8	4
sangaik	4749	-7.21	0	0	1872	335	31	12	3	379	108	30	3	3	7
nyo	4733	-3.65	6	10	669	22	2	2	2	470	101	90	90	90	3
tanaman	4729	-7.47	0	0	1174	251	41	8	3	1035	605	29	13	1	7
mano	4728	-5.08	12	12	1582	609	128	3	3	470	30	10	4	4	4
muncua	4719	-7.49	4	4	1582	126	10	2	2	6728	64	5	1	1	6
jaringan	4717	-8.34	0	0	231	96	4	1	1	1035	605	56	54	2	8
partamonyo	4714	-9.71	0	0	2202	723	271	7	3	470	101	90	17	5	10
manamuan	4714	-8.81	0	0	1582	609	128	10	3	1035	605	35	4	4	8
sangkek	4712	-7.1	4	6	1872	335	31	12	1	379	66	13	11	11	7
tephritidae	4709	-11.89	0	0	1174	203	5	4	4	593	309	95	91	7	11
saminggu	4709	-9.42	0	0	1872	335	28	1	1	178	7	3	3	2	8
barumua	4707	-9.12	2	3	1145	372	64	8	2	6728	64	5	3	1	7
batalua	4707	-8.05	0	0	1145	372	38	11	1	6728	64	7	3	1	7
onthophagus	4572	-10.67	0	0	465	24	3	2	2	5750	2742	44	17	5	11
mato	4550	-5.03	22	22	1582	609	24	4	4	470	40	14	1	1	4
histeridae	4537	-9.51	0	0	760	93	20	6	3	593	309	95	91	5	10
ateh	4537	-5.99	8	9	1710	96	14	1	1	315	29	6	5	5	4
cm	4534	-5.23	94	96	1589	1	1	1	1	450	1	1	1	1	2
sabalun	4477	-8.66	2	2	1872	335	27	17	4	1035	45	2	2	1	7
akan	4437	-4.86	4	7	1710	19	4	1	1	1035	605	111	34	34	4
tipulidae	4425	-9.15	0	0	1174	77	6	3	3	593	309	95	91	20	9
sari	4424	-4.46	20	25	1872	335	34	6	6	2155	269	30	2	2	4
partamo	4416	-8.25	2	3	2202	723	271	7	3	470	22	16	6	2	7
misalnyo	4406	-9.86	0	0	1582	239	13	1	1	470	101	90	2	2	8
mambantuak	4401	-10.36	0	0	1582	609	37	9	7	379	114	25	8	7	10
kudo	4399	-5.95	6	6	580	64	3	1	1	470	30	4	1	1	4
mampu	4397	-6.77	0	0	1582	609	37	5	2	178	6	2	2	1	5
artinyo	4394	-7.37	0	1	1710	184	16	7	1	470	101	90	13	3	7
balansuang	4392	-10.97	0	0	1145	372	46	15	4	326	291	210	35	4	10
ranang	4390	-6.49	2	3	600	113	13	3	1	326	291	210	6	1	6
efektif	4387	-11.56	0	0	641	8	1	1	1	49	11	8	2	1	7
dilatakkan	4387	-10.75	0	0	969	378	15	10	4	1035	605	111	3	2	10
butuah	4387	-7.58	0	0	1145	93	3	1	1	315	183	26	5	1	6
kolam	4386	-6.58	0	0	580	80	15	1	1	450	43	11	1	1	5
vegetasi	4385	-10.71	0	0	337	81	2	2	2	2155	217	47	5	1	8
sarbuak	4385	-8.38	0	1	1872	335	34	1	1	379	114	25	3	1	7
bareproduksi	4385	-13.75	0	0	1145	372	64	2	1	2155	217	9	3	3	12
telua	4385	-6.86	2	2	1174	203	12	2	1	6728	64	7	1	1	5
tabanidae	4385	-9.47	0	0	1174	251	22	11	7	593	309	95	91	9	9
betino	4385	-7.8	0	0	1145	148	8	1	1	470	30	8	1	1	6
anautojenik	4385	-14.98	0	0	1710	271	48	3	1	379	108	6	1	1	11
sakalompok	4374	-12.32	0	0	1872	335	18	6	4	379	34	3	3	3	10
sainggo	4373	-8.51	0	1	1872	335	17	4	1	470	31	5	5	4	7
malah	4370	-5.47	12	13	1582	609	59	34	1	315	183	35	12	1	5
gravitasi	4363	-9.53	0	0	593	138	79	5	4	2155	217	47	5	1	9
tagaduah	4362	-9.83	0	0	1174	251	9	7	2	315	183	26	1	1	8
dytiscidae	4336	-10.92	0	0	969	19	2	2	2	593	309	95	91	7	10
linyphiidae	4312	-11.8	0	0	909	154	49	3	3	593	309	95	91	18	11
in	4311	-3.39	64	70	501	205	205	205	205	1035	71	71	71	71	2
mycetophilidae	4303	-13.72	0	0	1582	66	15	7	4	593	309	95	91	20	14
staphylinidae	4285	-13.24	0	0	1872	268	24	2	2	593	309	95	91	9	13
amor	4247	-5.08	2	2	1710	112	5	3	3	506	105	3	1	1	4
phoridae	4196	-7.58	0	0	2202	149	18	10	3	593	309	95	91	5	8
dicranomyia	3818	-8.95	0	0	969	378	39	9	6	6728	1338	258	255	217	11
objek	3778	-7.29	0	0	465	58	1	1	1	379	66	1	1	1	5
molophilus	3764	-8.52	0	0	1582	160	15	5	1	5750	2742	276	51	27	10
kecamatan	3699	-10.85	0	0	580	86	2	1	1	1035	605	53	21	4	9
provinsi	3622	-8.52	0	0	2202	237	150	4	3	2155	217	17	7	1	8
vertebrata	3619	-10.69	0	0	337	81	34	4	2	6728	1185	664	80	6	10
culicidae	3613	-8.87	0	0	1589	79	6	4	3	593	309	95	91	7	9
rangik	3613	-7.49	2	2	600	113	13	2	1	379	108	2	2	2	6
maret	3416	-6.46	2	3	1582	609	95	4	1	181	16	3	3	1	5
oktober	3193	-9.65	0	0	465	9	1	1	1	506	221	16	1	1	7
megaselia	3130	-9.15	0	0	1582	347	36	29	2	6728	1338	118	27	3	9
latin	3080	-5.96	2	3	909	298	59	34	1	1035	71	2	2	1	5
porifera	3069	-7.49	0	0	2202	161	20	3	1	6728	704	301	72	71	8
marupoan	3068	-9.59	0	0	1582	609	95	7	3	1035	605	24	2	1	8
parazoa	3066	-8.72	0	0	2202	723	271	174	2	6728	15	1	1	1	7
subregnum	3066	-10.26	0	0	1872	213	93	3	2	450	353	19	3	2	9
panyuko	3059	-8.62	0	0	2202	723	121	11	1	470	21	4	1	1	7
ambun	3059	-6.17	0	0	1710	112	19	3	1	1035	45	2	1	1	5
drósos	3058	-8.52	0	0	969	28	1	1	1	5750	40	2	1	1	6
δρόσος	3058	-5.46	0	0	1	1	1	1	1	1	1	1	1	1	6
