word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
на	1095604	-1.96	46	58	1092	664	664	664	664	4957	841	841	841	841	2
во	680235	-2.74	40	49	903	207	207	207	207	1852	145	145	145	145	2
и	525892	-4.3	0	24	855	855	855	855	855	3404	3404	3404	3404	3404	1
од	446460	-3.4	24	36	1154	224	224	224	224	232	32	32	32	32	2
се	354866	-3.61	58	67	1863	216	216	216	216	2327	12	12	12	12	2
е	321876	-4.3	0	25	411	411	411	411	411	2327	2327	2327	2327	2327	1
со	233864	-3.56	60	69	1863	304	304	304	304	1852	10	10	10	10	2
за	213630	-2.95	34	38	682	433	433	433	433	4957	34	34	34	34	2
година	172471	-5.99	6	7	549	100	16	15	5	4957	841	125	12	2	6
да	151423	-3.12	40	49	998	83	83	83	83	4957	100	100	100	100	2
како	122726	-5.28	6	11	1264	272	7	2	2	1852	176	8	5	5	4
го	99481	-3.52	38	46	549	100	100	100	100	1852	25	25	25	25	2
според	74228	-6.64	0	1	1863	170	71	26	9	232	43	16	2	2	6
објектот	73336	-7.37	0	0	1154	186	28	4	4	2255	1222	113	10	6	8
а	69901	-4.3	0	25	655	655	655	655	655	4957	4957	4957	4957	4957	1
што	68865	-4.32	6	9	178	23	3	3	3	1852	674	19	19	19	3
бил	65701	-3.76	38	45	752	88	12	12	12	663	170	10	10	10	3
ја	64363	-2.67	38	46	173	93	93	93	93	4957	583	583	583	583	2
дека	63573	-5.09	16	17	998	227	13	6	6	4957	468	14	2	2	4
до	55694	-3.26	38	49	998	351	351	351	351	1852	22	22	22	22	2
по	51105	-3.65	40	47	2855	1008	1008	1008	1008	1852	6	6	6	6	2
тоа	50063	-4.95	20	24	734	94	1	1	1	4957	19	5	5	5	3
тој	50026	-4.88	24	25	734	94	1	1	1	124	24	4	4	4	3
ngc	49306	-5.68	8	9	31	1	1	1	1	34	5	2	2	2	3
ги	49123	-3.91	44	47	549	22	22	22	22	3404	22	22	22	22	2
кои	47393	-4.85	24	29	1264	461	2	2	2	3404	16	3	3	3	3
или	45109	-4.66	10	18	855	20	10	10	10	3404	163	13	13	13	3
кој	44627	-4.51	32	35	1264	461	4	4	4	124	24	5	5	5	3
не	44236	-3.13	42	49	1092	215	215	215	215	2327	49	49	49	49	2
која	42625	-4.37	24	25	1264	461	4	2	2	4957	583	10	3	3	4
н	40260	-4.3	0	14	1092	1092	1092	1092	1092	1150	1150	1150	1150	1150	1
други	40208	-6.25	10	11	998	93	21	11	3	3404	22	5	2	1	5
така	39784	-5.43	18	22	734	90	17	5	5	4957	468	14	3	3	4
додека	37812	-7.14	0	0	998	351	29	11	1	4957	468	14	2	1	6
п	37796	-4.3	0	12	2855	2855	2855	2855	2855	60	60	60	60	60	1
има	36551	-4.19	10	19	855	59	13	13	13	4957	73	7	7	7	3
била	35927	-4.55	20	22	752	88	12	3	3	4957	280	72	8	8	4
календар	33521	-8.96	0	0	1264	272	14	4	3	436	106	10	4	1	8
страна	33003	-5.36	6	7	1863	317	79	36	16	4957	841	103	39	2	6
кога	31633	-5.04	28	28	1264	461	2	1	1	4957	60	11	2	2	4
годината	31599	-6.74	0	0	549	100	16	15	5	4957	1429	1214	313	62	8
неговата	31307	-7.77	0	0	1092	215	18	10	8	4957	1429	1214	49	10	8
па	31064	-3.33	42	51	2855	209	209	209	209	4957	21	21	21	21	2
околу	30076	-6.93	2	2	1154	46	14	12	1	94	11	7	3	2	5
но	29420	-2.66	44	57	1092	103	103	103	103	1852	527	527	527	527	2
изнесува	29409	-7.57	0	0	855	294	13	10	6	4957	422	267	13	7	8
под	28977	-3.73	18	21	2855	1008	133	133	133	232	32	2	2	2	3
биле	27793	-4.52	14	16	752	88	12	2	2	2327	291	86	7	7	4
г	26583	-4.3	0	9	549	549	549	549	549	123	123	123	123	123	1
mag	25672	-4.76	10	13	58	19	2	2	2	36	2	1	1	1	3
повеќе	25433	-6.17	2	2	2855	1008	81	9	4	2327	6	4	4	1	6
рамките	25294	-6.65	0	0	845	325	19	4	2	2327	1179	1127	195	2	7
беше	24356	-5.86	2	2	752	127	1	1	1	2327	71	27	1	1	4
век	23916	-5.06	22	24	903	157	9	9	9	326	20	2	2	2	3
дел	23830	-3.48	22	30	998	227	36	36	36	663	145	17	17	17	3
каде	23671	-5.59	12	12	1264	272	5	2	2	2327	42	13	6	6	4
еден	23510	-4.41	6	8	411	57	1	1	1	1150	596	85	28	28	4
текот	23498	-5.25	6	7	734	228	15	5	1	2255	1222	82	9	2	5
меѓу	23265	-4.45	0	0	993	207	16	16	16	94	3	3	3	3	4
поради	22986	-5.96	6	6	2855	1008	61	30	1	3404	117	24	7	1	6
односно	22535	-6.39	0	0	1154	224	19	6	5	1852	527	25	2	1	7
пред	22292	-3.7	10	11	2855	1222	420	102	102	232	43	16	5	5	4
време	22200	-6.18	0	0	903	86	19	10	9	2327	41	16	4	4	5
наоѓа	22003	-4.75	0	1	1092	664	14	10	10	4957	15	2	1	1	5
многу	21132	-8.35	0	0	993	14	13	5	5	94	6	3	3	3	5
една	20915	-4.37	6	7	411	57	21	8	8	4957	841	41	16	16	4
бројот	20859	-6.46	4	4	752	142	40	13	1	2255	1222	19	8	2	6
групата	20288	-6.34	0	1	549	180	20	14	5	4957	1429	1214	8	3	7
започнува	20077	-7.5	0	0	682	433	57	25	16	4957	422	267	48	2	9
којшто	20050	-7.47	6	7	1264	461	4	1	1	1852	674	19	3	1	6
број	19876	-5.29	8	11	752	142	40	13	13	124	24	4	2	2	4
исто	19751	-3.68	4	9	855	189	71	32	32	1852	674	17	4	4	4
времето	19738	-6.57	0	0	903	86	19	10	9	1852	674	261	6	3	7
било	19641	-5.0	12	13	752	88	12	1	1	1852	124	20	2	2	4
ќе	19523	-4.11	26	27	9	7	7	7	7	2327	6	6	6	6	2
години	19085	-6.2	4	5	549	100	16	15	5	3404	894	68	11	1	6
небо	18672	-7.24	4	5	1092	215	5	2	2	1852	8	1	1	1	4
длабокото	18541	-10.53	0	0	998	7	7	7	7	1852	674	329	81	5	9
каталогот	18469	-8.22	0	0	1264	272	32	14	5	2255	1222	19	4	3	9
градот	18048	-5.74	2	3	549	180	89	41	5	2255	1222	53	6	1	6
може	17934	-4.81	4	8	993	220	22	12	12	2327	10	2	2	2	4
сјај	17403	-7.5	2	2	1863	3	3	3	3	124	30	1	1	1	4
ова	17283	-4.51	14	18	1154	29	3	3	3	4957	422	16	16	16	3
споменува	17114	-7.48	0	0	1863	170	71	19	16	4957	422	267	48	8	9
само	16577	-5.55	8	11	1863	115	29	16	16	1852	16	4	1	1	4
агол	16536	-5.44	2	3	655	23	2	2	2	663	50	7	2	2	4
