word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ന	1367326	-4.3	0	91	520	520	520	520	520	1064	1064	1064	1064	1064	1
ക	1194363	-4.3	0	92	804	804	804	804	804	1088	1088	1088	1088	1088	1
ത	950758	-4.3	0	90	663	663	663	663	663	1145	1145	1145	1145	1145	1
യ	760900	-4.3	0	92	637	637	637	637	637	710	710	710	710	710	1
ട	745200	-4.3	0	80	320	320	320	320	320	307	307	307	307	307	1
പ	648961	-4.3	0	87	631	631	631	631	631	503	503	503	503	503	1
ര	531904	-4.3	0	89	851	851	851	851	851	586	586	586	586	586	1
ച	467685	-4.3	0	77	277	277	277	277	277	284	284	284	284	284	1
ല	461559	-4.3	0	88	323	323	323	323	323	501	501	501	501	501	1
റ	451043	-4.3	0	84	201	201	201	201	201	365	365	365	365	365	1
സ	428183	-4.3	0	87	500	500	500	500	500	671	671	671	671	671	1
വ	376843	-4.3	0	90	665	665	665	665	665	731	731	731	731	731	1
മ	365447	-4.3	0	89	612	612	612	612	612	1040	1040	1040	1040	1040	1
ണ	315177	-4.3	0	77	203	203	203	203	203	392	392	392	392	392	1
ൽ	282844	-4.31	0	65	161	161	161	161	161	151	151	151	151	151	1
ള	238303	-4.31	0	64	171	171	171	171	171	319	319	319	319	319	1
ദ	180253	-4.3	0	81	326	326	326	326	326	314	314	314	314	314	1
ഷ	125166	-4.3	0	65	260	260	260	260	260	135	135	135	135	135	1
ഗ	123619	-4.3	0	82	312	312	312	312	312	226	226	226	226	226	1
ശ	117255	-4.3	0	75	249	249	249	249	249	241	241	241	241	241	1
എന	105029	-4.02	170	185	193	4	4	4	4	1064	6	6	6	6	2
ജ	94258	-4.3	0	73	327	327	327	327	327	165	165	165	165	165	1
ബ	93427	-4.3	0	79	189	189	189	189	189	181	181	181	181	181	1
ങള	89490	-3.58	112	134	77	18	18	18	18	319	9	9	9	9	2
നത	87586	-2.84	174	236	520	44	44	44	44	1145	135	135	135	135	2
ധ	85846	-4.3	0	56	251	251	251	251	251	104	104	104	104	104	1
ങ	81075	-4.31	0	67	77	77	77	77	77	676	676	676	676	676	1
ഹ	73232	-4.3	0	74	197	197	197	197	197	207	207	207	207	207	1
കള	71618	-2.87	144	207	804	34	34	34	34	319	200	200	200	200	2
ഭ	65188	-4.3	0	60	194	194	194	194	194	174	174	174	174	174	1
ഡ	62325	-4.31	0	70	140	140	140	140	140	123	123	123	123	123	1
ഒര	59124	-4.06	156	177	91	34	34	34	34	586	2	2	2	2	2
യത	58559	-3.01	178	236	637	27	27	27	27	1145	85	85	85	85	2
ൻ	58022	-4.31	0	75	153	153	153	153	153	342	342	342	342	342	1
ഥ	52472	-4.31	0	44	99	99	99	99	99	58	58	58	58	58	1
ഞ	50799	-4.32	0	53	64	64	64	64	64	143	143	143	143	143	1
രത	50572	-2.92	178	240	851	45	45	45	45	1145	80	80	80	80	2
ങൾ	48818	-3.79	82	98	77	12	12	12	12	204	6	6	6	6	2
ഈ	47166	-4.32	0	27	67	67	67	67	67	2	2	2	2	2	1
കയ	43710	-3.28	184	229	804	23	23	23	23	710	27	27	27	27	2
ർ	42054	-4.3	0	80	436	436	436	436	436	300	300	300	300	300	1
കൾ	41178	-3.19	114	159	804	21	21	21	21	204	166	166	166	166	2
ഴ	39939	-4.33	0	53	48	48	48	48	48	67	67	67	67	67	1
ഫ	38582	-4.31	0	63	106	106	106	106	106	98	98	98	98	98	1
വര	38567	-2.92	176	248	665	75	75	75	75	586	54	54	54	54	2
തന	36129	-2.92	184	252	663	47	47	47	47	1064	65	65	65	65	2
ഇത	35985	-4.35	170	187	273	27	27	27	27	1145	1	1	1	1	2
രമ	31054	-2.72	174	244	851	79	79	79	79	1040	136	136	136	136	2
കര	31020	-3.09	178	248	804	93	93	93	93	586	45	45	45	45	2
യമ	30057	-2.93	174	234	637	74	74	74	74	1040	43	43	43	43	2
പത	29932	-3.16	178	238	631	20	20	20	20	1145	58	58	58	58	2
അത	29156	-4.04	178	201	673	8	8	8	8	1145	3	3	3	3	2
ൾ	27392	-4.32	0	43	60	60	60	60	60	204	204	204	204	204	1
രക	26930	-3.05	180	252	851	60	60	60	60	1088	48	48	48	48	2
പര	26846	-2.98	176	241	631	59	59	59	59	586	78	78	78	78	2
അന	26637	-4.36	184	226	673	27	27	27	27	1064	1	1	1	1	2
രസ	26408	-3.07	178	230	851	60	60	60	60	671	39	39	39	39	2
ഇന	24533	-4.14	176	189	273	6	6	6	6	1064	3	3	3	3	2
തമ	23271	-3.13	174	226	663	43	43	43	43	1040	30	30	30	30	2
കപ	23165	-3.36	174	219	804	22	22	22	22	503	26	26	26	26	2
രണ	23102	-3.21	160	212	851	68	68	68	68	392	68	68	68	68	2
അദ	22259	-4.18	168	185	673	5	5	5	5	314	3	3	3	3	2
