word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
нь	51882	-3.6	20	30	853	8	8	8	8	164	55	55	55	55	2
юм	15179	-4.17	22	25	48	9	9	9	9	206	2	2	2	2	2
оны	14895	-3.59	6	13	654	73	3	3	3	412	408	67	67	67	3
онд	13116	-3.91	20	24	654	73	2	2	2	1664	310	40	40	40	3
байна	10922	-6.05	2	4	1724	618	229	4	1	836	145	2	2	1	5
байсан	10067	-4.87	10	14	1724	618	229	14	8	4417	937	397	6	5	6
бөгөөд	9554	-6.63	4	5	1724	50	3	2	2	1664	36	6	3	3	6
болон	9274	-4.2	14	18	1724	280	140	59	1	4417	329	32	5	1	5
сарын	8848	-4.76	18	19	1075	244	25	2	1	4417	872	121	46	4	5
энэ	8574	-4.45	8	12	592	43	10	10	10	656	76	41	41	41	3
ба	8189	-3.16	36	52	1724	618	618	618	618	836	18	18	18	18	2
улсын	7499	-5.31	6	8	562	66	19	4	3	4417	872	45	3	2	5
гэж	6422	-3.66	20	20	740	119	2	2	2	773	132	24	24	24	3
олон	6130	-4.28	12	19	654	97	22	13	13	4417	329	32	5	5	4
байдаг	6055	-5.49	10	13	1724	618	229	23	10	1853	296	178	2	2	6
нэг	5915	-3.41	12	17	853	195	62	62	62	1853	249	4	4	4	3
их	5915	-3.3	30	36	352	26	26	26	26	758	41	41	41	41	2
ч	5505	-4.3	0	5	242	242	242	242	242	353	353	353	353	353	1
мөн	5271	-3.47	24	25	764	77	21	21	21	4417	138	1	1	1	3
улс	5147	-4.95	10	14	562	66	19	19	19	815	10	3	3	3	3
хүн	4756	-3.67	36	39	2386	270	39	39	39	4417	35	1	1	1	3
нд	4746	-4.64	32	41	853	1	1	1	1	1664	310	310	310	310	2
монгол	4723	-6.39	0	3	764	107	37	23	23	654	76	10	4	1	6
бол	4641	-3.34	20	26	1724	280	140	140	140	654	76	4	4	4	3
үед	4617	-4.68	18	21	495	32	2	2	2	1664	12	1	1	1	3
болсон	4608	-5.52	8	14	1724	280	140	17	10	4417	329	140	17	8	6
байв	4435	-5.01	14	15	1724	618	229	2	2	160	2	1	1	1	4
хамгийн	4420	-4.66	4	4	2386	674	105	28	1	4417	1220	1123	279	6	7
р	4386	-4.3	0	16	150	150	150	150	150	1312	1312	1312	1312	1312	1
буюу	4299	-5.72	0	1	1724	204	1	1	1	138	3	1	1	1	4
тус	3930	-3.55	20	23	1761	220	52	52	52	815	29	5	5	5	3
түүний	3851	-5.79	10	12	1761	144	34	11	4	1324	248	191	17	15	6
зэрэг	3660	-5.15	8	11	771	55	23	14	14	1853	249	18	6	1	5
гэсэн	3600	-4.77	8	9	740	119	2	2	1	4417	520	233	58	23	5
дэлхийн	3468	-6.1	4	5	1030	162	40	6	6	4417	1220	1123	45	2	7
дараа	3434	-4.93	18	21	1030	374	82	46	28	836	340	51	40	1	5
газар	3419	-5.46	6	8	740	258	25	10	9	1312	481	5	3	1	5
дээр	3313	-4.01	18	22	1030	162	33	14	14	1312	314	238	7	7	4
ын	3311	-3.9	28	36	6	3	3	3	3	4417	872	872	872	872	2
д	3257	-4.3	0	14	1030	1030	1030	1030	1030	1664	1664	1664	1664	1664	1
