word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
य	226499	-4.3	0	70	238	238	238	238	238	139	139	139	139	139	1
त	211583	-4.3	0	73	233	233	233	233	233	459	459	459	459	459	1
र	176230	-4.3	0	77	373	373	373	373	373	693	693	693	693	693	1
ल	145029	-4.31	0	76	194	194	194	194	194	529	529	529	529	529	1
न	140709	-4.3	0	76	232	232	232	232	232	437	437	437	437	437	1
स	132288	-4.3	0	79	271	271	271	271	271	308	308	308	308	308	1
क	123743	-4.3	0	81	274	274	274	274	274	365	365	365	365	365	1
च	114150	-4.31	0	70	132	132	132	132	132	280	280	280	280	280	1
व	113189	-4.3	0	75	288	288	288	288	288	304	304	304	304	304	1
ह	94272	-4.31	0	68	175	175	175	175	175	183	183	183	183	183	1
म	89790	-4.3	0	73	259	259	259	259	259	261	261	261	261	261	1
प	86099	-4.3	0	74	245	245	245	245	245	218	218	218	218	218	1
द	66151	-4.31	0	68	172	172	172	172	172	232	232	232	232	232	1
ज	54731	-4.3	0	67	245	245	245	245	245	118	118	118	118	118	1
ग	53894	-4.31	0	74	221	221	221	221	221	165	165	165	165	165	1
श	42152	-4.31	0	63	121	121	121	121	121	169	169	169	169	169	1
ट	39705	-4.31	0	65	148	148	148	148	148	168	168	168	168	168	1
ब	33936	-4.31	0	72	205	205	205	205	205	137	137	137	137	137	1
ष	32595	-4.32	0	45	99	99	99	99	99	36	36	36	36	36	1
आह	29581	-4.8	146	151	266	2	2	2	2	183	1	1	1	1	2
ड	27716	-4.31	0	65	125	125	125	125	125	219	219	219	219	219	1
ण	27315	-4.32	0	60	70	70	70	70	70	336	336	336	336	336	1
भ	26551	-4.31	0	54	101	101	101	101	101	92	92	92	92	92	1
थ	22219	-4.33	0	45	63	63	63	63	63	55	55	55	55	55	1
ध	21585	-4.31	0	53	103	103	103	103	103	148	148	148	148	148	1
the	20283	-4.42	10	16	664	120	43	43	43	1460	11	2	2	2	3
ख	20256	-4.31	0	55	108	108	108	108	108	69	69	69	69	69	1
ळ	19412	-4.33	0	59	55	55	55	55	55	134	134	134	134	134	1
वर	19136	-2.85	154	225	288	54	54	54	54	693	83	83	83	83	2
ठ	18166	-4.33	0	34	57	57	57	57	57	29	29	29	29	29	1
इ	16908	-4.31	0	30	110	110	110	110	110	4	4	4	4	4	1
झ	12648	-4.33	0	48	53	53	53	53	53	37	37	37	37	37	1
मध	12641	-3.68	120	157	259	5	5	5	5	148	89	89	89	89	2
फ	12334	-4.32	0	47	77	77	77	77	77	58	58	58	58	58	1
रत	11862	-3.22	152	205	373	23	23	23	23	459	48	48	48	48	2
एक	11201	-3.9	142	165	181	38	38	38	38	365	3	3	3	3	2
तर	11200	-3.18	144	196	233	38	38	38	38	693	32	32	32	32	2
आण	11151	-4.57	140	149	266	5	5	5	5	336	1	1	1	1	2
घ	10638	-4.32	0	35	89	89	89	89	89	31	31	31	31	31	1
of	10510	-4.09	26	30	301	26	26	26	26	65	4	4	4	4	2
पर	9904	-2.98	154	218	245	55	55	55	55	693	41	41	41	41	2
अस	9534	-4.39	154	180	280	23	23	23	23	308	1	1	1	1	2
कर	8904	-2.86	156	223	274	47	47	47	47	693	103	103	103	103	2
मह	8490	-3.46	140	168	259	14	14	14	14	183	20	20	20	20	2
सर	8428	-3.2	152	211	271	43	43	43	43	693	31	31	31	31	2
and	8197	-3.9	16	24	1021	110	10	10	10	1304	90	34	34	34	3
in	7464	-3.04	40	58	530	314	314	314	314	1143	101	101	101	101	2
रस	7295	-3.28	156	213	373	22	22	22	22	308	39	39	39	39	2
रक	7152	-3.38	156	211	373	20	20	20	20	365	37	37	37	37	2
a	6344	-4.3	0	39	1021	1021	1021	1021	1021	714	714	714	714	714	1
to	6103	-3.66	42	50	664	75	75	75	75	190	21	21	21	21	2
रम	6029	-3.31	144	202	373	38	38	38	38	261	31	31	31	31	2
करण	5985	-4.13	86	103	274	47	6	6	6	336	51	7	7	7	3
बर	5916	-3.26	150	199	205	21	21	21	21	693	34	34	34	34	2
यक	5223	-3.53	154	189	238	16	16	16	16	365	14	14	14	14	2
असत	5167	-4.34	68	73	280	23	1	1	1	459	23	2	2	2	3
अन	5053	-4.12	146	171	280	17	17	17	17	437	2	2	2	2	2
सम	4909	-3.23	144	189	271	34	34	34	34	261	28	28	28	28	2
अ	4686	-4.3	0	35	280	280	280	280	280	5	5	5	5	5	1
आल	4622	-4.62	156	171	266	4	4	4	4	529	1	1	1	1	2
रण	4559	-3.18	134	186	373	29	29	29	29	336	51	51	51	51	2
मर	4475	-3.55	152	203	259	14	14	14	14	693	24	24	24	24	2
असल	4213	-4.58	82	86	280	23	1	1	1	529	19	1	1	1	3
मन	3948	-3.23	148	197	259	22	22	22	22	437	36	36	36	36	2
शहर	3874	-4.52	44	51	121	8	5	5	5	693	18	2	2	2	3
हण	3788	-4.06	128	144	175	9	9	9	9	336	3	3	3	3	2
तल	3755	-3.71	142	168	233	8	8	8	8	529	13	13	13	13	2
कड	3707	-3.43	142	178	274	12	12	12	12	219	37	37	37	37	2
जन	3681	-3.33	146	188	245	31	31	31	31	437	19	19	19	19	2
वस	3649	-3.38	158	195	288	22	22	22	22	308	19	19	19	19	2
is	3561	-3.86	44	56	530	27	27	27	27	2425	71	71	71	71	2
दर	3507	-3.25	144	193	172	32	32	32	32	693	28	28	28	28	2
पन	3507	-3.85	150	179	245	10	10	10	10	437	9	9	9	9	2
रव	3342	-3.26	146	198	373	35	35	35	35	304	37	37	37	37	2
वत	3187	-3.42	154	197	288	11	11	11	11	459	49	49	49	49	2
उत	3170	-3.82	148	159	244	10	10	10	10	459	6	6	6	6	2
ढ	3163	-4.34	0	34	41	41	41	41	41	35	35	35	35	35	1
षण	3135	-4.41	118	134	99	18	18	18	18	336	1	1	1	1	2
अश	2928	-4.32	142	151	280	5	5	5	5	169	2	2	2	2	2
ई	2890	-4.32	0	36	78	78	78	78	78	30	30	30	30	30	1
कल	2876	-3.17	154	210	274	26	26	26	26	529	47	47	47	47	2
ञ	2867	-4.43	0	8	12	12	12	12	12	2	2	2	2	2	1
रद	2847	-3.67	142	171	373	10	10	10	10	232	18	18	18	18	2
अभ	2836	-4.1	122	130	280	5	5	5	5	92	4	4	4	4	2
रपट	2813	-3.96	62	75	373	18	9	9	9	168	38	4	4	4	3
यन	2782	-3.57	146	184	238	16	16	16	16	437	15	15	15	15	2
अर	2776	-3.84	150	183	280	22	22	22	22	693	5	5	5	5	2
ऱ	2736	-4.68	0	20	3	3	3	3	3	33	33	33	33	33	1
अध	2733	-4.45	118	125	280	3	3	3	3	148	2	2	2	2	2
गल	2711	-3.44	150	182	221	18	18	18	18	529	15	15	15	15	2
करत	2630	-4.55	98	107	274	47	3	3	3	459	48	2	2	2	3
as	2603	-3.2	54	66	1021	89	89	89	89	2425	69	69	69	69	2
तस	2548	-3.58	148	170	233	13	13	13	13	308	12	12	12	12	2
पक	2515	-3.7	158	184	245	9	9	9	9	365	14	14	14	14	2
रज	2499	-3.51	134	164	373	21	21	21	21	118	13	13	13	13	2
यम	2475	-3.56	142	173	238	23	23	23	23	261	9	9	9	9	2
for	2465	-3.38	12	19	492	96	58	58	58	779	100	1	1	1	3
रश	2465	-3.63	144	170	373	8	8	8	8	169	18	18	18	18	2
पत	2426	-3.66	154	190	245	7	7	7	7	459	31	31	31	31	2
पद	2413	-3.25	144	185	245	19	19	19	19	232	45	45	45	45	2
कसभ	2385	-4.84	32	36	274	16	1	1	1	92	11	1	1	1	3
गर	2384	-3.2	152	200	221	28	28	28	28	693	46	46	46	46	2
नव	2383	-3.22	148	197	232	42	42	42	42	304	26	26	26	26	2
आ	2361	-4.3	0	35	266	266	266	266	266	2	2	2	2	2	1
पह	2336	-4.5	142	150	245	2	2	2	2	183	3	3	3	3	2
अम	2304	-4.44	142	160	280	14	14	14	14	261	1	1	1	1	2
रच	2303	-3.57	146	191	373	9	9	9	9	280	50	50	50	50	2
गत	2245	-3.55	152	182	221	11	11	11	11	459	21	21	21	21	2
टर	2213	-3.42	142	188	148	30	30	30	30	693	13	13	13	13	2
आपल	2204	-4.71	58	62	266	14	1	1	1	529	18	1	1	1	3
by	2166	-4.06	26	31	611	3	3	3	3	887	9	9	9	9	2
कस	2152	-3.56	160	188	274	16	16	16	16	308	11	11	11	11	2
हणज	2143	-4.85	22	25	175	9	1	1	1	118	6	1	1	1	3
मतद	2117	-5.35	42	46	259	15	1	1	1	232	5	1	1	1	3
पण	2085	-3.43	136	176	245	10	10	10	10	336	54	54	54	54	2
जर	2062	-3.67	150	184	245	11	11	11	11	693	12	12	12	12	2
नद	2055	-4.01	144	165	232	3	3	3	3	232	16	16	16	16	2
रह	2018	-3.48	140	175	373	14	14	14	14	183	19	19	19	19	2
सत	2010	-3.55	152	185	271	10	10	10	10	459	23	23	23	23	2
तम	2005	-3.47	136	169	233	17	17	17	17	261	16	16	16	16	2
लक	1990	-3.47	156	194	194	17	17	17	17	365	26	26	26	26	2
वन	1962	-3.3	150	198	288	26	26	26	26	437	25	25	25	25	2
आर	1961	-3.75	158	189	266	17	17	17	17	693	7	7	7	7	2
वल	1922	-3.31	152	204	288	15	15	15	15	529	67	67	67	67	2
दक	1912	-3.81	148	166	172	7	7	7	7	365	11	11	11	11	2
उद	1890	-4.11	138	150	244	20	20	20	20	232	2	2	2	2	2
सन	1883	-3.23	148	202	271	26	26	26	26	437	33	33	33	33	2
धर	1879	-3.41	136	163	103	21	21	21	21	693	16	16	16	16	2
are	1878	-4.39	18	27	1021	124	5	5	5	1460	147	23	23	23	3
हर	1834	-3.34	146	185	175	34	34	34	34	693	18	18	18	18	2
लय	1822	-3.84	140	154	194	6	6	6	6	139	11	11	11	11	2
लन	1817	-3.57	148	182	194	10	10	10	10	437	23	23	23	23	2
शन	1806	-3.64	128	156	121	21	21	21	21	437	8	8	8	8	2
that	1791	-5.9	10	12	664	120	16	1	1	832	45	6	1	1	4
सक	1776	-3.9	156	179	271	10	10	10	10	365	7	7	7	7	2
with	1768	-5.33	2	4	290	79	12	7	7	277	76	7	1	1	4
was	1745	-4.75	18	22	290	71	5	5	5	2425	69	2	2	2	3
टक	1737	-3.56	146	179	148	18	18	18	18	365	22	22	22	22	2
हत	1737	-3.8	146	168	175	7	7	7	7	459	9	9	9	9	2
धन	1719	-3.56	132	159	103	24	24	24	24	437	9	9	9	9	2
or	1689	-3.43	46	54	301	59	59	59	59	779	100	100	100	100	2
s	1651	-4.3	0	25	1285	1285	1285	1285	1285	2425	2425	2425	2425	2425	1
यत	1651	-3.7	150	176	238	9	9	9	9	459	10	10	10	10	2
on	1642	-3.6	30	42	301	13	13	13	13	1143	542	542	542	542	2
तक	1635	-3.47	148	189	233	17	17	17	17	365	17	17	17	17	2
नच	1635	-3.95	148	180	232	3	3	3	3	280	30	30	30	30	2
छ	1615	-4.39	0	19	19	19	19	19	19	14	14	14	14	14	1
कम	1562	-3.65	148	173	274	20	20	20	20	261	9	9	9	9	2
गण	1503	-3.44	134	162	221	17	17	17	17	336	18	18	18	18	2
अल	1483	-3.84	148	174	280	12	12	12	12	529	5	5	5	5	2
रल	1481	-3.65	150	201	373	6	6	6	6	529	47	47	47	47	2
ऊन	1458	-4.61	126	132	39	5	5	5	5	437	1	1	1	1	2
शक	1454	-3.73	136	156	121	7	7	7	7	365	16	16	16	16	2
रख	1451	-3.8	120	135	373	7	7	7	7	69	11	11	11	11	2
अत	1445	-4.67	150	161	280	4	4	4	4	459	1	1	1	1	2
वड	1445	-3.47	140	171	288	13	13	13	13	219	30	30	30	30	2
इत	1434	-4.22	144	152	110	9	9	9	9	459	2	2	2	2	2
कन	1425	-3.56	152	186	274	11	11	11	11	437	18	18	18	18	2
हणत	1415	-4.75	38	42	175	9	1	1	1	459	13	1	1	1	3
br	1400	-4.49	48	52	611	89	89	89	89	779	1	1	1	1	2
from	1394	-5.82	0	1	492	66	7	1	1	325	21	3	1	1	4
षय	1393	-4.49	124	135	99	9	9	9	9	139	1	1	1	1	2
जक	1390	-4.01	154	170	245	9	9	9	9	365	4	4	4	4	2
आय	1356	-3.83	146	167	266	36	36	36	36	139	4	4	4	4	2
आध	1337	-4.8	126	130	266	2	2	2	2	148	1	1	1	1	2
it	1319	-4.2	38	54	530	12	12	12	12	832	70	70	70	70	2
मल	1316	-3.33	150	197	259	22	22	22	22	529	24	24	24	24	2
be	1302	-3.57	54	62	611	118	118	118	118	1460	10	10	10	10	2
बह	1275	-3.84	138	155	205	6	6	6	6	183	9	9	9	9	2
धत	1270	-4.81	136	144	103	2	2	2	2	459	1	1	1	1	2
उ	1250	-4.3	0	31	244	244	244	244	244	2	2	2	2	2	1
आत	1248	-4.46	158	175	266	10	10	10	10	459	1	1	1	1	2
तत	1244	-4.01	144	165	233	3	3	3	3	459	14	14	14	14	2
खर	1235	-3.64	138	163	108	18	18	18	18	693	8	8	8	8	2
शब	1234	-4.25	124	130	121	4	4	4	4	137	3	3	3	3	2
सप	1231	-3.71	144	167	271	8	8	8	8	218	13	13	13	13	2
ऊ	1225	-4.34	0	23	39	39	39	39	39	3	3	3	3	3	1
आक	1206	-4.54	162	177	266	6	6	6	6	365	1	1	1	1	2
कव	1198	-3.56	150	185	274	16	16	16	16	304	20	20	20	20	2
गळ	1195	-3.81	128	146	221	10	10	10	10	134	9	9	9	9	2
पश	1183	-4.56	146	159	245	1	1	1	1	169	8	8	8	8	2
दल	1180	-3.56	142	171	172	15	15	15	15	529	15	15	15	15	2
मत	1180	-3.41	152	192	259	15	15	15	15	459	27	27	27	27	2
इतर	1172	-4.37	62	68	110	9	4	4	4	693	32	1	1	1	3
जग	1168	-4.03	144	165	245	21	21	21	21	165	3	3	3	3	2
नक	1168	-3.42	158	200	232	15	15	15	15	365	34	34	34	34	2
डल	1166	-3.58	138	164	125	8	8	8	8	529	24	24	24	24	2
घर	1165	-3.62	122	149	89	14	14	14	14	693	11	11	11	11	2
this	1155	-5.2	4	6	664	120	25	2	2	2425	71	5	1	1	4
सह	1154	-3.52	140	167	271	26	26	26	26	183	10	10	10	10	2
रभ	1133	-4.18	124	140	373	5	5	5	5	92	7	7	7	7	2
महत	1131	-5.08	64	67	259	14	1	1	1	459	9	1	1	1	3
अक	1102	-4.21	154	171	280	9	9	9	9	365	2	2	2	2	2
वण	1100	-3.47	136	176	288	9	9	9	9	336	56	56	56	56	2
नल	1090	-3.69	152	188	232	6	6	6	6	529	24	24	24	24	2
यल	1089	-3.82	148	172	238	16	16	16	16	529	5	5	5	5	2
an	1079	-2.92	50	72	1021	110	110	110	110	1143	296	296	296	296	2
तय	1072	-4.32	132	142	233	2	2	2	2	139	5	5	5	5	2
तप	1062	-3.72	136	160	233	12	12	12	12	218	11	11	11	11	2
वळ	1057	-3.38	130	159	288	20	20	20	20	134	26	26	26	26	2
जम	1028	-3.6	142	168	245	15	15	15	15	261	10	10	10	10	2
ए	1025	-4.31	0	28	181	181	181	181	181	11	11	11	11	11	1
वय	1025	-3.88	142	162	288	6	6	6	6	139	9	9	9	9	2
have	1019	-4.88	12	12	412	117	2	1	1	1460	146	12	2	2	4
बद	1017	-3.51	140	166	205	13	13	13	13	232	17	17	17	17	2
यवस	1016	-5.13	60	63	238	12	1	1	1	308	19	1	1	1	3
सरक	1007	-4.16	110	121	271	43	5	5	5	365	37	4	4	4	3
which	996	-7.04	0	0	290	25	5	1	1	277	59	7	1	1	5
at	989	-4.01	48	62	1021	53	53	53	53	832	45	45	45	45	2
यर	979	-3.77	150	188	238	19	19	19	19	693	6	6	6	6	2
तन	979	-3.6	140	169	233	16	16	16	16	437	12	12	12	12	2
शकत	978	-4.75	58	61	121	7	1	1	1	459	34	2	2	2	3
लग	971	-3.59	146	171	194	14	14	14	14	165	15	15	15	15	2
टन	964	-3.46	138	168	148	17	17	17	17	437	21	21	21	21	2
सल	955	-3.8	150	183	271	5	5	5	5	529	19	19	19	19	2
दन	948	-3.75	140	167	172	10	10	10	10	437	13	13	13	13	2
मद	947	-3.61	142	174	259	18	18	18	18	232	13	13	13	13	2
सच	947	-3.93	146	171	271	3	3	3	3	280	24	24	24	24	2
मक	946	-3.49	156	190	259	18	18	18	18	365	16	16	16	16	2
शतक	940	-4.59	36	40	121	8	2	2	2	365	17	2	2	2	3
मस	928	-3.51	156	187	259	14	14	14	14	308	17	17	17	17	2
जप	917	-3.82	142	167	245	14	14	14	14	218	6	6	6	6	2
तव	915	-3.6	138	161	233	13	13	13	13	304	12	12	12	12	2
यच	909	-4.22	144	158	238	3	3	3	3	280	5	5	5	5	2
ळल	902	-4.4	136	151	55	1	1	1	1	529	23	23	23	23	2
शर	902	-3.63	132	162	121	16	16	16	16	693	10	10	10	10	2
ऑक	901	-4.61	126	130	38	2	2	2	2	365	2	2	2	2	2
सद	889	-3.94	142	162	271	10	10	10	10	232	5	5	5	5	2
नर	881	-3.36	154	204	232	20	20	20	20	693	23	23	23	23	2
has	880	-4.46	26	30	412	117	4	4	4	2425	69	3	3	3	3
were	875	-5.33	4	5	290	59	1	1	1	1460	147	13	1	1	4
पल	869	-3.49	152	186	245	13	13	13	13	529	18	18	18	18	2
णत	863	-3.94	136	153	70	4	4	4	4	459	13	13	13	13	2
वडण	859	-4.63	46	51	288	13	1	1	1	336	19	3	3	3	3
भव	857	-4.03	126	145	101	15	15	15	15	304	3	3	3	3	2
षक	855	-4.08	140	154	99	10	10	10	10	365	3	3	3	3	2
चर	852	-3.45	144	178	132	17	17	17	17	693	18	18	18	18	2
