word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
yang	496780	-4.97	38	42	117	44	4	2	2	1084	1002	448	23	23	4
di	482450	-2.64	66	83	1396	923	923	923	923	1647	68	68	68	68	2
dan	462067	-3.16	62	71	1396	152	17	17	17	4186	3151	23	23	23	3
pada	224622	-4.47	28	36	2227	313	16	9	9	2757	125	25	4	4	4
dalam	193921	-5.7	18	20	1396	152	14	9	4	531	224	34	18	6	5
merupakan	172708	-7.78	0	0	2284	1316	100	13	1	4186	3151	1017	165	5	9
sebuah	159622	-6.32	0	0	1877	579	54	8	1	897	510	10	4	2	6
dengan	153566	-4.89	6	7	1396	147	18	7	4	4186	3151	241	219	3	6
ini	132762	-4.21	22	34	423	154	5	5	5	1647	97	25	25	25	3
terletak	126929	-7.88	0	0	1258	479	266	18	4	817	253	26	11	4	8
untuk	121995	-6.33	0	0	246	56	7	4	3	817	112	17	10	1	5
dari	115124	-4.59	38	43	1396	152	27	5	5	1647	225	87	6	6	4
tahun	99993	-6.39	2	3	1258	267	15	4	3	4186	133	7	5	5	5
oleh	94901	-5.93	2	5	205	17	2	2	2	897	25	9	6	6	4
adalah	92896	-6.21	2	3	1087	56	14	1	1	897	510	95	26	2	6
sebagai	80019	-7.11	0	1	1877	579	54	26	5	1647	202	12	4	4	7
telah	79958	-4.66	10	10	1258	479	35	5	2	897	510	95	13	2	5
ialah	73979	-6.56	14	16	423	8	2	1	1	897	510	95	26	2	5
ke	72504	-3.04	70	84	1567	679	679	679	679	965	24	24	24	24	2
the	68158	-4.25	10	16	1258	57	17	17	17	965	21	4	4	4	3
sekolah	67439	-6.93	0	1	1877	579	48	2	2	897	510	95	6	3	7
daerah	67102	-7.21	0	1	1396	152	4	2	2	897	510	52	12	2	6
orang	65562	-5.32	2	6	205	52	6	4	3	1084	1002	448	52	4	5
atau	65307	-5.57	8	11	1087	47	8	2	2	509	87	9	1	1	4
juga	64105	-5.87	6	8	422	92	3	2	2	2757	95	5	1	1	4
tidak	61767	-6.61	2	3	1258	94	4	2	2	817	253	19	2	2	5
itu	61212	-5.12	16	21	423	17	4	4	4	509	51	8	8	8	3
kepada	60563	-5.76	2	2	1567	679	53	16	5	2757	125	25	4	1	6
ia	58013	-3.96	76	97	423	8	8	8	8	2757	229	229	229	229	2
kawasan	56995	-6.62	6	6	1567	323	12	11	3	4186	3151	148	72	5	7
satu	52845	-5.49	24	29	1877	313	16	6	6	509	51	16	3	3	4
wilayah	52094	-7.43	0	0	267	51	13	2	2	897	510	32	8	2	7
mereka	50459	-6.7	4	5	2284	1316	100	17	5	2757	118	13	5	3	6
daripada	50013	-9.03	0	0	1396	152	27	5	2	2757	125	25	4	1	8
kebangsaan	49974	-8.37	0	0	1567	679	52	17	8	4186	3151	199	15	2	10
beliau	48869	-7.08	2	3	1724	847	58	13	4	509	87	3	1	1	6
bandar	44560	-5.81	10	12	1724	357	69	12	5	1117	376	26	11	8	6
malaysia	44148	-8.48	0	0	2284	478	45	25	8	2757	229	30	1	1	8
terbang	42708	-5.44	2	3	1258	479	266	35	15	1084	1002	448	47	4	7
negara	42607	-6.48	6	6	424	71	13	6	4	2757	272	115	9	5	6
bagi	42451	-4.53	20	24	1724	357	16	5	5	1647	116	15	4	4	4
lapangan	40610	-6.98	0	0	690	222	10	4	3	4186	3151	241	219	123	8
komun	39461	-5.78	2	3	1567	182	50	9	8	4186	133	9	1	1	5
mempunyai	39446	-8.06	0	0	2284	1316	273	42	2	1647	202	8	3	3	9
menjadi	38806	-6.7	0	0	2284	1316	733	45	27	1647	68	19	4	1	7
lebih	37210	-6.68	6	6	690	140	14	2	2	897	63	3	2	2	5
indonesia	37200	-10.37	0	0	423	154	32	5	2	2757	229	30	6	4	9
kampung	36749	-6.68	4	4	1567	323	25	5	3	1084	1002	158	9	4	7
of	35214	-4.29	30	33	205	9	9	9	9	138	4	4	4	4	2
memiliki	35118	-7.73	0	0	2284	1316	273	17	2	1647	66	15	4	3	8
lain	34725	-4.98	18	24	690	222	6	2	2	4186	275	32	3	3	4
negeri	34452	-7.0	2	3	424	71	13	4	3	1647	225	23	3	1	6
nama	34112	-4.85	30	31	424	143	11	2	2	2757	142	50	8	8	4
kecamatan	33266	-7.73	0	0	1567	679	26	4	2	4186	3151	212	101	11	9
seramai	33250	-6.97	6	6	1877	579	73	20	5	1647	202	11	8	4	7
seperti	33199	-6.86	0	1	1877	579	38	9	5	1647	153	6	3	1	7
bahasa	33086	-6.18	4	5	1724	357	31	23	3	2757	119	47	7	6	6
akan	31572	-3.6	20	26	1087	53	11	1	1	4186	3151	1017	165	165	4
perancis	31130	-7.55	0	0	2227	1307	377	53	17	1266	187	4	3	3	8
pelajar	30710	-6.6	4	4	2227	1307	77	41	4	1117	376	20	12	3	7
tersebut	30579	-6.99	0	0	1258	479	266	25	13	1112	130	22	8	3	8
terdapat	30148	-7.49	0	0	1258	479	266	12	6	1112	407	33	6	5	8
digunakan	30117	-7.86	0	0	1396	923	29	8	4	4186	3151	1017	165	20	9
