word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
င	555851	-4.32	0	47	56	56	56	56	56	410	410	410	410	410	1
က	535665	-4.3	0	76	288	288	288	288	288	400	400	400	400	400	1
မ	394735	-4.3	0	68	326	326	326	326	326	295	295	295	295	295	1
ပ	337697	-4.3	0	71	256	256	256	256	256	239	239	239	239	239	1
တ	324723	-4.3	0	72	278	278	278	278	278	339	339	339	339	339	1
န	319732	-4.31	0	65	127	127	127	127	127	397	397	397	397	397	1
ရ	279608	-4.3	0	68	199	199	199	199	199	242	242	242	242	242	1
သ	231723	-4.3	0	67	231	231	231	231	231	137	137	137	137	137	1
ခ	226689	-4.31	0	62	118	118	118	118	118	116	116	116	116	116	1
စ	226340	-4.3	0	63	174	174	174	174	174	273	273	273	273	273	1
လ	201865	-4.3	0	63	180	180	180	180	180	148	148	148	148	148	1
သည	187549	-4.03	118	159	231	2	2	2	2	274	81	81	81	81	2
ဖ	118108	-4.32	0	55	60	60	60	60	60	123	123	123	123	123	1
ထ	97100	-4.32	0	53	67	67	67	67	67	96	96	96	96	96	1
ဆ	83135	-4.31	0	55	72	72	72	72	72	67	67	67	67	67	1
အ	74548	-4.3	0	62	379	379	379	379	379	56	56	56	56	56	1
ယ	67154	-4.3	0	62	164	164	164	164	164	161	161	161	161	161	1
ဘ	47234	-4.31	0	56	147	147	147	147	147	83	83	83	83	83	1
ည	44777	-4.32	0	51	45	45	45	45	45	274	274	274	274	274	1
ဒ	43374	-4.3	0	64	201	201	201	201	201	75	75	75	75	75	1
ဟ	31672	-4.33	0	58	42	42	42	42	42	86	86	86	86	86	1
ဂ	31445	-4.31	0	61	123	123	123	123	123	82	82	82	82	82	1
တစ	30864	-3.31	130	171	278	15	15	15	15	273	40	40	40	40	2
အခ	29048	-3.5	130	165	379	12	12	12	12	116	23	23	23	23	2
ဝ	29007	-4.3	0	66	204	204	204	204	204	83	83	83	83	83	1
လည	28055	-4.35	110	132	180	1	1	1	1	274	29	29	29	29	2
အမ	26683	-3.33	134	188	379	24	24	24	24	295	26	26	26	26	2
အတ	22514	-3.49	140	187	379	10	10	10	10	339	27	27	27	27	2
အရ	20116	-3.24	138	188	379	38	38	38	38	242	24	24	24	24	2
အက	19904	-3.23	148	203	379	22	22	22	22	400	29	29	29	29	2
the	19205	-4.29	16	25	826	134	41	41	41	1889	15	5	5	5	3
ဦ	18403	-4.41	0	23	10	10	10	10	10	29	29	29	29	29	1
ဗ	18344	-4.31	0	53	76	76	76	76	76	53	53	53	53	53	1
လက	18031	-3.36	138	187	180	15	15	15	15	400	27	27	27	27	2
အဖ	17846	-3.34	124	161	379	14	14	14	14	123	34	34	34	34	2
အပ	17664	-3.39	138	183	379	22	22	22	22	239	18	18	18	18	2
ရန	17610	-3.73	134	173	199	5	5	5	5	397	28	28	28	28	2
ပင	17533	-4.33	122	155	256	1	1	1	1	410	43	43	43	43	2
ဝင	16042	-4.36	120	147	204	1	1	1	1	410	22	22	22	22	2
ဇ	15391	-4.31	0	56	105	105	105	105	105	55	55	55	55	55	1
အန	14835	-3.47	138	184	379	14	14	14	14	397	20	20	20	20	2
အသ	14498	-3.58	134	166	379	13	13	13	13	137	20	20	20	20	2
မင	13433	-4.05	120	164	326	2	2	2	2	410	47	47	47	47	2
အစ	13382	-3.29	128	175	379	36	36	36	36	273	20	20	20	20	2
အလ	13105	-3.45	134	172	379	15	15	15	15	148	24	24	24	24	2
ရင	12832	-4.05	116	149	199	2	2	2	2	410	34	34	34	34	2
သမ	12347	-3.3	132	180	231	27	27	27	27	295	29	29	29	29	2
အင	12344	-3.78	120	157	379	5	5	5	5	410	16	16	16	16	2
စက	11918	-3.39	144	184	174	19	19	19	19	400	21	21	21	21	2
တက	11676	-3.49	150	193	278	11	11	11	11	400	26	26	26	26	2
တည	11302	-3.73	122	147	278	5	5	5	5	274	21	21	21	21	2
စစ	11282	-3.96	124	149	174	3	3	3	3	273	17	17	17	17	2
နယ	11085	-3.45	114	142	127	12	12	12	12	161	21	21	21	21	2
တန	10894	-3.44	140	186	278	13	13	13	13	397	33	33	33	33	2
ရက	10304	-3.32	144	192	199	18	18	18	18	400	31	31	31	31	2
သင	10057	-4.05	118	153	231	2	2	2	2	410	35	35	35	35	2
ဆင	9996	-4.36	104	124	72	1	1	1	1	410	26	26	26	26	2
ဝန	9989	-3.81	138	172	204	5	5	5	5	397	19	19	19	19	2
သက	9859	-3.73	146	177	231	5	5	5	5	400	22	22	22	22	2
စည	9253	-4.37	116	135	174	1	1	1	1	274	18	18	18	18	2
မည	9231	-3.44	120	152	326	10	10	10	10	274	36	36	36	36	2
အထ	9058	-3.4	118	151	379	16	16	16	16	96	21	21	21	21	2
ရပ	9043	-3.55	134	168	199	9	9	9	9	239	32	32	32	32	2
တင	9020	-4.07	122	154	278	2	2	2	2	410	25	25	25	25	2
ကန	8964	-3.44	140	188	288	14	14	14	14	397	23	23	23	23	2
ပည	8913	-3.83	122	143	256	4	4	4	4	274	20	20	20	20	2
တရ	8897	-3.19	140	185	278	38	38	38	38	242	22	22	22	22	2
သစ	8866	-3.63	126	159	231	6	6	6	6	273	29	29	29	29	2
ရသည	8753	-3.87	108	123	199	24	1	1	1	274	81	7	7	7	3
ဓ	8739	-4.31	0	45	97	97	97	97	97	30	30	30	30	30	1
of	8689	-4.11	52	56	357	21	21	21	21	185	5	5	5	5	2
သတ	8629	-3.47	138	180	231	12	12	12	12	339	26	26	26	26	2
