word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
و	8345	-4.3	0	39	605	605	605	605	605	763	763	763	763	763	1
دله	5934	-3.89	52	59	925	36	2	2	2	2553	155	8	8	8	3
که	5190	-3.22	82	105	1146	18	18	18	18	2553	48	48	48	48	2
هسته	4276	-4.57	28	31	606	21	7	1	1	2553	207	53	2	2	4
ره	4101	-3.3	76	106	603	14	14	14	14	2553	203	203	203	203	2
ونه	3656	-4.37	64	89	605	27	1	1	1	2553	559	67	67	67	3
اینتا	3447	-6.03	10	14	1969	285	57	16	4	1252	100	11	2	1	5
اتا	3438	-4.38	36	47	1969	48	12	12	12	1252	100	24	24	24	3
شهر	3391	-3.46	16	24	567	60	48	48	48	1179	51	24	24	24	3
سال	2867	-3.66	50	63	904	224	35	35	35	647	159	11	11	11	3
به	2689	-2.91	76	93	1459	45	45	45	45	2553	68	68	68	68	2
یه	2615	-3.27	80	98	247	13	13	13	13	2553	249	249	249	249	2
هسه	2459	-3.84	24	34	606	21	1	1	1	2553	79	9	9	9	3
از	2313	-3.67	48	65	1969	22	22	22	22	287	60	60	60	60	2
بی	2205	-2.74	82	111	1459	143	143	143	143	3352	101	101	101	101	2
نوم	2168	-3.71	60	72	876	165	18	18	18	602	104	7	7	7	3
نفر	2163	-4.64	40	48	876	21	9	9	9	1179	20	3	3	3	3
شورا	2098	-4.85	28	35	567	81	21	6	6	1252	161	27	2	2	4
قطعنومه	2049	-7.48	2	2	287	15	7	2	1	2553	121	32	16	1	7
امنیت	2046	-7.32	0	2	1969	89	4	3	2	903	136	3	1	1	5
ه	1998	-4.3	0	36	606	606	606	606	606	2553	2553	2553	2553	2553	1
جمعیت	1966	-5.73	6	10	403	25	6	3	2	903	136	15	5	5	5
قرار	1859	-5.35	12	15	287	37	13	8	8	1179	323	15	3	3	4
دره	1854	-3.7	60	73	925	161	3	3	3	2553	203	9	9	9	3
در	1631	-3.09	64	88	925	161	161	161	161	1179	35	35	35	35	2
سرشماری	1551	-8.4	0	1	904	118	3	1	1	3352	412	143	11	3	7
وه	1497	-3.63	80	99	605	13	13	13	13	2553	51	51	51	51	2
این	1424	-3.24	66	80	1969	285	57	57	57	2761	422	12	12	12	3
ب	1388	-4.3	0	26	1459	1459	1459	1459	1459	263	263	263	263	263	1
ایران	1339	-5.03	26	32	1969	285	26	12	9	2761	721	86	14	2	5
درون	1256	-3.96	34	44	925	161	14	5	5	2761	1084	145	5	5	4
ئوشار	1214	-7.01	2	3	61	33	4	4	4	1179	323	11	2	1	5
داینه	1119	-5.39	20	25	925	198	10	1	1	2553	559	80	5	2	5
جه	1091	-3.3	70	80	403	15	15	15	15	2553	50	50	50	50	2
روستا	1088	-5.56	10	12	603	173	20	9	8	1252	100	10	4	1	5
کشور	1037	-4.55	12	19	1146	49	16	14	14	1179	199	8	2	2	4
یی	1031	-3.27	86	104	247	16	16	16	16	3352	184	184	184	184	2
تا	997	-2.9	62	84	953	172	172	172	172	1252	100	100	100	100	2
خانوار	982	-6.78	0	0	393	102	23	4	4	1179	323	27	2	1	6
ئون	981	-3.38	40	50	61	33	5	5	5	2761	1084	116	116	116	3
براساس	976	-7.68	0	0	1459	220	36	1	1	512	74	4	2	1	6
بیه	900	-3.56	64	85	1459	143	5	5	5	2553	249	12	12	12	3
با	876	-3.23	64	90	1459	273	273	273	273	1252	27	27	27	27	2
هم	869	-3.03	58	73	606	77	77	77	77	602	37	37	37	37	2
wikipedia	838	-10.01	0	0	37	8	3	3	1	195	24	4	4	2	9
جا	821	-3.49	58	73	403	89	89	89	89	1252	18	18	18	18	2
شهرستون	790	-6.16	2	3	567	60	48	5	5	2761	1084	128	75	16	7
دهستون	753	-6.41	8	10	925	33	3	3	1	2761	1084	128	75	6	6
داشته	751	-5.05	8	14	925	198	9	6	1	2553	207	37	9	3	5
میون	725	-4.12	24	36	1773	162	15	10	10	2761	1084	138	12	12	4
س	721	-4.3	0	27	904	904	904	904	904	512	512	512	512	512	1
یا	700	-3.15	68	88	247	72	72	72	72	1252	148	148	148	148	2
انگلیسی	687	-8.06	0	2	1969	131	20	7	2	3352	119	17	5	3	7
فرانسه	668	-6.03	0	2	512	181	52	22	11	2553	79	13	2	2	6
ئو	657	-3.76	50	57	61	33	33	33	33	763	31	31	31	31	2
