word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
e	61639	-4.3	0	28	584	584	584	584	584	3763	3763	3763	3763	3763	1
a	33390	-4.3	0	36	1936	1936	1936	1936	1936	3138	3138	3138	3138	3138	1
o	19946	-4.3	0	26	446	446	446	446	446	3712	3712	3712	3712	3712	1
d	17157	-4.3	0	33	853	853	853	853	853	218	218	218	218	218	1
è	13894	-4.32	0	14	16	16	16	16	16	760	760	760	760	760	1
nu	12185	-3.74	44	51	687	80	80	80	80	103	12	12	12	12	2
pruvincia	8280	-7.63	0	0	2013	538	67	15	6	3138	488	56	16	6	9
comune	7974	-5.16	10	12	2665	750	158	26	25	3763	748	28	4	1	6
ca	5731	-2.17	64	73	2665	749	749	749	749	3138	261	261	261	261	2
l	4523	-4.3	0	20	655	655	655	655	655	363	363	363	363	363	1
abitante	4029	-7.08	0	2	1936	97	17	15	9	3763	834	306	73	22	8
crestiane	3998	-8.33	0	0	2665	160	56	23	5	3763	748	62	11	3	9
ra	3708	-2.86	52	65	1096	144	144	144	144	3138	304	304	304	304	2
ll	3649	-4.21	38	48	655	17	17	17	17	363	59	59	59	59	2
cu	3555	-3.56	56	65	2665	328	328	328	328	103	10	10	10	10	2
na	3401	-2.6	52	64	687	136	136	136	136	3138	452	452	452	452	2
in	3268	-3.44	52	64	626	339	339	339	339	848	32	32	32	32	2
int	3160	-3.53	6	19	626	339	96	96	96	1079	344	7	7	7	3
ro	2383	-2.72	54	65	1096	142	142	142	142	3712	267	267	267	267	2
se	2234	-2.36	68	79	2013	301	301	301	301	3763	230	230	230	230	2
pe	2089	-3.07	76	81	2013	266	266	266	266	3763	37	37	37	37	2
ppe	2041	-4.98	10	15	2013	31	6	6	6	3763	37	12	12	12	3
si	1895	-3.12	62	76	2013	193	193	193	193	990	67	67	67	67	2
di	1858	-2.97	74	84	853	341	341	341	341	990	52	52	52	52	2
ô	1716	-4.58	0	3	1	1	1	1	1	7	7	7	7	7	1
pure	1595	-4.36	14	18	2013	189	27	1	1	3763	494	45	3	3	4
cchiù	1574	-6.78	8	12	2665	39	16	11	1	36	4	2	2	1	5
napule	1511	-6.63	0	1	687	136	29	13	13	3763	469	36	3	1	6
san	1499	-4.3	32	41	2013	262	57	57	57	848	45	1	1	1	3
nun	1352	-4.94	12	16	687	80	9	9	9	848	13	1	1	1	3
n	1270	-4.3	0	24	687	687	687	687	687	848	848	848	848	848	1
into	1260	-4.01	16	23	626	339	96	2	2	3712	797	145	12	12	4
de	1201	-2.83	80	92	853	223	223	223	223	3763	78	78	78	78	2
ha	1169	-4.07	40	47	88	32	32	32	32	3138	4	4	4	4	2
â	1127	-4.46	0	2	2	2	2	2	2	6	6	6	6	6	1
ma	1101	-2.62	60	70	1402	451	451	451	451	3138	100	100	100	100	2
ac	1097	-4.15	56	62	1936	142	142	142	142	202	5	5	5	5	2
fuje	1093	-3.84	18	20	953	118	8	5	5	3763	120	9	1	1	4
dei	1050	-5.14	22	24	853	223	1	1	1	990	23	1	1	1	3
p	1024	-4.3	0	29	2013	2013	2013	2013	2013	59	59	59	59	59	1
c	1022	-4.3	0	26	2665	2665	2665	2665	2665	202	202	202	202	202	1
muorte	997	-6.2	6	8	1402	136	7	5	3	3763	834	41	23	5	6
re	975	-2.38	58	71	1096	284	284	284	284	3763	494	494	494	494	2
anno	971	-3.8	16	25	1936	200	44	4	4	3712	979	91	48	48	4
dell	941	-4.6	12	18	853	223	17	5	5	363	59	10	1	1	4
era	913	-4.26	18	28	584	50	10	10	10	3138	304	74	74	74	3
anne	895	-3.93	18	24	1936	200	44	4	4	3763	748	49	15	15	4
che	867	-2.85	16	19	2665	204	19	19	19	3763	129	111	111	111	3
dint	857	-4.54	14	20	853	341	14	5	5	1079	344	7	2	2	4
da	844	-3.06	74	85	853	67	67	67	67	3138	76	76	76	76	2
s	838	-4.3	0	28	2013	2013	2013	2013	2013	477	477	477	477	477	1
comme	827	-4.58	14	17	2665	750	158	28	11	3763	102	31	6	2	5
la	814	-2.65	48	53	655	145	145	145	145	3138	259	259	259	259	2
comm	767	-4.73	14	19	2665	750	158	28	28	171	11	3	1	1	4
ed	747	-4.6	36	41	584	32	32	32	32	218	5	5	5	5	2
il	704	-4.85	48	55	626	14	14	14	14	363	9	9	9	9	2
ad	687	-3.87	60	67	1936	85	85	85	85	218	10	10	10	10	2
fu	656	-4.39	42	46	953	118	118	118	118	103	1	1	1	1	2
storia	649	-5.96	10	12	2013	282	26	23	15	3138	488	88	14	6	6
sta	648	-2.98	26	38	2013	282	104	104	104	3138	558	82	82	82	3
ncopp	624	-7.13	4	9	687	25	8	6	5	59	15	8	2	1	5
cchiu	617	-6.26	6	8	2665	39	16	11	2	103	14	3	3	2	5
parte	605	-4.09	22	29	2013	422	150	62	30	3763	834	41	11	6	5
all	601	-4.05	16	27	1936	208	43	43	43	363	59	7	7	7	3
i	582	-4.3	0	30	626	626	626	626	626	990	990	990	990	990	1
song	579	-5.54	10	15	2013	201	16	7	7	68	26	3	1	1	4
tra	563	-3.06	16	25	950	284	132	132	132	3138	304	29	29	29	3
un	555	-4.15	36	48	271	65	65	65	65	848	13	13	13	13	2
canzone	551	-6.18	10	14	2665	749	109	12	6	3763	748	431	10	2	7
del	540	-4.67	22	26	853	223	17	17	17	363	23	1	1	1	3
dal	518	-5.09	18	22	853	67	10	10	10	363	33	1	1	1	3
fa	515	-3.31	50	59	953	206	206	206	206	3138	14	14	14	14	2
assaje	513	-5.32	4	10	1936	128	81	10	2	3763	120	89	13	7	6
fine	504	-3.98	20	22	953	170	45	1	1	3763	748	73	6	6	4
so	500	-2.55	64	76	2013	201	201	201	201	3712	132	132	132	132	2
nord	496	-5.79	6	7	687	133	22	5	5	218	23	4	1	1	4
primma	490	-6.23	10	14	2013	538	73	24	7	3138	100	28	8	5	6
nomme	478	-5.78	8	11	687	133	16	3	1	3763	102	31	6	3	5
italia	471	-7.01	2	6	626	19	17	17	14	3138	488	50	8	5	6
ce	460	-2.79	70	76	2665	167	167	167	167	3763	145	145	145	145	2
à	460	-4.32	0	9	17	17	17	17	17	1093	1093	1093	1093	1093	1
cumune	455	-5.78	4	6	2665	328	82	6	6	3763	748	28	4	1	6
stato	454	-4.42	16	18	2013	282	104	27	1	3712	797	263	43	6	5
munno	452	-4.53	6	7	1402	136	35	5	1	3712	979	91	6	1	5
juorno	451	-6.13	6	7	118	38	7	4	4	3712	979	60	23	11	6
chesta	446	-5.47	10	11	2665	204	19	6	6	3138	558	82	17	1	6
cità	445	-4.3	16	18	2665	187	22	1	1	1093	295	76	11	11	4
cui	443	-5.19	26	29	2665	328	4	4	4	990	9	1	1	1	3
sua	438	-4.94	30	35	2013	196	1	1	1	3138	21	1	1	1	3
aropp	428	-6.11	2	7	1936	260	9	6	4	59	15	8	3	1	5
suo	426	-4.62	36	45	2013	196	18	18	18	3712	7	1	1	1	3
sud	414	-4.99	22	26	2013	196	10	10	10	218	3	2	2	2	3
vota	401	-5.16	24	27	801	72	8	2	2	3138	558	11	5	5	4
secunno	397	-6.88	8	8	2013	301	27	8	4	3712	979	91	6	2	7
duje	392	-4.62	14	17	853	54	1	1	1	3763	120	9	3	3	4
calannario	386	-9.9	0	0	2665	749	54	21	2	3712	406	75	38	9	10
una	386	-3.86	20	24	271	65	1	1	1	3138	452	11	11	11	3
journe	381	-7.58	0	0	118	22	1	1	1	3763	748	16	2	1	6
greguriano	380	-9.41	0	0	705	134	21	5	1	3712	979	459	147	16	10
quanno	377	-5.07	8	9	151	149	89	17	4	3712	979	91	48	1	6
songo	371	-5.74	16	18	2013	201	16	7	2	3712	84	23	7	1	5
seculo	368	-6.32	6	7	2013	301	27	8	3	3712	271	27	11	2	6
bisestile	367	-10.64	0	0	694	80	9	1	1	3763	469	44	11	3	9
ammancano	365	-8.24	0	0	1936	127	40	6	2	3712	979	459	16	1	9
ê	362	-4.58	0	1	1	1	1	1	1	3	3	3	3	3	1
tutte	357	-5.03	16	17	950	76	21	17	3	3763	834	165	4	1	5
chella	351	-5.19	10	12	2665	204	19	7	6	3138	259	113	85	2	6
do	350	-2.77	76	85	853	101	101	101	101	3712	110	110	110	110	2
cìttà	345	-7.43	6	6	2665	3	2	1	1	1093	295	27	1	1	5
statò	344	-5.13	16	17	2013	282	104	27	1	940	186	29	3	1	5
torino	340	-6.03	8	10	950	109	54	4	3	3712	979	168	22	2	6
br	339	-3.73	46	51	694	101	101	101	101	617	9	9	9	9	2
al	338	-3.57	60	74	1936	208	208	208	208	363	33	33	33	33	2
addò	336	-4.98	10	12	1936	85	45	1	1	940	32	3	1	1	4
ancora	335	-7.01	8	10	1936	200	10	5	3	3138	304	29	4	2	6
sant	333	-4.18	16	26	2013	262	57	17	17	1079	344	12	2	2	4
tutto	333	-5.04	18	20	950	76	21	17	1	3712	797	125	10	4	5
chi	318	-3.36	18	25	2665	204	155	155	155	990	32	27	27	27	3
nce	316	-4.42	12	16	687	25	2	2	2	3763	145	12	12	12	3
canzona	315	-6.86	6	7	2665	749	109	12	6	3138	452	49	4	1	7
città	314	-5.61	14	17	2665	187	22	16	1	1093	295	27	8	3	5
tene	310	-4.12	22	28	950	253	49	13	13	3763	748	58	11	11	4
po	310	-2.94	72	83	2013	265	265	265	265	3712	52	52	52	52	2
partè	307	-4.95	18	21	2013	422	150	62	3	760	97	9	3	1	5
ind	306	-3.8	8	15	626	339	49	49	49	218	118	2	2	2	3
vene	306	-3.71	22	29	801	238	84	27	27	3763	748	58	7	7	4
