word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
de	351287	-3.04	60	73	965	185	185	185	185	2095	125	125	125	125	2
vun	168523	-4.68	18	24	829	32	12	12	12	5370	27	3	3	3	3
in	136536	-2.7	44	63	490	293	293	293	293	5370	182	182	182	182	2
dat	121482	-4.08	44	52	965	117	12	12	12	2798	124	12	12	12	3
un	114600	-3.72	34	50	514	104	104	104	104	5370	27	27	27	27	2
en	75595	-2.44	46	67	732	106	106	106	106	5370	3956	3956	3956	3956	2
is	75371	-3.69	48	58	490	33	33	33	33	1412	114	114	114	114	2
n	70881	-4.3	0	24	634	634	634	634	634	5370	5370	5370	5370	5370	1
to	50459	-3.06	54	68	897	269	269	269	269	333	48	48	48	48	2
as	45910	-3.51	62	77	1324	43	43	43	43	1412	70	70	70	70	2
hett	45284	-5.04	32	33	969	265	3	1	1	2798	182	68	2	2	4
he	45232	-2.48	50	64	969	265	265	265	265	2095	326	326	326	326	2
den	44463	-2.73	42	52	965	185	17	17	17	5370	3956	261	261	261	3
an	41979	-2.77	58	81	1324	381	381	381	381	5370	172	172	172	172	2
mit	39837	-3.53	20	26	1129	219	39	39	39	2798	133	7	7	7	3
weer	35663	-3.85	34	46	836	253	27	16	16	1616	1169	39	3	3	4
ok	32476	-4.26	32	36	513	5	5	5	5	538	31	31	31	31	2
hebbt	30529	-6.78	2	4	969	265	12	3	1	2798	8	1	1	1	5
bi	29729	-3.38	50	61	1551	131	131	131	131	197	16	16	16	16	2
sünd	27063	-4.52	20	22	2050	107	28	1	1	785	331	5	1	1	4
se	25032	-3.05	72	87	2050	173	173	173	173	2095	93	93	93	93	2
sien	24926	-3.85	30	37	2050	125	46	4	4	5370	3956	140	14	14	4
ut	24223	-2.9	30	41	514	228	228	228	228	2798	58	58	58	58	2
för	22754	-4.57	12	17	894	31	10	10	10	1616	34	4	4	4	3
op	22273	-2.89	38	48	513	134	134	134	134	342	94	94	94	94	2
sik	22148	-3.66	18	23	2050	125	2	2	2	538	100	17	17	17	3
t	19756	-4.3	0	20	897	897	897	897	897	2798	2798	2798	2798	2798	1
warrt	18250	-5.73	16	18	836	183	42	5	1	2798	396	7	4	1	5
inwahners	16494	-7.94	0	0	490	293	18	11	6	1412	270	244	37	3	9
worrn	16275	-6.1	18	20	836	94	22	3	1	5370	223	14	1	1	5
noch	16248	-4.78	12	13	634	129	5	5	5	691	554	10	2	2	4
nich	15501	-4.48	16	19	634	65	19	9	9	691	554	155	3	3	4
na	14654	-2.91	58	72	634	182	182	182	182	583	86	86	86	86	2
minschen	14389	-5.57	0	1	1129	219	61	12	10	5370	3956	271	236	172	8
oder	14156	-5.09	6	10	513	8	3	1	1	1616	1169	104	7	7	4
dor	13644	-3.59	38	48	965	175	68	68	68	1616	114	8	8	8	3
so	13040	-3.54	74	82	2050	117	117	117	117	333	14	14	14	14	2
denn	12544	-4.97	26	29	965	185	17	3	3	5370	151	27	1	1	4
up	11711	-3.32	30	35	514	99	99	99	99	342	18	18	18	18	2
maakt	11602	-4.6	12	16	1129	329	26	6	2	2798	155	31	20	14	5
een	11530	-3.22	36	57	732	106	48	48	48	5370	3956	71	71	71	3
man	11422	-3.49	50	61	1129	329	48	48	48	5370	172	31	31	31	3
county	10049	-8.21	0	3	454	112	11	6	5	278	17	2	1	1	6
wurrn	9959	-6.15	16	19	836	50	13	5	1	5370	223	14	1	1	5
annere	9938	-5.55	14	17	1324	381	27	16	12	2095	158	62	9	9	6
von	9824	-4.18	42	45	829	53	3	3	3	5370	408	3	3	3	3
afsluss	9659	-6.72	2	2	1324	229	70	11	7	1412	94	20	9	7	7
bit	9610	-4.04	24	30	1551	131	11	11	11	2798	133	4	4	4	3
dör	9285	-3.8	20	24	965	56	40	40	40	1616	34	4	4	4	3
us	9024	-3.93	38	51	514	6	6	6	6	1412	200	200	200	200	2
wat	8958	-3.89	24	30	836	183	28	28	28	2798	124	3	3	3	3
ünner	8508	-3.98	8	13	135	73	71	71	70	1616	1169	121	55	10	5
lüüd	8453	-4.52	8	10	818	55	8	1	1	785	19	16	11	11	4
harr	7974	-5.18	18	23	969	247	57	7	7	1616	15	4	1	1	4
över	7330	-3.23	12	16	135	76	76	75	75	1616	1169	52	8	8	4
johr	7276	-3.9	12	16	296	75	38	24	24	1616	67	17	8	8	4
kreis	7249	-5.62	4	7	1064	144	35	21	20	1412	114	11	11	8	5
aver	7097	-4.11	12	16	1324	16	11	2	2	1616	1169	52	5	5	4
gifft	6814	-5.55	0	2	902	43	7	2	1	2798	86	22	12	6	5
vör	6529	-3.29	20	22	829	158	148	148	148	1616	34	5	5	5	3
e	6493	-4.3	0	31	732	732	732	732	732	2095	2095	2095	2095	2095	1
van	6429	-4.41	38	42	829	37	8	8	8	5370	172	4	4	4	3
zensus	6354	-7.85	4	4	97	42	14	3	3	1412	200	9	2	2	6
nakamen	6341	-7.48	0	1	634	182	6	1	1	5370	3956	201	40	29	7
wurr	6317	-5.81	18	22	836	50	13	5	5	1616	15	1	1	1	4
kann	6158	-4.32	30	34	1064	211	37	6	6	5370	151	60	1	1	4
weern	6038	-4.82	20	24	836	253	27	16	1	5370	223	138	18	1	5
disse	5992	-5.8	4	5	965	132	22	3	3	2095	93	21	8	1	5
üm	5890	-3.46	30	35	135	56	56	56	56	515	12	12	12	12	2
leven	5871	-4.51	34	41	818	193	25	21	15	5370	3956	161	94	10	5
nah	5832	-4.28	14	20	634	182	23	23	23	691	20	6	6	6	3
mehr	5637	-4.79	18	21	1129	200	20	17	17	1616	67	30	5	5	4
rebeet	5545	-6.93	4	4	802	277	11	10	6	2798	147	39	14	13	6
all	5511	-3.52	12	23	1324	129	43	43	43	859	186	62	62	62	3
tiet	5275	-4.86	14	16	897	70	31	20	20	2798	147	54	29	29	4
harrn	5264	-5.51	12	14	969	247	57	7	1	5370	223	14	3	1	5
historie	5141	-8.43	0	0	969	90	14	12	12	2095	187	35	10	4	8
johren	5131	-4.4	10	13	296	75	38	24	6	5370	3956	241	56	18	6
af	5096	-3.3	52	59	1324	229	229	229	229	151	16	16	16	16	2
arbeit	5088	-6.49	2	3	1324	132	14	14	14	2798	133	90	11	11	6
spraak	5053	-6.31	0	0	2050	181	40	12	9	538	33	22	12	11	6
blots	5039	-6.8	0	2	1551	90	30	2	1	1412	41	5	1	1	5
usa	4997	-6.54	10	12	514	6	1	1	1	583	22	2	2	2	3
naam	4973	-5.4	2	5	634	182	7	6	6	515	53	15	13	13	4
boren	4958	-4.53	30	36	1551	145	22	2	2	5370	3956	241	27	4	5
siet	4930	-4.54	26	30	2050	125	46	13	13	2798	147	54	10	10	4
wenn	4769	-5.47	20	23	836	253	13	3	3	5370	151	27	1	1	4
al	4762	-3.0	50	66	1324	129	129	129	129	859	155	155	155	155	2
ehr	4762	-4.01	18	32	732	38	16	16	16	1616	67	30	30	30	3
km²	4739	-5.28	2	4	1064	4	1	1	1	4	2	1	1	1	3
stand	4704	-4.42	4	8	2050	438	128	18	11	785	331	186	23	23	5
liggt	4660	-5.12	6	7	818	145	8	5	1	2798	136	39	9	2	5
buten	4581	-4.47	10	11	1551	152	28	20	14	5370	3956	744	16	1	5
sitt	4566	-4.53	24	27	2050	125	8	4	4	2798	182	30	6	6	4
stadt	4549	-4.51	10	11	2050	438	128	21	18	2798	90	34	28	28	5
wedder	4538	-5.43	8	9	836	253	18	14	14	1616	1169	104	15	4	6
em	4524	-3.56	56	65	732	33	33	33	33	515	66	66	66	66	2
snackt	4521	-6.51	2	4	2050	22	10	6	6	2798	155	45	10	5	6
twee	4511	-5.3	4	10	897	50	28	16	16	2095	67	2	1	1	4
grünnt	4358	-5.76	4	6	902	227	13	13	8	2798	234	50	7	3	6
aber	4350	-4.66	12	13	1324	24	5	2	2	1616	1169	26	3	3	4
universität	4334	-11.42	0	0	514	104	15	6	6	2798	30	27	24	3	11
deel	4170	-4.55	30	36	965	185	53	24	24	859	326	46	17	17	4
verwalten	4158	-7.71	0	0	829	468	410	22	13	5370	3956	744	25	8	9
film	4131	-4.27	0	3	894	124	42	36	36	515	32	17	17	17	4
sück	4111	-4.98	12	14	2050	107	2	1	1	538	142	16	1	1	4
her	4059	-3.32	34	49	969	265	61	61	61	1616	1169	47	47	47	3
warrn	4021	-5.41	22	25	836	183	42	5	1	5370	223	14	3	2	5
demografie	3866	-12.59	0	0	965	185	14	9	1	2095	187	7	7	7	10
nu	3853	-4.17	58	66	634	21	21	21	21	101	6	6	6	6	2
later	3790	-4.68	20	23	818	199	17	8	6	1616	1169	246	26	1	5
ansehn	3784	-6.33	6	7	1324	381	65	6	2	5370	133	19	13	3	6
eilannen	3721	-7.95	0	0	732	31	3	2	2	5370	3956	332	127	14	8
engelsch	3710	-8.34	0	0	732	106	23	13	8	691	554	303	16	5	8
eerst	3656	-5.31	0	5	732	106	37	14	14	2798	280	22	10	4	5
gruppen	3627	-5.39	2	3	902	227	35	3	3	5370	3956	146	40	14	7
stammt	3601	-6.1	2	3	2050	438	128	6	6	2798	65	31	3	2	6
bruukt	3584	-5.73	2	6	1551	192	31	11	7	2798	155	8	5	3	6
hele	3582	-4.96	22	24	969	265	34	4	4	2095	173	19	2	2	4
kopp	3575	-4.66	6	7	1064	247	14	8	8	342	44	6	2	2	4
je	3561	-3.66	42	48	296	53	53	53	53	2095	8	8	8	8	2
ene	3514	-4.7	16	28	732	106	8	8	8	2095	180	43	43	43	3
dollar	3503	-8.0	0	1	965	175	5	2	2	1616	76	2	1	1	6
ünnerscheedliche	3486	-11.73	0	0	135	73	71	71	70	2095	326	310	56	56	16
dorbi	3468	-6.44	6	6	965	175	68	3	2	197	16	6	3	1	5
veel	3441	-4.58	24	25	829	468	30	9	9	859	326	46	4	4	4
angeven	3438	-5.62	4	4	1324	381	35	17	1	5370	3956	161	94	28	7
eerste	3431	-5.85	0	5	732	106	37	14	14	2095	291	68	8	5	6
kommun	3419	-6.38	2	4	1064	247	60	29	15	5370	27	1	1	1	6
bundsstaat	3418	-10.34	0	0	1551	152	55	43	40	2798	124	63	5	5	10
witte	3417	-5.43	6	8	836	177	18	15	6	2095	291	29	6	1	5
keem	3407	-6.29	18	19	1064	85	12	3	3	515	66	10	4	4	4
höger	3368	-5.55	6	9	969	94	5	5	4	1616	1169	107	3	1	5
land	3346	-3.62	22	24	818	199	89	50	50	785	331	186	117	117	4
wo	3342	-4.21	44	50	836	94	94	94	94	333	2	2	2	2	2
deit	3332	-5.37	16	20	965	185	8	1	1	2798	133	90	1	1	4
indianers	3308	-9.3	0	0	490	293	47	20	9	1412	270	244	37	12	9
siene	3289	-6.11	16	19	2050	125	46	4	2	2095	180	43	4	1	5
swarte	3280	-5.93	2	5	2050	83	31	11	7	2095	291	28	5	1	6
asien	3276	-5.47	6	7	1324	43	3	1	1	5370	3956	140	14	6	5
sülven	3250	-4.42	4	8	2050	107	26	21	8	5370	3956	161	4	2	6
bachelor	3243	-9.44	0	0	1551	214	9	3	1	1616	114	5	1	1	8
torekent	3242	-7.78	0	0	897	269	43	3	1	2798	234	98	15	14	8
und	3227	-3.41	14	25	514	104	3	3	3	785	331	44	44	44	3
inwahnertall	3227	-11.42	0	0	490	293	18	11	6	859	186	62	18	2	12
tohuus	3212	-6.62	0	0	897	269	26	2	1	1412	200	26	22	1	6
highschool	3189	-11.43	0	0	969	90	8	6	1	859	59	26	15	15	10
inkamen	3183	-6.49	2	3	490	293	4	2	2	5370	3956	201	40	29	7
vöröllern	3181	-9.62	0	0	829	158	148	2	1	5370	223	138	8	8	9
vörfohren	3173	-7.14	0	0	829	158	148	4	1	5370	3956	241	56	18	9
latienamerika	3162	-14.52	0	0	818	199	17	7	6	583	28	19	12	6	13
armoot	3160	-6.96	0	0	1324	132	18	1	1	2798	66	42	3	2	6
gegen	3144	-4.45	26	28	902	337	21	18	18	5370	3956	399	74	4	5
afstammung	3142	-9.07	0	0	1324	229	70	18	4	782	270	122	3	3	10
inkamensgrenz	3141	-14.28	0	0	490	293	4	2	2	138	48	23	12	5	13
eersten	3132	-5.52	6	9	732	106	37	14	14	5370	3956	744	131	14	7
um	3054	-3.21	44	51	514	27	27	27	27	515	142	142	142	142	2
höört	3020	-4.71	8	11	969	94	54	10	1	2798	396	17	8	5	5
annern	2965	-4.9	14	17	1324	381	27	16	12	5370	223	138	22	22	6
the	2922	-3.33	12	17	897	88	50	50	50	2095	326	6	6	6	3
dree	2908	-5.07	8	11	965	131	31	8	8	2095	67	21	1	1	4
hefft	2904	-6.23	0	2	969	265	4	2	1	2798	86	22	1	1	5
mol	2876	-3.98	20	26	1129	148	13	13	13	859	59	17	17	17	3
wegen	2829	-3.84	26	31	836	253	15	4	3	5370	3956	399	74	9	5
hör	2797	-4.33	14	19	969	94	11	11	11	1616	34	2	2	2	3
düsse	2788	-5.91	2	3	965	57	8	3	3	2095	93	21	2	1	5
betekent	2786	-7.65	0	1	1551	512	37	11	4	2798	234	98	15	14	8
keen	2782	-4.88	34	42	1064	85	12	4	4	5370	3956	71	3	3	4
pazifik	2745	-8.43	0	0	837	171	3	3	3	538	100	2	1	1	7
kummt	2702	-5.21	4	5	1064	96	14	6	1	2798	65	31	6	6	5
of	2690	-4.39	36	42	513	18	18	18	18	151	6	6	6	6	2
a	2623	-4.3	0	36	1324	1324	1324	1324	1324	583	583	583	583	583	1
dormit	2622	-6.33	0	1	965	175	68	11	1	2798	133	7	1	1	6
er	2524	-2.92	52	66	732	85	85	85	85	1616	1169	1169	1169	1169	2
faken	2459	-4.49	14	18	894	126	9	5	5	5370	3956	310	50	1	5
oort	2456	-4.15	22	28	513	92	36	14	14	2798	396	52	21	21	4
geev	2456	-5.85	8	10	902	337	15	3	3	116	25	15	2	2	4
johrhunnert	2454	-9.45	0	0	296	75	38	24	4	2798	396	236	21	21	11
der	2395	-3.24	42	49	965	185	3	3	3	1616	1169	104	104	104	3
bispeel	2393	-7.96	2	3	1551	131	27	8	6	859	326	46	16	15	7
bet	2383	-3.53	28	39	1551	512	37	37	37	2798	147	3	3	3	3
bekannt	2324	-7.47	4	6	1551	512	24	16	16	2798	234	50	10	4	7
landkreis	2318	-9.16	0	0	818	199	89	50	3	1412	114	11	11	8	9
geiht	2296	-5.33	8	10	902	337	13	1	1	2798	263	24	24	9	5
düütschland	2278	-8.88	0	0	965	57	20	12	7	785	331	186	117	12	11
gemeen	2232	-5.66	0	3	902	337	28	24	22	5370	3956	71	8	6	6
speelt	2221	-5.77	4	7	2050	181	57	20	16	2798	209	71	20	6	6
januar	2216	-8.52	0	0	296	57	6	1	1	1616	76	2	1	1	6
enn	2208	-4.69	20	32	732	106	6	6	6	5370	151	27	27	27	3
groot	2198	-5.46	6	10	902	227	39	20	19	2798	66	42	8	2	5
lang	2195	-3.88	30	36	818	199	89	25	25	782	270	57	13	13	4
nee	2192	-4.62	30	41	634	173	36	36	36	2095	67	8	8	8	3
grote	2162	-5.61	10	15	902	227	39	8	2	2095	291	10	3	2	5
kregen	2150	-4.93	4	7	1064	144	35	1	1	5370	3956	399	74	14	6
b	2149	-4.3	0	19	1551	1551	1551	1551	1551	47	47	47	47	47	1
kamen	2115	-3.96	14	16	1064	211	22	9	1	5370	3956	201	40	29	5
allen	2097	-3.95	28	36	1324	129	43	21	4	5370	3956	320	141	29	5
wiel	2077	-4.29	30	32	836	177	59	5	5	859	326	18	2	2	4
geven	2066	-4.28	24	27	902	337	4	3	1	5370	3956	161	94	28	5
dorto	2064	-6.0	6	7	965	175	68	9	3	333	48	9	2	1	5
doot	2062	-4.64	32	33	965	175	28	5	5	2798	66	42	1	1	4
twüschen	2033	-6.45	0	1	897	50	5	5	5	5370	3956	271	236	172	8
düütsch	2004	-5.04	0	1	965	57	20	12	7	691	554	303	35	8	7
