word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
र	245656	-4.3	0	86	497	497	497	497	497	1051	1051	1051	1051	1051	1
क	220950	-4.3	0	90	334	334	334	334	334	985	985	985	985	985	1
न	189593	-4.3	0	83	303	303	303	303	303	744	744	744	744	744	1
ल	144629	-4.3	0	83	272	272	272	272	272	624	624	624	624	624	1
त	134380	-4.3	0	74	277	277	277	277	277	373	373	373	373	373	1
स	133972	-4.3	0	75	362	362	362	362	362	370	370	370	370	370	1
म	129955	-4.3	0	83	326	326	326	326	326	718	718	718	718	718	1
य	122093	-4.3	0	70	301	301	301	301	301	157	157	157	157	157	1
प	115371	-4.3	0	73	289	289	289	289	289	244	244	244	244	244	1
व	93889	-4.3	0	75	276	276	276	276	276	248	248	248	248	248	1
द	88640	-4.3	0	68	208	208	208	208	208	273	273	273	273	273	1
ह	72761	-4.3	0	60	192	192	192	192	192	203	203	203	203	203	1
ग	63510	-4.3	0	78	287	287	287	287	287	161	161	161	161	161	1
ज	60686	-4.3	0	67	309	309	309	309	309	132	132	132	132	132	1
छ	50292	-4.32	0	42	55	55	55	55	55	96	96	96	96	96	1
ट	50016	-4.3	0	68	164	164	164	164	164	186	186	186	186	186	1
ब	42561	-4.3	0	78	290	290	290	290	290	277	277	277	277	277	1
थ	41995	-4.31	0	45	78	78	78	78	78	63	63	63	63	63	1
श	40480	-4.3	0	65	148	148	148	148	148	131	131	131	131	131	1
गर	37476	-3.19	162	219	287	32	32	32	32	1051	54	54	54	54	2
ख	36584	-4.31	0	55	131	131	131	131	131	71	71	71	71	71	1
ष	35548	-4.31	0	50	114	114	114	114	114	39	39	39	39	39	1
भ	32594	-4.3	0	62	169	169	169	169	169	99	99	99	99	99	1
च	31081	-4.3	0	63	148	148	148	148	148	85	85	85	85	85	1
ध	29574	-4.31	0	48	114	114	114	114	114	85	85	85	85	85	1
ड	28602	-4.31	0	65	135	135	135	135	135	131	131	131	131	131	1
ई	28236	-4.31	0	46	105	105	105	105	105	36	36	36	36	36	1
एक	28213	-2.94	172	215	351	59	59	59	59	985	40	40	40	40	2
हर	18689	-2.84	144	208	192	36	36	36	36	1051	335	335	335	335	2
सम	18437	-2.8	154	221	362	57	57	57	57	718	98	98	98	98	2
रक	17529	-3.01	188	258	497	30	30	30	30	985	115	115	115	115	2
पन	14344	-3.45	152	200	289	14	14	14	14	744	31	31	31	31	2
ण	13682	-4.31	0	56	78	78	78	78	78	141	141	141	141	141	1
पर	13648	-3.01	152	214	289	45	45	45	45	1051	52	52	52	52	2
अन	13197	-3.14	158	206	318	31	31	31	31	744	29	29	29	29	2
यस	13034	-3.36	140	185	301	33	33	33	33	370	16	16	16	16	2
फ	13006	-4.31	0	51	72	72	72	72	72	80	80	80	80	80	1
वर	12715	-3.02	156	221	276	43	43	43	43	1051	60	60	60	60	2
छन	11852	-3.95	130	149	55	3	3	3	3	744	24	24	24	24	2
भन	11691	-3.54	146	184	169	7	7	7	7	744	43	43	43	43	2
the	10737	-4.39	10	17	605	127	46	46	46	1398	9	2	2	2	3
रम	10029	-2.98	168	241	497	40	40	40	40	718	79	79	79	79	2
रत	9676	-3.2	168	222	497	27	27	27	27	373	42	42	42	42	2
तर	9486	-2.99	148	212	277	55	55	55	55	1051	41	41	41	41	2
जन	9192	-3.11	146	196	309	75	75	75	75	744	27	27	27	27	2
सक	9159	-3.25	174	223	362	17	17	17	17	985	47	47	47	47	2
ए	8367	-4.3	0	50	351	351	351	351	351	42	42	42	42	42	1
नक	8254	-3.21	182	247	303	16	16	16	16	985	154	154	154	154	2
बन	8115	-3.28	166	212	290	31	31	31	31	744	19	19	19	19	2
रह	8115	-3.26	144	192	497	47	47	47	47	203	36	36	36	36	2
लक	7994	-3.22	182	243	272	19	19	19	19	985	72	72	72	72	2
यक	7961	-3.33	166	210	301	18	18	18	18	985	23	23	23	23	2
उन	7804	-3.65	152	184	237	28	28	28	28	744	10	10	10	10	2
उ	7720	-4.3	0	35	237	237	237	237	237	6	6	6	6	6	1
ठ	7330	-4.33	0	40	38	38	38	38	38	29	29	29	29	29	1
तथ	6836	-4.57	104	108	277	1	1	1	1	63	3	3	3	3	2
अध	6728	-4.07	116	125	318	3	3	3	3	85	6	6	6	6	2
भएक	6711	-4.22	64	70	169	21	2	2	2	985	40	4	4	4	3
सन	6704	-3.29	156	206	362	28	28	28	28	744	33	33	33	33	2
इन	6687	-3.19	156	202	242	30	30	30	30	744	25	25	25	25	2
of	6429	-3.93	34	39	288	19	19	19	19	69	7	7	7	7	2
मह	5990	-3.56	140	172	326	25	25	25	25	203	12	12	12	12	2
यसक	5927	-4.26	110	116	301	33	1	1	1	985	47	3	3	3	3
रस	5773	-3.2	162	225	497	31	31	31	31	370	42	42	42	42	2
आफ	5390	-4.34	130	137	353	2	2	2	2	80	3	3	3	3	2
मन	5329	-3.21	166	227	326	26	26	26	26	744	43	43	43	43	2
ङ	5318	-4.32	0	55	47	47	47	47	47	72	72	72	72	72	1
रण	5142	-3.42	142	186	497	30	30	30	30	141	36	36	36	36	2
पम	5031	-3.97	150	174	289	3	3	3	3	718	17	17	17	17	2
मक	4924	-3.24	184	237	326	20	20	20	20	985	47	47	47	47	2
पत	4891	-3.31	150	191	289	17	17	17	17	373	42	42	42	42	2
पछ	4843	-4.32	104	123	289	1	1	1	1	96	45	45	45	45	2
ञ	4798	-4.35	0	33	21	21	21	21	21	48	48	48	48	48	1
उत	4618	-3.98	150	162	237	11	11	11	11	373	3	3	3	3	2
कम	4547	-3.18	158	207	334	31	31	31	31	718	35	35	35	35	2
अर	4406	-3.81	158	188	318	18	18	18	18	1051	5	5	5	5	2
घ	4277	-4.31	0	43	78	78	78	78	78	35	35	35	35	35	1
मध	4219	-3.93	124	140	326	3	3	3	3	85	21	21	21	21	2
यम	4174	-3.21	146	190	301	32	32	32	32	718	23	23	23	23	2
कल	4157	-3.06	160	220	334	36	36	36	36	624	49	49	49	49	2
पह	4120	-3.8	126	143	289	14	14	14	14	203	7	7	7	7	2
शक	4048	-3.55	156	187	148	13	13	13	13	985	21	21	21	21	2
लम	3922	-3.4	162	213	272	13	13	13	13	718	53	53	53	53	2
उनक	3852	-3.64	128	142	237	28	1	1	1	985	154	13	13	13	3
वत	3845	-3.5	154	190	276	16	16	16	16	373	18	18	18	18	2
जस	3761	-3.32	138	173	309	18	18	18	18	370	24	24	24	24	2
कर	3750	-3.02	160	237	334	42	42	42	42	1051	66	66	66	66	2
अवस	3663	-3.82	72	76	318	33	7	7	7	370	17	1	1	1	3
in	3661	-3.02	50	65	509	286	286	286	286	989	102	102	102	102	2
दछ	3630	-4.04	96	103	208	5	5	5	5	96	5	5	5	5	2
सब	3598	-3.51	144	172	362	13	13	13	13	277	16	16	16	16	2
a	3568	-4.3	0	34	903	903	903	903	903	584	584	584	584	584	1
सर	3557	-3.2	156	209	362	36	36	36	36	1051	33	33	33	33	2
इ	3515	-4.3	0	41	242	242	242	242	242	13	13	13	13	13	1
यन	3507	-3.43	148	190	301	20	20	20	20	744	27	27	27	27	2
to	3411	-3.58	50	61	605	58	58	58	58	198	33	33	33	33	2
नम	3322	-3.3	162	219	303	13	13	13	13	718	83	83	83	83	2
रय	3293	-3.57	160	189	497	12	12	12	12	157	11	11	11	11	2
वक	3291	-3.45	174	216	276	14	14	14	14	985	22	22	22	22	2
एउट	3231	-4.99	18	20	351	3	1	1	1	186	7	1	1	1	3
अम	3210	-4.09	156	174	318	15	15	15	15	718	2	2	2	2	2
यसल	3204	-4.79	102	106	301	33	1	1	1	624	30	1	1	1	3
झ	3193	-4.32	0	29	42	42	42	42	42	16	16	16	16	16	1
यत	3145	-3.58	146	176	301	16	16	16	16	373	12	12	12	12	2
तक	3119	-3.28	166	212	277	18	18	18	18	985	37	37	37	37	2
यह	3092	-5.13	122	132	301	2	2	2	2	203	1	1	1	1	2
वन	3071	-3.15	156	209	276	38	38	38	38	744	35	35	35	35	2
बर	3066	-3.13	166	218	290	35	35	35	35	1051	40	40	40	40	2
टर	3016	-3.33	148	194	164	31	31	31	31	1051	20	20	20	20	2
चल	3013	-3.62	144	171	148	18	18	18	18	624	11	11	11	11	2
लय	2959	-3.62	154	176	272	18	18	18	18	157	10	10	10	10	2
दर	2940	-3.32	144	188	208	27	27	27	27	1051	26	26	26	26	2
भय	2893	-3.94	136	150	169	11	11	11	11	157	5	5	5	5	2
उनल	2827	-4.46	106	110	237	28	1	1	1	624	63	2	2	2	3
उपन	2810	-3.78	92	98	237	49	6	6	6	744	31	2	2	2	3
आध	2766	-4.45	120	125	353	2	2	2	2	85	2	2	2	2	2
and	2765	-3.82	12	19	903	119	15	15	15	1086	82	32	32	32	3
रहर	2698	-3.19	148	192	497	47	5	5	5	1051	335	49	49	49	3
दक	2668	-3.53	162	195	208	11	11	11	11	985	17	17	17	17	2
मल	2663	-3.27	166	218	326	21	21	21	21	624	36	36	36	36	2
अत	2648	-4.16	156	165	318	4	4	4	4	373	3	3	3	3	2
गत	2643	-3.57	160	194	287	13	13	13	13	373	24	24	24	24	2
रद	2624	-3.42	160	201	497	15	15	15	15	273	28	28	28	28	2
अस	2623	-4.35	150	174	318	33	33	33	33	370	1	1	1	1	2
रतक	2590	-4.46	112	119	497	27	2	2	2	985	37	3	3	3	3
वव	2540	-4.18	148	161	276	6	6	6	6	248	3	3	3	3	2
पक	2487	-3.4	170	209	289	17	17	17	17	985	23	23	23	23	2
रव	2445	-3.33	162	211	497	23	23	23	23	248	30	30	30	30	2
चर	2437	-3.29	144	179	148	24	24	24	24	1051	26	26	26	26	2
पश	2436	-3.86	142	156	289	5	5	5	5	131	12	12	12	12	2
लग	2427	-3.32	156	188	272	23	23	23	23	161	25	25	25	25	2
is	2348	-3.79	64	73	509	26	26	26	26	2234	88	88	88	88	2
लन	2304	-3.32	164	222	272	23	23	23	23	744	32	32	32	32	2
ईस	2295	-4.03	144	159	105	6	6	6	6	370	5	5	5	5	2
धन	2289	-3.7	136	162	114	25	25	25	25	744	6	6	6	6	2
आद	2270	-4.42	152	164	353	8	8	8	8	273	1	1	1	1	2
ढ	2239	-4.35	0	30	22	22	22	22	22	51	51	51	51	51	1
अ	2210	-4.3	0	36	318	318	318	318	318	5	5	5	5	5	1
तम	2208	-3.27	146	194	277	17	17	17	17	718	42	42	42	42	2
गल	2205	-3.36	162	199	287	26	26	26	26	624	17	17	17	17	2
पल	2164	-3.34	152	193	289	21	21	21	21	624	20	20	20	20	2
गक	2107	-3.99	180	201	287	4	4	4	4	985	6	6	6	6	2
नल	2099	-3.47	164	218	303	9	9	9	9	624	63	63	63	63	2
कन	2078	-3.21	160	212	334	23	23	23	23	744	33	33	33	33	2
एर	2055	-3.57	154	190	351	9	9	9	9	1051	23	23	23	23	2
चन	2029	-3.41	144	178	148	15	15	15	15	744	30	30	30	30	2
शन	1984	-3.64	138	164	148	16	16	16	16	744	9	9	9	9	2
षण	1982	-4.12	110	126	114	16	16	16	16	141	2	2	2	2	2
बस	1945	-3.5	158	186	290	15	15	15	15	370	15	15	15	15	2
धर	1932	-3.45	136	167	114	14	14	14	14	1051	20	20	20	20	2
रल	1868	-3.37	170	224	497	12	12	12	12	624	59	59	59	59	2
गम	1807	-3.54	160	190	287	20	20	20	20	718	13	13	13	13	2
बढ	1804	-3.84	102	112	290	15	15	15	15	51	4	4	4	4	2
सल	1803	-3.46	156	201	362	12	12	12	12	624	30	30	30	30	2
आर	1789	-3.54	162	194	353	31	31	31	31	1051	9	9	9	9	2
उद	1789	-3.71	142	159	237	20	20	20	20	273	6	6	6	6	2
उच	1774	-4.85	132	135	237	1	1	1	1	85	1	1	1	1	2
इल	1774	-3.94	156	185	242	15	15	15	15	624	3	3	3	3	2
सरक	1769	-4.06	114	125	362	36	2	2	2	985	115	6	6	6	3
दछन	1736	-4.37	48	52	208	5	1	1	1	744	24	3	3	3	3
पद	1734	-3.45	142	170	289	24	24	24	24	273	12	12	12	12	2
वल	1713	-3.41	156	195	276	17	17	17	17	624	25	25	25	25	2
बज	1689	-3.72	152	166	290	8	8	8	8	132	9	9	9	9	2
वस	1664	-3.63	148	175	276	11	11	11	11	370	17	17	17	17	2
खर	1650	-3.48	138	175	131	21	21	21	21	1051	13	13	13	13	2
सहर	1643	-3.33	138	169	362	44	8	8	8	1051	335	17	17	17	3
अभ	1612	-4.28	134	143	318	4	4	4	4	99	2	2	2	2	2
जर	1609	-3.67	146	187	309	13	13	13	13	1051	13	13	13	13	2
रभ	1585	-3.85	146	164	497	6	6	6	6	99	13	13	13	13	2
कक	1571	-3.46	178	227	334	9	9	9	9	985	49	49	49	49	2
मस	1560	-3.59	158	189	326	12	12	12	12	370	19	19	19	19	2
जम	1557	-3.44	144	175	309	20	20	20	20	718	14	14	14	14	2
नद	1557	-3.7	154	194	303	5	5	5	5	273	38	38	38	38	2
षक	1551	-4.43	156	172	114	11	11	11	11	985	1	1	1	1	2
वम	1535	-3.78	154	180	276	6	6	6	6	718	12	12	12	12	2
डर	1529	-3.55	144	181	135	22	22	22	22	1051	11	11	11	11	2
पस	1524	-3.66	144	169	289	14	14	14	14	370	11	11	11	11	2
डक	1523	-3.73	162	193	135	8	8	8	8	985	20	20	20	20	2
नहर	1514	-3.54	122	156	303	10	4	4	4	1051	335	44	44	44	3
आय	1514	-3.91	152	166	353	22	22	22	22	157	3	3	3	3	2
सह	1513	-3.34	130	169	362	44	44	44	44	203	19	19	19	19	2
टक	1511	-3.5	166	200	164	14	14	14	14	985	35	35	35	35	2
अफ	1506	-4.42	126	139	318	8	8	8	8	80	1	1	1	1	2
जनस	1492	-3.91	84	94	309	75	11	11	11	370	29	1	1	1	3
कथ	1485	-3.59	116	129	334	12	12	12	12	63	11	11	11	11	2
तन	1483	-3.29	148	194	277	21	21	21	21	744	34	34	34	34	2
हक	1479	-3.65	162	190	192	10	10	10	10	985	14	14	14	14	2
एव	1474	-4.11	146	156	351	3	3	3	3	248	5	5	5	5	2
अञ	1459	-4.85	100	102	318	1	1	1	1	48	1	1	1	1	2
नय	1458	-3.69	154	176	303	10	10	10	10	157	10	10	10	10	2
as	1444	-3.25	70	85	903	72	72	72	72	2234	69	69	69	69	2
मर	1443	-3.29	166	218	326	30	30	30	30	1051	28	28	28	28	2
मद	1440	-3.48	156	186	326	26	26	26	26	273	12	12	12	12	2
यर	1437	-3.43	148	196	301	25	25	25	25	1051	18	18	18	18	2
br	1421	-4.02	42	49	541	67	67	67	67	627	3	3	3	3	2
बह	1414	-3.23	140	172	290	19	19	19	19	203	40	40	40	40	2
षहर	1400	-4.54	94	104	114	2	1	1	1	1051	335	2	2	2	3
जसक	1380	-4.87	92	96	309	18	1	1	1	985	47	1	1	1	3
इट	1376	-3.98	142	164	242	16	16	16	16	186	3	3	3	3	2
जसल	1371	-4.93	80	83	309	18	1	1	1	624	30	1	1	1	3
भए	1348	-4.21	90	101	169	21	21	21	21	42	2	2	2	2	2
एन	1340	-3.42	154	189	351	35	35	35	35	744	14	14	14	14	2
यहर	1340	-4.22	104	122	301	2	1	1	1	1051	335	10	10	10	3
जब	1318	-3.87	134	154	309	16	16	16	16	277	4	4	4	4	2
तल	1312	-3.32	148	185	277	19	19	19	19	624	25	25	25	25	2
अग	1307	-4.15	150	164	318	9	9	9	9	161	2	2	2	2	2
समय	1296	-3.9	66	80	362	57	17	17	17	157	19	3	3	3	3
महत	1290	-4.64	74	79	326	25	2	2	2	373	12	1	1	1	3
रन	1286	-3.34	170	228	497	14	14	14	14	744	45	45	45	45	2
नर	1277	-3.37	164	216	303	30	30	30	30	1051	19	19	19	19	2
शब	1275	-3.93	126	140	148	6	6	6	6	277	5	5	5	5	2
आ	1269	-4.3	0	37	353	353	353	353	353	4	4	4	4	4	1
रश	1240	-3.75	160	180	497	11	11	11	11	131	7	7	7	7	2
यद	1228	-3.8	138	158	301	7	7	7	7	273	9	9	9	9	2
सदस	1228	-4.64	52	57	362	20	2	2	2	370	12	1	1	1	3
are	1219	-4.48	16	24	903	82	4	4	4	1398	139	20	20	20	3
दन	1217	-3.62	144	178	208	14	14	14	14	744	16	16	16	16	2
जक	1203	-3.59	164	198	309	11	11	11	11	985	14	14	14	14	2
सभ	1201	-4.09	132	146	362	3	3	3	3	99	8	8	8	8	2
जनगणन	1201	-6.34	0	2	309	75	8	2	1	744	8	4	1	1	5
नत	1199	-3.73	162	188	303	9	9	9	9	373	15	15	15	15	2
यवस	1198	-4.73	64	69	301	12	1	1	1	370	17	2	2	2	3
तत	1198	-3.76	146	173	277	6	6	6	6	373	12	12	12	12	2
ठम	1195	-4.48	130	140	38	2	2	2	2	718	3	3	3	3	2
शत	1184	-3.73	136	156	148	13	13	13	13	373	6	6	6	6	2
दल	1183	-3.49	144	180	208	18	18	18	18	624	18	18	18	18	2
बल	1182	-3.38	166	212	290	21	21	21	21	624	25	25	25	25	2
करण	1182	-4.01	82	96	334	42	12	12	12	141	36	5	5	5	3
सत	1176	-3.49	154	182	362	22	22	22	22	373	13	13	13	13	2
कव	1168	-3.67	152	175	334	12	12	12	12	248	11	11	11	11	2
बत	1163	-4.03	164	188	290	11	11	11	11	373	3	3	3	3	2
अङ	1163	-4.66	122	128	318	2	2	2	2	72	1	1	1	1	2
यल	1162	-3.43	148	187	301	16	16	16	16	624	23	23	23	23	2
अक	1160	-3.95	176	197	318	14	14	14	14	985	3	3	3	3	2
अल	1160	-4.36	158	186	318	24	24	24	24	624	1	1	1	1	2
