word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
य	812930	-4.3	0	75	222	222	222	222	222	440	440	440	440	440	1
थ	728545	-4.32	0	43	63	63	63	63	63	70	70	70	70	70	1
व	642094	-4.3	0	79	270	270	270	270	270	295	295	295	295	295	1
ग	555030	-4.3	0	78	276	276	276	276	276	271	271	271	271	271	1
न	548911	-4.3	0	84	302	302	302	302	302	558	558	558	558	558	1
ल	523176	-4.3	0	80	264	264	264	264	264	505	505	505	505	505	1
र	433853	-4.3	0	85	391	391	391	391	391	748	748	748	748	748	1
क	412549	-4.3	0	90	364	364	364	364	364	384	384	384	384	384	1
स	412122	-4.3	0	81	289	289	289	289	289	308	308	308	308	308	1
ज	368431	-4.3	0	63	260	260	260	260	260	102	102	102	102	102	1
त	360807	-4.3	0	85	227	227	227	227	227	365	365	365	365	365	1
प	360134	-4.3	0	81	297	297	297	297	297	394	394	394	394	394	1
द	328201	-4.3	0	70	216	216	216	216	216	229	229	229	229	229	1
म	312202	-4.3	0	86	405	405	405	405	405	394	394	394	394	394	1
भ	304738	-4.31	0	58	148	148	148	148	148	110	110	110	110	110	1
ह	152202	-4.31	0	61	166	166	166	166	166	165	165	165	165	165	1
ड	147116	-4.31	0	69	140	140	140	140	140	230	230	230	230	230	1
ष	141389	-4.32	0	43	73	73	73	73	73	19	19	19	19	19	1
ख	138619	-4.31	0	54	108	108	108	108	108	119	119	119	119	119	1
ब	129248	-4.3	0	72	332	332	332	332	332	149	149	149	149	149	1
च	111212	-4.3	0	69	179	179	179	179	179	135	135	135	135	135	1
ध	93971	-4.31	0	50	112	112	112	112	112	72	72	72	72	72	1
वर	92640	-2.99	164	234	270	52	52	52	52	748	58	58	58	58	2
ट	91517	-4.31	0	67	136	136	136	136	136	198	198	198	198	198	1
कथ	72543	-3.82	122	139	364	5	5	5	5	70	15	15	15	15	2
इ	71031	-4.31	0	43	171	171	171	171	171	18	18	18	18	18	1
छ	67255	-4.33	0	45	45	45	45	45	45	48	48	48	48	48	1
श	65670	-4.31	0	56	109	109	109	109	109	87	87	87	87	87	1
वय	63328	-3.69	154	184	270	13	13	13	13	440	8	8	8	8	2
तर	61770	-3.15	162	222	227	31	31	31	31	748	39	39	39	39	2
यय	60905	-3.92	148	167	222	4	4	4	4	440	10	10	10	10	2
सन	57052	-3.21	164	219	289	30	30	30	30	558	37	37	37	37	2
वन	55433	-3.26	168	222	270	28	28	28	28	558	32	32	32	32	2
सय	54697	-3.83	150	177	289	4	4	4	4	440	24	24	24	24	2
छग	53374	-4.96	130	132	45	1	1	1	1	271	1	1	1	1	2
उत	52682	-4.44	172	182	186	9	9	9	9	365	1	1	1	1	2
खन	52158	-3.81	144	159	108	9	9	9	9	558	10	10	10	10	2
लय	51400	-3.6	150	190	264	8	8	8	8	440	39	39	39	39	2
मण	47479	-3.53	148	173	405	13	13	13	13	126	18	18	18	18	2
तक	47005	-3.4	170	206	227	20	20	20	20	384	17	17	17	17	2
रतय	45694	-4.27	98	107	391	26	1	1	1	440	58	5	5	5	3
बर	40600	-3.04	168	228	332	57	57	57	57	748	34	34	34	34	2
थन	40333	-3.9	136	152	63	6	6	6	6	558	9	9	9	9	2
धर	39826	-3.43	142	174	112	23	23	23	23	748	19	19	19	19	2
रभ	37834	-3.63	140	166	391	9	9	9	9	110	20	20	20	20	2
आद	36126	-4.53	154	165	194	5	5	5	5	229	1	1	1	1	2
खण	35694	-4.43	116	123	108	1	1	1	1	126	10	10	10	10	2
रय	32290	-3.71	158	199	391	5	5	5	5	440	43	43	43	43	2
उ	32178	-4.3	0	38	186	186	186	186	186	4	4	4	4	4	1
गढव	31774	-5.11	32	36	276	15	2	2	2	295	4	1	1	1	3
पय	31067	-3.79	156	179	297	8	8	8	8	440	8	8	8	8	2
नय	29592	-3.44	152	197	302	10	10	10	10	440	44	44	44	44	2
मध	28399	-3.87	126	139	405	6	6	6	6	72	7	7	7	7	2
अ	27431	-4.3	0	39	368	368	368	368	368	5	5	5	5	5	1
पह	26476	-3.81	136	155	297	13	13	13	13	165	8	8	8	8	2
