word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
de	14027491	-2.53	64	79	926	194	194	194	194	3787	715	715	715	715	2
van	7124377	-3.78	48	52	1456	120	19	19	19	4038	257	9	9	9	3
in	6091879	-3.0	52	76	471	296	296	296	296	4038	141	141	141	141	2
het	5723773	-4.38	46	53	856	246	7	7	7	1797	133	2	2	2	3
een	4973864	-3.6	36	51	644	56	26	26	26	4038	3166	56	56	56	3
en	4260035	-2.71	52	74	644	63	63	63	63	4038	3166	3166	3166	3166	2
is	3582989	-3.49	58	74	471	33	33	33	33	2013	220	220	220	220	2
voor	1954050	-3.72	12	14	1456	298	148	146	146	1205	116	32	6	6	4
op	1739881	-2.96	54	61	997	216	216	216	216	255	55	55	55	55	2
door	1687718	-4.17	20	23	926	179	45	34	34	1205	116	32	9	9	4
uit	1482594	-3.31	22	27	252	166	163	163	163	1797	107	23	23	23	3
zijn	1436752	-4.71	14	17	370	50	13	3	3	4038	43	43	6	6	4
met	1386368	-3.92	40	48	1085	217	29	29	29	1797	133	4	4	4	3
hij	1324290	-4.91	24	26	856	72	2	2	2	67	58	1	1	1	3
werd	1286923	-3.96	10	10	636	210	66	3	3	1316	293	178	1	1	4
te	1109680	-2.74	56	66	910	217	217	217	217	3787	393	393	393	393	2
die	981261	-3.39	26	34	926	175	48	48	48	3787	431	12	12	12	3
was	929874	-4.38	40	44	636	162	4	4	4	2013	83	3	3	3	3
als	904542	-3.96	18	22	1279	141	5	5	5	2013	105	17	17	17	3
aan	902512	-3.45	50	59	1279	206	173	173	173	4038	257	96	96	96	3
dat	886723	-4.36	48	52	926	142	11	11	11	1797	124	8	8	8	3
naam	848602	-5.1	6	7	500	149	20	7	7	365	95	27	17	17	4
familie	817013	-7.69	0	1	468	73	8	7	7	3787	431	24	6	5	7
soort	811363	-4.65	12	13	1583	95	7	7	7	1797	216	85	54	40	5
eerst	806772	-5.52	4	7	644	56	16	6	6	1797	265	22	9	5	5
tot	784212	-4.53	32	35	910	177	8	8	8	1797	61	1	1	1	3
wetenschappelijke	707888	-13.54	0	0	636	210	19	8	7	3787	176	107	107	99	17
gepubliceerd	707312	-11.32	0	0	1322	809	21	2	2	1316	293	178	127	12	12
geldig	698606	-5.71	0	1	1322	809	75	13	3	1056	144	45	7	3	6
ook	684138	-5.0	14	20	997	50	1	1	1	585	26	10	10	10	3
bij	650586	-4.21	28	33	1628	112	38	38	38	67	58	10	10	10	3
deze	558442	-6.12	2	4	926	194	3	3	3	3787	33	3	1	1	4
naar	527140	-4.46	14	17	500	149	20	5	5	1205	151	102	24	24	4
er	520785	-3.17	66	84	644	78	78	78	78	1205	784	784	784	784	2
om	507944	-3.45	46	57	997	64	64	64	64	365	65	65	65	65	2
wordt	494078	-6.42	0	1	636	81	17	4	1	1797	58	3	3	1	5
of	464448	-3.79	40	45	997	17	17	17	17	189	32	32	32	32	2
ze	463870	-3.34	48	57	370	96	96	96	96	3787	33	33	33	33	2
niet	455157	-5.27	10	12	500	75	20	4	4	1797	133	22	3	3	4
maar	406040	-4.21	28	31	1085	347	35	5	5	1205	151	102	3	3	4
worden	402701	-5.22	12	15	636	81	17	4	2	4038	3166	444	61	19	6
plaats	377773	-5.99	0	3	996	115	78	22	22	2013	93	23	20	19	6
dit	373703	-4.41	30	32	926	175	3	3	3	1797	107	1	1	1	3
heeft	352210	-5.68	8	9	856	246	21	1	1	1797	52	13	8	1	5
zich	340314	-5.14	2	4	370	50	5	5	5	246	156	14	1	1	4
onder	338464	-4.24	8	11	997	304	108	102	102	1205	784	115	37	9	5
na	319087	-2.88	64	79	500	149	149	149	149	887	116	116	116	116	2
inwoners	319001	-9.06	0	1	471	296	6	4	4	2013	338	278	11	2	8
eerste	304165	-5.96	0	3	644	56	16	6	6	3787	393	91	13	9	6
over	277339	-3.24	8	15	997	127	122	121	121	1205	784	42	11	11	4
haar	264535	-4.53	24	26	856	194	22	5	5	1205	151	102	1	1	4
s	259087	-4.3	0	31	1583	1583	1583	1583	1583	2013	2013	2013	2013	2013	1
gemeente	255112	-7.75	0	0	1322	809	41	24	16	3787	393	40	17	5	8
