word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
w	8189585	-4.3	0	15	1625	1625	1625	1625	1625	718	718	718	718	718	1
i	3170790	-4.3	0	31	316	316	316	316	316	1650	1650	1650	1650	1650	1
na	2567552	-2.17	52	64	804	441	441	441	441	2959	444	444	444	444	2
z	2499119	-4.3	0	11	1298	1298	1298	1298	1298	168	168	168	168	168	1
do	1839701	-3.48	58	66	976	301	301	301	301	1339	15	15	15	15	2
się	1750659	-4.03	12	14	1722	102	6	6	6	383	47	1	1	1	3
roku	1083212	-4.69	10	12	956	323	3	1	1	984	128	17	6	6	4
jest	813803	-5.98	8	9	309	93	10	4	4	337	38	11	1	1	4
a	785230	-4.3	0	34	663	663	663	663	663	2959	2959	2959	2959	2959	1
od	721748	-3.88	40	46	1185	232	232	232	232	218	12	12	12	12	2
przez	683136	-5.11	2	2	2739	927	551	362	11	168	13	2	2	2	5
po	613472	-3.75	54	64	2739	1050	1050	1050	1050	1339	5	5	5	5	2
oraz	536259	-6.17	2	5	1185	88	2	1	1	168	21	10	2	2	4
o	512244	-4.3	0	25	1185	1185	1185	1185	1185	1339	1339	1339	1339	1339	1
nie	496754	-2.94	14	21	804	197	141	141	141	2572	1133	544	544	544	3
był	436602	-3.95	8	14	732	35	12	12	12	622	68	5	5	5	3
został	432529	-6.23	6	9	1298	40	14	14	14	622	326	14	13	4	6
to	419228	-3.6	56	68	737	81	81	81	81	1339	47	47	47	47	2
jego	377053	-4.91	2	3	309	93	1	1	1	1339	620	604	2	2	4
r	355311	-4.3	0	24	956	956	956	956	956	289	289	289	289	289	1
jako	354681	-5.46	6	8	309	112	29	5	5	1339	62	3	2	2	4
latach	320014	-6.73	4	4	514	45	8	4	1	1076	1039	294	28	3	6
pod	313668	-4.03	16	20	2739	1050	193	193	193	218	12	2	2	2	3
m	302696	-4.3	0	32	1009	1009	1009	1009	1009	1141	1141	1141	1141	1141	1
za	291518	-2.38	46	52	1298	616	616	616	616	2959	157	157	157	157	2
że	288788	-3.95	34	35	92	14	14	14	14	2572	20	20	20	20	2
tym	274246	-3.98	14	16	737	77	10	10	10	1141	322	19	19	19	3
dla	273249	-5.3	4	7	976	3	3	3	3	2959	79	4	4	4	3
także	246217	-6.89	4	5	737	92	17	1	1	2572	20	2	2	1	5
są	243150	-3.9	40	43	1722	20	20	20	20	765	3	3	3	3	2
ze	233007	-3.55	44	48	1298	54	54	54	54	2572	150	150	150	150	2
ur	223229	-3.85	52	61	552	48	48	48	48	289	21	21	21	21	2
jak	204619	-4.68	16	23	309	112	29	29	29	310	19	1	1	1	3
który	200460	-6.9	6	8	1249	13	11	11	4	1781	119	4	1	1	5
