word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
a	301596	-4.3	0	39	1965	1965	1965	1965	1965	3838	3838	3838	3838	3838	1
ëd	170673	-4.38	22	25	92	8	8	8	8	408	2	2	2	2	2
l	146182	-4.3	0	24	805	805	805	805	805	754	754	754	754	754	1
na	110208	-2.84	62	77	489	93	93	93	93	3838	333	333	333	333	2
é	95042	-4.31	0	8	45	45	45	45	45	367	367	367	367	367	1
ël	87210	-4.51	28	32	92	1	1	1	1	754	5	5	5	5	2
con	78783	-2.44	46	53	2277	746	248	248	248	2149	840	12	12	12	3
la	77441	-2.5	60	80	805	231	231	231	231	3838	317	317	317	317	2
ant	74731	-3.07	32	43	1965	443	128	128	128	1032	371	88	88	88	3
dël	71506	-4.56	10	13	892	56	1	1	1	754	5	1	1	1	3
km²	60819	-5.07	0	1	191	2	1	1	1	1	1	1	1	1	3
për	50008	-4.57	10	13	1670	47	43	43	43	712	2	1	1	1	3
e	48021	-4.3	0	29	525	525	525	525	525	2399	2399	2399	2399	2399	1
comun	44420	-5.34	0	2	2277	746	141	14	12	2149	40	2	1	1	5
abitant	42341	-7.37	0	0	1965	47	11	4	2	1032	371	88	22	2	7
an	40387	-2.47	62	93	1965	443	443	443	443	2149	394	394	394	394	2
region	35250	-5.48	2	3	860	197	29	15	4	2149	840	450	6	3	6
densità	33218	-6.59	0	0	892	177	15	1	1	797	199	99	15	2	7
ab	31682	-4.44	44	52	1965	47	47	47	47	32	3	3	3	3	2
censiment	31176	-8.2	0	0	2277	110	24	6	2	1032	371	224	120	33	9
fransèisa	30703	-8.73	0	0	915	147	68	37	6	3838	364	59	43	2	9
dipartiment	30592	-9.75	0	0	892	242	16	1	1	1032	371	224	120	33	11
surfassa	30125	-8.7	0	0	1869	115	20	2	2	3838	364	92	18	2	8
scond	29672	-5.25	4	8	1869	157	23	6	6	408	163	22	4	2	5
aministrativa	29645	-11.58	0	0	1965	149	17	7	7	3838	155	43	26	13	13
së	26991	-4.46	48	55	1869	24	24	24	24	12	1	1	1	1	2
stend	26660	-5.42	0	2	1869	204	31	1	1	408	163	40	10	3	5
d	26005	-4.3	0	20	892	892	892	892	892	408	408	408	408	408	1
dla	25704	-5.25	22	26	892	8	1	1	1	3838	317	1	1	1	3
lenga	18246	-6.35	6	8	805	140	23	12	4	3838	65	25	7	2	5
da	15262	-2.7	58	79	892	112	112	112	112	3838	159	159	159	159	2
parlà	14575	-6.02	6	7	1670	371	128	13	1	797	51	1	1	1	5
le	13842	-2.67	60	77	805	140	140	140	140	2399	318	318	318	318	2
pì	13626	-4.65	46	47	1670	1	1	1	1	110	8	8	8	8	2
un	13513	-3.45	38	53	180	48	48	48	48	2149	40	40	40	40	2
br	13063	-4.25	54	62	1273	174	174	174	174	712	2	2	2	2	2
che	11311	-2.97	6	12	2277	265	39	39	39	2399	169	141	141	141	3
as	10962	-3.41	64	86	1965	95	95	95	95	1514	100	100	100	100	2
n	10914	-4.3	0	27	489	489	489	489	489	2149	2149	2149	2149	2149	1
iso	10907	-4.78	12	18	342	59	10	10	10	1984	86	6	6	6	3
ha	10846	-3.74	42	54	272	79	79	79	79	3838	17	17	17	17	2
dj	10697	-4.6	30	39	892	6	6	6	6	281	1	1	1	1	2
al	10678	-2.68	58	76	1965	196	196	196	196	754	285	285	285	285	2
ch	10582	-2.4	44	48	2277	265	265	265	265	477	378	378	378	378	2
o	9931	-4.3	0	27	440	440	440	440	440	1984	1984	1984	1984	1984	1
fé	9708	-3.97	38	43	915	5	5	5	5	367	6	6	6	6	2
dl	9440	-4.22	42	52	892	8	8	8	8	754	3	3	3	3	2
në	9404	-5.14	34	36	489	1	1	1	1	12	1	1	1	1	2
fa	9283	-3.23	60	72	915	161	161	161	161	3838	17	17	17	17	2
classificassion	9174	-11.6	0	0	2277	62	28	10	10	2149	840	450	402	346	15
part	9079	-3.94	24	32	1670	371	128	38	38	1032	123	13	3	3	4
veul	9075	-5.66	8	10	792	162	7	2	2	754	37	20	1	1	4
arferiment	8926	-9.56	0	0	1965	423	20	4	4	1032	371	224	120	33	10
chi	8913	-3.81	10	14	2277	265	53	53	53	1027	24	18	18	18	3
arserche	8895	-8.04	0	0	1965	423	34	11	5	2399	169	141	8	3	8
ancreuse	8784	-9.28	0	1	1965	443	44	5	4	2399	349	16	7	3	8
peul	8778	-5.45	18	23	1670	207	12	4	4	754	37	20	1	1	4
bibliogràfich	8767	-14.24	0	0	1273	119	8	3	3	477	378	200	15	8	13
ij	8548	-4.89	38	43	342	1	1	1	1	281	23	23	23	23	2
esse	8502	-4.13	6	15	525	112	13	8	8	2399	349	180	50	50	4
pais	8435	-5.08	18	20	1670	371	7	4	4	1514	271	29	1	1	4
saint	8380	-6.16	2	6	1869	321	9	6	5	1032	371	8	1	1	5
lenghe	8351	-6.69	6	6	805	140	23	12	5	2399	169	14	7	4	6
popolassion	8199	-8.25	0	0	1670	281	16	10	9	2149	840	450	402	346	11
dle	7900	-4.91	22	26	892	8	1	1	1	2399	318	1	1	1	3
j	7633	-4.3	0	10	123	123	123	123	123	281	281	281	281	281	1
dij	7350	-4.85	24	28	892	242	3	3	3	281	23	1	1	1	3
schema	7316	-6.44	0	0	1869	157	52	4	1	3838	127	15	1	1	6
www	7299	-5.5	0	0	165	1	1	1	1	18	1	1	1	1	3
http	7291	-8.42	0	0	272	2	1	1	1	67	1	1	1	1	4
provincia	7258	-8.51	0	0	1670	334	136	25	12	3838	503	36	4	1	9
asp	7247	-5.84	10	13	1965	95	6	6	6	67	5	2	2	2	3
org	7246	-4.15	14	15	440	122	18	18	18	183	61	3	3	3	3
