word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
اے	33553	-3.77	96	112	2112	6	6	6	6	1368	8	8	8	8	2
تے	32411	-4.04	74	91	618	2	2	2	2	1368	50	50	50	50	2
دے	28806	-3.85	80	94	540	3	3	3	3	1368	207	207	207	207	2
چ	18157	-4.3	0	31	567	567	567	567	567	79	79	79	79	79	1
دا	17577	-2.86	74	102	540	70	70	70	70	2314	221	221	221	221	2
دی	16511	-2.71	80	116	540	97	97	97	97	2831	220	220	220	220	2
اک	13672	-3.18	86	112	2112	79	79	79	79	489	59	59	59	59	2
نوں	10625	-3.51	54	68	691	90	1	1	1	1806	131	29	29	29	3
وچ	10305	-3.97	56	64	813	11	11	11	11	79	14	14	14	14	2
توں	9926	-3.79	40	47	618	60	1	1	1	1806	131	9	9	9	3
نیں	9201	-4.29	46	56	691	154	1	1	1	1806	82	6	6	6	3
سی	8964	-2.6	84	118	1390	202	202	202	202	2831	120	120	120	120	2
نے	7273	-3.74	84	104	691	4	4	4	4	1368	122	122	122	122	2
نال	6111	-4.49	66	77	691	143	9	9	9	712	122	5	5	5	3
اس	5157	-2.88	80	104	2112	122	122	122	122	593	93	93	93	93	2
ضلع	4931	-4.79	6	9	26	7	6	6	6	51	3	1	1	1	3
شہر	4845	-3.76	30	36	382	32	15	15	15	1449	42	12	12	12	3
وی	4823	-2.99	82	116	813	153	153	153	153	2831	66	66	66	66	2
ء	4222	-4.36	0	1	6	6	6	6	6	35	35	35	35	35	1
گیا	3514	-3.49	58	77	670	78	15	15	15	2314	614	18	18	18	3
اوہ	3092	-3.87	38	48	2112	257	24	24	24	963	25	8	8	8	3
ناں	3082	-2.98	56	75	691	143	1	1	1	1806	1492	119	119	119	3
کاؤنٹی	3068	-6.32	2	4	1538	246	8	6	3	2831	98	11	1	1	6
کے	2948	-4.33	92	121	1538	1	1	1	1	1368	59	59	59	59	2
سن	2884	-2.77	82	112	1390	111	111	111	111	1932	75	75	75	75	2
ایہہ	2779	-4.44	20	22	2112	381	22	1	1	963	22	9	1	1	4
صوبہ	2669	-5.63	8	8	109	18	6	1	1	963	36	5	2	2	4
تک	2651	-3.72	64	74	618	22	22	22	22	489	8	8	8	8	2
ایہ	2646	-3.2	52	62	2112	381	22	22	22	963	150	7	7	7	3
لئی	2596	-4.03	58	66	704	6	3	3	3	2831	289	5	5	5	3
جاندا	2531	-4.9	18	27	723	133	39	9	4	2314	221	70	33	7	5
انتظامی	2363	-7.14	4	6	2112	273	30	6	5	2831	89	21	1	1	7
شہرستان	2321	-7.01	0	0	382	32	15	2	2	1932	579	63	56	16	7
کیتا	2289	-4.99	34	39	1538	219	16	3	3	2314	69	11	1	1	4
اتے	2274	-4.54	52	62	2112	47	1	1	1	1368	50	4	4	4	3
دیاں	2147	-3.4	44	59	540	97	7	1	1	1806	1492	658	97	97	4
دتا	2140	-4.7	36	40	540	7	2	2	2	2314	69	13	13	13	3
ایس	2107	-3.71	62	78	2112	381	24	24	24	593	65	3	3	3	3
پر	1955	-3.24	74	94	1245	216	216	216	216	1449	15	15	15	15	2
بولی	1943	-4.24	56	61	1398	154	27	7	7	2831	246	29	2	2	4
دیس	1890	-4.59	50	57	540	97	8	8	8	593	65	4	4	4	3
سلطنت	1817	-6.2	0	1	1390	70	7	2	2	531	34	1	1	1	5
سب	1781	-3.9	56	68	1390	21	21	21	21	192	5	5	5	5	2
پاکستان	1757	-7.47	4	5	1245	184	9	5	4	1932	579	63	56	5	7
چوں	1710	-3.97	40	45	567	71	1	1	1	1806	131	3	3	3	3
کر	1676	-2.9	86	124	1538	208	208	208	208	1449	46	46	46	46	2
روس	1661	-4.01	60	70	736	162	10	10	10	593	70	11	11	11	3
اپنے	1643	-4.86	20	25	2112	49	12	2	2	1368	122	5	2	2	4
کم	1528	-3.54	82	94	1538	68	68	68	68	522	9	9	9	9	2
صوبے	1475	-5.24	6	6	109	18	6	2	2	1368	35	6	2	2	4
اسدا	1474	-4.91	30	34	2112	122	6	1	1	2314	221	7	1	1	4
ای	1471	-3.75	96	128	2112	381	381	381	381	2831	5	5	5	5	2
اکائی	1450	-5.42	14	16	2112	79	14	2	2	2831	289	217	6	1	5
لوک	1443	-4.26	54	64	704	108	11	11	11	489	52	7	7	7	3
مگروں	1417	-6.49	6	6	1609	12	5	3	1	1806	131	13	1	1	5
تھاں	1416	-4.22	12	16	618	88	22	1	1	1806	1492	26	3	3	4
ایران	1413	-5.25	14	16	2112	381	17	4	4	1932	579	54	9	3	5
گئی	1408	-4.09	48	55	670	6	3	3	3	2831	289	6	6	6	3
ایتھے	1375	-5.11	14	16	2112	381	16	14	1	1368	76	15	3	1	5
ویلے	1369	-4.67	40	42	813	153	30	2	2	1368	154	14	1	1	4
صوبےآں	1337	-6.03	0	0	109	18	6	2	1	1806	87	74	6	1	6
ہویا	1306	-4.97	16	26	616	141	7	2	2	2314	614	17	1	1	4
ایدے	1287	-4.61	36	44	2112	381	14	1	1	1368	207	8	2	2	4
کیتی	1255	-4.68	26	30	1538	219	16	2	2	2831	151	16	1	1	4
ہور	1255	-3.87	84	95	616	141	8	8	8	1449	201	7	7	7	3
ول	1222	-3.28	82	107	813	58	58	58	58	712	98	98	98	98	2
علاقے	1196	-6.3	2	3	224	31	17	9	4	1368	9	1	1	1	5
طور	1182	-4.8	48	50	64	9	2	2	2	1449	201	2	2	2	3
کہ	1176	-3.12	72	91	1538	31	31	31	31	963	31	31	31	31	2
کلومیٹر	1170	-7.64	0	0	1538	111	19	1	1	1449	111	25	11	6	7
فوج	1155	-4.77	26	29	435	60	6	6	6	113	16	1	1	1	3
لڑائی	1151	-4.91	12	17	704	25	13	6	4	2831	289	217	4	1	5
دنیا	1149	-5.03	28	32	540	15	6	4	4	2314	614	58	1	1	4
کرن	1148	-3.99	70	84	1538	208	14	14	14	1932	72	2	2	2	3
وڈا	1136	-4.4	28	37	813	21	2	2	2	2314	54	5	5	5	3
امریکہ	1134	-8.53	6	6	2112	68	16	8	6	963	31	2	1	1	6
بعد	1121	-5.67	20	22	1398	13	1	1	1	350	2	1	1	1	3
صدی	1088	-4.04	32	35	109	15	6	6	6	2831	220	1	1	1	3
ویں	1079	-3.24	42	51	813	153	1	1	1	1806	82	39	39	39	3
یا	1072	-3.01	50	81	210	57	57	57	57	2314	614	614	614	614	2
کئی	1062	-4.11	64	71	1538	6	3	3	3	2831	289	4	4	4	3
میٹر	1062	-4.41	16	20	1609	227	13	6	6	1449	111	25	11	11	4
جے	1049	-4.08	86	105	723	2	2	2	2	1368	35	35	35	35	2
پہلے	1042	-4.99	24	27	1245	41	10	1	1	1368	154	2	1	1	4
جنہاں	1040	-5.93	16	19	723	71	3	2	1	1806	1492	23	7	1	5
لوکاں	1033	-5.61	10	10	704	108	11	4	1	1806	1492	35	4	2	5
مرکز	1027	-5.98	4	7	1609	103	6	3	3	333	3	1	1	1	4
جدوں	1025	-5.32	14	17	723	18	5	1	1	1806	131	8	1	1	4
فرانس	992	-5.86	8	9	435	115	30	12	6	593	52	12	2	1	5
بن	982	-3.16	78	107	1398	125	125	125	125	1932	21	21	21	21	2
اگے	975	-3.93	40	48	2112	43	2	2	2	1368	30	6	6	6	3
