word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
de	9396482	-2.23	62	77	1260	590	590	590	590	1812	284	284	284	284	2
a	4905079	-4.3	0	43	1898	1898	1898	1898	1898	3822	3822	3822	3822	3822	1
e	4385107	-4.3	0	32	1380	1380	1380	1380	1380	1812	1812	1812	1812	1812	1
o	3996992	-4.3	0	28	445	445	445	445	445	4327	4327	4327	4327	4327	1
em	2921577	-2.82	54	64	1380	98	98	98	98	779	206	206	206	206	2
do	2706484	-2.46	58	72	1260	119	119	119	119	4327	1136	1136	1136	1136	2
da	2574637	-2.72	68	82	1260	91	91	91	91	3822	606	606	606	606	2
que	2184145	-3.28	12	16	127	122	47	47	47	1812	60	39	39	39	3
um	1691864	-4.49	44	50	181	6	6	6	6	779	20	20	20	20	2
uma	1668935	-5.19	12	20	181	6	2	2	2	3822	122	10	10	10	3
é	1597603	-4.31	0	6	22	22	22	22	22	36	36	36	36	36	1
no	1533523	-2.67	54	66	447	118	118	118	118	4327	209	209	209	209	2
com	1480713	-3.59	22	28	2417	1135	276	276	276	779	18	4	4	4	3
na	1288083	-2.84	64	78	447	117	117	117	117	3822	260	260	260	260	2
para	1279139	-3.82	32	37	1808	345	126	31	31	3822	381	31	4	4	4
se	1216434	-2.72	76	92	1305	301	301	301	301	1812	96	96	96	96	2
foi	1136407	-5.89	14	16	895	143	1	1	1	191	4	1	1	1	3
por	1125356	-3.28	20	27	1808	251	44	44	44	1253	253	9	9	9	3
os	1107251	-3.27	50	59	445	14	14	14	14	4499	1394	1394	1394	1394	2
como	889193	-3.83	18	19	2417	1135	276	1	1	4327	126	13	2	2	4
dos	756846	-3.07	26	32	1260	119	3	3	3	4499	1394	354	354	354	3
as	742139	-2.35	72	88	1898	123	123	123	123	4499	1281	1281	1281	1281	2
ao	622419	-4.16	74	86	1898	3	3	3	3	4327	9	9	9	9	2
sua	604559	-4.25	34	39	1305	248	4	4	4	3822	30	2	2	2	3
mais	571961	-4.15	24	27	1259	429	15	1	1	4499	322	186	7	7	4
seu	497522	-3.87	28	33	1305	301	3	3	3	616	105	4	4	4	3
não	468529	-4.54	18	20	447	1	1	1	1	4327	803	5	5	5	3
são	461290	-4.3	16	18	1305	1	1	1	1	4327	803	87	87	87	3
das	435882	-3.21	32	39	1260	91	1	1	1	4499	1281	265	265	265	3
à	428577	-4.35	0	1	5	5	5	5	5	1	1	1	1	1	1
ou	407882	-3.12	50	59	445	23	23	23	23	616	352	352	352	352	2
também	367680	-8.63	2	2	911	78	11	4	1	779	18	1	1	1	6
pela	352209	-4.74	28	30	1808	294	13	3	3	3822	133	41	2	2	4
pelo	329602	-4.99	28	31	1808	294	13	6	6	4327	115	25	2	2	4
ser	313442	-3.45	36	40	1305	301	53	53	53	1253	321	5	5	5	3
entre	309738	-5.73	2	6	1380	187	47	24	11	1812	113	16	5	4	5
ele	297097	-3.87	12	21	1380	113	52	52	52	1812	83	11	11	11	3
anos	265530	-4.06	8	13	1898	191	7	1	1	4499	1394	78	29	29	4
era	263993	-4.39	24	36	1380	33	4	4	4	3822	381	38	38	38	3
mas	249173	-2.99	42	51	1259	429	17	17	17	4499	1281	48	48	48	3
cidade	238849	-5.76	0	2	2417	112	7	6	6	1812	284	185	167	145	6
nos	232309	-3.15	24	27	447	118	5	5	5	4499	1394	78	78	78	3
tem	216375	-3.72	30	38	911	233	33	33	33	779	206	14	14	14	3
até	210761	-5.05	10	11	1898	152	1	1	1	36	4	2	2	2	3
seus	210533	-5.41	14	16	1305	301	3	1	1	4499	64	11	2	2	4
the	197679	-4.41	10	16	911	35	15	15	15	1812	20	3	3	3	3
foram	196983	-4.49	8	11	895	143	81	3	1	779	446	206	2	1	5
quando	195358	-5.4	2	3	127	122	44	8	1	4327	1136	380	228	4	6
onde	193718	-5.78	6	12	445	14	4	1	1	1812	284	31	11	11	4
grande	183912	-5.56	0	3	576	126	75	13	7	1812	284	31	2	1	6
estado	182204	-4.38	4	7	1380	446	197	53	9	4327	1136	508	80	10	6
km²	179680	-4.52	0	2	87	2	1	1	1	3	2	1	1	1	3
sobre	173355	-5.87	10	11	1305	170	26	20	15	1812	113	11	5	1	5
durante	168463	-6.31	0	0	1260	53	17	12	2	1812	604	463	86	14	7
rio	165701	-3.64	16	25	1112	72	4	4	4	4327	360	137	137	137	3
nas	164666	-3.4	28	33	447	117	20	20	20	4499	1281	69	69	69	3
depois	162249	-7.11	0	0	1260	590	26	7	3	4499	322	8	2	1	6
após	158832	-5.31	4	5	1898	165	3	3	3	4499	6	2	1	1	4
região	158514	-5.39	2	2	1112	700	52	24	1	4327	803	24	6	4	6
primeiro	157463	-7.9	0	0	1808	591	61	26	7	4327	235	74	64	1	8
sendo	155883	-4.13	10	11	1305	301	48	1	1	4327	1136	380	69	1	5
área	155487	-7.59	2	4	40	11	2	2	2	3822	25	7	1	1	4
ano	155301	-3.59	18	28	1898	191	7	7	7	4327	209	93	93	93	3
este	152130	-3.79	8	18	1380	446	197	18	18	1812	604	30	18	18	4
parte	151891	-4.55	8	12	1808	345	126	42	3	1812	604	20	8	2	5
mesmo	150887	-6.45	2	3	1259	218	19	4	2	4327	126	56	1	1	5
segundo	148932	-6.08	4	6	1305	301	35	29	4	4327	1136	380	9	1	7
brasil	148448	-8.06	2	2	737	102	36	10	7	583	47	3	1	1	6
suas	146893	-4.78	6	8	1305	248	4	1	1	4499	1281	10	1	1	4
ainda	144999	-6.61	4	5	1898	12	2	1	1	3822	606	43	4	1	5
primeira	143255	-7.76	0	1	1808	591	61	26	7	3822	381	80	63	5	8
dois	143053	-6.92	8	9	1260	119	1	1	1	4499	322	8	1	1	4
nome	140912	-5.21	14	16	447	118	15	14	14	1812	62	11	4	4	4
outros	140494	-7.12	2	4	445	23	9	5	3	4499	1394	112	19	2	6
dia	140092	-2.94	30	38	1260	343	22	22	22	3822	775	50	50	50	3
pode	139440	-4.56	14	17	1808	251	18	16	16	1812	284	9	2	2	4
já	138820	-4.41	38	40	280	1	1	1	1	69	2	2	2	2	2
aos	138323	-4.62	12	21	1898	3	1	1	1	4499	1394	4	4	4	3
ela	133659	-3.79	20	33	1380	113	11	11	11	3822	133	41	41	41	3
história	131328	-7.2	0	0	401	62	16	13	6	3822	775	182	11	8	8
família	131109	-7.47	2	3	895	172	13	2	2	3822	775	32	8	4	7
está	130710	-5.75	4	5	1380	446	197	11	11	69	4	1	1	1	4
norte	129828	-5.56	14	15	447	118	26	4	1	1812	604	20	11	1	5
população	124903	-7.15	0	0	1808	251	14	12	12	4327	803	530	369	28	9
muito	122728	-6.0	4	6	1259	85	4	4	2	4327	510	82	6	1	5
sul	118656	-4.44	20	26	1305	248	6	6	6	583	13	3	3	3	3
álbum	118328	-8.26	2	2	40	7	2	2	1	779	20	2	2	1	5
maior	117524	-6.77	4	5	1259	429	15	6	5	1253	253	16	1	1	5
apenas	113887	-6.54	4	5	1898	165	13	1	1	4499	1281	69	13	2	6
º	112623	-4.41	0	2	2	2	2	2	2	2	2	2	2	2	1
janeiro	111299	-8.18	0	0	280	53	8	5	1	4327	235	74	64	5	7
três	109387	-6.25	4	4	911	260	1	1	1	4499	28	1	1	1	4
grupo	109190	-7.13	0	1	576	126	6	2	2	4327	21	2	2	2	5
banda	108776	-4.62	12	15	737	224	37	11	2	3822	606	43	18	2	5
possui	107478	-8.06	4	7	1808	251	55	29	13	191	18	1	1	1	6
então	105919	-5.09	4	4	1380	187	47	1	1	4327	803	37	4	1	5
forma	105467	-4.83	6	12	895	143	81	32	20	3822	122	12	6	5	5
nova	104969	-4.77	12	14	447	118	14	4	4	3822	193	6	3	3	4
esta	103592	-3.57	6	17	1380	446	197	53	53	3822	399	133	12	12	4
desde	103192	-6.45	6	6	1260	590	232	1	1	1812	284	1	1	1	5
habitantes	102504	-9.16	0	0	401	98	24	21	18	4499	1069	197	151	58	10
assim	102399	-6.08	2	2	1898	123	81	27	3	779	41	2	1	1	5
além	102337	-5.46	2	2	1898	214	1	1	1	779	18	3	2	2	4
ter	100626	-3.42	24	30	911	233	61	61	61	1253	321	57	57	57	3
vez	99927	-4.66	12	13	587	147	2	2	2	98	31	3	3	3	3
tempo	99325	-6.42	0	2	911	233	33	22	11	4327	21	4	1	1	5
duas	98374	-5.23	10	13	1260	53	3	1	1	4499	1281	10	1	1	4
contra	97738	-4.76	2	3	2417	1135	541	130	54	3822	381	29	7	2	6
s	97702	-4.3	0	36	1305	1305	1305	1305	1305	4499	4499	4499	4499	4499	1
todos	97675	-5.71	6	7	911	123	7	2	1	4499	1394	354	6	2	5
of	97094	-4.47	32	35	445	30	30	30	30	37	2	2	2	2	2
guerra	96700	-6.96	0	1	576	60	10	8	8	3822	381	14	7	1	6
mundo	93551	-4.09	4	6	1259	85	16	5	2	4327	1136	380	9	5	5
estados	93220	-4.99	4	5	1380	446	197	53	9	4499	1394	354	235	41	7
d	93093	-4.3	0	23	1260	1260	1260	1260	1260	202	202	202	202	202	1
município	92122	-8.7	0	0	1259	85	16	10	6	4327	360	10	2	2	9
principal	92035	-9.07	0	0	1808	591	61	12	12	583	311	6	2	2	9
vida	91760	-3.39	18	23	587	218	12	3	3	3822	606	138	17	17	4
sem	91405	-3.54	36	42	1305	301	22	22	22	779	206	6	6	6	3
final	91371	-5.19	4	6	895	175	32	24	11	583	311	63	13	3	5
alguns	90972	-8.36	0	0	1898	214	12	5	1	4499	88	7	2	1	6
pelos	90595	-5.28	16	17	1808	294	13	6	1	4499	1394	56	11	1	5
qual	90558	-4.31	2	2	127	122	44	10	10	583	311	26	1	1	4
paulo	89963	-5.95	6	7	1808	345	16	12	1	4327	115	31	1	1	5
século	89929	-6.78	0	1	1305	18	3	2	2	4327	115	31	12	1	6
americano	88403	-8.93	0	0	1898	102	16	6	6	4327	209	93	10	6	9
série	87457	-5.82	6	7	1305	18	10	6	2	1812	44	6	2	2	5
outras	87319	-7.03	2	4	445	23	9	5	2	4499	1281	122	10	2	6
nacional	87235	-8.39	0	0	447	117	8	8	8	583	311	63	37	35	8
sido	86951	-3.89	12	14	1305	147	6	1	1	4327	1136	167	1	1	4
teve	84836	-5.57	12	15	911	233	1	1	1	1812	61	14	5	5	4
música	84718	-6.33	4	5	1259	12	6	4	4	3822	301	230	7	1	6
tinha	83455	-5.56	10	12	911	69	8	2	2	3822	117	62	22	4	5
às	83046	-4.54	30	32	5	1	1	1	1	4499	1	1	1	1	2
tendo	82533	-4.53	12	12	911	233	30	6	1	4327	1136	380	69	8	5
filme	82407	-5.87	4	7	895	175	50	12	2	1812	62	1	1	1	5
cada	81943	-3.5	18	20	2417	488	12	2	2	3822	606	374	37	37	4
eles	81422	-4.27	6	12	1380	113	52	1	1	4499	1069	45	12	12	4
país	81184	-6.57	8	9	1808	345	2	2	2	4499	2	1	1	1	4
antes	80603	-4.35	10	13	1898	191	48	15	1	4499	1069	197	151	58	5
bem	79888	-4.29	26	28	737	114	2	2	2	779	206	7	7	7	3
brasileiro	79460	-11.13	0	0	737	102	36	10	7	4327	235	74	64	5	10
c	77961	-4.3	0	30	2417	2417	2417	2417	2417	71	71	71	71	71	1
partir	77002	-6.0	2	2	1808	345	126	42	34	1253	118	20	3	1	6
sistema	76209	-7.86	0	1	1305	147	7	6	6	3822	122	15	3	2	7
km	76187	-4.41	42	46	87	2	2	2	2	779	1	1	1	1	2
novo	75799	-4.95	8	11	447	118	14	2	2	4327	85	5	1	1	4
acordo	75790	-6.28	4	5	1898	178	35	7	7	4327	1136	14	3	1	6
terra	75501	-5.38	8	9	911	233	61	22	4	3822	381	14	7	2	5
período	74396	-7.33	2	3	1808	294	151	3	2	4327	1136	8	1	1	7
num	73615	-4.72	10	14	447	29	10	10	10	779	20	1	1	1	3
água	73576	-5.8	2	4	40	6	5	2	2	3822	30	9	3	3	4
governo	73492	-7.01	0	2	576	84	17	16	16	4327	209	22	11	2	7
unidos	73378	-5.75	2	3	181	57	41	7	2	4499	1394	354	81	3	6
cerca	73376	-5.8	4	6	2417	108	31	4	3	3822	301	11	2	2	5
jogos	73174	-4.98	4	5	280	74	17	3	1	4499	1394	34	6	1	5
através	72838	-8.17	0	0	1898	152	40	23	8	4499	11	3	1	1	7
conhecido	72551	-7.29	0	0	2417	1135	541	15	15	4327	1136	167	22	15	9
distrito	71691	-6.79	0	0	1260	343	117	37	15	4327	510	82	19	4	8
filho	71642	-5.02	4	6	895	175	50	6	4	4327	84	26	4	1	5
segunda	71323	-6.72	4	5	1305	301	35	29	4	3822	606	43	4	1	7
espécie	71261	-7.74	0	2	1380	446	107	4	4	1812	44	5	2	2	7
há	71147	-4.15	38	41	401	4	4	4	4	69	3	3	3	3	2
futebol	69940	-10.19	0	0	895	82	10	2	2	583	34	7	5	2	7
época	69865	-7.63	2	3	22	5	2	2	2	3822	301	13	1	1	5
clube	69761	-6.89	2	5	2417	84	3	3	2	1812	23	7	1	1	5
pessoas	69309	-7.75	2	4	1808	294	27	5	5	4499	1281	6	1	1	7
enquanto	69109	-8.88	0	0	1380	187	2	2	2	4327	510	207	12	2	8
i	68806	-4.3	0	34	821	821	821	821	821	191	191	191	191	191	1
setembro	68309	-9.11	0	0	1305	301	10	4	1	4327	235	9	5	4	8
casa	68116	-5.0	22	29	2417	488	52	15	15	3822	148	4	1	1	4
vários	67982	-5.74	2	2	587	11	3	2	1	4499	1394	130	57	39	6
seguinte	67877	-6.91	0	0	1305	301	35	29	16	1812	604	463	6	3	8
fez	67391	-4.69	12	13	895	109	2	2	2	98	31	2	2	2	3
localizada	67287	-8.42	0	0	683	98	22	16	13	3822	606	374	17	16	10
eram	66948	-4.91	4	8	1380	33	4	1	1	779	446	206	46	46	4
carreira	66793	-7.31	0	0	2417	488	117	20	11	3822	381	80	63	9	8
canção	66786	-4.76	4	4	2417	488	65	2	1	4327	803	530	23	1	6
centro	66593	-5.95	6	8	2417	108	26	18	9	4327	235	31	3	2	6
comuna	66449	-5.81	4	5	2417	1135	276	19	17	3822	260	11	1	1	6
dias	66397	-3.77	6	11	1260	343	22	1	1	4499	1281	153	8	8	4
vezes	66183	-6.03	4	4	587	147	2	1	1	4499	1069	18	3	1	5
outubro	65749	-10.42	0	0	445	23	9	1	1	4327	235	9	2	1	7
presidente	65452	-8.11	0	0	1808	591	185	47	10	1812	604	463	365	20	10
maio	65270	-5.03	24	28	1259	429	15	6	6	4327	360	9	1	1	4
devido	64755	-5.32	4	5	1260	590	27	8	5	4327	1136	167	14	1	6
março	64732	-6.2	4	4	1259	429	129	1	1	4327	31	5	1	1	5
lançado	64316	-5.84	2	5	683	126	29	14	13	4327	1136	508	11	4	7
abril	64262	-6.56	8	8	1898	98	27	11	1	583	47	4	1	1	5
estava	64127	-5.41	4	6	1380	446	197	53	2	3822	193	99	19	3	6
isso	63980	-5.35	4	8	821	39	2	1	1	4327	120	27	4	4	4
tornou	63937	-6.44	0	1	911	123	34	19	2	616	352	30	3	2	6
quais	63855	-4.92	0	1	127	122	44	2	2	4499	322	186	17	1	5
lugar	63691	-6.3	8	8	683	66	3	2	2	1253	533	23	2	1	5
la	63345	-3.01	62	72	683	126	126	126	126	3822	133	133	133	133	2
m	63327	-4.3	0	36	1259	1259	1259	1259	1259	779	779	779	779	779	1
agosto	63273	-6.84	0	1	1898	61	4	2	2	4327	510	38	12	2	6
início	62808	-6.14	4	5	821	505	2	2	2	4327	360	41	15	1	6
julho	62758	-5.89	4	4	280	100	18	1	1	4327	84	26	4	1	5
sob	62696	-4.95	16	19	1305	170	26	26	26	36	5	1	1	1	3
quatro	62345	-7.36	2	2	127	122	44	2	1	4327	235	31	4	1	6
universidade	61882	-11.78	0	0	181	57	41	13	13	1812	284	185	167	145	12
junho	61796	-5.37	8	8	280	100	21	1	1	4327	84	40	4	1	5
trabalho	61621	-8.26	0	0	911	260	151	16	16	4327	84	26	5	1	8
dezembro	61602	-9.08	0	0	1260	590	7	5	1	4327	235	9	5	4	8
número	61525	-7.98	2	3	447	5	2	2	2	4327	235	26	5	1	6
muitos	61485	-6.44	2	4	1259	85	4	4	2	4499	1394	232	45	3	6
jogo	61233	-4.59	10	12	280	74	17	3	3	4327	97	18	1	1	4
igreja	60818	-8.18	0	1	821	16	2	2	2	3822	24	10	1	1	6
josé	60538	-7.66	4	5	280	74	8	1	1	36	2	1	1	1	4
algumas	60518	-8.14	0	1	1898	214	12	5	3	4499	1281	48	2	1	7
portugal	60341	-9.04	0	0	1808	251	44	27	6	583	311	7	1	1	8
novembro	60004	-9.14	0	0	447	118	14	6	1	4327	235	9	5	4	8
rei	59985	-4.46	22	27	1112	700	17	17	17	191	14	3	3	3	3
podem	59592	-5.64	4	5	1808	251	18	16	2	779	206	21	1	1	5
joão	59517	-4.68	2	2	280	74	1	1	1	4327	803	1	1	1	4
outro	59416	-6.86	2	4	445	23	9	5	3	4327	235	31	2	1	5
hoje	59078	-6.25	6	6	401	98	1	1	1	1812	4	1	1	1	4
mundial	59048	-7.03	0	0	1259	85	16	5	3	583	311	54	3	1	7
asteroide	58328	-11.47	0	0	1898	123	18	6	4	1812	284	17	1	1	9
campeonato	58059	-11.5	0	0	2417	488	50	22	6	4327	510	47	11	4	10
morte	57570	-4.96	22	24	1259	263	55	10	2	1812	604	20	11	1	5
atualmente	57354	-7.4	0	0	1898	152	19	18	7	1812	604	463	365	244	10
começou	57245	-6.65	0	1	2417	1135	276	49	10	616	352	7	1	1	7
todo	57223	-5.1	20	22	911	123	7	2	2	4327	1136	8	2	2	4
melhor	57125	-6.75	0	1	1259	218	22	12	12	1253	253	5	1	1	6
estão	56183	-4.28	2	3	1380	446	197	1	1	4327	803	37	19	6	5
condado	56091	-5.03	4	5	2417	1135	541	35	2	4327	1136	508	21	8	7
só	55883	-4.72	46	48	1305	9	9	9	9	15	1	1	1	1	2
título	55802	-8.94	2	3	911	7	2	2	2	4327	115	31	4	2	6
havia	55721	-5.77	2	4	401	98	11	3	2	3822	775	31	3	1	5
várias	55461	-5.85	4	4	587	11	3	2	1	4499	1281	153	43	14	6
passou	55357	-5.94	2	3	1808	345	40	31	3	616	352	21	10	3	6
programa	54836	-7.14	0	1	1808	591	281	17	16	3822	122	17	7	3	8
província	54506	-7.71	0	0	1808	591	281	38	2	3822	775	169	118	1	9
numa	54390	-5.42	8	11	447	29	10	1	1	3822	122	10	1	1	4
apesar	54387	-7.46	0	1	1898	165	13	1	1	1253	533	28	3	2	6
lhe	54321	-5.97	10	13	683	2	2	2	2	1812	20	4	4	4	3
porém	54281	-6.55	2	2	1808	251	44	1	1	779	18	2	1	1	5
local	54229	-5.73	2	2	683	98	22	16	13	583	311	20	2	1	5
embora	54190	-6.6	0	0	1380	98	17	2	1	3822	381	66	3	1	6
santa	54125	-5.15	8	10	1305	201	34	14	4	3822	399	52	9	1	5
todas	54073	-6.04	6	7	911	123	7	4	1	4499	1281	265	2	1	5
países	53825	-8.35	2	2	1808	345	2	2	1	4499	1069	45	1	1	6
grandes	53709	-5.83	0	2	576	126	75	13	7	4499	1069	99	8	4	7
lado	53154	-3.86	18	20	683	126	8	2	2	4327	1136	508	22	22	4
fim	53125	-5.09	20	25	895	175	1	1	1	779	41	6	6	6	3
fevereiro	52710	-10.09	0	0	895	109	1	1	1	4327	235	74	64	8	9
exemplo	52624	-7.15	0	1	1380	246	28	4	4	4327	115	6	3	2	7
escola	52097	-6.15	2	6	1380	446	93	31	17	3822	133	19	4	1	6
maria	52065	-4.38	20	27	1259	429	129	26	4	3822	775	182	41	3	5
meio	52061	-5.42	16	17	1259	218	8	2	2	4327	360	15	1	1	4
tarde	52050	-6.03	0	1	911	78	14	4	2	1812	284	6	1	1	5
gênero	51834	-8.15	2	3	576	8	5	3	2	4327	235	26	4	2	6
pertencente	51799	-8.96	0	0	1808	294	151	14	10	1812	604	463	365	13	11
produção	51327	-5.53	0	0	1808	591	281	25	25	4327	803	530	17	7	8
and	50860	-3.97	18	26	1898	191	26	26	26	202	51	23	23	23	3
localidades	50794	-9.61	0	0	683	98	22	16	13	4499	1069	99	59	53	11
faz	50595	-4.19	18	20	895	172	12	12	12	98	13	1	1	1	3
departamento	50444	-9.45	0	0	1260	590	26	3	3	4327	510	207	172	157	12
pois	50051	-4.73	8	8	1808	251	4	1	1	4499	322	8	2	2	4
pai	49887	-4.56	32	38	1808	345	11	11	11	191	20	2	2	2	3
geral	49608	-5.89	4	6	576	106	36	20	4	583	311	39	8	1	5
livro	49407	-6.86	2	3	683	185	12	8	2	4327	235	1	1	1	5
brasileira	49360	-10.99	0	0	737	102	36	10	7	3822	381	80	63	1	10
chamado	49251	-6.06	2	4	2417	156	63	25	13	4327	1136	508	24	6	7
muitas	49176	-6.59	2	3	1259	85	4	4	2	4499	1281	170	26	2	6
cobertos	49122	-7.23	0	1	2417	1135	18	6	6	4499	1394	232	13	6	8
francesa	48712	-8.66	0	1	895	120	50	26	16	3822	148	27	3	2	8
ilha	48675	-4.77	2	6	821	25	4	2	2	3822	117	36	13	13	4
década	48567	-7.13	0	1	1260	6	4	2	2	3822	606	374	37	1	6
essa	48504	-4.03	4	8	1380	446	9	2	2	3822	148	33	18	18	4
ii	48495	-4.23	66	71	821	2	2	2	2	191	11	11	11	11	2
principais	48062	-9.68	0	0	1808	591	61	12	12	4499	322	186	4	2	10
in	48022	-2.97	38	56	821	505	505	505	505	477	71	71	71	71	2
esse	48016	-4.42	4	10	1380	446	9	6	6	1812	96	27	14	14	4
censo	47989	-5.94	8	9	2417	108	26	4	2	4327	120	12	8	1	5
sucesso	47971	-7.19	0	3	1305	248	20	18	9	4327	120	27	13	5	7
seja	47959	-4.58	16	18	1305	301	3	2	2	3822	24	10	2	2	4
capital	47379	-7.59	2	3	2417	488	44	14	12	583	311	44	6	2	7
temporada	47324	-8.21	0	0	911	233	33	22	11	3822	606	374	62	9	9
média	47269	-4.76	6	8	1259	17	10	10	2	3822	775	50	6	3	5
pouco	47194	-7.19	8	9	1808	251	8	4	2	4327	265	5	3	2	5
porto	46764	-4.8	18	21	1808	251	44	27	2	4327	510	28	7	3	5
sempre	46703	-6.35	0	0	1305	301	22	1	1	1812	113	3	2	1	6
fazer	46613	-5.35	4	4	895	172	12	8	2	1253	321	8	6	3	5
estende	46094	-6.77	2	5	1380	446	197	18	8	1812	284	31	15	5	7
desenvolvimento	45996	-12.69	0	0	1260	590	232	56	27	4327	510	207	172	157	15
equipe	45944	-7.37	2	3	1380	19	19	15	10	1812	25	8	1	1	6
internacional	45746	-11.36	0	0	821	505	137	115	70	583	311	63	37	35	13
obra	45666	-4.21	0	4	445	61	13	2	2	3822	381	15	4	4	4
volta	45628	-5.68	4	7	587	65	28	15	14	3822	399	17	4	2	5
versão	45216	-5.28	0	2	587	147	54	10	1	4327	803	87	7	5	6
x	45064	-4.31	0	9	27	27	27	27	27	45	45	45	45	45	1
vila	45001	-5.09	16	22	587	218	14	4	4	3822	133	8	2	2	4
poder	44620	-5.62	6	8	1808	251	18	16	12	1253	321	35	1	1	5
entanto	44400	-6.03	2	2	1380	187	47	1	1	4327	510	207	12	4	7
qualquer	44360	-8.52	0	0	127	122	44	10	1	1253	321	7	5	1	8
outra	44013	-6.5	4	5	445	23	9	5	2	3822	381	29	3	1	5
reino	43876	-5.57	2	6	1112	700	17	8	3	4327	209	57	2	2	5
ordem	43749	-5.81	2	2	445	117	13	11	1	779	206	21	4	3	5
menos	43506	-4.7	6	6	1259	218	37	3	1	4499	1394	78	7	4	5
caso	43398	-5.13	18	23	2417	488	52	3	3	4327	120	6	3	3	4
origem	43344	-6.98	0	0	445	117	33	16	2	779	206	63	3	2	6
