word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
huk	11583	-4.61	22	27	673	228	29	29	29	219	15	3	3	3	3
nisqaqa	11303	-6.24	4	4	423	168	58	48	48	6317	761	258	15	3	7
mama	9378	-4.41	30	37	1372	622	45	36	36	6317	230	73	4	4	4
llaqtapi	8703	-6.6	0	2	789	259	156	88	80	2206	548	238	17	2	8
simipi	8293	-6.17	2	6	1389	330	69	56	9	2206	548	46	4	3	6
kastilla	7880	-7.23	0	0	1415	704	41	7	5	6317	354	190	72	7	8
suyupi	6419	-4.8	4	9	1389	326	70	57	12	2206	548	62	16	10	6
llaqtam	5561	-5.87	8	11	789	259	156	88	80	885	591	196	6	4	7
de	5500	-3.33	34	42	292	61	61	61	61	656	40	40	40	40	2
uma	5332	-3.82	30	39	752	65	49	49	49	6317	230	61	61	61	3
pruwinsyapi	4693	-10.21	0	0	1672	88	29	14	14	2206	548	238	35	11	11
karqan	4295	-5.44	6	9	1415	704	50	5	5	1725	811	179	122	42	6
llaqtanqa	3813	-7.69	0	0	789	259	156	88	80	6317	761	79	34	3	9
distritu	3808	-8.38	0	0	292	82	29	17	17	1463	142	24	4	1	8
ñiqin	3500	-6.25	4	6	112	24	20	13	5	1725	269	7	2	1	5
piruw	3250	-6.92	2	3	1672	287	49	20	16	74	4	1	1	1	5
icha	3168	-4.14	8	13	938	37	36	10	10	6317	300	244	11	11	4
p	2871	-4.3	0	13	1672	1672	1672	1672	1672	338	338	338	338	338	1
killapi	2630	-5.78	2	4	1415	195	41	25	22	2206	548	238	15	11	7
watapi	2533	-5.07	2	5	1021	732	59	51	10	2206	548	238	17	5	6
qallarisqa	2474	-8.25	0	0	818	210	55	41	35	6317	761	177	49	13	10
wataqa	2369	-4.87	10	12	1021	732	59	51	1	6317	761	258	85	36	6
hulyanu	2223	-8.76	0	0	673	228	7	3	1	1463	88	57	10	2	7
kalindaryukama	2101	-14.53	0	0	1415	704	63	16	10	6317	230	73	33	8	14
watam	2091	-4.35	8	11	1021	732	59	51	6	885	591	196	92	3	5
san	2071	-3.2	48	54	1389	396	79	79	79	1725	811	14	14	14	3
a	1963	-4.3	0	31	1946	1946	1946	1946	1946	6317	6317	6317	6317	6317	1
paqarisqa	1935	-7.06	0	0	1672	608	45	26	23	6317	761	177	49	13	9
hatun	1909	-6.6	8	9	673	231	21	16	15	1725	166	13	3	1	5
runakuna	1895	-5.17	0	0	965	320	113	93	31	6317	744	313	265	70	8
k	1880	-4.3	0	12	1415	1415	1415	1415	1415	219	219	219	219	219	1
chhasku	1852	-8.22	0	0	1616	908	20	6	1	1463	300	13	3	1	7
distrito	1843	-8.48	0	0	292	82	29	17	17	1143	120	15	2	1	8
distritum	1813	-9.56	0	0	292	82	29	17	17	885	118	11	1	1	9
buliwya	1765	-7.68	0	1	533	55	15	10	9	6317	320	8	4	1	7
sutiyuq	1742	-5.85	2	2	1389	326	58	55	13	902	301	187	59	1	7
qhichwa	1708	-7.91	2	7	818	127	35	10	9	6317	157	5	5	3	7
rikch	1589	-6.55	2	4	965	238	36	5	5	166	62	3	2	1	5
ch	1576	-3.06	28	37	1616	908	908	908	908	166	62	62	62	62	2
runaqa	1408	-4.98	6	8	965	320	113	93	2	6317	761	258	87	77	6
