word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
de	1928942	-2.67	54	66	1207	513	513	513	513	4257	90	90	90	90	2
în	1384770	-4.32	20	22	518	441	441	441	441	666	1	1	1	1	2
a	1291138	-4.3	0	37	1822	1822	1822	1822	1822	2625	2625	2625	2625	2625	1
și	1065403	-3.78	44	51	96	8	8	8	8	3291	63	63	63	63	2
din	635058	-3.84	32	37	1207	296	24	24	24	666	130	5	5	5	3
la	633406	-3.21	50	58	653	111	111	111	111	2625	91	91	91	91	2
o	496259	-4.3	0	25	520	520	520	520	520	216	216	216	216	216	1
este	461158	-4.58	0	4	772	33	19	5	5	4257	853	46	12	12	4
cu	416778	-3.1	54	62	2373	183	183	183	183	499	67	67	67	67	2
un	358768	-3.77	32	45	319	104	104	104	104	666	28	28	28	28	2
care	341936	-3.58	36	45	2373	396	76	3	3	4257	649	374	33	33	4
pe	328083	-3.26	60	66	1890	192	192	192	192	4257	31	31	31	31	2
fost	326402	-5.19	14	18	850	185	11	10	10	1385	86	9	1	1	4
al	301611	-2.84	58	71	1822	192	192	192	192	1414	206	206	206	206	2
se	279612	-2.57	64	73	1759	236	236	236	236	4257	155	155	155	155	2
mai	262125	-4.28	34	42	1236	342	14	14	14	3291	24	3	3	3	3
pentru	241120	-6.4	2	3	1890	192	16	3	1	499	63	32	4	2	6
au	240104	-2.86	60	69	1822	95	95	95	95	499	82	82	82	82	2
să	201964	-2.78	40	45	1759	66	66	66	66	2160	104	104	104	104	2
lui	158111	-2.64	20	27	653	112	5	5	5	3291	584	563	563	563	3
ca	152260	-2.59	64	78	2373	396	396	396	396	2625	128	128	128	128	2
s	139831	-4.3	0	28	1759	1759	1759	1759	1759	485	485	485	485	485	1
nu	130513	-3.72	40	46	504	65	65	65	65	499	26	26	26	26	2
că	121808	-2.56	38	41	2373	90	90	90	90	2160	303	303	303	303	2
sau	103024	-4.69	22	28	1759	127	3	3	3	499	82	2	2	2	3
sunt	102783	-5.65	10	12	1759	250	11	2	2	1385	164	3	1	1	4
după	101470	-6.69	14	14	1207	80	3	1	1	2160	20	6	1	1	4
ce	92831	-2.57	62	73	2373	179	179	179	179	4257	279	279	279	279	2
prin	88019	-4.45	6	11	1890	689	138	45	45	666	130	9	1	1	4
ale	81343	-2.91	22	38	1822	192	32	32	32	4257	1032	172	172	172	3
i	78459	-4.3	0	37	845	845	845	845	845	3291	3291	3291	3291	3291	1
fi	76645	-3.9	62	74	850	173	173	173	173	3291	7	7	7	7	2
iar	71551	-5.36	30	33	845	23	6	6	6	1103	140	12	12	12	3
anul	69514	-3.97	4	7	1822	174	22	6	6	1414	978	96	30	30	4
fiind	65160	-6.09	0	2	850	173	16	8	3	432	246	57	9	2	5
avea	63233	-4.92	6	8	1822	58	17	3	3	2625	785	3	1	1	4
cele	60985	-3.71	14	18	2373	179	35	14	14	4257	1032	363	9	9	4
mare	60793	-3.6	44	51	1236	342	99	7	7	4257	649	374	10	10	4
dar	60128	-4.41	42	47	1207	88	8	8	8	1103	140	7	7	7	3
era	59284	-4.64	10	16	772	34	5	5	5	2625	198	27	27	27	3
locuitori	57706	-8.89	0	0	653	121	55	26	20	3291	473	87	54	12	9
dintre	57634	-5.93	0	3	1207	296	24	5	2	4257	649	21	5	3	6
lea	56910	-4.12	32	37	653	98	3	3	3	2625	785	16	16	16	3
cel	55868	-4.37	24	30	2373	179	35	35	35	1414	70	5	5	5	3
comună	55476	-5.2	4	6	2373	927	218	40	40	2160	166	16	1	1	6
are	54542	-3.02	24	41	1822	242	13	13	13	4257	649	374	374	374	3
el	54234	-3.55	44	53	772	91	91	91	91	1414	70	70	70	70	2
sa	52351	-3.01	66	83	1759	127	127	127	127	2625	55	55	55	55	2
între	51299	-4.67	4	6	518	441	100	40	36	4257	649	21	5	1	5
anii	51134	-4.11	8	11	1822	174	16	1	1	3291	756	84	15	15	4
in	50393	-2.83	44	66	845	457	457	457	457	666	130	130	130	130	2
ani	49827	-3.68	18	26	1822	174	16	16	16	3291	202	28	28	28	3
până	49579	-4.8	12	13	1890	12	6	1	1	2160	166	8	1	1	4
l	49302	-4.3	0	20	653	653	653	653	653	1414	1414	1414	1414	1414	1
românia	48485	-7.56	4	6	1088	125	51	16	16	2625	510	55	2	2	7
într	46979	-5.41	2	4	518	441	100	40	40	1103	7	4	1	1	4
către	46025	-5.99	2	2	2373	90	6	1	1	4257	649	21	1	1	5
două	45631	-5.1	6	7	1207	148	6	3	3	2160	5	4	2	2	4
sub	45353	-4.35	16	17	1759	250	49	49	49	38	4	1	1	1	3
când	44079	-3.57	12	12	2373	65	25	2	2	432	246	135	23	23	4
acest	43505	-5.65	2	6	1822	209	40	12	12	1385	86	18	1	1	5
parte	42715	-4.71	12	19	1890	253	106	49	8	4257	853	20	13	6	5
n	41944	-4.3	0	18	504	504	504	504	504	666	666	666	666	666	1
ei	41270	-3.62	66	77	772	6	6	6	6	3291	481	481	481	481	2
