word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
в	10919472	-4.3	0	16	1324	1324	1324	1324	1324	722	722	722	722	722	1
и	5845281	-4.3	0	25	708	708	708	708	708	1881	1881	1881	1881	1881	1
на	3212781	-2.26	40	53	874	464	464	464	464	2106	357	357	357	357	2
с	2523382	-4.3	0	22	2141	2141	2141	2141	2141	189	189	189	189	189	1
года	1778044	-5.15	16	19	585	184	12	4	4	2106	131	42	3	3	4
по	1573079	-3.85	44	54	2894	1019	1019	1019	1019	1421	4	4	4	4	2
году	1360171	-5.72	12	13	585	184	12	1	1	559	43	15	2	2	4
из	1136131	-3.87	22	25	708	157	157	157	157	51	8	8	8	8	2
был	935519	-4.59	4	8	630	35	4	4	4	543	6	4	4	4	3
к	932752	-4.3	0	29	1254	1254	1254	1254	1254	295	295	295	295	295	1
а	873054	-4.3	0	26	671	671	671	671	671	2106	2106	2106	2106	2106	1
не	841773	-2.85	42	54	874	187	187	187	187	1832	124	124	124	124	2
от	800773	-3.4	32	39	1283	254	254	254	254	697	22	22	22	22	2
для	715317	-5.29	2	4	890	22	1	1	1	1652	70	1	1	1	3
что	678768	-5.04	6	8	237	5	3	3	3	1421	55	2	2	2	3
за	669917	-2.92	28	35	594	400	400	400	400	2106	39	39	39	39	2
его	663563	-3.85	4	9	137	9	3	3	3	1421	656	76	76	76	3
до	658090	-3.56	48	55	890	236	236	236	236	1421	14	14	14	14	2
как	632726	-4.98	18	20	1254	279	11	11	11	295	19	2	2	2	3
он	611724	-4.5	30	46	1283	7	7	7	7	501	76	76	76	76	2
после	502421	-4.87	2	3	2894	1019	193	43	32	1832	71	3	1	1	5
также	473751	-7.89	4	4	692	84	18	1	1	1832	20	1	1	1	5
г	441147	-4.3	0	15	585	585	585	585	585	81	81	81	81	81	1
при	422474	-3.29	6	10	2894	1122	316	316	316	1881	37	1	1	1	3
была	415647	-5.0	8	9	630	35	4	1	1	2106	288	5	2	2	4
о	410431	-4.3	0	25	1283	1283	1283	1283	1283	1421	1421	1421	1421	1421	1
были	398748	-5.23	8	9	630	35	4	1	1	1881	309	5	2	2	4
было	395339	-5.54	6	7	630	35	4	1	1	1421	106	3	2	2	4
время	378126	-6.85	2	2	1324	46	17	15	1	1652	9	4	3	2	5
но	372069	-3.06	40	51	874	98	98	98	98	1421	328	328	328	328	2
во	368186	-2.83	46	52	1324	320	320	320	320	1421	100	100	100	100	2
у	316949	-4.3	0	16	589	589	589	589	589	559	559	559	559	559	1
или	308707	-4.56	10	16	708	9	1	1	1	1881	309	76	76	76	3
под	284612	-3.54	20	22	2894	1019	144	144	144	166	46	1	1	1	3
это	284158	-4.81	14	18	225	27	6	6	6	1421	55	1	1	1	3
же	278121	-3.73	30	34	168	68	68	68	68	1832	20	20	20	20	2
м	261721	-4.3	0	23	928	928	928	928	928	1260	1260	1260	1260	1260	1
человек	259850	-9.83	0	3	237	96	17	12	12	295	21	2	1	1	7
км	255668	-4.29	40	46	1254	6	6	6	6	1260	2	2	2	2	2
год	244860	-4.83	16	20	585	184	12	12	12	166	46	1	1	1	3
лет	232151	-4.02	14	18	440	123	23	23	23	697	233	7	7	7	3
их	226738	-4.39	20	24	708	1	1	1	1	885	248	248	248	248	2
так	226349	-5.13	22	27	692	84	18	18	18	295	19	4	4	4	3
более	225406	-6.47	0	0	630	164	53	7	1	1832	63	4	2	2	5
где	222975	-6.07	2	4	585	2	1	1	1	1832	58	2	2	2	3
то	217181	-3.54	42	56	692	113	113	113	113	1421	55	55	55	55	2
й	215909	-4.33	0	3	10	10	10	10	10	1906	1906	1906	1906	1906	1
который	210715	-7.79	8	8	1254	499	15	12	12	1906	294	7	2	2	7
её	209605	-4.43	12	15	137	1	1	1	1	6	2	2	2	2	2
реки	208343	-5.34	12	16	1003	263	25	1	1	1881	266	6	4	4	4
россии	208335	-6.72	4	5	1003	130	35	19	18	1881	483	15	11	1	6
области	199582	-6.68	2	2	1283	330	27	20	10	1881	181	134	7	2	7
со	197470	-3.63	54	60	2141	503	503	503	503	1421	7	7	7	7	2
является	196426	-5.62	0	0	104	21	16	12	1	1652	449	229	139	28	8
стал	196352	-4.19	12	18	2141	356	144	10	10	543	226	17	3	3	4
однако	194119	-8.52	0	0	1283	54	23	3	1	1421	64	2	2	1	6
только	177132	-7.94	0	1	692	113	12	2	1	1421	64	6	6	6	6
она	172828	-4.83	14	21	1283	7	1	1	1	2106	357	51	51	51	3
х	171448	-4.3	0	5	219	219	219	219	219	885	885	885	885	885	1
население	170922	-7.58	0	0	874	464	66	16	13	1832	480	297	203	46	9
