word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
di	83657	-2.41	80	93	926	527	527	527	527	6420	192	192	192	192	2
lu	39871	-2.76	56	65	675	96	96	96	96	5034	216	216	216	216	2
e	39304	-4.3	0	27	526	526	526	526	526	649	649	649	649	649	1
la	33269	-2.77	58	68	675	139	139	139	139	4793	209	209	209	209	2
a	32144	-4.3	0	38	2085	2085	2085	2085	2085	4793	4793	4793	4793	4793	1
l	26818	-4.3	0	17	675	675	675	675	675	191	191	191	191	191	1
è	23578	-4.31	0	8	37	37	37	37	37	40	40	40	40	40	1
li	21779	-2.33	60	70	675	244	244	244	244	6420	672	672	672	672	2
ca	16250	-2.05	84	94	2599	660	660	660	660	4793	466	466	466	466	2
dâ	16203	-4.46	50	53	926	1	1	1	1	18	2	2	2	2	2
n	15278	-4.3	0	35	913	913	913	913	913	364	364	364	364	364	1
na	15099	-2.62	88	98	913	120	120	120	120	4793	536	536	536	536	2
dû	13854	-4.46	48	51	926	2	2	2	2	12	1	1	1	1	2
nu	12691	-2.43	86	98	913	108	108	108	108	5034	995	995	995	995	2
si	11043	-2.4	80	96	2087	322	322	322	322	6420	337	337	337	337	2
ntô	9838	-5.63	28	32	913	121	2	2	2	14	1	1	1	1	3
pi	9065	-2.86	86	106	1841	366	366	366	366	6420	65	65	65	65	2
cu	7992	-2.03	82	92	2599	867	867	867	867	5034	377	377	377	377	2
d	7339	-4.3	0	26	926	926	926	926	926	158	158	158	158	158	1
o	6872	-4.3	0	27	304	304	304	304	304	491	491	491	491	491	1
nta	6556	-3.35	38	45	913	121	4	4	4	4793	969	75	75	75	3
un	6279	-4.55	32	45	388	78	78	78	78	364	10	10	10	10	2
dî	6268	-4.46	42	44	926	1	1	1	1	43	2	2	2	2	2
fu	6051	-3.3	60	66	899	158	158	158	158	5034	16	16	16	16	2
comu	6041	-4.17	22	27	2599	225	44	9	9	5034	230	14	2	2	4
cumuni	5764	-4.98	8	8	2599	867	188	16	15	6420	1201	154	6	1	6
pruvincia	5693	-7.29	0	0	1841	504	197	29	10	4793	628	65	13	4	9
chi	5578	-2.7	16	24	2599	183	137	137	137	6420	251	201	201	201	3
sò	5305	-4.0	50	53	2087	13	13	13	13	95	4	4	4	4	2
s	5287	-4.3	0	31	2087	2087	2087	2087	2087	321	321	321	321	321	1
cchiù	4865	-6.1	8	11	2599	40	16	11	1	39	6	2	2	1	5
ntâ	4514	-5.58	30	33	913	121	1	1	1	18	3	1	1	1	3
nun	4246	-5.83	14	18	913	108	6	6	6	364	10	1	1	1	3
ô	4149	-4.46	0	7	2	2	2	2	2	14	14	14	14	14	1
havi	4081	-5.26	16	19	153	57	8	5	5	6420	109	18	1	1	4
abbitanti	3644	-6.66	0	0	2085	112	92	36	16	6420	1463	562	118	31	9
sunnu	3485	-4.54	26	29	2087	308	28	6	1	5034	995	184	20	1	5
â	3207	-4.46	0	7	2	2	2	2	2	18	18	18	18	18	1
talianu	3191	-6.56	6	8	966	141	21	14	11	5034	995	377	98	17	7
c	3165	-4.3	0	35	2599	2599	2599	2599	2599	68	68	68	68	68	1
ma	2960	-2.45	78	93	1471	498	498	498	498	4793	154	154	154	154	2
supra	2880	-5.55	8	11	2087	308	52	19	13	4793	541	5	1	1	5
i	2735	-4.3	0	39	399	399	399	399	399	6420	6420	6420	6420	6420	1
era	2730	-4.22	26	35	526	42	5	5	5	4793	541	72	72	72	3
sicilia	2628	-6.8	2	5	2087	322	52	16	15	4793	628	43	5	1	7
u	2583	-4.3	0	27	388	388	388	388	388	5034	5034	5034	5034	5034	1
puru	2583	-4.32	26	27	1841	242	39	1	1	5034	467	53	3	3	4
ci	2506	-2.61	86	101	2599	246	246	246	246	6420	307	307	307	307	2
parti	2488	-4.01	20	27	1841	377	138	44	28	6420	1463	40	8	4	5
tra	2383	-2.87	24	33	966	260	150	150	150	4793	541	56	56	56	3
macari	2341	-6.19	6	8	1471	498	25	4	3	6420	1220	469	40	1	6
nomu	2235	-4.69	18	20	913	80	6	1	1	5034	230	14	5	5	4
unni	2192	-4.19	12	20	388	78	9	3	3	6420	1201	80	12	12	4
in	2162	-3.79	54	66	399	124	124	124	124	364	55	55	55	55	2
veni	2153	-4.51	26	32	709	89	29	3	3	6420	1201	37	7	7	4
anni	2144	-3.69	18	27	2085	184	24	7	7	6420	1201	80	25	25	4
stu	2122	-3.04	24	28	2087	288	32	32	32	5034	1169	64	64	64	3
pupulazzioni	2103	-8.22	0	0	1841	242	17	14	13	6420	1201	605	550	446	12
assai	2099	-5.9	2	4	2085	151	78	7	1	6420	40	6	5	1	5
nti	2096	-2.87	44	52	913	121	51	51	51	6420	1463	562	562	562	3
tutti	2057	-5.33	18	19	966	110	18	9	1	6420	1463	114	11	1	5
granni	2050	-5.05	8	11	651	122	68	20	7	6420	1201	80	25	5	6
san	2027	-4.23	34	41	2087	221	41	41	41	364	86	4	4	4	3
àutri	2006	-6.46	10	12	69	7	6	3	1	6420	1220	67	11	4	5
br	1969	-4.45	42	45	655	81	81	81	81	221	2	2	2	2	2
lingua	1961	-6.74	6	6	675	244	46	17	17	4793	30	6	2	2	6
statu	1927	-4.07	14	18	2087	288	90	20	7	5034	1169	406	62	6	5
pò	1888	-3.89	56	61	1841	16	16	16	16	95	6	6	6	6	2
doppu	1886	-6.35	6	9	926	59	8	5	2	5034	45	19	8	2	5
quannu	1842	-5.0	6	8	120	114	77	16	3	5034	995	184	88	3	6
prima	1832	-5.37	14	17	1841	504	162	18	8	4793	154	45	6	3	5
sicilianu	1806	-8.03	0	0	2087	322	52	16	15	5034	995	377	98	17	9
ntê	1727	-5.75	26	29	913	121	1	1	1	12	1	1	1	1	3
dui	1725	-4.99	32	37	926	109	1	1	1	6420	36	5	5	5	3
dô	1717	-4.46	48	51	926	1	1	1	1	14	2	2	2	2	2
da	1704	-2.85	78	93	926	78	78	78	78	4793	130	130	130	130	2
cità	1693	-4.5	6	9	2599	246	26	1	1	131	99	73	7	7	4
circa	1691	-5.57	8	11	2599	246	55	31	10	4793	466	22	3	3	5
paisi	1685	-5.6	12	14	1841	377	15	10	1	6420	337	143	2	1	5
de	1650	-3.45	70	82	926	69	69	69	69	649	27	27	27	27	2
sta	1531	-2.83	34	43	2087	288	90	90	90	4793	969	123	123	123	3
sèculu	1505	-6.05	14	14	2087	24	8	6	2	5034	216	83	34	1	6
italia	1475	-6.75	0	2	399	18	8	7	5	4793	628	43	13	5	6
p	1472	-4.3	0	31	1841	1841	1841	1841	1841	33	33	33	33	33	1
